DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,40.73,41.18,40.31,40.52,1001566,40.52
2012-01-04,40.41,41.05,40.2,40.88,992418,40.88
2012-01-05,40.51,40.99,40.08,40.95,749584,40.95
2012-01-06,40.98,41.2,40.41,41.17,1041260,41.17
2012-01-09,41.35,41.47,40.89,41.08,812218,41.08
2012-01-10,41.65,41.79,41.25,41.58,845087,41.58
2012-01-11,41.51,42.25,41.46,42.11,939141,42.11
2012-01-12,42.25,42.45,41.77,42.27,656590,42.27
2012-01-13,41.75,41.87,41.15,41.86,922363,41.86
2012-01-17,42.45,42.5,41.79,41.99,805888,41.99
2012-01-18,41.94,42.76,41.64,42.62,801842,42.62
2012-01-19,42.68,43.11,42.65,42.9,771195,42.9
2012-01-20,42.95,43.19,42.43,42.87,777036,42.87
2012-01-23,42.9,43.19,42.62,42.9,565208,42.9
2012-01-24,42.37,43.29,42.24,43.2,749448,43.2
2012-01-25,43.25,44.1,42.85,43.74,1011327,43.74
2012-01-26,44.07,44.6,43.92,44.13,986491,44.13
2012-01-27,43.22,44.77,43.15,44.5,1393091,44.5
2012-01-30,43.6,44.84,43.6,44.6,914461,44.6
2012-01-31,44.67,44.99,44.11,44.49,1266254,44.49
2012-02-01,44.98,45.34,44.73,44.82,782280,44.82
2012-02-02,44.9,45.13,44.52,44.56,653098,44.56
2012-02-03,45.04,45.74,44.93,45.41,896232,45.41
2012-02-06,45.15,45.42,44.86,45.13,847528,45.13
2012-02-07,45.05,45.62,44.63,45.33,781510,45.33
2012-02-08,45.45,45.66,45.14,45.31,618353,45.31
2012-02-09,45.56,45.75,44.87,45.4,635950,45.4
2012-02-10,44.58,44.59,43.92,44.47,1010536,44.47
2012-02-13,44.89,44.89,43.9,43.92,981595,43.92
2012-02-14,43.92,43.95,42.86,43.37,1085042,43.37
2012-02-15,43.5,43.62,42.92,43.16,753639,43.16
2012-02-16,43.24,44.14,42.92,44.14,897739,44.14
2012-02-17,44.38,44.38,43.75,43.91,696412,43.91
2012-02-21,44.22,45.18,44.02,44.36,933104,44.36
2012-02-22,43.88,44.16,43.46,43.57,847855,43.57
2012-02-23,43.57,43.65,43.06,43.63,618798,43.63
2012-02-24,43.71,44.08,43.64,43.86,457870,43.86
2012-02-27,43.46,44.2,43.27,44.15,682519,44.15
2012-02-28,44.31,44.37,43.84,44.03,821291,44.03
2012-02-29,44.03,44.25,43.3,43.53,991101,43.53
2012-03-01,43.74,44.15,43.65,43.83,724492,43.83
2012-03-02,43.73,44.04,43.43,43.57,543184,43.57
