DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,14.3,14.4,14.01,14.04,2838823,14.04
2012-01-04,14.05,14.26,13.92,14.2,2021056,14.2
2012-01-05,14.13,14.77,14.07,14.71,3489896,14.71
2012-01-06,14.7,14.71,14.38,14.55,2799065,14.55
2012-01-09,14.55,14.82,14.44,14.55,2851844,14.55
2012-01-10,14.71,14.76,14.38,14.48,3353238,14.48
2012-01-11,14.4,14.48,14.13,14.19,2745193,14.19
2012-01-12,14.18,14.22,13.79,14.1,3621616,14.1
2012-01-13,13.99,14.03,13.66,13.73,2654894,13.73
2012-01-17,13.94,13.94,13.505,13.52,3332027,13.52
2012-01-18,13.79,14.09,13.71,13.99,4255964,13.99
2012-01-19,14.1,14.36,13.96,14.35,3330008,14.35
2012-01-20,14.33,14.5,14.175,14.22,3560770,14.22
2012-01-23,14.23,14.615,14.05,14.61,2802395,14.61
2012-01-24,14.51,15,14.5,14.93,4592735,14.93
2012-01-25,14.5,14.88,14.13,14.85,7145809,14.85
2012-01-26,15.01,15.24,14.64,14.71,4748076,14.71
2012-01-27,14.62,14.99,14.5,14.91,2426341,14.91
2012-01-30,14.65,14.86,14.43,14.8,2282483,14.8
2012-01-31,14.84,14.85,14.52,14.77,2375940,14.77
2012-02-01,14.94,15.1,14.73,14.93,2391170,14.93
2012-02-02,15.04,15.545,14.87,15.485,3647052,15.485
2012-02-03,15.7,15.95,15.69,15.82,2907310,15.82
2012-02-06,15.74,15.76,15.56,15.7,1922426,15.7
2012-02-07,15.72,15.825,15.47,15.74,2734482,15.74
2012-02-08,15.74,16.62,15.66,16.31,4762171,16.31
2012-02-09,16.51,16.59,16.27,16.3,3865101,16.3
2012-02-10,16.14,16.2,15.81,15.89,3074211,15.89
2012-02-13,16.35,16.36,15.82,16.15,3861229,16.15
2012-02-14,16.15,16.37,16.01,16.24,2959962,16.24
2012-02-15,16.39,16.89,16.14,16.17,6424966,16.17
2012-02-16,15.06,16.58,15,16.45,11925736,16.45
2012-02-17,16.43,16.57,15.71,15.85,6529541,15.85
2012-02-21,15.85,16.31,15.81,15.925,3645705,15.925
2012-02-22,15.85,16.24,15.8,15.82,3341588,15.82
2012-02-23,15.83,16,15.6,15.91,2270265,15.91
2012-02-24,15.95,15.98,15.72,15.79,2491168,15.79
2012-02-27,15.59,15.65,15.25,15.47,5022253,15.47
2012-02-28,15.47,15.64,15.17,15.33,4425783,15.33
2012-02-29,15.38,15.64,15.14,15.15,4922022,15.15
2012-03-01,15.21,15.43,15.15,15.25,2938927,15.25
2012-03-02,15.2,15.6,15.2,15.38,4165389,15.38
2012-03-05,15.27,15.3,14.75,14.87,3432329,14.87
2012-03-06,14.69,14.805,14.46,14.73,3379554,14.73
2012-03-07,14.79,14.865,14.6,14.81,3551641,14.81
2012-03-08,14.85,15.01,14.78,14.86,2425096,14.86
2012-03-09,14.9,15.01,14.745,14.82,2492445,14.82
2012-03-12,14.88,14.97,14.56,14.585,1971738,14.585
2012-03-13,14.65,14.87,14.58,14.79,3529268,14.79
2012-03-14,14.79,14.8,14.32,14.36,4032370,14.36
2012-03-15,14.41,14.655,14.36,14.58,2600855,14.58
2012-03-16,14.59,14.66,14.51,14.6,4050256,14.6
2012-03-19,14.68,14.75,14.58,14.64,2675293,14.64
2012-03-20,14.56,14.56,14.28,14.4,2993943,14.4
2012-03-21,14.4,14.59,14.24,14.46,3096159,14.46
2012-03-22,14.35,14.55,14.31,14.44,3250195,14.44
2012-03-23,14.4,14.59,14.3,14.54,1864310,14.54
2012-03-26,14.67,14.79,14.55,14.72,1586342,14.72
2012-03-27,14.75,14.99,14.75,14.82,2208522,14.82
2012-03-28,15.01,15.36,14.91,15.16,5040594,15.16
2012-03-29,15.14,15.35,14.95,15.23,2231194,15.23
2012-03-30,15.37,15.49,15.14,15.39,2963587,15.39
2012-04-02,15.36,15.48,15.12,15.33,2617338,15.33
2012-04-03,15.43,15.44,15,15.08,2950031,15.08
2012-04-04,14.81,15.04,14.56,14.65,3386955,14.65
2012-04-05,14.76,14.85,14.58,14.63,3745279,14.63
2012-04-09,14.4,14.49,14.16,14.44,2649710,14.44
2012-04-10,14.35,14.57,14.09,14.16,2919139,14.16
