DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,16.42,16.63,16.22,16.23,717446,16.23
2012-01-04,16.17,16.38,16.1,16.27,449089,16.27
2012-01-05,16.15,16.7,15.93,16.66,589532,16.66
2012-01-06,16.65,17.09,16.49,17,842766,17
2012-01-09,17.07,17.2,16.87,17.18,659838,17.18
2012-01-10,17.26,17.32,17.1,17.19,475092,17.19
2012-01-11,17.15,17.38,17.15,17.36,404612,17.36
2012-01-12,17.35,17.46,17.1,17.43,594474,17.43
2012-01-13,17.3,17.3,17.05,17.19,879687,17.19
2012-01-17,17.38,17.44,16.9,16.94,735418,16.94
2012-01-18,16.9,17.2,16.85,17.19,1113717,17.19
2012-01-19,17.24,17.6,17.19,17.46,655386,17.46
2012-01-20,17.47,17.57,17.2,17.3,585558,17.3
2012-01-23,17.26,17.4,17.12,17.19,250551,17.19
2012-01-24,17.07,17.12,16.94,17.07,572255,17.07
2012-01-25,17.02,17.39,16.98,17.33,490446,17.33
2012-01-26,17.37,17.43,17.08,17.43,978168,17.43
2012-01-27,17.85,18.94,17.75,18.82,2310364,18.82
2012-01-30,18.47,18.81,18.39,18.6,1000911,18.6
2012-01-31,18.78,18.8,18.38,18.47,951648,18.47
2012-02-01,18.7,18.8,18.44,18.55,925599,18.55
2012-02-02,18.56,18.61,18.37,18.39,706932,18.39
2012-02-03,18.57,18.86,18.55,18.72,438906,18.72
2012-02-06,18.61,18.93,18.56,18.9,511758,18.9
2012-02-07,18.84,19.23,18.78,19.17,865029,19.17
2012-02-08,19.14,19.19,18.89,19.03,699238,19.03
2012-02-09,19.08,19.35,18.81,19.3,521194,19.3
2012-02-10,19.08,19.1,18.75,18.88,718848,18.88
2012-02-13,18.73,18.99,18.62,18.97,1372886,18.97
2012-02-14,18.66,18.94,18.64,18.91,523074,18.91
2012-02-15,18.86,19.09,18.69,18.72,629902,18.72
2012-02-16,18.74,19.13,18.72,19.1,492696,19.1
2012-02-17,19.16,19.43,19.14,19.26,561991,19.26
2012-02-21,19.26,19.49,18.91,18.99,534604,18.99
2012-02-22,18.88,18.99,18.8,18.82,379250,18.82
2012-02-23,18.72,18.79,18.27,18.51,1001963,18.51
2012-02-24,18.53,18.65,18.34,18.38,506002,18.38
2012-02-27,18.24,18.45,18.09,18.35,509672,18.35
2012-02-28,18.4,18.43,18.23,18.29,520221,18.29
2012-02-29,18.3,18.64,18.24,18.3,722485,18.3
2012-03-01,18.43,18.76,18.4,18.51,536492,18.51
2012-03-02,18.46,18.46,18.14,18.17,483205,18.17
2012-03-05,17.82,18.14,17.78,18.02,799266,18.02
2012-03-06,17.78,17.79,17.27,17.28,1001541,17.28
2012-03-07,17.29,17.54,17.19,17.48,733352,17.48
2012-03-08,17.69,17.99,17.67,17.95,745359,17.95
2012-03-09,18,18.01,17.81,17.92,653814,17.92
2012-03-12,17.95,18,17.67,17.67,631996,17.67
2012-03-13,17.81,18.48,17.74,18.46,1221613,18.46
2012-03-14,18.45,19.04,18.42,18.65,1025398,18.65
2012-03-15,18.63,18.78,18.51,18.72,384963,18.72
2012-03-16,18.77,18.82,18.44,18.47,762957,18.47
2012-03-19,18.43,18.59,18.15,18.3,403312,18.3
2012-03-20,18.2,18.3,18.03,18.16,513876,18.16
2012-03-21,18.16,18.23,17.92,18.13,353401,18.13
2012-03-22,17.99,18.07,17.84,17.96,334604,17.96
2012-03-23,17.92,18.14,17.73,18.12,375012,18.12
2012-03-26,18.25,18.36,18.12,18.26,428810,18.26
2012-03-27,18.32,18.34,18.07,18.07,472200,18.07
2012-03-28,18.06,18.09,17.79,17.91,421894,17.91
2012-03-29,17.8,17.9,17.66,17.88,512720,17.88
2012-03-30,17.94,18.01,17.77,17.81,849367,17.81
2012-04-02,17.83,18.08,17.75,17.87,650110,17.87
2012-04-03,17.8,18.08,17.8,17.97,823641,17.97
2012-04-04,17.79,17.84,17.46,17.49,739062,17.49
2012-04-05,17.44,17.62,17.41,17.46,577019,17.46
2012-04-09,17.18,17.25,16.97,17.11,459938,17.11
2012-04-10,17.02,17.06,16.64,16.79,1009353,16.79
2012-04-11,17,17.17,16.86,16.89,635846,16.89
2012-04-12,16.91,17.24,16.91,17.24,423665,17.24
2012-04-13,17.14,17.29,17.03,17.13,864828,17.13
2012-04-16,17.22,17.35,17.1,17.19,579769,17.19
2012-04-17,17.34,17.49,17.17,17.44,549956,17.44
2012-04-18,17.34,17.43,17.18,17.34,519012,17.34
2012-04-19,17.35,17.5,17.26,17.36,574154,17.36
2012-04-20,17.44,17.52,17.31,17.4,695467,17.4
2012-04-23,17.18,17.24,17.04,17.21,672209,17.21
2012-04-24,17.21,17.56,17.21,17.48,728520,17.48
2012-04-25,17.63,17.91,17.6,17.85,936799,17.85
2012-04-26,17.88,18.05,17.72,17.96,674581,17.96
2012-04-27,18.5,18.96,18.4,18.57,1055438,18.57
2012-04-30,18.55,18.57,18.1,18.2,752708,18.2
2012-05-01,18.15,18.37,17.94,18.27,830952,18.27
2012-05-02,18.12,18.66,18.07,18.6,693818,18.6
2012-05-03,18.6,18.74,18.49,18.65,827871,18.65
2012-05-04,18.53,18.6,18.21,18.56,1126975,18.56
2012-05-07,18.91,19,18.61,18.64,1326336,18.64
2012-05-08,18.47,18.48,17.99,18.36,944377,18.36
2012-05-09,18.13,18.45,18,18.27,913648,18.27
2012-05-10,18.48,18.65,18.35,18.43,756783,18.43
2012-05-11,18.29,18.49,18.18,18.32,521777,18.32
2012-05-14,18.13,18.31,18,18.26,1075076,18.26
2012-05-15,18.21,18.26,17.9,18.01,1146852,18.01
2012-05-16,18.07,18.4,18.05,18.1,945167,18.1
2012-05-17,18.1,18.18,17.59,17.6,837374,17.6
2012-05-18,17.83,17.88,17.59,17.69,1172473,17.69
2012-05-21,17.69,17.96,17.45,17.95,537807,17.95
2012-05-22,18.01,18.23,17.87,17.96,543224,17.96
2012-05-23,17.85,18.26,17.84,18.23,722190,18.23
2012-05-24,18.32,18.67,18.08,18.39,780068,18.39
2012-05-25,18.41,19.02,18.36,18.94,1039541,18.94
2012-05-29,18.91,19.12,18.88,19.03,810231,19.03
2012-05-30,18.81,18.83,18.41,18.49,1034962,18.49
2012-05-31,18.51,18.52,18.19,18.4,775180,18.4
2012-06-01,18.06,18.08,17.59,17.66,722603,17.66
2012-06-04,17.68,17.76,17.35,17.64,522617,17.64
2012-06-05,17.57,17.66,17.32,17.57,538247,17.57
2012-06-06,17.73,18.07,17.71,18.04,790620,18.04
2012-06-07,18.25,18.34,17.97,18.05,782239,18.05
2012-06-08,17.95,18.21,17.84,17.99,596027,17.99
2012-06-11,18.17,18.42,17.94,18.12,590336,18.12
2012-06-12,18.22,18.5,18.11,18.48,588792,18.48
2012-06-13,18.37,18.54,18.16,18.28,713255,18.28
2012-06-14,18.37,18.54,18.2,18.41,565414,18.41
2012-06-15,18.5,18.61,18.4,18.49,889017,18.49
2012-06-18,18.43,18.6,18.35,18.57,349547,18.57
2012-06-19,18.69,18.78,18.44,18.45,549782,18.45
2012-06-20,18.44,18.55,18.27,18.4,583938,18.4
2012-06-21,18.42,18.63,18,18.02,717399,18.02
2012-06-22,18.07,18.11,17.88,18.01,855203,18.01
2012-06-25,17.84,17.89,17.61,17.61,460811,17.61
2012-06-26,17.62,17.64,17.22,17.43,933986,17.43
2012-06-27,17.43,17.56,17.36,17.4,566741,17.4
2012-06-28,17.24,17.54,17.15,17.47,777893,17.47
2012-06-29,17.75,18.14,17.75,18.14,752591,18.14
2012-07-02,18.23,18.23,17.91,18.16,571867,18.16
2012-07-03,18.12,18.31,18.06,18.12,210169,18.12
2012-07-05,17.97,18.72,17.97,18.64,1152865,18.64
2012-07-06,18.45,18.48,18.24,18.29,403874,18.29
2012-07-09,18.23,18.26,17.96,18.03,356100,18.03
2012-07-10,18.1,18.27,17.62,17.7,596124,17.7
2012-07-11,17.69,17.7,17.3,17.42,591715,17.42
2012-07-12,17.32,17.54,17.25,17.4,527904,17.4
2012-07-13,17.41,17.82,17.41,17.7,506888,17.7
