DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2013-06-19,15.28,16.25,15.2,15.8,8773297,15.8
2013-06-20,16.37,16.37,15.25,15.34,1263432,15.34
2013-06-21,15.7,15.8,15.4,15.65,774848,15.65
2013-06-24,15.64,15.84,15.2,15.53,504296,15.53
2013-06-25,15.55,15.74,15.36,15.72,321984,15.72
2013-06-26,15.69,15.69,15.21,15.4,607692,15.4
2013-06-27,15.34,15.85,14.85,15.5,1280654,15.5
2013-06-28,15.5,15.77,15.25,15.3,4893323,15.3
2013-07-01,15.59,15.59,14.75,14.79,5667149,14.79
2013-07-02,14.69,15.11,14.69,15,3535817,15
2013-07-03,14.95,15.09,14.74,14.87,1654520,14.87
2013-07-05,14.95,15.95,14.89,15.66,2481148,15.66
2013-07-08,15.63,16.04,15.5,15.95,3139081,15.95
2013-07-09,15.79,15.97,15.5,15.72,2165725,15.72
2013-07-10,15.55,15.57,15.15,15.39,3410169,15.39
2013-07-11,15.6,15.6,14.965,15.13,2841934,15.13
2013-07-12,15.07,15.12,14.905,14.93,1943999,14.93
2013-07-15,14.93,15.01,14.39,14.67,3183483,14.67
2013-07-16,14.57,15.34,14.57,15.28,2211569,15.28
2013-07-17,15.36,15.96,15.29,15.89,3230988,15.89
2013-07-18,15.94,16.1,15.33,15.46,2482486,15.46
2013-07-19,15.41,16.08,15.29,15.98,2690505,15.98
2013-07-22,16.09,16.12,15.62,15.73,1641883,15.73
2013-07-23,15.69,15.86,15.55,15.65,1491541,15.65
2013-07-24,15.65,15.88,15.42,15.71,1373528,15.71
2013-07-25,15.66,15.87,15.45,15.57,1166477,15.57
2013-07-26,15.54,15.965,15.31,15.89,1255260,15.89
2013-07-29,15.87,15.87,15.4,15.51,1614311,15.51
2013-07-30,15.6,15.95,15.46,15.95,1946132,15.95
2013-07-31,16,16.21,15.84,15.93,2349637,15.93
2013-08-01,16.07,16.27,15.96,16.22,2426106,16.22
2013-08-02,16.24,16.47,16.13,16.34,1733492,16.34
2013-08-05,16.33,16.33,15.9,16,1030578,16
2013-08-06,15.99,16.25,15.83,16.18,1516918,16.18
2013-08-07,16.15,16.15,15.85,15.95,995707,15.95
2013-08-08,16.07,16.31,15.91,16.13,1574720,16.13
2013-08-09,16.09,16.16,15.97,15.98,842955,15.98
2013-08-12,15.88,16.05,15.75,15.92,1259377,15.92
2013-08-13,15.91,15.95,15.8,15.83,960401,15.83
2013-08-14,15.83,16.01,15.67,15.9,811034,15.9
2013-08-15,15.79,16.185,15.71,16.1,1824583,16.1
2013-08-16,16.04,16.25,15.96,15.98,1986828,15.98
2013-08-19,16.05,16.06,15.69,15.7,1325958,15.7
2013-08-20,15.7,15.74,15.52,15.7,844846,15.7
2013-08-21,15.61,15.78,15.49,15.76,918107,15.76
2013-08-22,15.76,15.82,15.63,15.71,459215,15.71
2013-08-23,15.71,15.79,15.57,15.75,848852,15.75
2013-08-26,15.79,15.9,15.71,15.86,594347,15.86
2013-08-27,15.71,16,15.705,15.72,937169,15.72
2013-08-28,15.76,15.81,15.68,15.8,760433,15.8
2013-08-29,15.73,15.89,15.64,15.77,571300,15.77
2013-08-30,15.75,15.76,15.59,15.7,1451150,15.7
2013-09-03,15.89,16.03,15.695,15.77,642874,15.77
2013-09-04,15.79,16.07,15.76,16.03,915208,16.03
2013-09-05,15.97,16.27,15.91,16.24,830046,16.24
