DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,19.86,20.44,19.74,20.24,596619,20.24
2012-01-04,20.16,20.88,20.02,20.71,508688,20.71
2012-01-05,20.49,20.86,20.19,20.68,435769,20.68
2012-01-06,20.74,21.44,20.49,21.3,705475,21.3
2012-01-09,21.47,21.47,21.15,21.21,521659,21.21
2012-01-10,21.61,21.84,21.44,21.65,440793,21.65
2012-01-11,21.51,21.76,21.44,21.63,438097,21.63
2012-01-12,21.85,22.43,21.77,22.33,473994,22.33
2012-01-13,22.12,22.21,21.78,21.99,535397,21.99
2012-01-17,22.22,22.43,21.6,21.78,387529,21.78
2012-01-18,21.84,23.01,21.59,22.83,750793,22.83
2012-01-19,23,23.69,22.81,23.37,645458,23.37
2012-01-20,23.39,23.4,22.98,23.34,526745,23.34
2012-01-23,23.22,23.46,22.74,23.25,487767,23.25
2012-01-24,23.25,23.4,22.46,23.14,648281,23.14
2012-01-25,23.01,23.25,22.37,23.22,776253,23.22
2012-01-26,23.32,25.43,22.97,24.41,1185304,24.41
2012-01-27,24.24,24.77,24.11,24.67,660260,24.67
2012-01-30,24.27,24.53,23.95,24.43,545853,24.43
2012-01-31,24.56,24.77,23.98,24.05,553270,24.05
2012-02-01,24.41,24.86,24.08,24.29,605431,24.29
2012-02-02,24.37,24.58,24.07,24.26,387305,24.26
2012-02-03,24.76,25.03,24.61,24.64,626445,24.64
2012-02-06,24.43,24.75,24.34,24.73,290668,24.73
2012-02-07,24.56,24.87,24.22,24.71,583609,24.71
2012-02-08,24.8,24.99,24.46,24.72,341633,24.72
2012-02-09,24.78,24.92,24.38,24.83,258949,24.83
2012-02-10,24.48,24.53,24.06,24.28,381680,24.28
2012-02-13,24.59,24.75,24.25,24.29,342193,24.29
2012-02-14,24.24,24.24,23.67,24.01,355419,24.01
2012-02-15,24.16,24.22,23.74,23.85,428195,23.85
2012-02-16,23.83,24.15,23.45,24.12,445933,24.12
2012-02-17,24.28,24.29,23.7,24.05,524844,24.05
2012-02-21,24.23,25,24.19,24.59,545278,24.59
2012-02-22,24.55,24.66,24.19,24.26,383105,24.26
2012-02-23,24.17,24.5,23.96,24.23,270954,24.23
2012-02-24,24.29,24.99,24.29,24.5,264161,24.5
2012-02-27,24.25,24.7,24.25,24.52,290735,24.52
2012-02-28,24.58,24.62,24.05,24.16,317762,24.16
2012-02-29,24.17,24.45,23.74,23.9,466171,23.9
2012-03-01,23.97,24.4,23.97,24.26,417629,24.26
2012-03-02,24.21,24.25,23.72,23.74,316543,23.74
2012-03-05,23.64,23.77,23.35,23.57,338895,23.57
2012-03-06,23.17,23.3,22.79,22.81,329896,22.81
2012-03-07,23.01,23.01,22.62,22.69,758706,22.69
2012-03-08,23,23.86,22.95,23.68,521723,23.68
2012-03-09,23.69,24.26,23.67,24.1,352318,24.1
2012-03-12,24.05,24.08,23.6,23.8,257526,23.8
2012-03-13,23.95,24.61,23.85,24.56,386392,24.56
2012-03-14,24.51,24.62,24.02,24.2,469388,24.2
2012-03-15,24.22,24.59,24.03,24.45,327522,24.45
2012-03-16,24.52,24.52,24.01,24.21,605490,24.21
2012-03-19,24.23,24.87,24.2,24.55,296617,24.55
2012-03-20,24.27,24.42,23.96,24.08,357719,24.08
2012-03-21,24.14,24.28,23.83,24.11,330340,24.11
2012-03-22,23.74,23.75,23.21,23.41,384370,23.41
2012-03-23,23.39,23.5,23,23.35,417292,23.35
2012-03-26,23.65,23.85,23.43,23.85,358052,23.85
2012-03-27,23.95,24.19,23.84,23.96,418548,23.96
2012-03-28,23.92,23.96,23.3,23.56,372718,23.56
2012-03-29,23.36,23.55,23.01,23.47,491609,23.47
2012-03-30,23.64,23.67,23,23.34,705389,23.34
2012-04-02,23.3,23.59,23.09,23.37,626355,23.37
2012-04-03,23.18,23.27,22.92,23.18,671427,23.18
2012-04-04,22.95,23.08,22.61,23.01,653144,23.01
2012-04-05,23,23.05,22.51,22.57,419618,22.57
2012-04-09,22.06,22.68,21.93,22.43,591708,22.43
2012-04-10,22.42,22.58,21.92,22.01,707312,22.01
2012-04-11,24.47,24.47,23.4,23.52,1438694,23.52
2012-04-12,23.52,24.11,23.5,23.8,835536,23.8
2012-04-13,23.73,23.91,23.45,23.7,666767,23.7
2012-04-16,23.85,24.41,23.62,24.21,621104,24.21
2012-04-17,24.42,24.69,24.39,24.49,517702,24.49
2012-04-18,24.35,24.47,24.14,24.26,518790,24.26
2012-04-19,24.22,24.23,23.74,23.9,521295,23.9
2012-04-20,24.1,24.21,23.79,23.99,631600,23.99
2012-04-23,23.67,23.85,23.37,23.82,546666,23.82
2012-04-24,23.91,24.12,23.79,23.84,303052,23.84
2012-04-25,24.12,24.63,23.88,24.5,584576,24.5
2012-04-26,23.99,24.23,23.23,23.77,871718,23.77
2012-04-27,23.81,23.85,23.11,23.45,461112,23.45
2012-04-30,23.35,23.38,23.04,23.25,491793,23.25
2012-05-01,23.15,23.64,23.06,23.41,384407,23.41
2012-05-02,23.23,23.29,22.93,23.05,371748,23.05
2012-05-03,23.01,23.21,22.62,22.69,394989,22.69
2012-05-04,22.58,22.7,22,22.05,480583,22.05
2012-05-07,21.92,22.18,21.9,22,549389,22
2012-05-08,21.77,22.12,21.46,22.08,482074,22.08
2012-05-09,21.63,22.29,21.57,22.13,489450,22.13
2012-05-10,22.4,22.44,21.7,21.84,533971,21.84
2012-05-11,21.6,22.01,21.52,21.73,369868,21.73
2012-05-14,21.35,21.52,21.25,21.28,403963,21.28
2012-05-15,21.26,21.41,20.68,20.74,395525,20.74
2012-05-16,20.83,21.03,20.15,20.16,526128,20.16
2012-05-17,20.18,20.24,19.59,19.6,491437,19.6
2012-05-18,19.81,19.81,19.24,19.43,580584,19.43
2012-05-21,19.45,20,19.12,19.87,350200,19.87
2012-05-22,19.9,20.13,19.48,19.65,445990,19.65
2012-05-23,19.43,19.61,18.88,19.55,635496,19.55
2012-05-24,19.68,19.76,19.44,19.76,402743,19.76
2012-05-25,19.71,19.8,19.54,19.61,307705,19.61
2012-05-29,19.93,20.3,19.9,20.22,466265,20.22
2012-05-30,19.97,19.99,19.39,19.47,334492,19.47
2012-05-31,19.45,19.7,19.09,19.54,886993,19.54
2012-06-01,19.05,19.1,18.49,18.5,457850,18.5
2012-06-04,18.51,18.57,17.91,18.16,371957,18.16
2012-06-05,18.05,18.55,18.03,18.48,351967,18.48
2012-06-06,18.71,19.14,18.63,19.14,306173,19.14
2012-06-07,19.55,19.83,19.27,19.46,584388,19.46
2012-06-08,19.34,19.42,18.84,19.38,505214,19.38
2012-06-11,19.63,19.67,18.5,18.52,318424,18.52
2012-06-12,18.61,18.91,18.38,18.89,508815,18.89
2012-06-13,18.86,18.87,18.49,18.55,286364,18.55
2012-06-14,18.59,19.03,18.52,18.75,455893,18.75
2012-06-15,18.95,19.25,18.91,19.09,722270,19.09
2012-06-18,18.97,19.02,18.62,18.93,382162,18.93
2012-06-19,19.07,19.54,19.05,19.24,455346,19.24
2012-06-20,19.13,19.55,18.94,19.34,395589,19.34
2012-06-21,19.37,19.43,18.71,18.77,442395,18.77
2012-06-22,18.95,18.95,18.4,18.7,988943,18.7
2012-06-25,18.3,18.33,18.04,18.27,383574,18.27
2012-06-26,18.35,18.36,17.9,18.23,450659,18.23
2012-06-27,18.29,18.54,18.19,18.42,289660,18.42
2012-06-28,18.19,18.49,18.09,18.41,365188,18.41
2012-06-29,18.92,19.2,18.88,19.17,446142,19.17
2012-07-02,19.13,19.22,18.85,19.14,331906,19.14
2012-07-03,19.12,19.75,19.08,19.7,317238,19.7
2012-07-05,19.62,19.98,19.62,19.82,384473,19.82
2012-07-06,19.43,19.5,19.01,19.15,330322,19.15
2012-07-09,19.05,19.14,18.82,19.01,280705,19.01
2012-07-10,19.13,19.38,18.82,18.96,369058,18.96
2012-07-11,18.95,19.05,18.63,18.83,337337,18.83
2012-07-12,18.6,18.75,18.27,18.63,327396,18.63
