DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,38.4325,38.5726,37.9904,38.2662,580826,38.2662
2012-01-04,38.1042,38.415,37.9729,38.2356,441918,38.2356
2012-01-05,38.0911,38.542,38.043,38.2749,360524,38.2749
2012-01-06,38.2793,38.2793,37.9904,38.1743,251816,38.1743
2012-01-09,38.183,38.2399,37.7934,37.9773,414898,37.9773
2012-01-10,38.2531,38.6864,38.1436,38.5901,501080,38.5901
2012-01-11,38.5901,38.7608,38.4588,38.6777,478802,38.6777
2012-01-12,38.682,38.9184,38.3581,38.3669,327834,38.3669
2012-01-13,38.0911,38.9315,38.0911,38.8746,578148,38.8746
2012-01-17,39.0891,39.2292,38.3975,38.5288,446796,38.5288
2012-01-18,38.5551,39.0497,38.5069,38.844,503964,38.844
2012-01-19,38.914,39.0716,38.6295,38.730199999999996,280494,38.730199999999996
2012-01-20,38.8134,38.8746,38.3362,38.4851,497252,38.4851
2012-01-23,38.4851,38.9315,38.4063,38.4894,379000,38.4894
2012-01-24,38.3319,38.5595,38.1349,38.1918,446926,38.1918
2012-01-25,37.9598,38.4544,37.7628,38.3669,502140,38.3669
2012-01-26,38.4106,38.7214,38.3625,38.5288,329692,38.5288
2012-01-27,38.2049,38.2312,37.2419,37.2507,775902,37.2507
2012-01-30,36.9486,37.0406,36.4846,36.6116,467624,36.6116
2012-01-31,36.6816,36.7341,36.2526,36.4015,833814,36.4015
2012-02-01,35.7011,36.1345,35.7011,35.7755,859298,35.7755
2012-02-02,35.8456,36.0294,35.2765,35.4122,614124,35.4122
2012-02-03,35.0708,35.8149,35.0708,35.7624,675230,35.7624
2012-02-06,35.561,35.8324,35.4822,35.7755,427206,35.7755
2012-02-07,35.5829,36.2308,35.5085,36.1388,445430,36.1388
2012-02-08,36.152,36.2132,35.6967,35.8718,336564,35.8718
2012-02-09,35.8718,35.99,35.561,35.7668,294988,35.7668
2012-02-10,35.5567,35.5785,35.294,35.4604,443248,35.4604
2012-02-13,35.5917,35.8193,35.5391,35.6967,323268,35.6967
2012-02-14,35.6967,35.7755,35.3991,35.5742,380076,35.5742
2012-02-15,35.6223,35.6354,35.1146,35.2152,335204,35.2152
2012-02-16,35.3465,36.1739,35.3422,36.0557,469548,36.0557
2012-02-17,36.3227,36.8523,35.9287,35.9331,801564,35.9331
2012-02-21,36.0819,36.4934,36.0425,36.4452,453406,36.4452
2012-02-22,36.5022,36.7823,36.2308,36.4803,406554,36.4803
2012-02-23,36.5109,36.883,36.5109,36.8392,323348,36.8392
2012-02-24,36.8874,36.9005,36.6422,36.7123,277510,36.7123
2012-02-27,36.4846,36.6597,36.4059,36.4803,327924,36.4803
2012-02-28,36.4584,36.489,35.723,35.9287,535734,35.9287
2012-02-29,36.0338,36.2964,35.8412,36.1739,516318,36.1739
2012-03-01,36.187,36.3358,35.9462,36.1563,441460,36.1563
2012-03-02,36.152,36.4015,36.0951,36.2395,285146,36.2395
2012-03-05,36.1082,36.454,36.0382,36.384,286868,36.384
2012-03-06,36.1739,36.2483,35.9419,36.1301,386214,36.1301
2012-03-07,36.1432,36.1563,35.9243,36.0338,406864,36.0338
2012-03-08,36.1739,36.3052,36.0031,36.1563,346530,36.1563
2012-03-09,36.2132,36.7035,36.2001,36.4452,351346,36.4452
2012-03-12,36.7779,37.2113,36.6597,36.9837,580042,36.9837
2012-03-13,37.1281,37.2857,36.9749,37.2113,447596,37.2113
2012-03-14,37.2069,37.3119,36.721,36.7298,494088,36.7298
2012-03-15,36.7385,36.7692,36.4365,36.5809,395628,36.5809
2012-03-16,36.5547,36.6072,36.2658,36.2658,951494,36.2658
2012-03-19,36.2614,36.6597,36.257,36.3533,279062,36.3533
2012-03-20,36.1826,36.3271,36.0732,36.257,449984,36.257
2012-03-21,36.2176,36.2702,36.0163,36.0163,292574,36.0163
2012-03-22,35.8237,35.8587,35.5523,35.6836,391716,35.6836
2012-03-23,35.6967,36.0907,35.6311,35.9725,320750,35.9725
2012-03-26,36.1826,36.3708,36.0644,36.1563,290774,36.1563
2012-03-27,36.1388,36.187,35.9637,36.0644,266198,36.0644
2012-03-28,35.9594,36.1301,35.5917,35.8193,359426,35.8193
2012-03-29,35.5567,35.8893,35.3247,35.8456,218052,35.8456
2012-03-30,35.9637,35.99,35.6748,35.7449,435974,35.7449
2012-04-02,35.5961,35.955,35.4954,35.723,433236,35.723
2012-04-03,35.758,35.8762,35.6311,35.8499,544822,35.8499
2012-04-04,35.5829,35.6311,35.4253,35.4341,429914,35.4341
2012-04-05,35.3465,35.5961,35.3465,35.4998,239984,35.4998
2012-04-09,35.1277,35.4691,35.0883,35.3159,515846,35.3159
2012-04-10,35.3159,35.3772,34.6374,34.7381,612050,34.7381
2012-04-11,35.0664,35.4735,35.0533,35.2546,503308,35.2546
2012-04-12,35.2678,35.3859,35.0095,35.224,358586,35.224
2012-04-13,35.1715,35.5173,35.0839,35.1146,288594,35.1146
2012-04-16,35.2546,35.2546,34.8782,35.0183,327912,35.0183
2012-04-17,35.1715,35.561,34.8913,35.4954,385470,35.4954
2012-04-18,35.3641,35.5523,35.3203,35.4253,290204,35.4253
2012-04-19,35.3947,35.6179,35.2415,35.4297,256512,35.4297
2012-04-20,35.653,36.4671,35.6354,36.257,567912,36.257
2012-04-23,35.99,35.9944,35.5348,35.9725,547904,35.9725
2012-04-24,35.9462,36.1957,35.9462,36.1957,427626,36.1957
2012-04-25,36.4628,36.9837,36.4015,36.9267,415688,36.9267
2012-04-26,36.5415,37.2857,36.5415,37.1894,434702,37.1894
2012-04-27,37.3864,37.6227,37.2113,37.4214,313006,37.4214
2012-04-30,37.3951,37.8372,37.3951,37.5965,345280,37.5965
2012-05-01,37.6665,38.3143,37.6008,37.986,213632,37.986
2012-05-02,37.4739,38.3756,37.3207,37.9073,494448,37.9073
2012-05-03,37.881,38.3931,37.8679,37.8985,380420,37.8985
