DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,45.16,45.62,44.98,45,413007,45
2012-01-04,44.75,44.77,44.27,44.74,271520,44.74
2012-01-05,44.46,44.46,43.95,44.15,449158,44.15
2012-01-06,44.27,44.43,43.93,44.04,411378,44.04
2012-01-09,44.04,44.32,43.83,44.25,435824,44.25
2012-01-10,44.83,45.46,44.8,45.3,515078,45.3
2012-01-11,45.08,45.26,44.97,45.05,305170,45.05
2012-01-12,45.28,45.9,45.02,45.87,429293,45.87
2012-01-13,45.63,46.54,45.54,46.46,779098,46.46
2012-01-17,47,47.14,46.47,46.59,460147,46.59
2012-01-18,46.6,47.2,46.44,47.09,316159,47.09
2012-01-19,47.22,47.95,47.09,47.69,291051,47.69
2012-01-20,47.59,47.82,46.62,46.71,777352,46.71
2012-01-23,46.33,46.81,45.76,46.17,586756,46.17
2012-01-24,45.77,46.42,45.61,46.18,465255,46.18
2012-01-25,46.08,46.77,45.71,46.67,424221,46.67
2012-01-26,46.78,47,46.45,46.74,318962,46.74
2012-01-27,46.32,46.68,46.05,46.52,448260,46.52
2012-01-30,45.53,46.31,44.97,46.26,591145,46.26
2012-01-31,46.36,46.52,45.53,45.61,598572,45.61
2012-02-01,45.86,46.86,45.85,46.71,340486,46.71
2012-02-02,46.72,46.78,46,46.17,305829,46.17
2012-02-03,46.82,47.32,46.68,47.19,376542,47.19
2012-02-06,46.94,47.59,46.94,47.38,264190,47.38
2012-02-07,47.11,47.6,46.94,47.47,309282,47.47
2012-02-08,47.47,47.63,47.01,47.46,385512,47.46
2012-02-09,47.48,47.92,47.3,47.91,394034,47.91
2012-02-10,47.35,47.58,47,47.56,356739,47.56
2012-02-13,47.79,48.08,47.4,48.02,260864,48.02
2012-02-14,48.52,48.95,47.32,48,501641,48
2012-02-15,48.21,48.27,47.17,47.42,381319,47.42
2012-02-16,47.52,48.22,47.48,48.09,387761,48.09
2012-02-17,48.43,48.56,48.19,48.42,476883,48.42
2012-02-21,48.71,48.78,48.06,48.73,355038,48.73
2012-02-22,48.77,48.8,48.35,48.4,323376,48.4
2012-02-23,48.26,48.89,48.26,48.79,476051,48.79
2012-02-24,48.9,49.23,48.6,48.61,520170,48.61
2012-02-27,48.35,48.74,48.11,48.6,398045,48.6
2012-02-28,48.67,49,48.31,48.86,382863,48.86
2012-02-29,48.86,49.63,48.84,49.44,767576,49.44
2012-03-01,49.25,49.66,48.61,48.76,532948,48.76
2012-03-02,48.64,48.94,48,48.35,373683,48.35
2012-03-05,48.11,48.53,48.03,48.4,336548,48.4
2012-03-06,48.04,48.3,47.63,47.7,494101,47.7
2012-03-07,47.77,48.07,47.77,47.89,276947,47.89
2012-03-08,48.31,49.01,48.22,48.89,202286,48.89
2012-03-09,48.89,48.89,48.48,48.49,361810,48.49
2012-03-12,48.64,48.76,48.39,48.58,285897,48.58
2012-03-13,48.77,49.18,48.6,49.14,368273,49.14
2012-03-14,49.11,49.41,48.9,49.1,437314,49.1
2012-03-15,49.13,49.89,49.04,49.83,516662,49.83
2012-03-16,49.8,50.06,49.44,50.01,1018848,50.01
2012-03-19,49.84,50.27,49.56,50.08,318204,50.08
2012-03-20,49.82,50.03,49.53,49.88,312334,49.88
2012-03-21,49.83,50.15,49.8,49.9,376280,49.9
2012-03-22,49.5,50.37,49.44,50.16,546328,50.16
2012-03-23,50.22,50.34,49.75,50.18,375741,50.18
2012-03-26,50.48,51,50.34,51,435055,51
2012-03-27,51,51.38,50.76,50.93,405832,50.93
2012-03-28,50.8,50.99,50.12,50.41,343873,50.41
2012-03-29,50.11,50.31,49.75,50.27,467327,50.27
2012-03-30,50.62,50.65,50.11,50.65,563968,50.65
2012-04-02,49.14,50,49.06,49.91,1437743,49.91
2012-04-03,49.79,49.99,49.58,49.89,626698,49.89
2012-04-04,49.58,49.67,49.11,49.13,519846,49.13
2012-04-05,49.03,49.6,48.85,49.4,434329,49.4
2012-04-09,48.73,48.73,48.13,48.42,377995,48.42
2012-04-10,48.17,48.36,47.42,47.51,852904,47.51
2012-04-11,48.01,48.36,47.88,48.2,413863,48.2
2012-04-12,48.5,49.67,48.35,49.49,533995,49.49
2012-04-13,49.36,49.41,48.48,48.73,607446,48.73
2012-04-16,48.84,49.8,48.7,49.19,609478,49.19
2012-04-17,49.5,49.52,48.03,48.64,812470,48.64
2012-04-18,48.58,49.29,48.44,49,551566,49
2012-04-19,48.97,49.84,48.92,49.39,386206,49.39
2012-04-20,49.49,50.16,49.45,50.05,894077,50.05
2012-04-23,49.74,49.88,49.29,49.47,631890,49.47
2012-04-24,49.6,49.97,49.46,49.79,467599,49.79
2012-04-25,50.09,50.41,50.01,50.25,417060,50.25
2012-04-26,50.31,51.1,50.09,51.06,466173,51.06
2012-04-27,51.11,51.7,50.91,51.54,516054,51.54
2012-04-30,51.52,51.52,51.05,51.31,532275,51.31
2012-05-01,51.48,51.97,51.31,51.56,578298,51.56
2012-05-02,51.37,51.9,51.18,51.84,536868,51.84
2012-05-03,51.91,52.19,51.67,52.05,654362,52.05
2012-05-04,51.84,51.94,50.96,51.2,523077,51.2
2012-05-07,51.15,51.67,50.95,51.52,504223,51.52
2012-05-08,51.06,51.25,50.48,51.12,438141,51.12
2012-05-09,50.64,51,49.89,50.65,425403,50.65
2012-05-10,50.96,51.08,50.3,50.52,391818,50.52
2012-05-11,50.35,51.53,50.22,51.13,484585,51.13
2012-05-14,50.67,50.89,49.99,50.45,387078,50.45
2012-05-15,50.45,50.97,50.3,50.45,269801,50.45
2012-05-16,50.6,50.83,50.35,50.36,297748,50.36
