DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,80.95,81.04,78.11,78.2,524117,78.2
2012-01-04,78.37,79.96,77.8,79.34,476172,79.34
2012-01-05,79.22,80.67,78.56,80.41,285112,80.41
2012-01-06,80.28,80.4,79.53,79.86,160908,79.86
2012-01-09,80.06,80.53,79.97,80.4,325407,80.4
2012-01-10,80.93,81.34,80.65,80.9,295436,80.9
2012-01-11,81.07,81.49,81,81.38,198332,81.38
2012-01-12,81.64,81.89,80.9,81.82,212866,81.82
2012-01-13,81.5,81.96,81.14,81.6,180109,81.6
2012-01-17,82,82.8,81.73,82.3,385760,82.3
2012-01-18,82.2,83.905,81.88,83.68,300475,83.68
2012-01-19,83.89,85.32,83.89,84.78,489183,84.78
2012-01-20,84.94,85.09,82.09,82.28,577401,82.28
2012-01-23,82.18,82.76,81,81.26,370528,81.26
2012-01-24,80.95,82.17,80.9,81.81,335922,81.81
2012-01-25,81.88,82.72,81.62,82.57,244268,82.57
2012-01-26,83.23,83.8,81.81,81.99,323840,81.99
2012-01-27,82.04,83.01,81.84,82.56,241236,82.56
2012-01-30,82.31,82.76,81.56,82.35,243648,82.35
2012-01-31,82.59,82.59,81.39,81.51,327746,81.51
2012-02-01,81.53,82.18,81.5,81.95,315850,81.95
2012-02-02,82.09,82.37,81.42,81.54,256067,81.54
2012-02-03,82.43,83.72,82.29,82.83,307160,82.83
2012-02-06,82.5,83.38,82.06,82.36,294197,82.36
2012-02-07,82.27,83.86,82,83.85,259381,83.85
2012-02-08,83.9,83.99,82.35,83.44,520883,83.44
2012-02-09,81.92,84.72,81.92,84.34,654663,84.34
2012-02-10,82.5,84.15,82.5,83.45,319376,83.45
2012-02-13,83.66,83.99,83,83.23,324720,83.23
2012-02-14,83.1,84,82.99,84,322991,84
2012-02-15,84,84.09,83,83.45,350594,83.45
2012-02-16,83.66,85.11,83.66,84.51,411648,84.51
2012-02-17,84.55,85.13,84.18,84.55,385576,84.55
2012-02-21,84.46,84.87,83.97,84.46,308015,84.46
2012-02-22,84.58,85.08,84.23,84.77,342329,84.77
2012-02-23,84.69,86.58,84.41,86.4,519444,86.4
2012-02-24,86.33,86.71,85.41,85.67,391358,85.67
2012-02-27,85.2,86.16,85.2,85.69,264364,85.69
2012-02-28,86,87.36,86,87.34,447784,87.34
2012-02-29,87.05,87.05,86.36,86.5,642759,86.5
2012-03-01,86.64,88.18,86.52,88.08,351648,88.08
2012-03-02,88.01,88.7,87.7,88.33,245941,88.33
2012-03-05,88.33,89.98,88.33,89.85,312405,89.85
2012-03-06,89.23,90.15,89.1,89.35,265009,89.35
2012-03-07,89.5,90.31,89,90.1,238987,90.1
2012-03-08,90.27,90.93,89.89,89.96,384409,89.96
2012-03-09,90.28,90.67,89.75,90.42,265940,90.42
2012-03-12,90.46,90.53,89.95,90.06,272038,90.06
2012-03-13,90.46,90.85,89.56,90.07,333201,90.07
2012-03-14,90.11,90.26,89.95,90.21,292958,90.21
2012-03-15,90.11,90.31,89.62,90.21,319668,90.21
2012-03-16,89.91,90.16,88.95,89.04,604315,89.04
2012-03-19,89.1,89.78,88.68,89.51,224970,89.51
2012-03-20,89.23,89.99,89.23,89.85,200160,89.85
2012-03-21,89.71,90.26,89.63,89.77,332581,89.77
2012-03-22,89.47,90.8,89.21,90.36,278647,90.36
2012-03-23,90.21,90.47,89.01,90.04,177800,90.04
2012-03-26,90.62,91.76,90.56,91.51,237589,91.51
2012-03-27,91.38,91.62,90.67,91.27,186199,91.27
2012-03-28,91.08,91.08,90.05,90.69,208794,90.69
2012-03-29,90.29,90.59,89.82,90.56,330364,90.56
2012-03-30,91.02,91.785,90.5,91.35,453909,91.35
2012-04-02,91.19,93.09,91.09,92.86,401900,92.86
2012-04-03,93.1,94.25,92.84,93.65,452731,93.65
2012-04-04,92.79,93.25,91.93,92.86,323558,92.86
2012-04-05,92.89,93.41,92.35,92.65,309673,92.65
2012-04-09,92.12,93.28,91.73,93.03,348933,93.03
2012-04-10,92.88,92.91,91.2,91.47,394867,91.47
2012-04-11,92.06,93.86,92.06,93.82,351932,93.82
2012-04-12,94,94.41,93.44,94.28,280905,94.28
2012-04-13,93.95,94.75,93.94,94.35,285610,94.35
2012-04-16,94.53,95.15,93.86,94.76,349238,94.76
2012-04-17,95.25,95.78,94.58,95.54,255914,95.54
2012-04-18,95.49,97.02,95.37,96.92,234350,96.92
2012-04-19,96.43,96.74,95.52,95.99,323581,95.99
2012-04-20,96.35,96.89,95.89,96.45,337554,96.45
2012-04-23,95.9,95.94,94.46,95.35,285025,95.35
2012-04-24,96.5,98,93.34,95,523022,95
2012-04-25,95.71,96.72,95.09,96.62,409060,96.62
2012-04-26,100.99,104.79,97.52,102.64,1008475,102.64
2012-04-27,103.11,106.81,102.66,105.98,548360,105.98
2012-04-30,105.7,106.06,105.2,105.46,372097,105.46
2012-05-01,105.01,106.86,104.42,105.6,343512,105.6
2012-05-02,105.14,107.13,105.04,106.71,386854,106.71
2012-05-03,106.51,107.06,105.54,105.89,263319,105.89
2012-05-04,105.14,105.91,104.21,104.3,282298,104.3
2012-05-07,104.1,104.68,103.4,104.12,349770,104.12
2012-05-08,103.63,103.7,101,102.29,560633,102.29
2012-05-09,101.73,103.35,101.27,102.39,395318,102.39
2012-05-10,102.71,103.7,102.01,103.13,344043,103.13
2012-05-11,103.02,104.66,102.79,103.84,367752,103.84
