DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,30.63,30.73,30.39,30.43,951692,30.43
2012-01-04,30.49,30.49,29.99,30.23,1236165,30.23
2012-01-05,30.12,30.94,29.94,30.76,1253438,30.76
2012-01-06,30.91,30.91,30.44,30.82,936951,30.82
2012-01-09,30.94,31.17,30.85,31.16,922105,31.16
2012-01-10,31.22,31.44,31.05,31.1,1305787,31.1
2012-01-11,31.1,31.29,30.945,31.12,631751,31.12
2012-01-12,31.15,31.25,30.87,31.12,699542,31.12
2012-01-13,30.99,31.04,30.54,30.99,823715,30.99
2012-01-17,31.48,31.48,31.11,31.2,787576,31.2
2012-01-18,31.4,31.845,31.24,31.67,1428737,31.67
2012-01-19,31.85,32.47,31.79,32.33,1135202,32.33
2012-01-20,32.37,32.46,32.16,32.31,1085537,32.31
2012-01-23,32.35,32.39,31.93,32.25,564067,32.25
2012-01-24,32.24,32.415,32.01,32.36,685608,32.36
2012-01-25,32.28,32.51,32.13,32.45,809489,32.45
2012-01-26,32.59,32.66,32.35,32.56,884199,32.56
2012-01-27,32.58,32.73,32.11,32.19,927115,32.19
2012-01-30,31.65,31.71,31.37,31.57,1054568,31.57
2012-01-31,31.85,31.86,31.32,31.5,892134,31.5
2012-02-01,31.83,31.97,31.64,31.81,837495,31.81
2012-02-02,31.76,31.84,31.59,31.6,726054,31.6
2012-02-03,32.07,32.27,31.92,31.95,845251,31.95
2012-02-06,31.81,31.86,31.63,31.74,772872,31.74
2012-02-07,31.66,31.8,31.5,31.7,522182,31.7
2012-02-08,31.76,31.83,31.505,31.65,764167,31.65
2012-02-09,31.7,31.74,31.47,31.68,482473,31.68
2012-02-10,31.52,31.6,31.17,31.31,722718,31.31
2012-02-13,31.57,31.69,31.23,31.31,487310,31.31
2012-02-14,31.17,31.3,30.87,31.22,831284,31.22
2012-02-15,31.41,31.44,31.04,31.18,621646,31.18
2012-02-16,31.35,31.81,31.32,31.6,799213,31.6
2012-02-17,31.66,31.77,31.44,31.48,909217,31.48
2012-02-21,31.48,31.5,31.18,31.31,599506,31.31
2012-02-22,31.34,31.47,31.215,31.27,697032,31.27
2012-02-23,31.25,31.38,31.17,31.32,435468,31.32
2012-02-24,31.43,31.49,31.28,31.42,422550,31.42
2012-02-27,31.21,31.45,31.14,31.23,538032,31.23
2012-02-28,31.23,31.44,31.15,31.42,621154,31.42
2012-02-29,31.45,31.52,31.205,31.3,775550,31.3
2012-03-01,31.57,32.04,31.47,31.59,1100609,31.59
2012-03-02,31.52,31.74,31.18,31.3,1144172,31.3
2012-03-05,31.28,31.525,31.28,31.43,579624,31.43
2012-03-06,31.25,31.49,31,31.03,719455,31.03
2012-03-07,31.09,31.21,30.88,31.12,713363,31.12
2012-03-08,31.23,31.34,31.13,31.3,898108,31.3
2012-03-09,31.38,31.55,31.21,31.49,824712,31.49
2012-03-12,31.47,31.59,31.41,31.55,473175,31.55
2012-03-13,31.76,31.89,31.54,31.89,649207,31.89
2012-03-14,31.8,31.89,31.64,31.75,592000,31.75
2012-03-15,31.74,31.83,31.51,31.77,745188,31.77
2012-03-16,31.7,32,31.67,31.83,1432126,31.83
2012-03-19,31.74,31.97,31.58,31.87,475459,31.87
2012-03-20,31.8,31.84,31.69,31.82,654273,31.82
2012-03-21,31.85,32.1,31.77,31.95,570344,31.95
2012-03-22,31.7,32,31.69,31.96,707246,31.96
2012-03-23,31.92,31.98,31.66,31.74,401971,31.74
2012-03-26,32,32.24,31.92,32.13,676025,32.13
2012-03-27,32.22,32.23,32.02,32.1,432519,32.1
2012-03-28,32.1,32.14,31.86,31.98,682899,31.98
2012-03-29,31.65,31.91,31.26,31.35,1258304,31.35
2012-03-30,31.52,31.52,30.99,30.99,1245165,30.99
2012-04-02,30.87,31.84,30.79,31.76,1617127,31.76
2012-04-03,31.89,32.07,31.67,32.02,1867863,32.02
2012-04-04,31.69,31.73,31.31,31.52,914422,31.52
2012-04-05,31.42,31.57,31.35,31.55,1158325,31.55
2012-04-09,31.25,31.25,30.985,31.05,535262,31.05
2012-04-10,31.1,31.1,30.52,30.63,1011063,30.63
2012-04-11,30.96,30.985,30.76,30.96,721786,30.96
2012-04-12,31.06,31.24,30.86,31.22,634330,31.22
2012-04-13,31.17,31.18,30.82,30.83,559540,30.83
2012-04-16,30.88,31.06,30.73,30.94,668147,30.94
2012-04-17,31.1,31.29,31.07,31.18,894598,31.18
2012-04-18,31.16,31.16,30.84,30.97,690561,30.97
2012-04-19,30.92,30.99,30.61,30.77,975307,30.77
2012-04-20,30.89,31.04,30.73,30.76,1084807,30.76
2012-04-23,30.66,30.66,30.3,30.58,783997,30.58
2012-04-24,30.67,30.79,30.42,30.49,793471,30.49
2012-04-25,30.73,30.92,30.63,30.9,769239,30.9
2012-04-26,30.76,31.15,30.75,31.11,564942,31.11
2012-04-27,31.23,31.3,31.01,31.14,666505,31.14
2012-04-30,31.12,31.12,30.92,30.98,625161,30.98
2012-05-01,30.97,31.16,30.74,30.9,669172,30.9
2012-05-02,30.81,30.81,30.52,30.74,715551,30.74
2012-05-03,30.8,30.8,30.56,30.63,621686,30.63
2012-05-04,30.23,30.27,29.89,29.92,810574,29.92
2012-05-07,29.86,30,29.77,29.81,656898,29.81
2012-05-08,29.68,30.13,29.65,30.09,1160565,30.09
2012-05-09,29.77,30.15,29.59,29.91,1097861,29.91
2012-05-10,30.1,30.24,29.75,29.86,828762,29.86
2012-05-11,29.7,30.21,29.7,29.91,609081,29.91
2012-05-14,29.75,29.99,29.64,29.89,681201,29.89
2012-05-15,29.92,30.23,29.77,30.06,1064134,30.06
2012-05-16,30.14,30.39,30.07,30.26,1311629,30.26
2012-05-17,30.21,30.27,29.91,29.91,1445250,29.91
2012-05-18,30.03,30.03,29.365,29.42,1444542,29.42
2012-05-21,29.38,29.77,29.13,29.77,1246870,29.77
2012-05-22,29.83,30.06,29.61,29.9,776045,29.9
2012-05-23,29.77,30.265,29.6,30.19,1148331,30.19
2012-05-24,30.37,30.59,30.15,30.42,830599,30.42
2012-05-25,30.49,30.5,30.1,30.29,689420,30.29
2012-05-29,30.44,30.63,30.19,30.43,714730,30.43
2012-05-30,30.25,30.31,30.03,30.1,665859,30.1
2012-05-31,30.09,30.21,29.91,29.97,1600726,29.97
2012-06-01,29.49,29.73,29.15,29.28,1206185,29.28
2012-06-04,29.34,29.56,29.13,29.38,796534,29.38
2012-06-05,29.32,29.56,29.19,29.51,627863,29.51
2012-06-06,29.69,30.37,29.69,30.37,648521,30.37
2012-06-07,30.68,30.9,30.59,30.66,934192,30.66
2012-06-08,30.69,31.06,30.57,31.01,773218,31.01
2012-06-11,31.2,31.24,30.78,30.82,660961,30.82
2012-06-12,30.95,31.1,30.8,31.07,845744,31.07
2012-06-13,30.9,31.29,30.89,31.06,664050,31.06
2012-06-14,31.19,31.82,31.1,31.72,1197935,31.72
2012-06-15,31.78,32.105,31.67,32.03,1386739,32.03
2012-06-18,31.92,32.4,31.86,32.33,764767,32.33
2012-06-19,32.5,32.72,32.33,32.58,571103,32.58
2012-06-20,32.67,32.67,32.3,32.53,986873,32.53
2012-06-21,32.64,32.64,31.99,32.1,974628,32.1
2012-06-22,32.23,32.31,32.11,32.26,743725,32.26
2012-06-25,31.53,32,31.53,31.74,836532,31.74
2012-06-26,31.79,31.86,31.49,31.76,640951,31.76
2012-06-27,31.96,32.28,31.89,31.93,954484,31.93
2012-06-28,31.56,31.79,30.55,30.98,1910778,30.98
2012-06-29,31.48,31.58,31.17,31.41,1619348,31.41
2012-07-02,31.19,31.55,31.18,31.38,972780,31.38
2012-07-03,31.52,31.55,31.275,31.4,836656,31.4
2012-07-05,31.46,31.89,31.25,31.74,948699,31.74
2012-07-06,31.63,31.75,31.06,31.15,909931,31.15
2012-07-09,31.14,31.5,31.05,31.44,951462,31.44
2012-07-10,31.44,31.63,31.12,31.33,804829,31.33
2012-07-11,31.37,31.66,31.25,31.65,1059404,31.65
2012-07-12,31.44,31.68,31.17,31.5,1158131,31.5
2012-07-13,31.46,31.95,31.41,31.87,845303,31.87
2012-07-16,31.81,32.05,31.72,32.02,667826,32.02
2012-07-17,32.1,32.63,31.86,32.49,1144436,32.49
2012-07-18,32.65,33.4,32.5,33.19,1399493,33.19
2012-07-19,33.05,33.17,32.59,32.73,1061444,32.73
2012-07-20,32.73,32.74,32.4,32.42,1177496,32.42
2012-07-23,32.1,32.245,31.77,32.17,787006,32.17
2012-07-24,32.17,32.17,31.75,32,893369,32
2012-07-25,32.06,32.17,31.94,31.99,620373,31.99
2012-07-26,32.51,32.79,32.31,32.535,761606,32.535
2012-07-27,32.73,33.2,32.66,33.11,974401,33.11
2012-07-30,32.78,33,32.67,32.88,803099,32.88
2012-07-31,32.83,32.92,32.65,32.69,857713,32.69
2012-08-01,32.93,32.95,32.28,32.38,979878,32.38
2012-08-02,32.26,32.4,31.91,32.06,1252223,32.06
2012-08-03,32.6,32.79,32.56,32.61,702800,32.61
2012-08-06,32.76,32.81,32.395,32.43,589355,32.43
2012-08-07,32.66,32.73,32.31,32.56,560521,32.56
2012-08-08,32.64,32.995,32.6,32.92,518456,32.92
2012-08-09,32.94,32.97,32.75,32.92,390090,32.92
2012-08-10,32.84,33.22,32.77,33.18,509163,33.18
2012-08-13,33.03,33.16,32.92,33.14,392371,33.14
2012-08-14,33.23,33.23,32.93,32.97,531006,32.97
2012-08-15,33.07,33.08,32.81,32.85,653203,32.85
2012-08-16,32.99,33.335,32.97,33.28,642529,33.28
2012-08-17,33.37,33.37,33.04,33.24,652598,33.24
2012-08-20,33.22,33.23,32.68,32.77,580780,32.77
2012-08-21,32.89,33.035,32.76,32.9,698663,32.9
2012-08-22,32.84,32.98,32.71,32.86,547693,32.86
2012-08-23,32.83,33.02,32.68,32.98,530863,32.98
2012-08-24,32.93,33.22,32.87,33.19,441160,33.19
2012-08-27,33.17,33.33,33.1,33.23,438974,33.23
2012-08-28,33.12,33.31,33,33.23,399367,33.23
2012-08-29,33.15,33.31,32.985,33.24,416081,33.24
2012-08-30,33.18,33.31,32.995,33.2,620011,33.2
2012-08-31,33.4,33.42,32.99,33.26,837928,33.26
2012-09-04,33.13,33.505,32.87,33.47,467050,33.47
2012-09-05,33.51,33.62,33.22,33.5,556691,33.5
2012-09-06,33.7,34.23,33.65,34.22,578936,34.22
2012-09-07,34.23,34.34,34.15,34.22,463725,34.22
2012-09-10,34.12,34.27,34.105,34.13,410136,34.13
2012-09-11,34.13,34.24,34,34.11,420541,34.11
2012-09-12,33.89,34.04,33.6,33.72,1140603,33.72
2012-09-13,33.8,34.29,33.74,34.13,915132,34.13
2012-09-14,34.1,34.47,34.03,34.46,678435,34.46
2012-09-17,34.32,34.47,34.125,34.24,636399,34.24
2012-09-18,34.32,34.4,34.12,34.32,490538,34.32
2012-09-19,34.36,34.65,34.28,34.48,636356,34.48
2012-09-20,34.35,34.55,34.26,34.47,776929,34.47
