DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,13.1,13.2,12.9,12.95,1788265,12.95
2012-01-04,12.94,13.17,12.87,13.16,1129512,13.16
2012-01-05,13.09,13.35,12.96,13.21,1398520,13.21
2012-01-06,13.21,13.46,13.19,13.43,1570366,13.43
2012-01-09,13.5,13.655,13.365,13.41,1692972,13.41
2012-01-10,13.38,13.52,13.28,13.44,2269314,13.44
2012-01-11,13.43,13.44,13.2,13.41,1339099,13.41
2012-01-12,13.46,13.58,13.22,13.53,1167201,13.53
2012-01-13,13.44,13.71,13.38,13.66,1616761,13.66
2012-01-17,13.77,13.79,13.53,13.56,993584,13.56
2012-01-18,13.27,13.49,13.24,13.4,1074883,13.4
2012-01-19,13.4,13.47,13.305,13.39,1198722,13.39
2012-01-20,13.3,13.3,12.75,12.9,3504453,12.9
2012-01-23,12.96,13.02,12.78,12.9,978631,12.9
2012-01-24,12.8,12.84,12.76,12.77,873495,12.77
2012-01-25,12.77,12.91,12.73,12.73,1116554,12.73
2012-01-26,12.8,12.84,12.605,12.63,1454470,12.63
2012-01-27,12.6,12.76,12.58,12.72,1286640,12.72
2012-01-30,12.47,12.55,12.345,12.48,1578765,12.48
2012-01-31,12.58,12.62,12.29,12.33,2399778,12.33
2012-02-01,12.39,12.43,12.22,12.25,2144932,12.25
2012-02-02,12.34,12.4,12.2,12.28,1422855,12.28
2012-02-03,12.42,12.59,12.39,12.59,1403099,12.59
2012-02-06,12.52,12.58,12.44,12.5,1154544,12.5
2012-02-07,12.42,12.57,12.4,12.49,817245,12.49
2012-02-08,12.49,12.61,12.48,12.54,1071240,12.54
2012-02-09,12.58,12.66,12.49,12.52,1051276,12.52
2012-02-10,12.44,12.56,12.41,12.5,1224876,12.5
2012-02-13,12.6,12.67,12.51,12.56,1172859,12.56
2012-02-14,12.51,12.64,12.48,12.575,1551125,12.575
2012-02-15,12.68,12.71,12.55,12.61,1315568,12.61
2012-02-16,12.64,12.705,12.595,12.7,824785,12.7
2012-02-17,12.75,12.89,12.7,12.78,1048990,12.78
2012-02-21,12.79,12.88,12.69,12.76,866767,12.76
2012-02-22,12.72,12.83,12.385,12.39,1767387,12.39
2012-02-23,12.37,12.53,12.36,12.53,1005615,12.53
2012-02-24,12.55,12.55,12.43,12.46,855304,12.46
2012-02-27,12.45,12.635,12.4,12.6,1303695,12.6
2012-02-28,12.63,12.76,12.58,12.62,1394046,12.62
2012-02-29,12.64,12.74,12.57,12.59,1444723,12.59
2012-03-01,12.65,12.78,12.6,12.72,1304029,12.72
2012-03-02,12.75,12.78,12.65,12.72,1000938,12.72
2012-03-05,12.67,12.69,12.51,12.54,932376,12.54
2012-03-06,12.47,12.51,12.31,12.32,776185,12.32
2012-03-07,12.38,12.485,12.29,12.46,933619,12.46
2012-03-08,12.54,12.58,12.43,12.45,599467,12.45
2012-03-09,12.45,12.595,12.41,12.54,775479,12.54
2012-03-12,12.57,12.6,12.47,12.56,562377,12.56
2012-03-13,12.62,12.91,12.62,12.85,1152115,12.85
2012-03-14,12.9,13.01,12.72,12.955,1312415,12.955
2012-03-15,13,13.315,12.995,13.28,1516345,13.28
2012-03-16,13.3,13.42,13.19,13.3,2766154,13.3
2012-03-19,13.3,13.51,13.22,13.46,1107383,13.46
2012-03-20,13.36,13.58,13.35,13.41,896715,13.41
2012-03-21,13.43,13.44,13.18,13.25,838219,13.25
2012-03-22,13.17,13.25,13.08,13.19,1023098,13.19
2012-03-23,13.22,13.3,13.09,13.29,997790,13.29
2012-03-26,13.37,13.415,13.28,13.39,997989,13.39
2012-03-27,13.42,13.42,13.29,13.32,1206863,13.32
2012-03-28,13.3,13.4,13.225,13.35,1591019,13.35
2012-03-29,13.28,13.34,13.07,13.16,890206,13.16
2012-03-30,13.24,13.25,13.13,13.24,741500,13.24
