DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,37.04,37.45,36.68,36.86,359228,36.86
2012-01-04,36.71,36.72,36.34,36.64,274408,36.64
2012-01-05,36.53,37.41,36.38,37.39,447053,37.39
2012-01-06,37.39,37.65,37.14,37.47,425860,37.47
2012-01-09,37.56,37.66,37.33,37.51,488095,37.51
2012-01-10,37.65,38.05,37.65,37.89,420086,37.89
2012-01-11,37.83,38.57,37.83,38.49,283799,38.49
2012-01-12,38.57,39.07,38.53,38.79,476825,38.79
2012-01-13,38.64,38.96,38.56,38.81,370421,38.81
2012-01-17,39.23,39.3,38.78,38.82,318171,38.82
2012-01-18,38.81,39.32,38.8,39.32,283888,39.32
2012-01-19,39.37,39.99,39.36,39.86,379609,39.86
2012-01-20,39.91,39.95,39.4,39.8,583194,39.8
2012-01-23,39.96,39.98,39.29,39.67,327462,39.67
2012-01-24,39.43,39.95,39.31,39.73,354552,39.73
2012-01-25,39.58,40.04,39.45,40.03,275066,40.03
2012-01-26,40.1,40.69,40.01,40.36,338083,40.36
2012-01-27,40.18,40.54,40.14,40.47,374148,40.47
2012-01-30,40.2,40.2,39.88,40.08,347637,40.08
2012-01-31,39.02,39.08,38.44,38.78,863209,38.78
2012-02-01,38.98,39,38.11,38.94,497687,38.94
2012-02-02,39,39.29,38.88,39.04,329035,39.04
2012-02-03,39.51,39.71,39.32,39.68,527632,39.68
2012-02-06,39.63,40.04,39.6,39.88,351289,39.88
2012-02-07,39.64,39.78,39.39,39.51,234971,39.51
2012-02-08,39.5,39.68,39.34,39.56,201988,39.56
2012-02-09,39.63,39.68,39.2,39.35,255771,39.35
2012-02-10,39.14,39.39,39,39.18,337252,39.18
2012-02-13,39.38,39.66,39.31,39.66,216024,39.66
2012-02-14,39.59,39.59,39.09,39.47,334780,39.47
2012-02-15,39.05,39.06,38.44,38.48,400366,38.48
2012-02-16,38.53,38.89,38.5,38.85,398575,38.85
2012-02-17,38.95,38.95,38.62,38.9,392273,38.9
2012-02-21,38.93,38.93,38.4,38.6,314890,38.6
2012-02-22,38.59,38.68,38.2,38.45,336874,38.45
2012-02-23,38.48,38.92,38.42,38.92,268454,38.92
2012-02-24,38.85,39.25,38.78,39.05,226352,39.05
2012-02-27,38.95,39.32,38.65,39.2,250949,39.2
2012-02-28,39.3,39.46,39.05,39.15,268587,39.15
2012-02-29,39.15,39.4,39.09,39.16,395466,39.16
2012-03-01,39.17,39.46,39.17,39.44,261549,39.44
2012-03-02,39.48,39.76,39.4,39.62,210018,39.62
2012-03-05,39.65,39.83,39.45,39.78,227815,39.78
2012-03-06,39.5,39.65,39.34,39.46,317271,39.46
2012-03-07,39.58,39.58,39.2,39.52,240217,39.52
2012-03-08,39.7,39.79,39.52,39.79,223946,39.79
2012-03-09,39.8,40.44,39.7,40.2,249184,40.2
2012-03-12,40.19,40.59,40.19,40.55,295691,40.55
2012-03-13,40.64,41.3,40.64,41.3,369984,41.3
2012-03-14,41.28,41.4,40.77,41.34,451555,41.34
2012-03-15,41.3,41.47,41.1,41.44,313219,41.44
2012-03-16,41.44,41.48,41.31,41.43,536483,41.43
2012-03-19,41.41,41.67,41.24,41.56,221521,41.56
2012-03-20,41.28,41.57,41.28,41.52,216905,41.52
2012-03-21,41.53,41.56,41.29,41.42,179488,41.42
2012-03-22,41.3,41.39,40.98,41.36,200513,41.36
2012-03-23,41.33,41.42,40.93,41.2,300107,41.2
2012-03-26,41.51,41.74,41.22,41.51,266823,41.51
2012-03-27,41.61,41.73,41.4,41.45,232215,41.45
2012-03-28,41.43,41.68,41.26,41.68,245142,41.68
2012-03-29,41.5,41.59,41.18,41.52,220445,41.52
2012-03-30,41.72,41.86,41.55,41.56,395750,41.56
2012-04-02,41.61,41.97,41.6,41.94,346164,41.94
2012-04-03,41.95,41.99,41.57,41.64,290326,41.64
2012-04-04,41.4,41.62,41.2,41.49,223428,41.49
2012-04-05,41.36,41.58,41.29,41.55,219929,41.55
2012-04-09,41.16,41.23,40.87,41.07,224609,41.07
2012-04-10,41.02,41.17,40.31,40.4,310151,40.4
