DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,167.46,169.58,167.28,168.86,207984,168.86
2012-01-04,168.14,169.21,167.35,168.94,130484,168.94
2012-01-05,168.24,169.42,166.49,168.92,142646,168.92
2012-01-06,168.68,169.93,168.13,169.63,131895,169.63
2012-01-09,170,170.56,168.2,170.54,170551,170.54
2012-01-10,171.47,175.47,171.3,175.16,186842,175.16
2012-01-11,175,175,173.18,173.76,184317,173.76
2012-01-12,174.22,174.39,171.5,172.43,235199,172.43
2012-01-13,171.34,171.56,169.74,170.5,293026,170.5
2012-01-17,172.31,174.55,171.61,173.35,189574,173.35
2012-01-18,172.55,174.8,172.55,174.59,151207,174.59
2012-01-19,175,177.55,174.55,177.31,129079,177.31
2012-01-20,177.58,177.58,174.79,177.16,239308,177.16
2012-01-23,177.3,179.45,175.55,175.73,153835,175.73
2012-01-24,174.67,174.68,173.64,174.09,260977,174.09
2012-01-25,173.32,177.52,172.95,176.28,198296,176.28
2012-01-26,172.81,176.31,166.07,166.34,565687,166.34
2012-01-27,165.56,168.24,162.4,166.52,462505,166.52
2012-01-30,165.02,165.42,163.58,164.68,334895,164.68
2012-01-31,165.43,165.83,162.21,163.68,217631,163.68
2012-02-01,165.91,168.58,165.41,166.45,203561,166.45
2012-02-02,166.43,167.38,164.9,166.9,210023,166.9
2012-02-03,168.47,172.49,167.67,171.91,247491,171.91
2012-02-06,170.71,171.98,169.14,169.73,182223,169.73
2012-02-07,169.58,170.44,168.68,169.71,147999,169.71
2012-02-08,169.31,171.97,169.1,171.72,162595,171.72
2012-02-09,171.7,173.12,170.11,170.32,174000,170.32
2012-02-10,169.11,169.5,167.91,168.4,168295,168.4
2012-02-13,169.99,171.1,168.28,170.93,164330,170.93
2012-02-14,169.66,171.24,168.58,170.26,111387,170.26
2012-02-15,170.52,171.39,167.69,168.34,141517,168.34
2012-02-16,168.34,168.5,165,166.94,222841,166.94
2012-02-17,167.73,167.73,165.5,167.51,243088,167.51
2012-02-21,168.11,168.66,167.21,167.53,101310,167.53
2012-02-22,167,167.61,165.78,167.57,139202,167.57
2012-02-23,167.36,167.44,165.94,167.11,167579,167.11
2012-02-24,167.49,170.86,167.49,168.77,138548,168.77
2012-02-27,167.42,169.7,166.24,167.94,124292,167.94
2012-02-28,168.4,168.8,166.6,167.72,80109,167.72
2012-02-29,167.9,169.69,167.25,167.43,222126,167.43
2012-03-01,167.64,169.52,167.64,168.23,206706,168.23
2012-03-02,167.97,168.66,166.27,167.33,111864,167.33
2012-03-05,167.12,167.44,164.85,167.14,149851,167.14
2012-03-06,165.02,167.21,164.8,165.26,186610,165.26
2012-03-07,165.85,166.46,164.61,164.99,182592,164.99
2012-03-08,166.88,173.09,166.88,171.55,263459,171.55
2012-03-09,171.81,175.15,171.56,174.47,262896,174.47
2012-03-12,174.16,174.47,171.81,172.15,166223,172.15
2012-03-13,173,175.96,171.62,175.8,192914,175.8
2012-03-14,175.8,176.36,174.2,175.73,128567,175.73
2012-03-15,175.58,175.58,173.89,175.41,185076,175.41
2012-03-16,175.42,176.32,175.1,175.53,435807,175.53
2012-03-19,174.9,176.18,174.59,175.54,98298,175.54
2012-03-20,174.51,174.51,172.27,173.01,161175,173.01
2012-03-21,173.39,173.74,171.97,172.7,114907,172.7
2012-03-22,171.13,171.52,169.3,170.81,110372,170.81
2012-03-23,170.78,172.49,170.41,172.3,138076,172.3
2012-03-26,173.64,176.53,173.64,176.24,169674,176.24
2012-03-27,176.18,176.71,174.74,174.99,156031,174.99
2012-03-28,174.37,175.07,172.39,173.36,119612,173.36
2012-03-29,171.99,172.59,169.88,171.83,165863,171.83
2012-03-30,173.52,174.84,172.88,172.9,355341,172.9
2012-04-02,172.41,175.41,172,174.58,187534,174.58
2012-04-03,174.09,174.51,171.24,172.69,217403,172.69
2012-04-04,171.03,172.7,170.03,171.78,171858,171.78
2012-04-05,171.14,172.04,170.12,170.19,217610,170.19
2012-04-09,167.2,168.33,166.95,167.62,220453,167.62
2012-04-10,167.2,167.2,163.19,163.47,303111,163.47
2012-04-11,165.13,169.17,165.02,168.2,318979,168.2
2012-04-12,168.27,171.8,168.09,171.24,234355,171.24
2012-04-13,170.77,171.28,169.5,169.95,160348,169.95
2012-04-16,169.89,171.62,169.5,170.02,164075,170.02
2012-04-17,171.35,174.15,170.17,173.05,153266,173.05
2012-04-18,172.09,173.65,171.75,173.1,139146,173.1
2012-04-19,172.98,173.43,171.26,172.08,197677,172.08
2012-04-20,173.22,174.83,172.49,173.9,332309,173.9
