DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,29.96,30.17,29.73,30,212916,30
2012-01-04,29.87,29.9,29.42,29.49,172059,29.49
2012-01-05,29.28,29.45,29.01,29.33,278575,29.33
2012-01-06,29.38,29.7,29.14,29.58,203377,29.58
2012-01-09,29.5,29.66,29.31,29.6,217616,29.6
2012-01-10,29.82,29.93,29.63,29.67,192247,29.67
2012-01-11,29.66,30.48,29.56,30.43,246662,30.43
2012-01-12,30.55,31.1,30.54,31,356362,31
2012-01-13,30.73,30.96,30.19,30.26,297498,30.26
2012-01-17,30.56,30.91,30.4,30.48,301238,30.48
2012-01-18,29.56,30.95,29.27,30.35,413490,30.35
2012-01-19,30.43,31.26,30.39,31.08,227953,31.08
2012-01-20,31.18,31.57,31.11,31.355,304516,31.355
2012-01-23,31.49,31.86,31.39,31.61,201427,31.61
2012-01-24,31.53,32.08,31.36,31.97,244888,31.97
2012-01-25,31.9,32.36,31.52,32.1,448200,32.1
2012-01-26,32.18,32.25,31.98,32.09,252724,32.09
2012-01-27,32.02,32.26,31.92,32.13,191825,32.13
2012-01-30,31.89,32.02,31.62,31.92,130811,31.92
2012-01-31,32.12,32.49,31.92,32.21,198156,32.21
2012-02-01,32.5,32.68,32.41,32.55,302820,32.55
2012-02-02,32.54,32.54,32.2,32.31,118908,32.31
2012-02-03,32.69,32.87,32.61,32.64,203070,32.64
2012-02-06,32.45,32.48,32.28,32.36,140872,32.36
2012-02-07,32.29,32.45,32.16,32.34,176042,32.34
2012-02-08,32.3,32.44,32.13,32.22,194605,32.22
2012-02-09,32.25,32.29,32.025,32.09,134540,32.09
2012-02-10,31.85,32.01,31.62,31.82,201115,31.82
2012-02-13,32.04,32.13,31.89,32,199788,32
2012-02-14,32.07,32.53,32.07,32.44,246474,32.44
2012-02-15,32.56,32.63,32.4,32.57,185039,32.57
2012-02-16,32.6,33.28,32.6,33.23,238003,33.23
2012-02-17,33.39,33.51,32.9,33.04,207174,33.04
2012-02-21,33.1,33.45,32.89,33.04,118293,33.04
2012-02-22,33.1,33.21,32.7,32.8,179748,32.8
2012-02-23,31.79,33.04,31.52,32.19,480233,32.19
2012-02-24,32.17,32.49,32.02,32.14,259442,32.14
2012-02-27,32.05,32.29,31.86,32.06,183417,32.06
2012-02-28,32.11,32.48,32.11,32.26,197508,32.26
2012-02-29,32.26,32.43,31.81,31.92,255029,31.92
2012-03-01,31.94,31.98,31.34,31.43,324927,31.43
2012-03-02,31.43,31.48,30.96,31.03,358734,31.03
2012-03-05,31.07,31.31,30.73,30.81,362521,30.81
2012-03-06,30.66,30.7,30.47,30.58,249200,30.58
2012-03-07,30.59,30.73,30.45,30.54,190567,30.54
2012-03-08,30.81,31.01,30.73,30.96,236420,30.96
2012-03-09,30.96,31.12,30.91,31.04,274267,31.04
2012-03-12,30.93,31.18,30.8,31,270428,31
2012-03-13,31.11,31.53,31.05,31.49,302796,31.49
2012-03-14,31.54,32.11,31.51,32.05,328064,32.05
2012-03-15,32.14,32.31,31.96,32.27,237641,32.27
2012-03-16,32.38,32.49,32.29,32.36,345548,32.36
2012-03-19,32.21,32.48,32.19,32.34,122386,32.34
2012-03-20,32.28,32.32,32.01,32.07,141538,32.07
2012-03-21,32.09,32.16,31.93,32,175756,32
2012-03-22,31.74,32,31.66,31.8,127757,31.8
2012-03-23,31.77,31.89,31.69,31.75,126119,31.75
2012-03-26,31.94,32.58,31.94,32.54,218286,32.54
