DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,33.2,33.25,31.77,31.81,1371226,31.81
2012-01-04,31.82,32.02,31.63,31.66,868092,31.66
2012-01-05,31.6,32.05,31.44,32,750953,32
2012-01-06,32.07,32.11,31.64,31.87,696137,31.87
2012-01-09,31.87,31.94,31.53,31.64,604761,31.64
2012-01-10,31.91,31.93,31.55,31.57,870259,31.57
2012-01-11,31.52,31.6,31.11,31.15,1158309,31.15
2012-01-12,31.26,31.37,31.03,31.17,660862,31.17
2012-01-13,31.02,31.1,30.67,30.9,1084886,30.9
2012-01-17,31.26,31.29,30.6,30.69,909083,30.69
2012-01-18,30.72,30.8,30.38,30.51,844186,30.51
2012-01-19,30.5,30.59,30.19,30.25,852729,30.25
2012-01-20,30.25,30.34,29.97,30.2,1199063,30.2
2012-01-23,30.33,30.92,30.31,30.81,933304,30.81
2012-01-24,30.7,30.74,30.3,30.36,654803,30.36
2012-01-25,30.2,30.99,30,30.93,1346474,30.93
2012-01-26,31,31.35,30.83,31.13,920284,31.13
2012-01-27,31.11,31.13,30.28,30.33,1009401,30.33
2012-01-30,30.2,30.3,30.02,30.21,828640,30.21
2012-01-31,30.32,30.45,30.12,30.34,1296464,30.34
2012-02-01,30.43,30.47,30.18,30.35,830921,30.35
2012-02-02,30.39,30.4,29.82,30,1220865,30
2012-02-03,30.25,30.31,29.98,30.27,803339,30.27
2012-02-06,30.16,30.25,30.09,30.23,455694,30.23
2012-02-07,30.23,30.71,30.03,30.61,612948,30.61
2012-02-08,30.62,30.92,30.52,30.87,619275,30.87
2012-02-09,30.86,30.9,30.17,30.38,1077335,30.38
2012-02-10,30.25,30.51,30.16,30.51,924845,30.51
2012-02-13,30.66,30.74,30.42,30.67,633449,30.67
2012-02-14,30.58,30.78,30.38,30.78,863523,30.78
2012-02-15,30.78,30.87,30.53,30.66,629739,30.66
2012-02-16,30.7,31.4,30.7,31.35,855550,31.35
2012-02-17,31.58,31.6,31.24,31.33,903777,31.33
2012-02-21,31.35,31.39,30.71,30.92,1007732,30.92
2012-02-22,30.81,31.12,30.77,30.96,831880,30.96
2012-02-23,30.87,30.94,30.45,30.5,887547,30.5
2012-02-24,30.5,30.58,30.33,30.43,720434,30.43
2012-02-27,30.43,30.72,30.26,30.68,830306,30.68
2012-02-28,30.52,30.68,30.41,30.65,1016157,30.65
2012-02-29,30.65,30.98,30.46,30.78,1027857,30.78
2012-03-01,30.86,31.1,30.66,30.8,785462,30.8
2012-03-02,30.85,31.16,30.82,31.03,768331,31.03
2012-03-05,31.05,31.07,30.6,30.96,830563,30.96
2012-03-06,30.84,30.9,30.38,30.62,1002576,30.62
2012-03-07,30.3,30.44,30.11,30.24,758264,30.24
2012-03-08,30.35,30.63,30.29,30.52,568074,30.52
2012-03-09,30.61,30.67,30.21,30.29,816420,30.29
2012-03-12,30.3,30.55,30.23,30.5,715928,30.5
2012-03-13,30.59,30.63,30.28,30.49,734540,30.49
2012-03-14,30.49,30.55,30.04,30.1,640093,30.1
2012-03-15,30.09,30.36,29.91,30.13,793712,30.13
2012-03-16,30.07,30.18,29.9,30.12,1494512,30.12
2012-03-19,30.02,30.31,29.95,29.98,608188,29.98
2012-03-20,29.72,29.85,29.59,29.78,918837,29.78
2012-03-21,29.8,29.87,29.67,29.78,961251,29.78
2012-03-22,29.65,29.84,29.6,29.81,707537,29.81
2012-03-23,29.82,29.99,29.63,29.67,822640,29.67
2012-03-26,29.87,30,29.75,29.98,1133334,29.98
2012-03-27,30.03,30.35,29.98,30.24,913343,30.24
2012-03-28,30.25,30.39,29.95,30.11,807805,30.11
2012-03-29,29.97,30.28,29.76,30.25,861389,30.25
2012-03-30,30.51,30.63,30.31,30.61,903419,30.61
2012-04-02,30.6,30.75,30.38,30.62,942201,30.62
2012-04-03,30.65,30.65,30.11,30.39,820700,30.39
2012-04-04,30.19,30.37,30.12,30.21,783175,30.21
2012-04-05,30.09,30.13,29.58,29.71,996099,29.71
2012-04-09,29.5,29.64,29.42,29.53,879532,29.53
2012-04-10,29.44,29.44,28.92,29.09,1138527,29.09
2012-04-11,29.32,29.45,29.27,29.36,963059,29.36
2012-04-12,29.41,29.5,29.25,29.41,766756,29.41
2012-04-13,29.41,29.99,29.37,29.69,1232211,29.69
2012-04-16,29.79,30.19,29.78,30.02,824778,30.02
2012-04-17,30.11,30.36,29.8,30.32,901097,30.32
2012-04-18,30.22,30.43,30.06,30.1,854643,30.1
2012-04-19,29.99,30.26,29.96,30.08,1013113,30.08
2012-04-20,30.16,30.5,30.02,30.41,1029166,30.41
2012-04-23,30.25,30.38,30.16,30.35,571205,30.35
2012-04-24,30.41,30.59,30.31,30.4,618104,30.4
2012-04-25,30.5,30.59,30.35,30.55,513827,30.55
2012-04-26,30.55,31,30.5,30.95,638812,30.95
2012-04-27,31,31.22,30.89,31.19,708751,31.19
2012-04-30,31.16,31.17,30.92,31.15,956770,31.15
2012-05-01,31.22,31.5,31.14,31.47,728414,31.47
2012-05-02,31.47,31.89,31.18,31.39,815534,31.39
2012-05-03,31.36,31.81,31.28,31.5,1013856,31.5
2012-05-04,31.43,31.74,31.4,31.64,696283,31.64
2012-05-07,31.45,31.56,31.24,31.43,587252,31.43
2012-05-08,31.32,31.46,31.14,31.32,785867,31.32
2012-05-09,31.2,31.8,31.13,31.51,928437,31.51
2012-05-10,31.65,32.02,31.47,31.99,736492,31.99
2012-05-11,31.9,32.17,31.76,32.02,650725,32.02
2012-05-14,31.88,31.98,31.73,31.82,583954,31.82
2012-05-15,31.75,31.89,31.53,31.64,683907,31.64
2012-05-16,31.75,31.83,31.52,31.62,559011,31.62
2012-05-17,31.68,31.86,31.59,31.64,516432,31.64
2012-05-18,31.77,31.99,31.58,31.68,1441250,31.68
2012-05-21,31.6,31.61,30.77,30.98,1410575,30.98
2012-05-22,30.98,31.11,30.83,30.93,815240,30.93
2012-05-23,30.91,30.96,30.52,30.7,654635,30.7
2012-05-24,30.74,30.97,30.45,30.67,824664,30.67
2012-05-25,30.67,30.89,30.4,30.47,816120,30.47
2012-05-29,30.6,30.87,30.47,30.78,909516,30.78
2012-05-30,30.68,30.93,30.61,30.75,954609,30.75
2012-05-31,30.74,31.38,30.74,31.19,1255901,31.19
2012-06-01,31,31.44,30.97,31.2,1097106,31.2
2012-06-04,31.22,31.24,31.04,31.21,640959,31.21
2012-06-05,31.18,31.51,31.12,31.31,623200,31.31
