DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,66.98,67.19,66.36,66.4,1548174,66.4
2012-01-04,66.4,66.83,66.12,66.74,1749957,66.74
2012-01-05,66.67,66.67,66.12,66.22,1281251,66.22
2012-01-06,66.15,66.2,65.29,65.39,1740387,65.39
2012-01-09,65.22,65.82,65.01,65.73,1435184,65.73
2012-01-10,66,66.01,65.48,65.66,1069857,65.66
2012-01-11,65.09,65.17,64.13,65.01,2272532,65.01
2012-01-12,65.17,65.17,64.47,64.62,1539009,64.62
2012-01-13,64.5,64.71,64.3,64.4,2012971,64.4
2012-01-17,64.9,65.09,64.6,64.65,1723958,64.65
2012-01-18,64.78,65.07,64.51,64.85,1225890,64.85
2012-01-19,65.2,66.05,65.06,65.91,1972344,65.91
2012-01-20,66.05,66.41,65.57,66.28,2274803,66.28
2012-01-23,65.89,66.14,65.41,66.1,1374298,66.1
2012-01-24,66,66.32,65.94,66.2,1218547,66.2
2012-01-25,65.89,66.8,65.69,66.7,1226179,66.7
2012-01-26,66.62,66.96,66.36,66.52,1288412,66.52
2012-01-27,66.25,66.42,65.67,65.81,1667611,65.81
2012-01-30,65.51,65.6,65.16,65.41,1592001,65.41
2012-01-31,65.5,65.69,65.28,65.67,1782684,65.67
2012-02-01,65.86,66.5,65.86,66.38,1274839,66.38
2012-02-02,66.6,66.7,66.21,66.4,1508118,66.4
2012-02-03,66.84,66.89,66.31,66.66,1479637,66.66
2012-02-06,66.39,66.75,66.13,66.52,1118398,66.52
2012-02-07,66.22,66.98,66.16,66.76,1096424,66.76
2012-02-08,66.71,66.92,66.48,66.74,1232147,66.74
2012-02-09,64.75,64.9,63.81,64.27,4780736,64.27
2012-02-10,64.06,64.19,63.63,63.95,2189105,63.95
2012-02-13,64.01,64.17,63.38,63.69,1899637,63.69
2012-02-14,63.47,63.98,63.29,63.52,2161059,63.52
2012-02-15,63.5,63.6,62.92,63.07,1863216,63.07
2012-02-16,63.2,63.3,62.73,62.73,2129577,62.73
2012-02-17,62.44,62.76,62.33,62.68,4015004,62.68
2012-02-21,63.02,63.39,62.97,63.14,1404042,63.14
2012-02-22,63.2,63.29,63,63.1,1140380,63.1
2012-02-23,63.16,63.24,62.83,63.13,1412575,63.13
2012-02-24,63.29,63.52,63.16,63.31,945995,63.31
2012-02-27,63.25,63.75,63.05,63.32,1020927,63.32
2012-02-28,63.5,63.67,63.03,63.32,1198974,63.32
2012-02-29,62.93,63.13,62.82,62.94,2115353,62.94
2012-03-01,63.01,63.02,62.44,62.55,1494686,62.55
2012-03-02,62.5,62.67,62.4,62.52,1231798,62.52
2012-03-05,62.5,62.97,62.43,62.79,1141360,62.79
2012-03-06,62.41,62.81,62.22,62.28,1684916,62.28
2012-03-07,62.28,62.74,62.15,62.62,1737559,62.62
2012-03-08,62.89,63.12,62.74,62.95,887722,62.95
2012-03-09,62.96,63.32,62.9,63.15,1005348,63.15
2012-03-12,63.29,64.05,63.02,63.94,1523455,63.94
2012-03-13,64.32,64.57,64.11,64.34,1459396,64.34
2012-03-14,64.2,64.63,63.95,64.06,1855239,64.06
2012-03-15,63.95,64.34,63.8,64.17,1265538,64.17
2012-03-16,64.27,64.5,64.19,64.47,4489683,64.47
2012-03-19,64.27,64.88,64.27,64.73,1185759,64.73
2012-03-20,64.41,65.56,64.35,65.28,1394705,65.28
2012-03-21,65.28,65.58,65.05,65.36,1387125,65.36
2012-03-22,65.1,65.56,65.04,65.39,1166964,65.39
2012-03-23,65.43,65.76,65.29,65.3,1123542,65.3
2012-03-26,65.57,65.8,65.48,65.78,1445246,65.78
2012-03-27,65.83,66.19,65.62,66.01,1272540,66.01
2012-03-28,65.97,66.01,65.6,65.93,1163743,65.93
2012-03-29,65.74,66.02,65.53,66.02,1653414,66.02
2012-03-30,66.37,66.5,66.04,66.35,1848432,66.35
2012-04-02,66.32,66.75,66.21,66.74,1495134,66.74
2012-04-03,66.54,66.82,66.33,66.56,1138565,66.56
2012-04-04,66.2,66.51,66.15,66.34,961611,66.34
2012-04-05,66.04,66.19,65.7,66.15,1230227,66.15
2012-04-09,65.68,65.69,65.25,65.35,1296749,65.35
2012-04-10,65.09,65.35,64.79,64.85,1100072,64.85
2012-04-11,65.11,65.42,64.96,65.15,1084930,65.15
2012-04-12,65.13,65.49,64.65,65.38,1201113,65.38
2012-04-13,65.35,65.5,65.06,65.06,1522780,65.06
2012-04-16,65.24,66.39,65.24,65.99,1699099,65.99
2012-04-17,66.33,66.65,66.03,66.4,1530852,66.4
2012-04-18,66.1,66.31,66.06,66.21,1203445,66.21
2012-04-19,66.2,66.36,66,66.15,1577492,66.15
2012-04-20,66.18,66.74,66.1,66.63,2538824,66.63
2012-04-23,66.28,66.45,66.03,66.18,1070463,66.18
2012-04-24,66.3,66.84,66.27,66.51,1095739,66.51
2012-04-25,66.55,66.86,66.51,66.67,1420772,66.67
2012-04-26,66.53,66.77,66.22,66.37,1724014,66.37
2012-04-27,66.64,66.69,66.09,66.1,1204340,66.1
2012-04-30,65.97,66.24,65.78,66,1308790,66
2012-05-01,65.87,66.73,65.78,66.49,1614655,66.49
