DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,25.43,25.76,25.26,25.26,767638,25.26
2012-01-04,25.06,25.11,24.64,24.93,510155,24.93
2012-01-05,24.82,25.18,24.35,24.92,592101,24.92
2012-01-06,24.83,24.94,24.47,24.47,942735,24.47
2012-01-09,24.25,24.88,24.25,24.81,582161,24.81
2012-01-10,25.36,26.13,25.29,25.97,785987,25.97
2012-01-11,25.83,26.13,25.73,26.06,445672,26.06
2012-01-12,26.3,26.46,25.85,26.26,429704,26.26
2012-01-13,26.25,26.27,25.34,26.1,717007,26.1
2012-01-17,26.56,26.65,26.25,26.39,681219,26.39
2012-01-18,26.24,26.93,26.05,26.75,661599,26.75
2012-01-19,26.98,27.01,26.53,26.99,725527,26.99
2012-01-20,27.01,27.22,26.96,27.07,705815,27.07
2012-01-23,27.09,27.65,27.09,27.3,380537,27.3
2012-01-24,26.97,27.42,26.97,27.37,554568,27.37
2012-01-25,27.21,27.33,26.82,27.29,634293,27.29
2012-01-26,27.49,27.58,26.98,27.19,671267,27.19
2012-01-27,26.95,27.66,26.95,27.54,697390,27.54
2012-01-30,27.11,27.49,26.88,27.31,493912,27.31
2012-01-31,27.63,27.68,27.1,27.31,834569,27.31
2012-02-01,27.73,28.07,27.46,27.91,663060,27.91
2012-02-02,27.89,27.89,27.29,27.47,836624,27.47
2012-02-03,27.5,28.32,27.13,27.5,1299735,27.5
2012-02-06,27.38,27.41,26.85,26.95,642350,26.95
2012-02-07,26.8,27.07,26.63,26.87,650106,26.87
2012-02-08,26.87,26.99,26.66,26.73,842325,26.73
2012-02-09,26.87,27.19,26.66,26.94,742133,26.94
2012-02-10,26.51,26.6,26.1,26.21,1035238,26.21
2012-02-13,26.59,26.82,26.36,26.43,731618,26.43
2012-02-14,26.29,26.47,26.12,26.42,820388,26.42
2012-02-15,26.53,26.82,26.4,26.5,576895,26.5
2012-02-16,26.5,27.36,26.32,27.32,456527,27.32
2012-02-17,27.52,27.52,27.2,27.4,585916,27.4
2012-02-21,27.49,27.83,27.31,27.49,376646,27.49
2012-02-22,27.32,27.49,26.95,27.01,347011,27.01
2012-02-23,27.36,28.04,27.27,27.89,645456,27.89
2012-02-24,27.96,28.09,27.79,27.85,403244,27.85
2012-02-27,27.52,27.75,27.36,27.46,398637,27.46
2012-02-28,27.48,27.67,27.31,27.56,470209,27.56
2012-02-29,27.49,27.94,27.49,27.66,806265,27.66
2012-03-01,27.66,28.16,27.59,27.99,510718,27.99
2012-03-02,27.84,27.94,27.5,27.58,399950,27.58
2012-03-05,27.55,27.73,27.41,27.53,407707,27.53
2012-03-06,27.28,27.28,26.44,26.44,1009731,26.44
2012-03-07,26.44,26.73,26.27,26.73,626584,26.73
2012-03-08,26.9,26.94,26.37,26.58,656720,26.58
2012-03-09,26.6,27.32,26.6,27.14,529492,27.14
2012-03-12,27.21,27.27,26.95,27.22,380654,27.22
2012-03-13,27.45,28.2,27.4,28.15,619968,28.15
2012-03-14,28.23,28.79,28.13,28.55,844156,28.55
2012-03-15,28.58,29.67,28.51,29.64,951959,29.64
2012-03-16,29.64,29.71,29.01,29.17,1003178,29.17
2012-03-19,29.26,29.46,29.04,29.1,497705,29.1
2012-03-20,28.93,29.14,28.65,28.87,413422,28.87
2012-03-21,28.88,29.1,28.74,28.95,452240,28.95
2012-03-22,28.64,29,28.64,28.89,635549,28.89
2012-03-23,28.89,29.22,28.68,29.12,439361,29.12
2012-03-26,29.43,29.71,29.35,29.68,488727,29.68
2012-03-27,29.76,29.83,29.45,29.46,445381,29.46
2012-03-28,29.42,29.54,29.04,29.47,539531,29.47
2012-03-29,29.14,29.2,28.63,29.01,490893,29.01
2012-03-30,29.28,29.6,28.98,29.51,633929,29.51
2012-04-02,29.47,29.95,29.22,29.93,533814,29.93
2012-04-03,29.74,29.83,29.15,29.18,717013,29.18
2012-04-04,28.9,29.24,28.86,29.05,577559,29.05
2012-04-05,28.9,29.37,28.88,29.3,533395,29.3
2012-04-09,28.59,28.59,28.2,28.23,506075,28.23
2012-04-10,28.19,28.25,27.31,27.32,665260,27.32
2012-04-11,27.76,27.78,27.31,27.39,500289,27.39
2012-04-12,27.55,28.51,27.45,28.49,434662,28.49
2012-04-13,28.43,28.43,27.7,27.71,496078,27.71
2012-04-16,27.76,27.98,27.51,27.84,458895,27.84
2012-04-17,28.19,28.45,27.93,28.4,386201,28.4
2012-04-18,28.15,28.42,28.04,28.26,448277,28.26
2012-04-19,28.5,28.67,28.09,28.26,584356,28.26
2012-04-20,28.56,28.56,28.05,28.16,635957,28.16
2012-04-23,27.6,27.8,27.34,27.76,388241,27.76
2012-04-24,27.84,28.39,27.69,28.26,599361,28.26
2012-04-25,28.52,28.86,28.4,28.72,528463,28.72
2012-04-26,28.56,29.25,28.53,29.19,470373,29.19
2012-04-27,26.01,28.49,26.01,27.69,1304586,27.69
2012-04-30,27.54,27.96,27.5,27.67,663799,27.67
2012-05-01,27.66,28.22,27.48,27.77,677802,27.77
2012-05-02,27.55,27.66,27.12,27.42,622783,27.42
2012-05-03,27.5,27.5,26.48,26.73,977992,26.73
2012-05-04,26.56,26.61,25.97,26.09,465604,26.09
2012-05-07,25.91,26.24,25.85,26.06,601429,26.06
2012-05-08,25.78,25.95,25.43,25.82,586900,25.82
2012-05-09,25.35,25.75,25.15,25.41,653469,25.41
2012-05-10,25.78,26.05,25.54,25.66,769864,25.66
2012-05-11,25.31,25.81,25.11,25.22,700686,25.22
2012-05-14,24.8,24.86,24.57,24.58,782654,24.58
2012-05-15,24.58,24.78,24.28,24.3,562700,24.3
2012-05-16,24.52,24.7,23.95,23.97,611756,23.97
2012-05-17,23.94,24.11,23.49,23.5,548176,23.5
2012-05-18,23.62,23.65,23.3,23.47,966859,23.47
2012-05-21,23.57,24.14,23.39,24.12,693388,24.12
2012-05-22,24.14,24.81,24.06,24.26,960588,24.26
2012-05-23,24,24.32,23.56,24.07,1166458,24.07
2012-05-24,24.22,24.41,23.94,24.41,716269,24.41
2012-05-25,24.44,24.72,24.3,24.44,488367,24.44
2012-05-29,24.64,25.2,24.64,25.11,781701,25.11
2012-05-30,24.71,24.74,24.32,24.59,843059,24.59
2012-05-31,24.4,24.86,24.16,24.56,4543267,24.56
2012-06-01,23.95,24.02,23.28,23.3,719938,23.3
2012-06-04,23.42,23.58,23.12,23.23,602836,23.23
2012-06-05,23.09,23.6,23.09,23.56,875118,23.56
2012-06-06,23.82,24.3,23.76,24.3,954887,24.3
2012-06-07,24.78,24.92,24.38,24.54,718326,24.54
2012-06-08,24.39,24.82,24.11,24.81,679311,24.81
2012-06-11,25.13,25.21,24.59,24.6,774616,24.6
2012-06-12,24.75,25.2,24.55,25.19,620558,25.19
2012-06-13,25.03,25.35,24.82,24.9,638424,24.9
2012-06-14,24.95,25.49,24.9,25.32,613485,25.32
2012-06-15,25.48,25.5,25.15,25.4,1006126,25.4
2012-06-18,25.17,25.26,24.96,25.13,529680,25.13
2012-06-19,25.32,25.6,25.26,25.4,655628,25.4
2012-06-20,25.46,25.61,25.04,25.14,840139,25.14
2012-06-21,25.25,25.35,24.53,24.58,806131,24.58
2012-06-22,24.76,25.02,24.74,24.85,736256,24.85
2012-06-25,24.39,24.54,24.22,24.52,800920,24.52
2012-06-26,24.53,24.93,24.47,24.73,556260,24.73
2012-06-27,24.88,25.35,24.71,25.3,446475,25.3
2012-06-28,24.97,25.41,24.85,25.41,590491,25.41
2012-06-29,25.75,26.23,25.75,26.23,759908,26.23
2012-07-02,26.66,26.69,25.95,26.15,688730,26.15
2012-07-03,26.04,26.69,25.98,26.63,235300,26.63
2012-07-05,26.42,26.5,25.97,26.17,417826,26.17
2012-07-06,25.71,26.06,25.69,26.04,392195,26.04
2012-07-09,25.95,26.01,25.7,25.95,460367,25.95
2012-07-10,26.1,26.3,25.3,25.38,671824,25.38
2012-07-11,25.42,25.93,25.41,25.81,483418,25.81
2012-07-12,25.53,25.58,25.31,25.39,400278,25.39
2012-07-13,25.43,26.11,25.39,26.11,563838,26.11
2012-07-16,25.99,26.02,25.74,25.93,344763,25.93
2012-07-17,26.07,26.18,25.64,26.15,337082,26.15
2012-07-18,25.91,26.19,25.79,26.02,497702,26.02
2012-07-19,26.06,26.3,25.84,26.14,484558,26.14
2012-07-20,25.85,25.94,25.49,25.58,652937,25.58
2012-07-23,25.01,25.47,24.86,25.32,746656,25.32
2012-07-24,25.38,25.38,24.89,25.11,516954,25.11
2012-07-25,25.27,25.45,25.03,25.07,444364,25.07
2012-07-26,25.71,26.18,25.49,25.63,679681,25.63
2012-07-27,24.5,25.53,24.28,24.98,1640192,24.98
2012-07-30,24.68,25.3,24.68,25.17,651532,25.17
2012-07-31,25.25,25.72,25.1,25.59,725224,25.59
2012-08-01,25.66,25.71,25.28,25.3,597282,25.3
2012-08-02,24.98,25.22,24.72,25.01,702047,25.01
2012-08-03,25.6,26.22,25.56,26.11,651409,26.11
2012-08-06,26.22,26.28,25.96,26.03,577969,26.03
2012-08-07,26.13,26.65,26.13,26.31,520760,26.31
2012-08-08,26.16,26.25,25.97,26.13,635684,26.13
2012-08-09,26.02,26.33,26.02,26.12,335192,26.12
2012-08-10,26.06,26.27,25.97,26.23,317854,26.23
2012-08-13,26.36,26.53,26.1,26.4,407040,26.4
2012-08-14,26.43,26.62,26.31,26.37,427587,26.37
2012-08-15,26.36,26.4,25.99,26.31,324674,26.31
2012-08-16,26.3,26.75,26.24,26.71,319414,26.71
2012-08-17,26.75,26.79,26.33,26.55,393349,26.55
2012-08-20,26.43,26.55,26.29,26.41,324496,26.41
2012-08-21,26.45,26.98,26.45,26.78,438215,26.78
2012-08-22,26.72,27.24,26.58,27.23,714504,27.23
2012-08-23,27.09,27.13,26.97,27.05,615142,27.05
2012-08-24,27.01,27.31,26.98,27.27,416536,27.27
2012-08-27,27.3,27.32,27.08,27.2,387144,27.2
2012-08-28,27.04,27.48,27.01,27.21,396643,27.21
2012-08-29,27.25,27.62,27.15,27.58,376385,27.58
2012-08-30,27.36,27.46,27.21,27.34,368282,27.34
2012-08-31,27.5,27.74,27.37,27.44,678720,27.44
2012-09-04,27.27,27.48,27.17,27.34,371405,27.34
2012-09-05,27.44,27.72,27.4,27.53,533708,27.53
2012-09-06,27.71,28.06,27.71,28.03,406451,28.03
2012-09-07,28.16,28.48,28.01,28.31,326888,28.31
2012-09-10,28.2,28.21,27.66,27.68,560675,27.68
2012-09-11,27.74,28.03,27.62,28.01,360589,28.01
2012-09-12,28.12,28.34,28.01,28.08,369723,28.08
2012-09-13,28.04,28.69,27.7,28.69,593060,28.69
2012-09-14,28.76,29.16,28.76,29.16,596214,29.16
2012-09-17,29.1,29.19,28.77,28.83,345291,28.83
2012-09-18,28.7,28.78,28.41,28.51,471190,28.51
2012-09-19,28.52,28.59,28.32,28.45,253041,28.45
2012-09-20,28.2,28.31,28.02,28.31,530646,28.31
2012-09-21,28.37,28.49,27.6,27.92,2315677,27.92
2012-09-24,27.82,27.93,27.54,27.59,773393,27.59
2012-09-25,27.64,27.83,26.79,26.8,602798,26.8
2012-09-26,26.74,26.9,26.54,26.79,546046,26.79
2012-09-27,27.03,27.13,26.82,26.94,385963,26.94
2012-09-28,26.78,27.08,26.67,26.94,474576,26.94
2012-10-01,27.06,27.4,26.84,26.9,375117,26.9
2012-10-02,27.08,27.17,26.92,27.14,390804,27.14
2012-10-03,27.37,27.37,27.05,27.13,580013,27.13
2012-10-04,27.35,27.82,27.33,27.82,373111,27.82
2012-10-05,28.08,28.17,27.71,27.76,407166,27.76
2012-10-08,27.6,27.86,27.6,27.77,296303,27.77
2012-10-09,27.15,27.62,27.04,27.21,809642,27.21
2012-10-10,27.21,27.34,26.99,27.09,350764,27.09
2012-10-11,27.15,27.62,27.08,27.37,725382,27.37
2012-10-12,27.29,27.44,26.89,26.92,439503,26.92
2012-10-15,27.09,27.26,26.83,27.13,323150,27.13
2012-10-16,27.39,28.05,27.39,27.92,589936,27.92
2012-10-17,28.02,28.5,28.02,28.44,522705,28.44
2012-10-18,28.38,28.71,28.38,28.59,392822,28.59
2012-10-19,28.6,28.6,28.01,28.16,768650,28.16
2012-10-22,28.1,28.45,28.07,28.42,412447,28.42
2012-10-23,27.92,28.06,27.73,27.92,477410,27.92
2012-10-24,28.02,28.27,27.85,27.97,324959,27.97
2012-10-25,28.21,28.47,28.08,28.29,646229,28.29
2012-10-26,28.02,28.48,27.24,27.7,738252,27.7
2012-10-31,27.78,27.88,27.42,27.54,807177,27.54
2012-11-01,27.63,28.36,27.63,28.29,589564,28.29
2012-11-02,28.45,28.57,27.92,28.17,534627,28.17
2012-11-05,27.9,28.26,27.79,28.17,310818,28.17
2012-11-06,28.27,28.48,28.25,28.3,465263,28.3
2012-11-07,27.84,27.84,26.96,26.99,761982,26.99
2012-11-08,26.9,27.29,26.5,26.5,516189,26.5
2012-11-09,26.34,27.02,26.34,26.6,521140,26.6
2012-11-12,26.51,26.7,26.3,26.63,386268,26.63
2012-11-13,26.37,26.88,26.3,26.5,662939,26.5
2012-11-14,26.57,26.71,26.1,26.17,431203,26.17
2012-11-15,26.23,26.47,26.04,26.23,433938,26.23
2012-11-16,26.2,26.37,25.83,26.32,586168,26.32
2012-11-19,26.67,26.88,26.57,26.7,480737,26.7
2012-11-20,26.58,26.77,26.42,26.75,510115,26.75
2012-11-21,26.82,26.82,26.55,26.76,284670,26.76
2012-11-23,26.93,27.33,26.78,27.33,211136,27.33
2012-11-26,27.08,27.6,26.99,27.59,540122,27.59
2012-11-27,27.45,27.62,27.27,27.32,498911,27.32
2012-11-28,26.5,26.83,26.16,26.8,1059670,26.8
2012-11-29,26.97,27,26.74,26.92,465918,26.92
2012-11-30,26.94,27.2,26.79,27.15,945100,27.15
2012-12-03,27.29,27.43,27.16,27.35,705785,27.35
2012-12-04,27.32,27.67,27.32,27.67,600874,27.67
2012-12-05,27.72,27.99,27.65,27.88,587422,27.88
2012-12-06,27.66,27.76,27.58,27.69,295856,27.69
2012-12-07,27.8,27.86,27.64,27.66,272400,27.66
2012-12-10,27.53,27.82,27.46,27.73,321885,27.73
2012-12-11,27.83,27.95,27.68,27.72,358714,27.72
2012-12-12,27.91,28.29,27.9,28,471670,28
2012-12-13,27.95,28.09,27.6,27.62,492168,27.62
2012-12-14,27.59,27.67,27.44,27.51,290203,27.51
2012-12-17,27.69,27.85,27.65,27.85,419348,27.85
2012-12-18,28.06,28.71,27.92,28.7,772148,28.7
2012-12-19,28.37,28.48,28.12,28.13,518042,28.13
2012-12-20,28.11,28.44,28.02,28.42,304124,28.42
2012-12-21,28.04,28.31,27.87,28.05,875663,28.05
