DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,66.27,67,66.27,66.83,3980053,66.83
2012-01-04,66.6,66.88,66.34,66.8,2921155,66.8
2012-01-05,66.47,66.65,66.25,66.52,2662749,66.52
2012-01-06,66.5,66.62,65.93,66.36,2363375,66.36
2012-01-09,66.24,66.74,66.22,66.64,2525580,66.64
2012-01-10,66.76,66.8,66.08,66.33,2093113,66.33
2012-01-11,66.1,66.3,65.47,65.68,3051372,65.68
2012-01-12,65.93,65.98,65.57,65.81,2719011,65.81
2012-01-13,65.5,65.82,65.37,65.81,3692404,65.81
2012-01-17,66,66.5,65.98,66.26,3188392,66.26
2012-01-18,65.89,66.12,65.83,66.03,2442270,66.03
2012-01-19,65.93,66.25,65.43,66.08,1847064,66.08
2012-01-20,65.75,66.25,65.45,66.23,4507355,66.23
2012-01-23,65.9,65.92,64.78,65,3409825,65
2012-01-24,64.72,64.73,64.04,64.5,2062323,64.5
2012-01-25,64.36,65.15,64.18,64.98,2184832,64.98
2012-01-26,65.11,65.36,64.73,64.8,2100586,64.8
2012-01-27,64.31,64.97,63.66,64.3,3183429,64.3
2012-01-30,63.67,63.77,63.04,63.21,2555522,63.21
2012-01-31,63.45,63.55,62.71,63.04,3141787,63.04
2012-02-01,63.48,63.7,63.19,63.21,2759394,63.21
2012-02-02,63.43,63.62,63.25,63.32,3400105,63.32
2012-02-03,63.49,63.86,62.56,62.77,3759103,62.77
2012-02-06,62.83,63.61,62.81,63.51,2981961,63.51
2012-02-07,63.51,63.91,63.39,63.7,2647736,63.7
2012-02-08,63.71,63.78,63.45,63.64,2087629,63.64
2012-02-09,63.78,64.1,63.53,64.04,2571848,64.04
2012-02-10,63.57,63.98,63.56,63.88,2035653,63.88
2012-02-13,64.18,64.38,64.06,64.23,1685920,64.23
2012-02-14,64.13,64.48,64.09,64.48,1378713,64.48
2012-02-15,64.9,64.94,64.38,64.55,2199484,64.55
2012-02-16,64.82,65.39,64.7,65.2,2763427,65.2
2012-02-17,65.53,65.53,64.91,64.91,4049347,64.91
2012-02-21,65,65.06,64.35,64.42,2705194,64.42
2012-02-22,64.32,64.7,64.17,64.44,1774761,64.44
2012-02-23,64.35,66.57,64.25,66.42,5306772,66.42
2012-02-24,66.75,66.95,66.52,66.71,3674191,66.71
2012-02-27,66.51,67.04,66.14,66.7,4957101,66.7
2012-02-28,66.65,67.49,66.54,67.39,3695677,67.39
2012-02-29,67.39,67.77,67.32,67.52,5536586,67.52
2012-03-01,67.44,67.69,66.46,66.66,2850810,66.66
2012-03-02,66.72,66.86,66.4,66.67,1492183,66.67
2012-03-05,66.66,66.96,66.46,66.95,1479211,66.95
2012-03-06,66.5,67.09,66.2,66.84,2463214,66.84
2012-03-07,66.75,67.07,66.42,66.58,2009647,66.58
2012-03-08,66.93,67.06,66.78,66.9,1416715,66.9
2012-03-09,67,67,66.61,66.93,1367152,66.93
2012-03-12,66.77,67.78,66.76,67.71,2395970,67.71
2012-03-13,67.85,67.9,67.58,67.9,2760695,67.9
2012-03-14,67.74,67.95,67.69,67.85,2889062,67.85
2012-03-15,67.65,67.78,67.5,67.68,2999844,67.68
2012-03-16,67.85,67.85,67.13,67.25,7991804,67.25
2012-03-19,67,67.48,66.96,67.21,1424193,67.21
2012-03-20,66.9,67.45,66.9,67.21,1300723,67.21
2012-03-21,67.21,67.35,66.88,67.2,1443051,67.2
2012-03-22,67,67.75,66.95,67.52,1654995,67.52
2012-03-23,67.46,67.53,67.28,67.43,1473240,67.43
2012-03-26,67.53,67.83,67.26,67.46,1950120,67.46
2012-03-27,67.47,67.72,66.96,67.15,1746117,67.15
2012-03-28,67.25,67.3,66.96,67.19,1657247,67.19
2012-03-29,66.99,67.14,66.77,67.01,1753305,67.01
2012-03-30,67.05,67.48,67.01,67.21,2782271,67.21
2012-04-02,67.5,67.92,67.42,67.56,2473692,67.56
2012-04-03,67.43,67.6,66.94,67.09,1670271,67.09
2012-04-04,66.86,67.56,66.86,67.26,1760846,67.26
2012-04-05,67,67.48,66.83,67.31,2093793,67.31
2012-04-09,66.94,67.13,66.76,66.81,1563560,66.81
2012-04-10,66.7,66.9,66.3,66.35,2048713,66.35
2012-04-11,66.63,66.91,66.32,66.44,2020526,66.44
2012-04-12,66.26,66.36,65.95,66.09,1989919,66.09
2012-04-13,66.11,66.5,65.8,65.81,2476690,65.81
2012-04-16,65.91,67.1,65.9,66.78,3213785,66.78
2012-04-17,66.91,67.2,66.83,67.02,1768890,67.02
2012-04-18,66.88,67.2,66.73,66.75,1219239,66.75
2012-04-19,66.88,66.9,66.24,66.57,1591916,66.57
2012-04-20,66.8,67.6,66.7,67.51,4692814,67.51
2012-04-23,66.93,67,66.38,66.65,2312584,66.65
2012-04-24,66.8,67,66.56,67,1717400,67
2012-04-25,66.52,66.99,66.5,66.89,1653218,66.89
2012-04-26,66.77,67.14,66.7,66.87,1445186,66.87
2012-04-27,65.05,65.25,63.95,64.44,4745374,64.44
2012-04-30,63.56,64.16,63.3,63.64,3744330,63.64
2012-05-01,63.35,63.73,63.3,63.57,2665141,63.57
2012-05-02,63.73,64.11,63.41,63.98,2116051,63.98
2012-05-03,64.43,64.76,64.16,64.51,2401758,64.51
2012-05-04,64.65,64.75,64.24,64.28,2247468,64.28
2012-05-07,63.59,64.5,63.59,64.25,2485758,64.25
2012-05-08,64.13,64.43,64.11,64.16,1945689,64.16
2012-05-09,63.98,64.29,63.57,63.67,2041067,63.67
2012-05-10,64,64.34,63.83,64.14,1476808,64.14
2012-05-11,64.09,64.14,63.63,63.68,2676363,63.68
2012-05-14,63.5,63.76,63.3,63.58,2320103,63.58
2012-05-15,63.76,64.21,63.5,63.72,2776896,63.72
2012-05-16,64.2,64.81,64.03,64.29,2617476,64.29
2012-05-17,64,64.4,63.91,63.96,2061561,63.96
2012-05-18,64.22,64.24,63.4,63.52,4231831,63.52
2012-05-21,63.62,63.78,62.95,63.39,1738902,63.39
2012-05-22,63.38,63.55,62.99,63.15,1743621,63.15
2012-05-23,63,63,62.04,62.39,2817325,62.39
2012-05-24,62.47,62.98,62.23,62.57,1848052,62.57
2012-05-25,62.48,63.2,62.4,62.49,1540032,62.49
2012-05-29,62.64,63.03,62.62,62.95,1612317,62.95
2012-05-30,62.7,62.88,62.24,62.32,1930497,62.32
2012-05-31,62.55,62.61,61.98,62.29,2606169,62.29
2012-06-01,61.84,61.93,61.2,61.55,2814278,61.55
2012-06-04,61.59,61.6,61.11,61.4,1792346,61.4
2012-06-05,61.21,61.33,61.02,61.17,1661074,61.17
2012-06-06,61.16,61.89,61.16,61.8,2638813,61.8
2012-06-07,62.15,62.84,61.72,62.76,2848085,62.76
2012-06-08,62.99,63.19,62.57,62.75,1758812,62.75
