DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,19.8,19.94,19.29,19.34,1091936,19.34
2012-01-04,19.28,19.33,19.2,19.26,919187,19.26
2012-01-05,19.16,19.45,19.01,19.43,1070500,19.43
2012-01-06,19.41,19.76,19.4,19.51,881404,19.51
2012-01-09,19.47,19.63,19.47,19.55,3677327,19.55
2012-01-10,19.74,19.74,19.56,19.62,888765,19.62
2012-01-11,19.6,19.68,19.52,19.65,852030,19.65
2012-01-12,19.75,19.84,19.59,19.7,643579,19.7
2012-01-13,19.55,19.55,19.23,19.47,1171131,19.47
2012-01-17,19.71,19.85,19.62,19.63,1325252,19.63
2012-01-18,19.68,19.99,19.63,19.85,1208361,19.85
2012-01-19,19.99,20.82,19.95,20.76,1582668,20.76
2012-01-20,20.73,20.83,20.47,20.83,1647480,20.83
2012-01-23,20.81,20.85,20.6,20.69,1097794,20.69
2012-01-24,20.14,20.39,20.01,20.33,1411903,20.33
2012-01-25,20.27,20.6,20.22,20.56,1075815,20.56
2012-01-26,20.4,20.68,20.39,20.58,1470757,20.58
2012-01-27,20.4,20.52,20.25,20.43,1493327,20.43
2012-01-30,20.26,20.26,20.11,20.2,996833,20.2
2012-01-31,20.24,20.42,20.21,20.28,1457018,20.28
2012-02-01,20.44,20.88,20.43,20.8,1374458,20.8
2012-02-02,20.83,20.97,20.7,20.96,1159607,20.96
2012-02-03,21.04,21.35,20.99,21.35,1585537,21.35
2012-02-06,21.21,21.32,21.09,21.15,891617,21.15
2012-02-07,21.01,21.32,20.95,21.22,757553,21.22
2012-02-08,21.19,21.35,21.15,21.33,818292,21.33
2012-02-09,21.31,21.48,21.2,21.44,1282994,21.44
2012-02-10,21.22,21.44,21.12,21.44,1256709,21.44
2012-02-13,21.53,21.75,21.42,21.73,1240291,21.73
2012-02-14,21.7,21.79,21.46,21.77,1184875,21.77
2012-02-15,21.77,21.78,21.3,21.34,1080675,21.34
2012-02-16,21.42,21.58,21.25,21.58,1250074,21.58
2012-02-17,21.61,21.61,21.34,21.44,1415207,21.44
2012-02-21,21.49,21.59,21.39,21.59,879278,21.59
2012-02-22,21.5,21.62,21.35,21.37,1124185,21.37
2012-02-23,21.4,21.55,21.32,21.55,1068818,21.55
2012-02-24,21.64,21.64,21.41,21.43,3260031,21.43
2012-02-27,21.39,21.55,21.26,21.44,787136,21.44
2012-02-28,21.56,21.65,21.4,21.54,857862,21.54
2012-02-29,21.52,21.65,21.36,21.42,1862370,21.42
2012-03-01,21.44,21.58,21.33,21.38,1233294,21.38
2012-03-02,21.43,21.6,21.34,21.57,804638,21.57
2012-03-05,21.54,21.8,21.38,21.79,922552,21.79
2012-03-06,21.6,21.69,21.21,21.22,1097238,21.22
2012-03-07,21.22,21.28,21.17,21.23,772426,21.23
