DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,78.51,79.74,78.19,78.83,295074,78.83
2012-01-04,78.79,79.22,78.37,78.5,426781,78.5
2012-01-05,77.73,79.24,76.98,78.94,448952,78.94
2012-01-06,79.23,79.32,76.92,77.64,622760,77.64
2012-01-09,77.93,79.02,77.2,78.82,496492,78.82
2012-01-10,80.16,81.33,79.83,81.22,368399,81.22
2012-01-11,80.41,81.94,80.41,81.72,245272,81.72
2012-01-12,82.04,83.2,81.36,83.08,222449,83.08
2012-01-13,82.12,82.79,81.35,82.44,251670,82.44
2012-01-17,83.69,84.6,82.95,83.47,357031,83.47
2012-01-18,83.25,85.11,82.62,85.06,327830,85.06
2012-01-19,85.46,86.6,84.5,84.97,403111,84.97
2012-01-20,81.6,82,80.49,81.52,969541,81.52
2012-01-23,81.29,82,80.31,81.7,432656,81.7
2012-01-24,81.11,81.9,80.89,81.27,435196,81.27
2012-01-25,81.17,82.67,80.33,82.37,333929,82.37
2012-01-26,82.68,82.7,81,81.5,266808,81.5
2012-01-27,81.14,81.81,80.88,81.5,247901,81.5
2012-01-30,80.9,81.71,80.55,81.46,221758,81.46
2012-01-31,81.92,82.07,79.92,80.68,590819,80.68
2012-02-01,82.22,82.96,81.34,82.61,262978,82.61
2012-02-02,82.65,82.97,81.81,82.51,302625,82.51
2012-02-03,83.75,85.8,83.71,85.72,409646,85.72
2012-02-06,85.15,87.42,85.15,86.68,421386,86.68
2012-02-07,86.18,88.35,86.05,87.75,487272,87.75
2012-02-08,87.7,88.26,87.32,88.16,351780,88.16
2012-02-09,88.24,88.52,87.64,88.18,298683,88.18
2012-02-10,86.97,87.59,86.33,87.51,254709,87.51
2012-02-13,88.61,90.36,88.02,90.25,362680,90.25
2012-02-14,89.6,89.6,88.3,88.98,265616,88.98
2012-02-15,89.35,89.4,87.22,87.6,422689,87.6
2012-02-16,87.6,89.55,87.57,89.26,255264,89.26
2012-02-17,89.89,89.89,88.53,88.57,400701,88.57
2012-02-21,88.64,91,88.64,90,544698,90
2012-02-22,89.83,90.41,89.21,90,299019,90
2012-02-23,89.74,90.65,89.28,90.42,435463,90.42
2012-02-24,90.59,90.93,89.55,89.63,189085,89.63
2012-02-27,88.67,90.66,88.67,90.24,185584,90.24
2012-02-28,90.3,90.67,89.39,90.24,279006,90.24
2012-02-29,90.7,91.44,89.74,89.81,445817,89.81
2012-03-01,89.97,90.58,88.37,89.34,411721,89.34
2012-03-02,89.34,89.66,88.43,88.54,186286,88.54
2012-03-05,88.52,88.68,87.38,88.15,224558,88.15
2012-03-06,86.56,86.92,85.3,85.54,370829,85.54
2012-03-07,85.8,86.66,85.6,86.19,218314,86.19
2012-03-08,87.1,87.96,86.62,87.85,221990,87.85
2012-03-09,87.94,89.2,87.47,88.22,188138,88.22
2012-03-12,88.2,89.2,87.99,89.13,340068,89.13
2012-03-13,89.53,89.94,88.8,89.7,360467,89.7
2012-03-14,89.5,90.08,88.97,89.24,204913,89.24
2012-03-15,89.33,90.87,88.98,90.75,271814,90.75
2012-03-16,90.97,91,90.11,90.15,395448,90.15
2012-03-19,90,90.06,88.72,89.58,246942,89.58
2012-03-20,88.82,88.82,87.37,87.9,219266,87.9
2012-03-21,87.95,88.27,87.25,87.34,158528,87.34
2012-03-22,86,86,83.7,84.89,460872,84.89
2012-03-23,85,85.93,84.04,85.63,273419,85.63
2012-03-26,86.5,87.31,86.33,86.97,304605,86.97
2012-03-27,87.02,87.31,85.96,85.99,274647,85.99
2012-03-28,85.92,86.03,83.76,84.43,235653,84.43
2012-03-29,83.97,84.76,83.74,84.59,208515,84.59
2012-03-30,85,85.42,83.8,84.55,306042,84.55
