DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,6.46,6.75,6.45,6.52,1582338,6.52
2012-01-04,6.5,6.58,6.37,6.54,1185002,6.54
2012-01-05,6.52,7.08,6.45,7.04,2537588,7.04
2012-01-06,7.07,7.27,7.01,7.1,1826116,7.1
2012-01-09,7.19,7.29,7.04,7.25,1336961,7.25
2012-01-10,7.39,7.6,7.29,7.34,1645949,7.34
2012-01-11,7.4,7.75,7.38,7.7,2135840,7.7
2012-01-12,7.72,7.76,7.44,7.6899999999999995,1662264,7.6899999999999995
2012-01-13,7.5,7.66,7.42,7.62,2393753,7.62
2012-01-17,7.72,7.76,7.38,7.5,1361166,7.5
2012-01-18,7.5,8.11,7.41,7.9399999999999995,2310487,7.9399999999999995
2012-01-19,7.98,8.15,7.86,8.08,1683148,8.08
2012-01-20,8.08,8.1,7.6899999999999995,7.76,1960908,7.76
2012-01-23,7.46,7.75,7.29,7.42,2554751,7.42
2012-01-24,7.31,7.8,7.3,7.76,1688163,7.76
2012-01-25,7.75,8.03,7.6899999999999995,7.99,2087310,7.99
2012-01-26,8.08,8.3,7.72,7.8,1542760,7.8
2012-01-27,7.74,7.92,7.66,7.79,1589769,7.79
2012-01-30,7.65,7.6899999999999995,7.53,7.63,1109365,7.63
2012-01-31,7.73,7.85,7.42,7.45,1761488,7.45
2012-02-01,7.61,7.9,7.47,7.83,1843891,7.83
2012-02-02,7.54,7.84,7.51,7.75,2452153,7.75
2012-02-03,8.04,8.41,8.03,8.3,2544823,8.3
2012-02-06,8.16,8.52,8.16,8.26,2110216,8.26
2012-02-07,8.23,8.53,8.13,8.37,1707800,8.37
2012-02-08,8.4,8.69,8.31,8.65,2137286,8.65
2012-02-09,8.65,9.08,8.62,9.07,2589818,9.07
2012-02-10,8.9,9.06,8.71,8.79,1533848,8.79
2012-02-13,8.92,9.12,8.78,9.09,1948673,9.09
2012-02-14,9,9.1,8.85,9.08,1418971,9.08
