DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,20.44,20.78,20.44,20.6,345220,20.6
2012-01-04,20.56,20.7,20.31,20.37,247661,20.37
2012-01-05,20.27,20.63,20.26,20.53,237806,20.53
2012-01-06,20.52,21.15,20.52,21.12,377307,21.12
2012-01-09,21.13,21.36,20.87,21.24,346499,21.24
2012-01-10,21.59,21.87,21.56,21.76,302351,21.76
2012-01-11,21.71,22.04,21.61,22.03,353535,22.03
2012-01-12,22.07,22.42,21.83,22.37,419361,22.37
2012-01-13,22.18,22.35,22.06,22.32,350068,22.32
2012-01-17,22.54,22.85,22.44,22.7,382518,22.7
2012-01-18,22.63,23.17,22.57,23.16,390091,23.16
2012-01-19,23.22,23.71,23.15,23.39,417848,23.39
2012-01-20,23.41,23.53,23.1,23.34,314439,23.34
2012-01-23,23.33,23.7,23.18,23.22,263465,23.22
2012-01-24,23.1,23.94,23.09,23.84,286603,23.84
2012-01-25,23.92,24.31,23.92,24.12,374910,24.12
2012-01-26,24.25,24.27,23.74,23.81,321715,23.81
2012-01-27,23.8,24.09,23.66,23.99,245515,23.99
2012-01-30,23.74,23.94,23.6,23.82,208828,23.82
2012-01-31,23.92,24.2,23.77,23.98,308419,23.98
2012-02-01,24.32,25.08,24.29,24.96,539181,24.96
2012-02-02,24.95,25.25,24.46,24.69,679069,24.69
2012-02-03,26.41,27.4,26.14,26.23,779003,26.23
2012-02-06,26.07,26.3,25.84,26,373950,26
2012-02-07,25.98,26.41,25.88,26.18,399770,26.18
2012-02-08,26.13,26.31,26,26.29,376291,26.29
2012-02-09,26.28,26.52,26.03,26.49,249626,26.49
2012-02-10,26.19,26.19,25.75,25.89,404309,25.89
2012-02-13,26.18,26.22,25.96,26.07,198695,26.07
2012-02-14,26.04,26.17,25.81,26.08,260990,26.08
2012-02-15,26.22,26.78,26.05,26.4,356849,26.4
2012-02-16,26.41,26.88,26.26,26.86,333942,26.86
2012-02-17,27,27.12,26.66,26.96,432477,26.96
2012-02-21,27,27.09,26.54,26.59,327587,26.59
2012-02-22,26.52,26.99,26.51,26.86,285650,26.86
2012-02-23,26.79,26.86,26.49,26.65,374040,26.65
2012-02-24,26.9,27.34,26.74,27.24,328775,27.24
2012-02-27,27.03,27.27,26.77,27.14,279822,27.14
2012-02-28,27.16,27.29,26.87,27.23,240666,27.23
2012-02-29,27.21,27.39,26.93,27,248320,27
2012-03-01,27.08,27.25,26.9,26.99,376936,26.99
2012-03-02,26.97,27.24,26.74,26.74,287660,26.74
2012-03-05,26.76,26.93,26.36,26.57,246572,26.57
2012-03-06,26.17,26.41,25.74,25.86,437304,25.86
2012-03-07,25.92,26.44,25.85,26.21,315769,26.21
2012-03-08,26.39,26.64,25.99,26.61,290373,26.61
2012-03-09,26.62,26.85,26.52,26.76,236526,26.76
2012-03-12,26.75,26.86,26.35,26.45,209921,26.45
2012-03-13,26.68,27.25,26.67,27.21,245761,27.21
2012-03-14,27.16,27.3,26.93,27.02,279847,27.02
2012-03-15,27.03,27.71,26.88,27.31,268867,27.31
2012-03-16,27.31,27.6,27.23,27.3,499319,27.3
2012-03-19,27.2,27.53,27.08,27.34,142410,27.34
2012-03-20,27.16,27.3,27.12,27.22,173748,27.22
2012-03-21,27.21,27.29,26.95,27.16,133057,27.16
2012-03-22,27.24,27.24,26.64,27.05,231626,27.05
2012-03-23,27.07,27.36,26.96,27.33,250206,27.33
2012-03-26,27.5,27.85,27.47,27.84,285978,27.84
2012-03-27,27.95,28,27.76,27.85,252196,27.85
2012-03-28,27.85,27.96,27.36,27.58,308509,27.58
2012-03-29,27.33,27.68,27.21,27.67,234164,27.67
2012-03-30,27.8,27.8,27.49,27.66,294762,27.66
2012-04-02,27.58,28.16,27.58,27.97,365079,27.97
2012-04-03,28.23,28.23,27.6,27.7,339163,27.7
2012-04-04,27.43,27.63,27.28,27.36,779388,27.36
2012-04-05,27.29,27.45,27.19,27.35,163310,27.35
2012-04-09,26.87,26.99,26.61,26.75,280618,26.75
2012-04-10,26.69,26.72,25.97,25.99,540170,25.99
2012-04-11,26.24,26.51,26.12,26.43,265634,26.43
2012-04-12,26.43,26.98,26.33,26.9,178840,26.9
2012-04-13,26.9,26.9,26.26,26.26,176858,26.26
2012-04-16,26.37,26.48,25.83,26.15,324789,26.15
2012-04-17,26.42,26.97,26.32,26.79,233720,26.79
2012-04-18,26.67,26.69,26.43,26.56,183376,26.56
2012-04-19,26.65,26.85,26.17,26.39,219014,26.39
2012-04-20,26.56,26.88,26.49,26.51,273325,26.51
2012-04-23,26.14,26.31,25.97,26.26,283988,26.26
2012-04-24,25.83,26.21,25.6,25.88,452818,25.88
2012-04-25,26.31,26.9,26.27,26.74,313598,26.74
2012-04-26,26.75,26.95,26.59,26.84,316340,26.84
2012-04-27,27,28.05,26.81,27.55,510675,27.55
2012-04-30,27.55,27.8,27.34,27.6,376828,27.6
2012-05-01,27.68,28.24,27.34,27.93,309463,27.93
2012-05-02,27.7,28.08,27.47,28.08,276415,28.08
2012-05-03,28.06,28.19,27.82,27.97,324980,27.97
2012-05-04,27.74,27.82,27.27,27.36,258460,27.36
2012-05-07,27.22,27.7,27.17,27.53,200149,27.53
2012-05-08,27.31,27.45,26.75,27.37,196984,27.37
2012-05-09,27.01,27.28,26.78,27.01,344344,27.01
2012-05-10,27.29,27.33,26.97,27.11,249704,27.11
2012-05-11,26.96,27.44,26.92,27.1,208789,27.1
2012-05-14,26.76,26.89,26.54,26.71,214340,26.71
2012-05-15,26.74,26.97,26.38,26.44,254589,26.44
2012-05-16,26.46,26.64,26.09,26.1,333099,26.1
2012-05-17,26.2,26.43,25.86,25.94,300653,25.94
2012-05-18,26.04,26.13,25.52,25.57,358114,25.57
2012-05-21,25.69,26.27,25.69,26.21,236527,26.21
2012-05-22,26.26,26.63,26.01,26.21,248300,26.21
2012-05-23,25.98,26.3,25.7,26.23,136551,26.23
2012-05-24,26.31,26.65,26.17,26.52,173324,26.52
2012-05-25,26.52,26.68,26.33,26.4,130488,26.4
2012-05-29,26.73,27.01,26.58,27,269191,27
2012-05-30,26.71,26.79,26.56,26.65,257217,26.65
2012-05-31,26.6,26.74,26.06,26.6,323028,26.6
2012-06-01,26.04,26.08,25.75,25.8,405186,25.8
2012-06-04,25.78,25.95,25.11,25.36,252534,25.36
2012-06-05,25.19,25.59,25.16,25.52,290350,25.52
2012-06-06,25.79,26.1,25.62,26.08,240041,26.08
2012-06-07,26.44,26.62,26.02,26.08,187892,26.08
2012-06-08,25.93,26.11,25.74,26.02,241093,26.02
2012-06-11,26.28,26.34,25.54,25.55,192697,25.55
2012-06-12,25.66,25.86,25.39,25.85,167910,25.85
2012-06-13,25.7,26.02,25.5,25.63,141606,25.63
2012-06-14,25.65,25.76,25.17,25.43,359430,25.43
2012-06-15,25.53,25.61,25.36,25.56,400889,25.56
2012-06-18,25.49,25.71,25.34,25.66,246070,25.66
2012-06-19,26.25,26.67,26.19,26.41,372670,26.41
2012-06-20,26.49,26.6,26.18,26.37,183988,26.37
2012-06-21,26.41,26.62,25.6,25.62,176702,25.62
2012-06-22,25.78,25.91,25.6,25.65,365168,25.65
2012-06-25,25.23,25.31,24.72,24.82,283609,24.82
2012-06-26,24.85,25.03,24.73,24.83,193824,24.83
2012-06-27,24.92,25.24,24.91,25.19,146184,25.19
2012-06-28,25.01,25.1,24.72,25.07,129251,25.07
2012-06-29,25.57,25.84,25.45,25.8,216496,25.8
2012-07-02,26,26,25.46,25.88,221001,25.88
2012-07-03,25.81,26.44,25.81,26.28,121515,26.28
2012-07-05,26.17,26.33,25.92,26.12,138410,26.12
2012-07-06,25.84,25.85,25.25,25.38,158382,25.38
2012-07-09,25.28,25.42,24.88,24.9,243228,24.9
2012-07-10,24.97,25.03,24.33,24.44,259678,24.44
2012-07-11,24.48,24.48,24.06,24.25,218724,24.25
2012-07-12,24.06,24.27,23.85,24.19,176153,24.19
2012-07-13,24.21,24.59,24.21,24.52,258640,24.52
2012-07-16,24.47,24.49,24.2,24.38,191529,24.38
2012-07-17,24.44,24.66,24.11,24.51,212595,24.51
2012-07-18,24.3,25.11,24.22,25.09,250500,25.09
2012-07-19,25.16,25.29,24.79,25.26,181493,25.26
2012-07-20,25.09,25.14,24.72,24.85,279550,24.85
2012-07-23,24.48,24.58,23.92,24.4,271158,24.4
