DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,29.51,29.84,28.73,29.24,883951,29.24
2012-01-04,29.14,29.14,28.23,28.5,907311,28.5
2012-01-05,28.2,29.38,28.16,29.24,835130,29.24
2012-01-06,28.75,29,28.6,28.79,1190970,28.79
2012-01-09,28.78,28.89,28.46,28.53,706864,28.53
2012-01-10,28.94,29.52,28.89,29.31,744287,29.31
2012-01-11,29.21,29.67,29.08,29.62,443143,29.62
2012-01-12,29.97,30.08,29.19,29.72,811201,29.72
2012-01-13,29.4,29.8,29.1,29.57,819489,29.57
2012-01-17,29.89,30.92,29.85,30.56,999073,30.56
2012-01-18,30.6,31.15,30.52,30.73,828676,30.73
2012-01-19,30.8,31.38,30.52,31.3,879524,31.3
2012-01-20,31.36,31.78,31.01,31.78,1142368,31.78
2012-01-23,31.77,31.86,31.4,31.81,958602,31.81
2012-01-24,31.47,32.18,31.45,32.18,692608,32.18
2012-01-25,32.01,32.59,31.93,32.37,837354,32.37
2012-01-26,32.65,32.98,32.33,32.55,769202,32.55
2012-01-27,32.16,32.6,32.07,32.52,1068911,32.52
2012-01-30,32,32.2,31.35,31.6,914021,31.6
2012-01-31,31.91,31.94,31.49,31.71,1894575,31.71
2012-02-01,32.02,32.55,31.99,32.54,817140,32.54
2012-02-02,32.56,32.83,32.43,32.81,962013,32.81
2012-02-03,33.34,33.4,32.93,33.16,1484360,33.16
2012-02-06,33,33.24,32.95,32.98,628449,32.98
2012-02-07,32.81,33.31,32.8,33.29,754614,33.29
2012-02-08,33.26,34.73,33.14,34.18,912788,34.18
2012-02-09,34.19,34.24,33.7,34.12,903669,34.12
2012-02-10,33.72,33.96,32.92,33.06,777108,33.06
2012-02-13,33.47,33.84,33.32,33.75,438439,33.75
2012-02-14,33.69,33.84,33.11,33.39,745415,33.39
2012-02-15,33.66,33.87,32.97,33.26,697854,33.26
2012-02-16,33.3,33.88,33.14,33.86,574925,33.86
2012-02-17,34,34.1,33.64,34,821238,34
2012-02-21,34,34,33.45,33.66,634311,33.66
2012-02-22,33.45,33.75,32.88,32.91,711168,32.91
2012-02-23,32.92,33.66,32.87,33.66,735950,33.66
2012-02-24,33.85,34.05,33.59,33.88,463408,33.88
2012-02-27,33.77,33.95,33.45,33.89,546325,33.89
2012-02-28,33.96,34,33.44,33.59,451327,33.59
2012-02-29,33.58,33.85,33.19,33.66,1051239,33.66
2012-03-01,33.62,33.86,33.41,33.8,877703,33.8
2012-03-02,33.83,34.22,33.54,33.74,449249,33.74
2012-03-05,33.82,34.47,33.6,34.47,531878,34.47
2012-03-06,33.99,34.3,33.64,33.69,856271,33.69
2012-03-07,33.79,34.23,33.53,34.21,719520,34.21
2012-03-08,34.16,34.16,33.59,33.59,1033754,33.59
2012-03-09,33.7,34.22,33.52,34.14,818983,34.14
2012-03-12,34.08,34.21,33.85,33.99,748461,33.99
2012-03-13,34.11,34.96,34.09,34.92,849302,34.92
2012-03-14,34.84,35.07,34.67,34.83,728112,34.83
2012-03-15,34.77,35.25,34.77,35,756713,35
2012-03-16,34.99,35.33,34.85,35.26,1432824,35.26
2012-03-19,35.14,35.54,35.04,35.48,791134,35.48
2012-03-20,35.2,35.34,35.01,35.28,707452,35.28
2012-03-21,35.32,35.55,35.16,35.42,599787,35.42
2012-03-22,35.02,35.11,34.74,35.03,646277,35.03
2012-03-23,34.48,35.28,34.48,35.2,756421,35.2
2012-03-26,35.53,35.72,35.37,35.71,686477,35.71
2012-03-27,35.46,35.69,35.23,35.45,791988,35.45
2012-03-28,35.34,35.39,34.57,35.05,1089791,35.05
2012-03-29,34.75,35.38,34.6,35.31,631351,35.31
2012-03-30,35.61,36.03,35.47,36.02,1094355,36.02
2012-04-02,35.95,36.4,35.88,36.25,755723,36.25
2012-04-03,36.12,36.16,35.89,36.15,643981,36.15
2012-04-04,35.88,35.93,35.63,35.72,708557,35.72
2012-04-05,35.45,35.77,35.16,35.48,526008,35.48
2012-04-09,34.87,35.05,34.63,34.91,520006,34.91
2012-04-10,34.93,34.93,33.12,33.15,1478493,33.15
2012-04-11,33.59,33.73,33.25,33.38,887290,33.38
2012-04-12,33.35,33.9,33.1,33.88,674616,33.88
2012-04-13,33.81,33.84,33.41,33.48,626273,33.48
2012-04-16,33.8,34.2,33.57,34.01,644983,34.01
2012-04-17,34.26,34.79,33.95,34.68,540639,34.68
2012-04-18,34.43,34.64,34.13,34.18,425372,34.18
2012-04-19,34.28,34.48,34,34.36,602322,34.36
2012-04-20,34.44,34.93,34.44,34.78,800382,34.78
2012-04-23,34.28,34.3,33.31,33.5,832550,33.5
2012-04-24,33.61,33.94,33.52,33.89,885571,33.89
2012-04-25,34.19,34.84,34.16,34.68,885480,34.68
2012-04-26,34.63,35.12,34.41,35.02,545949,35.02
2012-04-27,35.12,35.5,34.89,35.4,646605,35.4
2012-04-30,35.32,35.79,35.21,35.78,1127539,35.78
2012-05-01,34.6,36.6,34.6,35.94,931054,35.94
2012-05-02,35.6,35.98,35.34,35.9,649466,35.9
2012-05-03,35.81,36.15,35.64,35.85,962000,35.85
2012-05-04,35.73,35.75,34.83,35.04,495956,35.04
2012-05-07,34.91,35.56,34.77,35.43,593463,35.43
2012-05-08,35.09,35.3,34.72,35.03,780849,35.03
2012-05-09,34.59,34.99,34.06,34.59,914102,34.59
2012-05-10,34.95,34.99,34.42,34.6,734115,34.6
2012-05-11,34.44,34.9,34.07,34.63,807107,34.63
2012-05-14,34.1,34.14,33.66,33.76,740110,33.76
2012-05-15,33.83,33.83,33.15,33.48,797572,33.48
2012-05-16,33.75,34.02,33.06,33.1,821896,33.1
2012-05-17,33.16,33.17,32.03,32.04,1115852,32.04
2012-05-18,31.99,32.13,30.81,30.94,1585927,30.94
2012-05-21,31.05,32.28,30.89,32.2,669514,32.2
2012-05-22,32.31,32.31,31.64,31.8,639287,31.8
2012-05-23,31.51,32.01,31.03,31.96,1176094,31.96
2012-05-24,31.95,32.29,31.36,31.78,544076,31.78
2012-05-25,31.8,31.97,31.28,31.5,377091,31.5
2012-05-29,31.71,32.37,31.71,32.32,550173,32.32
2012-05-30,31.87,32.01,31.72,31.79,869260,31.79
2012-05-31,31.87,32.31,31.29,31.98,1386306,31.98
2012-06-01,31.15,31.44,30.5,30.56,1077924,30.56
2012-06-04,30.54,30.6,30.03,30.42,910657,30.42
2012-06-05,30.22,31.19,30.22,31.15,705951,31.15
2012-06-06,31.35,32.36,31.35,32,1522672,32
2012-06-07,32.39,32.48,31.62,31.72,763821,31.72
2012-06-08,31.69,31.91,31.5,31.87,682375,31.87
2012-06-11,32.26,32.39,31.2,31.24,928351,31.24
2012-06-12,31.47,32.02,31.28,32.02,737222,32.02
2012-06-13,31.8,32.15,31.52,31.75,1157695,31.75
2012-06-14,31.83,31.98,31.41,31.76,1094078,31.76
2012-06-15,31.48,31.81,31.4,31.75,2157024,31.75
2012-06-18,31.56,32.1,31.25,31.85,686982,31.85
2012-06-19,32.14,32.63,31.96,32.28,662322,32.28
2012-06-20,32.38,32.81,32.16,32.46,1184334,32.46
2012-06-21,32.71,32.71,31.53,31.6,853020,31.6
2012-06-22,31.98,31.98,31.25,31.54,999782,31.54
2012-06-25,31.12,31.16,30.85,30.9,578601,30.9
2012-06-26,31.02,31.29,30.79,31.16,696466,31.16
2012-06-27,31.31,31.46,31,31.16,670013,31.16
2012-06-28,31.03,31.61,30.91,31.56,720774,31.56
2012-06-29,32.44,33.26,32.39,33.23,1556906,33.23
2012-07-02,33.45,33.45,32.75,33.34,828139,33.34
2012-07-03,33.4,33.62,33.05,33.51,304459,33.51
2012-07-05,33.37,33.48,32.98,33.1,460522,33.1
2012-07-06,32.63,33.14,32.59,33.08,429809,33.08
2012-07-09,33.16,33.16,32.58,32.7,444678,32.7
2012-07-10,33.02,33.09,32.14,32.35,441425,32.35
2012-07-11,32.38,32.73,32.15,32.62,738086,32.62
2012-07-12,32.27,32.72,32.15,32.48,634298,32.48
2012-07-13,32.52,33.05,32.46,32.79,532690,32.79
2012-07-16,32.69,32.85,32.49,32.69,499691,32.69
2012-07-17,32.88,33.19,32.37,33.05,563178,33.05
2012-07-18,32.82,33.12,32.77,33.05,348702,33.05
2012-07-19,33.01,33.24,32.27,32.68,502264,32.68
2012-07-20,32.35,32.58,31.95,32.11,966830,32.11
2012-07-23,31.59,31.7,31.23,31.43,605870,31.43
2012-07-24,31.5,31.56,31.04,31.35,742778,31.35
2012-07-25,31.59,31.95,31.54,31.68,909524,31.68
2012-07-26,31.9,32.65,31.86,32.25,1099918,32.25
2012-07-27,32.41,32.89,32.33,32.55,910816,32.55
2012-07-30,32.49,32.66,32.21,32.26,578727,32.26
2012-07-31,32.25,32.45,32.15,32.33,875902,32.33
2012-08-01,32.48,32.82,32.31,32.39,937409,32.39
2012-08-02,32.12,32.37,31.96,32.35,895901,32.35
2012-08-03,33.06,33.7,32.74,33.66,861253,33.66
2012-08-06,33.74,34.05,33.67,33.93,979522,33.93
2012-08-07,34.01,34.01,33.76,33.76,1134409,33.76
2012-08-08,33.53,33.61,33.1,33.44,457431,33.44
2012-08-09,33.31,33.67,33.25,33.25,395064,33.25
2012-08-10,33.24,33.24,32.93,33.2,682548,33.2
2012-08-13,33.17,33.28,32.77,32.96,340213,32.96
2012-08-14,32.99,33.33,32.99,33.19,442267,33.19
2012-08-15,33.09,33.34,33.08,33.31,360422,33.31
2012-08-16,33.32,33.87,33.19,33.74,465183,33.74
2012-08-17,33.66,33.81,33.44,33.8,662273,33.8
2012-08-20,33.66,33.78,33.34,33.74,835363,33.74
2012-08-21,33.74,33.91,33.59,33.67,681986,33.67
2012-08-22,33.62,33.63,32.96,33.23,528511,33.23
2012-08-23,33.2,33.31,32.9,32.91,431879,32.91
2012-08-24,32.87,33.61,32.77,33.43,606277,33.43
2012-08-27,33.5,33.82,33.29,33.74,409039,33.74
2012-08-28,33.59,34.09,33.4,33.91,402070,33.91
2012-08-29,34.05,34.33,33.94,34.25,405191,34.25
2012-08-30,33.99,34.17,33.84,34.07,371630,34.07
2012-08-31,34.25,34.28,33.82,34.17,1335404,34.17
2012-09-04,34.2,34.49,33.79,34.46,402866,34.46
2012-09-05,34.37,34.67,34.11,34.58,537970,34.58
2012-09-06,34.82,35.57,34.82,35.35,905938,35.35
2012-09-07,35.52,35.91,35.35,35.73,616696,35.73
2012-09-10,35.56,35.84,35.48,35.73,612071,35.73
2012-09-11,35.67,36.23,35.67,36.18,582836,36.18
2012-09-12,36.16,36.2,35.91,36.07,790232,36.07
2012-09-13,36.16,37.17,36.02,36.91,678258,36.91
2012-09-14,37.04,37.58,36.82,36.89,967992,36.89
2012-09-17,36.93,37.22,36.67,36.67,539791,36.67
2012-09-18,36.6,36.6,36.04,36.22,591531,36.22
2012-09-19,36.4,36.4,35.75,35.75,639891,35.75
2012-09-20,35.65,35.68,35.06,35.31,1009256,35.31
2012-09-21,35.51,35.56,34.99,34.99,1845995,34.99
2012-09-24,34.83,35.42,34.72,34.85,732885,34.85
2012-09-25,35.04,35.04,34.25,34.27,941139,34.27
2012-09-26,34.28,34.42,33.9,33.95,613009,33.95
2012-09-27,34.13,34.95,34.01,34.76,817124,34.76
2012-09-28,34.49,35.11,34.43,35.03,1140983,35.03
2012-10-01,35.09,35.24,34.25,34.58,560032,34.58
2012-10-02,34.77,34.85,34.4,34.84,400562,34.84
2012-10-03,34.9,35.01,34.71,34.82,560154,34.82
2012-10-04,35.48,35.58,34.95,34.96,591388,34.96
2012-10-05,35.22,35.23,34.73,34.9,451040,34.9
2012-10-08,34.68,34.96,34.57,34.84,329020,34.84
2012-10-09,34.78,35,34.59,34.6,381159,34.6
2012-10-10,34.62,34.93,34.34,34.83,466931,34.83
2012-10-11,35.26,35.36,34.83,34.83,734824,34.83
2012-10-12,34.87,35.22,34.68,34.84,554433,34.84
2012-10-15,34.95,35.46,34.71,35.44,608394,35.44
2012-10-16,35.72,36.06,35.52,35.97,485179,35.97
2012-10-17,35.97,36.28,35.71,36.14,673753,36.14
2012-10-18,36.13,36.46,36.11,36.38,491235,36.38
2012-10-19,36.19,36.44,35.51,35.57,1132480,35.57
2012-10-22,35.51,35.72,35.04,35.16,1078694,35.16
2012-10-23,34.62,35.01,34.34,34.77,963058,34.77
2012-10-24,34.97,35.3,34.49,34.55,677321,34.55
2012-10-25,34.8,35.16,33.83,34.28,745363,34.28
2012-10-26,34.34,34.37,33.71,33.91,750430,33.91
2012-10-31,34.01,34.37,33.74,34.29,1216160,34.29
2012-11-01,34.28,34.55,34.14,34.26,651780,34.26
2012-11-02,34.57,34.72,34.35,34.37,732797,34.37
2012-11-05,34.32,34.39,33.69,34.18,442647,34.18
2012-11-06,34.25,34.56,34.01,34.4,492192,34.4
2012-11-07,34.12,34.28,33.94,34.15,984983,34.15
2012-11-08,34.08,34.27,33.58,33.59,659534,33.59
2012-11-09,33.49,33.8,33.28,33.39,476897,33.39
2012-11-12,33.48,33.72,33.2,33.38,317265,33.38
2012-11-13,33.21,33.61,33.1,33.37,493177,33.37
2012-11-14,33.5,33.54,32.69,32.85,803926,32.85
2012-11-15,32.89,33.05,32.32,32.6,606506,32.6
2012-11-16,32.64,32.83,32.32,32.68,965131,32.68
2012-11-19,33.14,33.51,32.97,33.34,677358,33.34
2012-11-20,33.22,33.42,33.05,33.4,525219,33.4
2012-11-21,33.48,33.95,33.39,33.9,849256,33.9
2012-11-23,33.98,34.14,33.79,34.09,372725,34.09
2012-11-26,33.89,34.42,33.89,34.3,819224,34.3
2012-11-27,33.99,34.03,33.64,33.95,1030074,33.95
2012-11-28,33.85,33.91,33.45,33.86,696159,33.86
2012-11-29,34.06,34.19,33.8,34.02,901027,34.02
2012-11-30,34.11,34.29,33.88,33.94,1303785,33.94
2012-12-03,34.14,34.3,33.85,33.96,445992,33.96
2012-12-04,33.91,34.49,33.55,34.26,566309,34.26
2012-12-05,34.3,34.47,34.05,34.3,821846,34.3
2012-12-06,34.31,34.91,34.29,34.91,877182,34.91
2012-12-07,34.96,35.26,34.8,35.23,1020718,35.23
2012-12-10,35.24,35.35,35.1,35.18,603682,35.18
2012-12-11,35.28,35.42,35.17,35.23,593404,35.23
2012-12-12,35.35,35.43,34.98,35.27,453879,35.27
2012-12-13,35.08,35.11,34.91,35.02,548614,35.02
2012-12-14,35.03,35.28,34.91,35.1,532963,35.1
2012-12-17,35.26,35.33,34.98,35.24,633607,35.24
2012-12-18,35.24,35.85,35.24,35.83,655309,35.83
2012-12-19,35.86,35.95,35.62,35.64,686847,35.64
2012-12-20,35.73,36.8,35.73,36.58,759786,36.58
2012-12-21,36.38,36.57,36.06,36.46,2268728,36.46
2012-12-24,36.28,36.64,36.18,36.52,227961,36.52
2012-12-26,36.62,36.62,35.86,36.07,649872,36.07
2012-12-27,36.07,36.35,35.6,36.28,587594,36.28
2012-12-28,36.06,36.41,35.76,35.77,438433,35.77
2012-12-31,35.7,36.57,35.59,36.49,829765,36.49
2013-01-02,37.19,37.5,37.04,37.35,877684,37.35
2013-01-03,37.38,37.61,37.28,37.4,504849,37.4
2013-01-04,37.42,37.75,37.3,37.71,619338,37.71
2013-01-07,37.63,38.17,37.58,37.96,652492,37.96
2013-01-08,37.95,37.99,37.64,37.84,654566,37.84
2013-01-09,37.95,38.27,37.76,38.22,515093,38.22
2013-01-10,38.42,38.42,37.8,38.04,655708,38.04
2013-01-11,38.06,38.28,37.99,38.28,538679,38.28
2013-01-14,38.32,38.32,38.06,38.3,289854,38.3
2013-01-15,38,38.5,37.73,38.47,520319,38.47
2013-01-16,38.27,38.49,38.12,38.45,495850,38.45
2013-01-17,38.55,38.81,38.52,38.72,544296,38.72
2013-01-18,38.88,39.55,38.74,39.5,1432064,39.5
2013-01-22,39.38,39.52,39.16,39.32,748697,39.32
2013-01-23,39.21,39.68,39.11,39.64,410422,39.64
2013-01-24,39.72,40.21,39.7,40.18,644250,40.18
2013-01-25,40.33,40.64,40.02,40.64,733831,40.64
2013-01-28,40.79,40.99,40.65,40.93,888644,40.93
2013-01-29,40.93,41,40.72,40.74,644920,40.74
2013-01-30,40.4,40.69,39.9,40.05,1163865,40.05
2013-01-31,39.9,40.1,39.48,39.9,1465225,39.9
2013-02-01,40.17,40.99,39.96,40.48,822346,40.48
2013-02-04,40.11,40.63,40,40.26,732367,40.26
2013-02-05,40.51,40.55,40.13,40.28,587024,40.28
2013-02-06,39.9,40.1,39.44,39.91,652597,39.91
