DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,58.09,58.8,57.73,57.86,201507,57.86
2012-01-04,57.25,57.73,57.16,57.3,197057,57.3
2012-01-05,56.17,57.28,54.94,57.08,370465,57.08
2012-01-06,57.1,57.1,55.73,56.18,195372,56.18
2012-01-09,56.33,56.78,56.14,56.65,179437,56.65
2012-01-10,57.4,58.02,57.36,58.02,162022,58.02
2012-01-11,57.69,58.06,57.53,57.9,87374,57.9
2012-01-12,58.49,59.97,58.34,59.92,281109,59.92
2012-01-13,59.39,59.94,59.19,59.86,226305,59.86
2012-01-17,60.05,60.71,59.74,59.95,167660,59.95
2012-01-18,59.79,60.01,59.21,59.75,235361,59.75
2012-01-19,59.93,60.52,59.79,60.22,155414,60.22
2012-01-20,60.22,60.46,59.8,60.02,262551,60.02
2012-01-23,60.02,60.2,59.3,59.51,128870,59.51
2012-01-24,58.98,59.57,58.98,59.2,266686,59.2
2012-01-25,59.09,60.57,59.09,60.52,150579,60.52
2012-01-26,60.6,60.69,59.17,59.24,150165,59.24
2012-01-27,59.01,59.56,58.76,59.06,183148,59.06
2012-01-30,58.66,59.42,58.34,59.42,150312,59.42
2012-01-31,59.8,59.83,58.79,59.68,216891,59.68
2012-02-01,60.17,60.6,59.76,60.47,228853,60.47
2012-02-02,60.69,61.15,60.42,61.04,191403,61.04
2012-02-03,61.28,62.74,61.14,62.19,229813,62.19
2012-02-06,61.93,62.76,61.82,62.33,128358,62.33
2012-02-07,62.06,62.65,61.95,62.53,110120,62.53
2012-02-08,62.77,63.03,62.23,62.96,187831,62.96
2012-02-09,63.09,63.77,62.71,63.73,275723,63.73
2012-02-10,62.97,63.34,62.6,63.27,138767,63.27
2012-02-13,63.72,64.24,62.99,64.24,136053,64.24
2012-02-14,62.61,64.15,62.61,64.12,408868,64.12
2012-02-15,64.55,64.55,63.01,63.26,120594,63.26
2012-02-16,63.2,63.82,62.99,63.81,124771,63.81
2012-02-17,64.41,64.49,63.19,63.66,198575,63.66
2012-02-21,64.02,64.02,63.27,63.57,117650,63.57
2012-02-22,63.29,63.52,63.04,63.21,123231,63.21
2012-02-23,63.2,63.34,59.41,63.05,307054,63.05
2012-02-24,63,63.84,62.95,63.41,295918,63.41
2012-02-27,62.87,64,62.55,63.77,135724,63.77
2012-02-28,63.88,63.91,63.34,63.48,151242,63.48
2012-02-29,63.61,63.89,62.84,63.45,873327,63.45
2012-03-01,63.6,63.62,63.08,63.28,172842,63.28
2012-03-02,63.23,63.46,62.87,62.98,197575,62.98
2012-03-05,62.73,62.73,61.83,62.1,193507,62.1
2012-03-06,61.5,61.54,59.93,60.09,336017,60.09
