DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,48.68,48.74,47.65,47.83,251736,47.83
2012-01-04,47.89,48.05,47.47,47.51,266803,47.51
2012-01-05,47.44,47.76,47.21,47.54,227299,47.54
2012-01-06,47.54,47.71,47.33,47.39,177113,47.39
2012-01-09,47.48,47.56,47,47.15,217044,47.15
2012-01-10,47.89,48,47.64,47.81,349917,47.81
2012-01-11,47.72,47.84,47.46,47.55,159860,47.55
2012-01-12,47.7,47.75,47.4,47.66,138381,47.66
2012-01-13,47.45,47.66,47.33,47.62,183658,47.62
2012-01-17,47.91,48.23,47.58,47.65,172622,47.65
2012-01-18,47.7,47.84,47.37,47.77,165329,47.77
2012-01-19,47.84,47.84,47.27,47.49,204314,47.49
2012-01-20,47.58,47.78,47.41,47.75,277031,47.75
2012-01-23,47.74,48.01,47.5,47.51,162919,47.51
2012-01-24,47.36,47.5,47.2,47.47,222989,47.47
2012-01-25,47.36,48.34,47.11,48.24,172874,48.24
2012-01-26,48.32,48.86,48.11,48.53,195689,48.53
2012-01-27,48.41,48.47,48.08,48.2,215025,48.2
2012-01-30,47.61,47.77,47.14,47.27,232371,47.27
2012-01-31,47.59,47.76,47.09,47.26,238829,47.26
2012-02-01,47.57,47.78,47.36,47.66,220377,47.66
2012-02-02,47.76,47.91,47.45,47.56,161863,47.56
2012-02-03,47.95,48.06,47.3,47.5,244750,47.5
2012-02-06,47.46,47.53,47.17,47.31,153651,47.31
2012-02-07,47.27,48.38,47.21,48.19,243557,48.19
2012-02-08,48.18,48.21,47.91,48.08,174498,48.08
2012-02-09,48.05,48.17,47.77,47.96,148437,47.96
2012-02-10,47.78,47.9,47.36,47.49,303452,47.49
2012-02-13,47.71,47.8,47.48,47.55,153112,47.55
2012-02-14,47.36,47.49,47.04,47.32,200234,47.32
2012-02-15,47.28,47.75,47.15,47.43,211202,47.43
2012-02-16,47.5,48.16,47.39,47.91,109118,47.91
2012-02-17,48.15,48.2,47.82,47.86,225809,47.86
2012-02-21,48.04,48.04,47.3,47.4,228928,47.4
2012-02-22,47.44,47.73,47.23,47.4,127026,47.4
2012-02-23,47.34,47.63,47.23,47.48,167749,47.48
2012-02-24,47.68,47.98,47.3,47.51,212794,47.51
2012-02-27,47.22,47.66,47.07,47.5,137558,47.5
2012-02-28,47.44,47.57,47.06,47.16,123498,47.16
2012-02-29,47.21,47.4,46.81,47.03,322027,47.03
2012-03-01,47.11,47.13,46.7,46.88,227318,46.88
2012-03-02,46.85,46.85,46.32,46.59,258356,46.59
2012-03-05,46.55,46.55,46.16,46.41,264741,46.41
2012-03-06,46.16,46.44,46.16,46.39,257123,46.39
2012-03-07,46.41,46.84,46.19,46.77,239822,46.77
2012-03-08,47.02,47.19,46.77,47.12,135982,47.12
2012-03-09,47.12,47.54,46.97,47.45,197823,47.45
2012-03-12,47.47,48.14,47.47,48.02,203038,48.02
2012-03-13,48.22,48.22,47.76,48.08,136744,48.08
2012-03-14,48.01,48.13,47.12,47.18,152263,47.18
2012-03-15,47.12,47.3,46.87,46.9,316687,46.9
2012-03-16,46.89,47.06,46.71,47.02,393858,47.02
2012-03-19,46.89,47.31,46.79,46.84,141304,46.84
2012-03-20,46.7,47.07,46.65,46.98,113519,46.98
2012-03-21,46.98,47.26,46.82,47.04,126856,47.04
2012-03-22,46.91,47.2,46.72,47.08,217174,47.08
2012-03-23,47.05,47.27,46.99,47.24,123222,47.24
2012-03-26,47.41,47.76,47.3,47.71,193476,47.71
2012-03-27,47.75,47.99,47.52,47.9,188416,47.9
2012-03-28,47.83,47.96,47.36,47.52,217642,47.52
2012-03-29,47.29,47.69,47.03,47.63,196402,47.63
2012-03-30,47.75,47.97,47.53,47.9,249550,47.9
2012-04-02,47.83,48.28,47.7,48.12,136704,48.12
2012-04-03,48.13,48.21,47.74,48.18,326027,48.18
2012-04-04,47.81,47.95,47.68,47.71,285101,47.71
2012-04-05,47.65,47.68,46.99,47.14,354335,47.14
2012-04-09,46.82,46.95,46.7,46.83,204773,46.83
2012-04-10,46.68,46.88,46.02,46.06,228997,46.06
2012-04-11,46.43,46.45,45.96,46.12,289604,46.12
2012-04-12,46.1,46.41,45.96,46.34,200950,46.34
2012-04-13,46.3,46.76,46.19,46.23,197193,46.23
2012-04-16,46.36,46.83,46.28,46.68,162937,46.68
2012-04-17,46.87,47.26,46.57,47.2,245647,47.2
2012-04-18,46.97,47.25,46.86,47.2,256033,47.2
2012-04-19,47.06,47.41,46.88,47.06,206391,47.06
2012-04-20,47.13,47.78,47.07,47.77,344133,47.77
2012-04-23,47.49,47.52,47.3,47.45,239415,47.45
2012-04-24,47.54,48.12,47.44,48.11,182121,48.11
2012-04-25,48.22,48.51,48.02,48.42,447192,48.42
2012-04-26,48.36,48.55,48.12,48.41,210751,48.41
2012-04-27,48.04,48.32,47.86,48.21,207195,48.21
2012-04-30,48.18,48.39,47.83,48.35,297053,48.35
2012-05-01,48.27,48.49,47.98,48.23,200244,48.23
2012-05-02,48.16,48.16,47.68,47.79,272012,47.79
2012-05-03,48,48.45,47.48,47.62,230492,47.62
2012-05-04,47.63,48.01,47.63,47.82,166934,47.82
2012-05-07,47.68,47.76,47.42,47.75,205702,47.75
2012-05-08,47.64,47.91,47.5,47.84,206360,47.84
2012-05-09,47.52,48.22,47.52,48.06,281288,48.06
2012-05-10,48.31,49.27,48.25,48.97,379097,48.97
2012-05-11,48.79,49.06,48.52,48.6,312593,48.6
2012-05-14,48.32,48.69,48.18,48.45,158174,48.45
2012-05-15,48.33,48.37,47.84,47.97,303897,47.97
2012-05-16,48.2,48.49,47.97,48.35,255635,48.35
2012-05-17,48.38,48.52,48,48.11,235769,48.11
2012-05-18,48.15,48.37,47.66,47.8,410498,47.8
2012-05-21,48,48.24,47.59,48.2,200893,48.2
2012-05-22,48.33,48.86,48.28,48.7,253388,48.7
2012-05-23,48.51,48.82,48.32,48.64,498168,48.64
2012-05-24,48.72,49.22,48.62,48.88,211366,48.88
2012-05-25,48.8,49.29,48.8,49.11,195128,49.11
2012-05-29,49.33,49.39,48.99,49.35,171698,49.35
2012-05-30,49.02,49.51,48.84,48.85,164398,48.85
2012-05-31,48.91,49.59,48.86,49.38,347501,49.38
2012-06-01,49.14,49.58,48.98,49.43,331874,49.43
2012-06-04,49.51,49.88,49.36,49.84,254786,49.84
2012-06-05,49.74,50.5,49.65,50.34,250825,50.34
2012-06-06,50.57,50.91,50.18,50.91,426790,50.91
2012-06-07,51.3,51.3,50.68,50.85,217409,50.85
2012-06-08,50.77,51.1,50.67,51.07,187720,51.07
2012-06-11,51.23,51.46,50.73,50.76,250883,50.76
2012-06-12,50.85,51.27,50.68,51.27,247602,51.27
2012-06-13,51.17,51.47,50.98,51.2,292539,51.2
2012-06-14,51.22,51.64,51.22,51.58,160187,51.58
2012-06-15,51.83,52.06,51.56,52.01,325227,52.01
2012-06-18,51.91,52.12,51.84,52.05,124050,52.05
2012-06-19,52.2,52.29,51.77,51.8,336872,51.8
