DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,20.44,20.48,19.92,20.19,782950,20.19
2012-01-04,20.12,20.36,20.12,20.3,722724,20.3
2012-01-05,20.27,20.39,20.05,20.28,692243,20.28
2012-01-06,20.3,20.33,20.04,20.04,482546,20.04
2012-01-09,20.15,20.15,19.9,19.93,496321,19.93
2012-01-10,20.06,20.19,20.02,20.11,938844,20.11
2012-01-11,20.05,20.12,19.92,19.97,896867,19.97
2012-01-12,20.07,20.1,19.88,19.98,332689,19.98
2012-01-13,19.89,19.95,19.81,19.9,868714,19.9
2012-01-17,20.08,20.22,19.97,20.08,582848,20.08
2012-01-18,20.11,20.11,19.93,20.02,404242,20.02
2012-01-19,20.05,20.05,19.67,19.68,492466,19.68
2012-01-20,19.73,20,19.71,20,607597,20
2012-01-23,20,20.2,19.88,19.89,349265,19.89
2012-01-24,19.81,19.83,19.72,19.81,319534,19.81
2012-01-25,19.75,20.19,19.61,20.17,632101,20.17
2012-01-26,20.2,20.21,19.89,20.06,625884,20.06
2012-01-27,20.04,20.04,19.74,19.81,507073,19.81
2012-01-30,19.75,19.75,19.5,19.6,654637,19.6
2012-01-31,19.68,19.73,19.53,19.66,741282,19.66
2012-02-01,19.8,19.82,19.63,19.77,361326,19.77
2012-02-02,19.82,19.84,19.66,19.84,473591,19.84
2012-02-03,19.95,19.96,19.71,19.84,381100,19.84
2012-02-06,19.79,19.8,19.7,19.77,316924,19.77
2012-02-07,19.71,19.94,19.62,19.9,464401,19.9
2012-02-08,19.94,19.95,19.72,19.9,920017,19.9
2012-02-09,19.92,19.92,19.77,19.9,673677,19.9
2012-02-10,19.83,19.86,19.74,19.82,309402,19.82
2012-02-13,19.91,19.96,19.76,19.82,336176,19.82
2012-02-14,19.76,19.86,19.65,19.81,454648,19.81
2012-02-15,19.86,19.86,19.64,19.76,356908,19.76
2012-02-16,19.78,20.04,19.76,20.04,460876,20.04
2012-02-17,20.14,20.24,20.04,20.14,699996,20.14
2012-02-21,20.22,20.24,20.02,20.06,313130,20.06
2012-02-22,20.07,20.2,19.91,19.95,610447,19.95
2012-02-23,20,20.02,19.85,19.89,640425,19.89
2012-02-24,19.85,20.01,19.75,19.84,554915,19.84
2012-02-27,19.79,19.81,19.66,19.75,399907,19.75
2012-02-28,19.77,19.81,19.5,19.52,470194,19.52
2012-02-29,19.58,19.61,19.36,19.44,851907,19.44
2012-03-01,19.49,19.64,19.42,19.5,848306,19.5
2012-03-02,19.48,19.58,19.43,19.5,556543,19.5
2012-03-05,19.21,19.68,19.04,19.57,1760016,19.57
2012-03-06,19.4,19.5,19.35,19.4,3881709,19.4
2012-03-07,19.42,19.64,19.36,19.57,1243023,19.57
2012-03-08,19.37,19.44,19.32,19.4,1139195,19.4
2012-03-09,19.4,19.51,19.32,19.44,489274,19.44
2012-03-12,19.48,19.73,19.46,19.66,502283,19.66
2012-03-13,19.66,19.73,19.46,19.56,815912,19.56
2012-03-14,19.54,19.62,19.11,19.18,1125172,19.18
2012-03-15,19.18,19.24,18.94,19.02,945271,19.02
2012-03-16,19.03,19.14,18.99,19.13,1123470,19.13
2012-03-19,19.1,19.21,18.95,18.96,460708,18.96
2012-03-20,18.86,18.97,18.78,18.85,736863,18.85
2012-03-21,18.85,18.9,18.77,18.86,574127,18.86
2012-03-22,18.76,18.88,18.71,18.85,624092,18.85
2012-03-23,18.81,18.96,18.81,18.88,466531,18.88
2012-03-26,18.97,19.1,18.86,19.05,947392,19.05
2012-03-27,19.07,19.2,18.95,19.06,863529,19.06
2012-03-28,19.08,19.13,18.8,18.93,621369,18.93
2012-03-29,18.81,18.9,18.63,18.87,811591,18.87
2012-03-30,19.01,19.01,18.86,18.89,928388,18.89
2012-04-02,18.91,18.95,18.8,18.84,875495,18.84
2012-04-03,18.88,18.91,18.72,18.86,639037,18.86
2012-04-04,18.69,18.86,18.61,18.84,1184633,18.84
2012-04-05,18.75,18.78,18.53,18.63,1074815,18.63
2012-04-09,18.5,18.65,18.5,18.54,673491,18.54
2012-04-10,18.54,18.54,18.27,18.35,884347,18.35
2012-04-11,18.48,18.49,18.28,18.31,577956,18.31
2012-04-12,18.14,18.49,18.14,18.46,818902,18.46
2012-04-13,18.45,18.55,18.34,18.36,465612,18.36
2012-04-16,18.4,18.53,18.39,18.47,779149,18.47
2012-04-17,18.56,18.59,18.36,18.55,673813,18.55
2012-04-18,18.49,18.61,18.44,18.49,470689,18.49
2012-04-19,18.47,18.55,18.36,18.44,520161,18.44
2012-04-20,18.5,18.71,18.45,18.63,763016,18.63
2012-04-23,18.5,18.59,18.43,18.57,538358,18.57
2012-04-24,18.61,18.84,18.59,18.79,620330,18.79
2012-04-25,18.81,18.98,18.76,18.89,531405,18.89
2012-04-26,18.86,18.96,18.78,18.85,609489,18.85
2012-04-27,18.89,18.94,18.8,18.81,739880,18.81
2012-04-30,18.8,18.92,18.76,18.92,759307,18.92
2012-05-01,18.93,19.04,18.89,18.99,899981,18.99
2012-05-02,18.97,18.97,18.72,18.78,561101,18.78
2012-05-03,18.74,18.88,18.61,18.61,649294,18.61
2012-05-04,18.69,18.99,18.63,18.89,1021118,18.89
2012-05-07,18.86,18.93,18.75,18.92,634229,18.92
2012-05-08,18.84,18.99,18.78,18.92,657500,18.92
2012-05-09,18.81,18.92,18.79,18.86,986467,18.86
2012-05-10,18.94,19.06,18.88,19.04,884714,19.04
2012-05-11,18.98,19.1,18.92,19.02,427470,19.02
2012-05-14,18.89,18.94,18.76,18.86,1281738,18.86
2012-05-15,18.86,18.87,18.6,18.64,614951,18.64
2012-05-16,18.7,18.7,18.53,18.63,580324,18.63
2012-05-17,18.65,18.66,18.51,18.55,598778,18.55
2012-05-18,18.51,18.62,18.47,18.55,1007682,18.55
2012-05-21,18.56,18.63,18.5,18.63,412373,18.63
2012-05-22,18.63,18.75,18.63,18.7,500299,18.7
2012-05-23,18.66,18.73,18.5,18.56,483763,18.56
2012-05-24,18.58,18.71,18.54,18.65,627273,18.65
2012-05-25,18.7,18.9,18.68,18.9,482416,18.9
2012-05-29,19,19.09,18.92,19.08,948795,19.08
2012-05-30,19.02,19.15,18.93,18.97,584254,18.97
2012-05-31,18.96,19.19,18.94,19.06,800397,19.06
2012-06-01,19,19.24,19,19.24,1439037,19.24
2012-06-04,19.2,19.3,19.15,19.27,756013,19.27
2012-06-05,19.23,19.45,19.17,19.32,420065,19.32
2012-06-06,19.39,19.51,19.25,19.51,738778,19.51
2012-06-07,19.28,19.37,19.25,19.29,539848,19.29
2012-06-08,19.25,19.34,19.15,19.33,379738,19.33
2012-06-11,19.41,19.49,19.27,19.27,555170,19.27
2012-06-12,19.26,19.33,19.12,19.33,488752,19.33
2012-06-13,19.27,19.37,19.19,19.29,290387,19.29
2012-06-14,19.33,19.44,19.29,19.37,406597,19.37
2012-06-15,19.39,19.44,19.36,19.39,725670,19.39
2012-06-18,19.4,19.51,19.35,19.47,386465,19.47
2012-06-19,19.51,19.61,19.42,19.45,432423,19.45
2012-06-20,19.45,19.59,19.34,19.47,577549,19.47
2012-06-21,19.46,19.53,19.04,19.12,592068,19.12
2012-06-22,19.15,19.2,19.01,19.04,583029,19.04
2012-06-25,18.99,19.04,18.89,18.96,450449,18.96
2012-06-26,19.02,19.05,18.93,18.99,368341,18.99
2012-06-27,19.06,19.21,19.03,19.2,313702,19.2
2012-06-28,19.1,19.4,19.07,19.37,524892,19.37
2012-06-29,19.61,19.61,19.35,19.57,731694,19.57
2012-07-02,19.6,19.67,19.4,19.57,684925,19.57
2012-07-03,19.55,19.68,19.5,19.59,225723,19.59
2012-07-05,19.56,19.64,19.42,19.47,672341,19.47
2012-07-06,19.35,19.48,19.29,19.42,388669,19.42
2012-07-09,19.36,19.43,19.14,19.3,642652,19.3
2012-07-10,19.34,19.42,19.27,19.33,328823,19.33
2012-07-11,19.34,19.44,19.25,19.37,490237,19.37
2012-07-12,19.31,19.36,19.25,19.29,372459,19.29
2012-07-13,19.33,19.48,19.31,19.44,440735,19.44
2012-07-16,19.38,19.46,19.34,19.41,432132,19.41
2012-07-17,19.42,19.55,19.32,19.48,490291,19.48
2012-07-18,19.41,19.63,19.4,19.53,471802,19.53
2012-07-19,19.52,19.66,19.39,19.63,865075,19.63
2012-07-20,19.57,19.8,19.57,19.69,798761,19.69
2012-07-23,19.66,19.74,19.55,19.64,625788,19.64
2012-07-24,19.62,19.67,19.42,19.52,619592,19.52
2012-07-25,19.58,19.63,19.43,19.53,456936,19.53
2012-07-26,19.66,19.81,19.61,19.71,451949,19.71
2012-07-27,19.81,19.99,19.76,19.92,727266,19.92
2012-07-30,19.86,20.17,19.86,20.16,584225,20.16
2012-07-31,20.15,20.2,19.95,19.96,436585,19.96
2012-08-01,19.96,20.3,19.91,19.93,566847,19.93
2012-08-02,19.85,19.86,19.55,19.69,457222,19.69
2012-08-03,19.89,19.97,19.79,19.93,325314,19.93
2012-08-06,20,20.11,19.81,20.02,338401,20.02
2012-08-07,19.7,19.95,19.45,19.47,1163961,19.47
2012-08-08,19.47,19.58,19.35,19.5,418367,19.5
