DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,51.41,52.09,51.09,51.3,1325801,51.3
2012-01-04,50.82,51.7,50.42,51.5,924068,51.5
2012-01-05,51.06,52.95,50.62,52.54,995705,52.54
2012-01-06,52.63,53.41,52.2,52.73,874623,52.73
2012-01-09,52.82,53.01,52.06,52.26,795715,52.26
2012-01-10,53.11,53.8,53.04,53.42,921644,53.42
2012-01-11,53.2,54.48,52.98,54.35,986994,54.35
2012-01-12,54.56,55.17,54.45,55.11,994562,55.11
2012-01-13,54.23,55.48,53.36,55.25,1043359,55.25
2012-01-17,55.78,55.95,54.42,54.63,906441,54.63
2012-01-18,54.35,56.31,54.26,56.12,780464,56.12
2012-01-19,56.48,57.31,56.45,56.94,612175,56.94
2012-01-20,56.71,57.96,56.71,57.36,1224929,57.36
2012-01-23,57.27,58.72,57.15,58.25,594569,58.25
2012-01-24,57.65,58.36,57.34,58.08,681212,58.08
2012-01-25,57.73,58.13,56.85,57.78,842111,57.78
2012-01-26,57.99,58.35,53.7,55.59,2925576,55.59
2012-01-27,55.18,57.5,55.09,57.22,1555649,57.22
2012-01-30,56.49,57.6,56.05,57.38,984613,57.38
2012-01-31,57.95,58.18,56.91,57.24,1263434,57.24
2012-02-01,57.97,58.86,57.51,58.33,726262,58.33
2012-02-02,58.36,58.56,57.91,58.32,781777,58.32
2012-02-03,59.17,59.96,59.17,59.87,1126644,59.87
2012-02-06,59.19,60,59.11,59.99,811034,59.99
2012-02-07,59.52,60.68,59.47,60.43,581040,60.43
2012-02-08,60.37,60.77,59.9,60.54,672971,60.54
2012-02-09,61,61.23,58.31,59.85,788222,59.85
2012-02-10,58.85,59.2,58.51,59,866997,59
2012-02-13,59.3,60.5,59.3,60.17,719469,60.17
2012-02-14,59.87,60.14,58.49,59.41,837873,59.41
2012-02-15,59.76,60.61,59.73,60.2,944165,60.2
2012-02-16,60.04,60.92,59.75,60.92,805500,60.92
2012-02-17,61.17,61.5,60.78,61.39,1128029,61.39
2012-02-21,61.35,61.74,61.05,61.36,755074,61.36
2012-02-22,61.36,61.59,60.7,60.83,731424,60.83
2012-02-23,60.83,61.32,60.39,61.24,635904,61.24
2012-02-24,61.14,61.56,60.67,61.09,747346,61.09
2012-02-27,60.3,60.81,60.19,60.62,896541,60.62
2012-02-28,60.76,61.42,60.46,61.31,768996,61.31
2012-02-29,61.5,62.03,61.05,61.16,1141198,61.16
2012-03-01,61.36,62.69,61.3,62.01,981115,62.01
2012-03-02,61.99,62.07,61.15,61.34,544882,61.34
2012-03-05,61.15,62.15,60.92,61.53,577718,61.53
2012-03-06,60.4,60.46,59.58,59.75,983427,59.75
2012-03-07,60.09,60.94,59.74,60.78,792835,60.78
2012-03-08,61.22,61.97,60.78,61.88,890472,61.88
2012-03-09,61.95,62.59,61.76,61.97,1020639,61.97
2012-03-12,61.8,61.88,60.92,61.22,728452,61.22
2012-03-13,61.76,63.11,61.57,63.07,925152,63.07
2012-03-14,61.65,62.58,60.44,61.58,1235356,61.58
2012-03-15,61.86,63.55,61.32,63.24,1110604,63.24
2012-03-16,63.38,64.58,63.34,63.71,1441473,63.71
2012-03-19,63.8,64.5,63.71,64.11,537528,64.11
2012-03-20,63.35,64.75,62.95,64.65,910881,64.65
2012-03-21,64.91,65.16,63.81,63.89,1044186,63.89
2012-03-22,63.17,63.56,62.6,62.88,826809,62.88
2012-03-23,62.98,63.27,62.61,62.99,1082100,62.99
2012-03-26,63.82,64.15,63.62,64.05,799183,64.05
2012-03-27,64.25,64.49,63.55,63.55,962370,63.55
2012-03-28,63.58,63.83,62.71,63.42,759018,63.42
2012-03-29,62.78,62.85,61.94,62.76,694593,62.76
2012-03-30,63.14,63.5,62.53,63.39,1003771,63.39
2012-04-02,63.26,64.73,63.21,64.5,721661,64.5
2012-04-03,64.2,64.4,62.95,63.65,819105,63.65
2012-04-04,62.88,63.17,62.55,62.82,791749,62.82
2012-04-05,62.5,62.9,62.1,62.52,657856,62.52
2012-04-09,61.15,61.38,60.55,61.13,728928,61.13
2012-04-10,61.13,61.18,59.27,59.33,1363821,59.33
2012-04-11,60.29,60.87,60.15,60.37,828265,60.37
2012-04-12,60.66,61.6,60.25,61.4,824080,61.4
2012-04-13,61,61.06,59.89,59.91,916636,59.91
2012-04-16,60.41,60.68,59.44,60.07,633506,60.07
2012-04-17,60.34,61.47,60.21,61.16,831753,61.16
2012-04-18,60.67,61.07,60.32,60.53,560956,60.53
2012-04-19,60.79,60.86,59.7,60.17,875551,60.17
2012-04-20,60.48,60.75,59.73,59.73,1193219,59.73
2012-04-23,58.76,59.05,58.41,58.93,1452543,58.93
2012-04-24,59.09,59.83,58.94,59.26,960601,59.26
2012-04-25,59.85,60.53,59.55,60.19,810354,60.19
2012-04-26,60.2,61.42,60.06,61.31,786662,61.31
2012-04-27,61.63,61.65,60.9,61.37,904756,61.37
2012-04-30,61,61.13,60.28,60.54,968728,60.54
2012-05-01,60.45,61.94,60.23,60.88,735497,60.88
2012-05-02,60.53,61.18,59.86,60.94,812828,60.94
2012-05-03,54.25,56.23,54.25,54.81,2714819,54.81
2012-05-04,54.38,54.74,52.66,52.89,1709048,52.89
2012-05-07,52.45,53.26,52.03,52.19,1873594,52.19
2012-05-08,51.6,52.15,50.88,51.58,1770989,51.58
2012-05-09,50.7,51.61,50.3,51.06,1627842,51.06
2012-05-10,52.35,52.7,51.35,51.64,1940806,51.64
2012-05-11,51.02,51.9,50.44,51.51,1250281,51.51
2012-05-14,50.52,50.69,49.77,49.81,1279902,49.81
2012-05-15,49.66,49.93,48.65,48.74,1361683,48.74
2012-05-16,48.96,49.15,47.45,47.46,1361672,47.46
2012-05-17,47.5,47.58,46.03,46.04,1351085,46.04
2012-05-18,46.25,46.5,45.79,46.1,2356192,46.1
2012-05-21,46.17,47.04,45.92,46.69,1157342,46.69
2012-05-22,46.8,48.08,46.29,46.68,1724790,46.68
2012-05-23,46.07,47.2,45.7,47.04,1639598,47.04
2012-05-24,47.4,47.41,46.21,47.33,1156561,47.33
2012-05-25,47.45,47.63,46.97,47.2,847487,47.2
2012-05-29,47.74,48.14,47.41,47.87,964430,47.87
2012-05-30,47.16,47.2,46.4,46.65,1267923,46.65
2012-05-31,46.59,46.92,45.62,46.45,1403884,46.45
2012-06-01,45.34,45.43,44.62,44.74,1369018,44.74
2012-06-04,45,45.28,44.47,44.75,1021306,44.75
2012-06-05,44.68,46.23,44.53,45.99,1002213,45.99
2012-06-06,46.41,47.84,46.29,47.84,1403632,47.84
2012-06-07,48.49,49.14,47.85,47.94,1574796,47.94
2012-06-08,47.62,48.13,47.18,47.97,1053753,47.97
2012-06-11,48.68,48.82,46.79,46.83,1161445,46.83
2012-06-12,47.04,47.61,46.75,47.61,931245,47.61
2012-06-13,47.12,48.05,46.98,47.19,971515,47.19
2012-06-14,47.21,48.05,46.96,47.8,1184739,47.8
2012-06-15,48.48,48.62,48.08,48.59,1631014,48.59
2012-06-18,48.16,48.29,47.18,47.38,920294,47.38
2012-06-19,47.84,48.65,47.74,48.33,850651,48.33
