DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,136.7,138.45,134.18,135.19,362061,135.19
2012-01-04,134.24,135,131.25,131.36,344409,131.36
2012-01-05,130.64,133.18,130.64,133.03,209054,133.03
2012-01-06,133.11,134.27,132.24,132.28,315395,132.28
2012-01-09,132.52,133.23,131.61,132.12,176169,132.12
2012-01-10,133.21,134.67,133.05,133.63,175928,133.63
2012-01-11,133.22,134.36,132.62,134.22,189379,134.22
2012-01-12,133.84,134,132.59,133.76,257429,133.76
2012-01-13,132.53,134.96,132.33,134.94,253648,134.94
2012-01-17,136.66,136.72,134.73,134.87,187622,134.87
2012-01-18,134.57,136.46,134.14,135.55,199906,135.55
2012-01-19,135.93,136.19,135,135.66,218809,135.66
2012-01-20,135.82,136.17,133.84,135.83,411121,135.83
2012-01-23,135.72,136.25,134.69,135.98,182630,135.98
2012-01-24,134.99,136.03,134.86,135.6,311269,135.6
2012-01-25,135.15,136.22,134.92,135.91,242023,135.91
2012-01-26,135.98,137.51,135.74,136.65,255963,136.65
2012-01-27,136.52,137.95,135.87,137.52,292316,137.52
2012-01-30,136.17,137.2,135.52,137.16,265514,137.16
2012-01-31,137.27,138.98,137.23,138.86,600630,138.86
2012-02-01,139.57,140.06,138.17,138.52,327845,138.52
2012-02-02,138.89,139.67,138.66,139.25,248928,139.25
2012-02-03,140.46,141.48,138.81,141.34,339704,141.34
2012-02-06,140.76,140.96,138.24,138.91,361471,138.91
2012-02-07,138.58,139.57,138.07,139.38,169056,139.38
2012-02-08,139.07,139.93,138.44,139.53,197886,139.53
2012-02-09,139.38,140.14,137.72,138.19,203407,138.19
2012-02-10,137.27,138.35,136.94,137.71,171918,137.71
2012-02-13,138.68,140.37,138.12,140.09,163677,140.09
2012-02-14,139.66,139.66,137.94,138.52,216489,138.52
2012-02-15,138.91,139.05,136.39,136.87,183126,136.87
2012-02-16,137.08,139.73,137.08,139.54,227593,139.54
2012-02-17,139.78,139.78,138.06,138.74,360291,138.74
2012-02-21,139.08,139.08,136.75,136.99,360937,136.99
2012-02-22,137.42,137.63,135.9,136.22,232574,136.22
2012-02-23,135.91,138.41,135.56,138.39,225127,138.39
2012-02-24,138.27,139.72,136.09,137.12,176416,137.12
2012-02-27,136.58,136.66,135.4,135.63,279298,135.63
2012-02-28,135.86,136.63,134.72,135.03,228446,135.03
2012-02-29,135.14,135.87,133.79,134.07,518226,134.07
2012-03-01,134,134.45,133.62,134.15,388450,134.15
2012-03-02,134,134,132.22,133.4,356397,133.4
2012-03-05,132.69,133.65,131.09,133.5,362653,133.5
2012-03-06,132.13,132.9,131.04,131.34,401943,131.34
2012-03-07,131.43,132,129.74,131.04,375752,131.04
2012-03-08,131.24,131.24,129.04,129.34,408210,129.34
2012-03-09,129.34,131.4,129.14,130.72,318226,130.72
2012-03-12,129.69,131.5,129.33,130.16,295218,130.16
2012-03-13,130.46,133.04,130.46,132.53,344776,132.53
2012-03-14,132.31,133.26,131.87,132.46,235991,132.46
2012-03-15,133.31,133.99,132.06,133.82,373404,133.82
2012-03-16,134.94,136.55,134.4,136.52,724246,136.52
2012-03-19,136.14,137.62,135.95,136.92,325879,136.92
2012-03-20,136.43,137.46,136.15,137.14,267590,137.14
2012-03-21,137.14,137.83,136.62,136.93,269631,136.93
2012-03-22,135.99,136.09,135.04,135.5,316412,135.5
2012-03-23,135.91,137.51,135.43,137.07,296242,137.07
2012-03-26,138.36,138.88,137.35,137.89,250231,137.89
2012-03-27,137.89,138.18,136.81,137.28,241243,137.28
2012-03-28,136.96,137.28,135.81,137.04,289355,137.04
2012-03-29,136.11,137.65,135.93,137.57,212143,137.57
