DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-04-12,33.25,34.21,32,34,172015,34
2012-04-13,34,37.26,33.91,37,256513,37
2012-04-16,37,37,36,36.55,73801,36.55
2012-04-17,36.75,36.75,36,36,25448,36
2012-04-18,35.77,36.44,35.35,36,43639,36
2012-04-19,36,37.22,35.8,36,70599,36
2012-04-20,36.13,37,36.1,36.32,72754,36.32
2012-04-23,36.24,36.24,35.51,35.68,8065,35.68
2012-04-24,36,36,34.71,34.75,42383,34.75
2012-04-25,34.8,35.5,34.52,34.75,67550,34.75
2012-04-26,34.61,34.95,34.45,34.95,69795,34.95
2012-04-27,35.25,35.25,33.97,34.11,92973,34.11
2012-04-30,34.34,34.89,34.02,34.05,1572942,34.05
2012-05-01,33.4,34.1,32.71,32.76,1769923,32.76
2012-05-02,32.57,32.58,31.63,32,2633203,32
2012-05-03,31.6,31.98,31.05,31.39,1985555,31.39
2012-05-04,30.85,31.09,30.12,30.16,2200451,30.16
2012-05-07,30.05,30.53,29.25,29.35,2513187,29.35
2012-05-08,28.77,30.41,28.75,30.1,2902754,30.1
2012-05-09,29.82,32.89,29.75,32.49,3158574,32.49
2012-05-10,33.33,33.35,31.52,32.48,1922415,32.48
2012-05-11,31.73,32.13,31.41,31.83,1118603,31.83
2012-05-14,31.16,31.58,30.77,31.32,1448314,31.32
2012-05-15,31.37,32.3,31.15,31.67,1339453,31.67
2012-05-16,31.35,32.39,31.25,32.1,1270332,32.1
2012-05-17,31.78,32,31.2,31.26,1307170,31.26
2012-05-18,31.51,31.68,31,31.38,2027705,31.38
2012-05-21,31.3,32.34,30.96,32.19,956860,32.19
2012-05-22,31.85,32.27,31.33,31.63,1152887,31.63
2012-05-23,31.25,31.47,30.88,31.41,1046225,31.41
2012-05-24,31.44,31.44,30.75,31.13,755382,31.13
2012-05-25,31.07,31.4,31,31.3,750230,31.3
2012-05-29,31.26,31.71,30.87,31.01,688908,31.01
2012-05-30,30.5,30.81,30.18,30.44,1093607,30.44
2012-05-31,30.13,30.31,29.72,30.03,2174494,30.03
2012-06-01,29.68,30.16,29.38,29.92,1557164,29.92
2012-06-04,29.29,30.19,29.25,29.53,1078482,29.53
2012-06-05,29.37,30.1,29.37,29.9,776547,29.9
2012-06-06,30.25,32,30.08,31.53,1476617,31.53
2012-06-07,32.44,32.75,31.74,31.83,1494390,31.83
2012-06-08,31.6,32.35,31.52,32.12,974304,32.12
2012-06-11,32.45,33.05,32.23,32.6,1045449,32.6
2012-06-12,32.57,33.73,32.5,33.49,1139792,33.49
2012-06-13,33.13,33.48,32.55,32.77,605323,32.77
2012-06-14,32.77,33.64,32.31,33.53,1009233,33.53
2012-06-15,33.88,34.91,33.4,34.9,4646658,34.9
2012-06-18,34.4,34.5,33.83,33.86,834376,33.86
2012-06-19,34.04,34.53,33.74,33.86,797320,33.86
2012-06-20,34,34.83,33.71,34.66,1086633,34.66
