DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,72.2,72.49,71.08,71.22,180749,71.22
2012-01-04,71.24,73.87,71.06,73.86,317388,73.86
2012-01-05,72.34,73.22,70.39,72.68,262392,72.68
2012-01-06,72.8,73.93,71.82,73.66,227940,73.66
2012-01-09,74.64,74.76,72.35,73.8,245636,73.8
2012-01-10,74.24,74.24,73.21,74,227077,74
2012-01-11,73.95,74.39,73.68,73.9,214392,73.9
2012-01-12,72.35,76.54,70.59,76.17,628013,76.17
2012-01-13,75.36,77,74.99,75.4,280304,75.4
2012-01-17,76.37,76.37,74.55,74.99,279125,74.99
2012-01-18,74.59,76.38,74.03,76.01,234081,76.01
2012-01-19,76.01,77.33,75.94,76.95,238335,76.95
2012-01-20,77,77.26,76.28,76.64,225771,76.64
2012-01-23,76.5,77.44,75.84,76.28,307685,76.28
2012-01-24,76.16,78.37,76.02,77.94,158699,77.94
2012-01-25,77.67,77.95,76.71,77.6,272298,77.6
2012-01-26,77.84,77.95,76.43,76.94,311819,76.94
2012-01-27,76.98,77.26,76.58,76.7,201734,76.7
2012-01-30,76.08,77.17,75.45,76.62,162242,76.62
2012-01-31,77.08,77.77,76.47,77.19,265351,77.19
2012-02-01,77.75,77.75,76.17,76.47,430670,76.47
2012-02-02,76.75,76.9,76.17,76.26,283116,76.26
2012-02-03,77,78.74,76.54,78.11,235918,78.11
2012-02-06,77.87,78.61,77.45,78.31,126791,78.31
2012-02-07,77.93,79.73,77.58,79.12,183498,79.12
2012-02-08,81.91,82.94,80.27,81.05,302956,81.05
2012-02-09,81.04,81.73,80.2,81.27,191645,81.27
2012-02-10,80.8,81.45,80.6,81.3,221959,81.3
2012-02-13,81.98,82.34,81.35,82.04,164935,82.04
2012-02-14,81.34,82.49,81.27,82.37,139412,82.37
2012-02-15,82.51,82.88,81.2,81.7,182431,81.7
2012-02-16,81.53,82.9,81.38,82.12,139881,82.12
2012-02-17,82.5,82.9,81.8,82.23,69356,82.23
2012-02-21,82.66,83.48,81.62,82.26,163952,82.26
2012-02-22,82.26,82.7,81.76,82.22,128121,82.22
2012-02-23,82.06,82.62,81.66,82.16,100428,82.16
2012-02-24,82.14,82.58,81.46,82.42,104040,82.42
2012-02-27,81.68,83.76,81.52,82.95,168883,82.95
2012-02-28,82.89,83.53,82.29,83.34,146917,83.34
2012-02-29,83.74,85.07,83.37,85.01,328645,85.01
2012-03-01,85.48,86.72,84.82,85.55,280859,85.55
2012-03-02,85.73,85.9,84.42,84.72,259460,84.72
2012-03-05,84.71,85.34,84.14,85.18,193209,85.18
2012-03-06,83.91,84.12,82.52,83.01,158857,83.01
2012-03-07,83.34,83.85,82.87,83.5,139775,83.5
2012-03-08,83.9,85.57,83.73,84.69,178782,84.69
2012-03-09,84.77,86.98,84.73,86.93,134905,86.93
2012-03-12,86.98,87.58,86.27,87.28,139449,87.28
2012-03-13,87.77,89.01,87.1,89,170709,89
2012-03-14,89.24,89.3,87.99,88.94,181882,88.94
2012-03-15,88.67,89.37,87.97,88.73,138926,88.73
2012-03-16,90.64,90.64,88.61,89.27,415750,89.27
2012-03-19,88.98,89.93,88.82,89,179267,89
2012-03-20,88.37,89.82,88.37,89.33,138655,89.33
2012-03-21,89.4,90.07,89.4,89.53,205307,89.53
2012-03-22,89.96,90.61,88.45,89.97,232322,89.97
2012-03-23,90.32,90.32,87.45,89.55,186026,89.55
2012-03-26,91,92.13,89.6,90.83,308221,90.83
2012-03-27,90.81,90.92,89.76,89.81,306296,89.81
