DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,22.03,22.19,21.49,21.56,529929,21.56
2012-01-04,21.44,21.68,21.19,21.61,314812,21.61
2012-01-05,21.5,21.96,21.29,21.88,338989,21.88
2012-01-06,21.84,21.92,21.66,21.72,291113,21.72
2012-01-09,21.8,21.92,21.59,21.61,372497,21.61
2012-01-10,21.97,22.29,21.9,22.03,319186,22.03
2012-01-11,21.88,22.2,21.84,22.05,258129,22.05
2012-01-12,22.13,22.2,21.96,22.14,436303,22.14
2012-01-13,22.02,22.06,21.56,22.04,371373,22.04
2012-01-17,22.3,22.34,21.58,21.66,371180,21.66
2012-01-18,21.63,21.94,20.81,21.55,1028213,21.55
2012-01-19,21.59,21.81,21.41,21.69,372167,21.69
2012-01-20,21.65,21.66,21.19,21.4,425772,21.4
2012-01-23,21.45,21.69,20.7,20.86,532225,20.86
2012-01-24,20.68,20.98,20.59,20.89,293273,20.89
2012-01-25,20.88,21.58,20.78,21.48,340511,21.48
2012-01-26,21.58,21.77,21.36,21.47,355769,21.47
2012-01-27,21.46,21.78,21.26,21.67,587558,21.67
2012-01-30,21.45,21.82,21.38,21.8,293004,21.8
2012-01-31,21.86,21.99,21.39,21.6,301503,21.6
2012-02-01,21.73,22.26,21.6,22.08,287781,22.08
2012-02-02,22.1,22.21,21.93,22.21,317770,22.21
2012-02-03,22.25,22.47,21.92,22.3,544268,22.3
2012-02-06,22.23,22.46,22.08,22.44,349637,22.44
2012-02-07,22.33,22.55,22.15,22.44,583042,22.44
2012-02-08,22.41,22.5,22.08,22.2,402567,22.2
2012-02-09,22.27,22.53,22.2,22.46,333576,22.46
2012-02-10,22.25,22.31,21.81,21.88,349658,21.88
2012-02-13,22,22.15,21.76,21.95,419148,21.95
2012-02-14,21.91,22.2,21.84,22.2,292131,22.2
2012-02-15,22.35,22.35,21.85,21.92,262208,21.92
2012-02-16,21.91,22.03,21.78,21.88,320869,21.88
2012-02-17,22.06,22.06,21.69,21.74,523771,21.74
2012-02-21,21.88,21.99,21.69,21.79,579802,21.79
2012-02-22,22,22.27,20.88,21.27,876695,21.27
2012-02-23,21.08,21.55,20.97,21.28,548386,21.28
2012-02-24,21.26,21.44,21.02,21.07,563983,21.07
2012-02-27,20.87,21.5,20.73,21.34,605312,21.34
2012-02-28,21.28,21.47,21.13,21.3,337072,21.3
2012-02-29,21.31,21.35,20.88,20.9,556218,20.9
2012-03-01,20.96,21.34,20.96,21.18,416522,21.18
2012-03-02,21.19,21.19,20.85,20.98,414352,20.98
2012-03-05,20.88,21.29,20.85,21.25,374554,21.25
2012-03-06,20.97,21.08,20.65,20.72,529402,20.72
2012-03-07,20.78,21.26,20.73,21.03,328457,21.03
2012-03-08,21.18,21.48,21,21.42,772696,21.42
2012-03-09,21.42,21.67,21.39,21.66,793169,21.66
2012-03-12,21.61,21.72,21.48,21.6,471560,21.6
2012-03-13,21.75,21.79,21.58,21.78,585462,21.78
2012-03-14,21.73,21.96,21.6,21.65,342903,21.65
2012-03-15,21.62,21.9,21.52,21.89,588875,21.89
2012-03-16,21.92,22.15,21.9,21.94,704843,21.94
2012-03-19,21.86,21.92,21.57,21.78,394981,21.78
2012-03-20,21.6,21.6,21.13,21.39,589780,21.39
2012-03-21,21.39,21.61,21.14,21.31,540267,21.31
2012-03-22,21.15,21.28,20.87,21.25,397705,21.25
2012-03-23,21.21,21.45,20.95,21.41,443730,21.41
2012-03-26,21.64,21.83,21.46,21.64,482567,21.64
2012-03-27,21.68,21.82,21.34,21.36,776815,21.36
2012-03-28,21.36,21.46,20.86,21.06,505031,21.06
2012-03-29,20.87,20.98,20.78,20.94,498333,20.94
2012-03-30,21.09,21.2,20.88,20.9,415029,20.9
2012-04-02,20.81,21.17,20.65,21.03,576772,21.03
2012-04-03,21.02,21.12,20.82,21.12,686979,21.12
2012-04-04,20.91,21.68,20.76,21.56,985460,21.56
2012-04-05,21.51,22.01,21.49,21.65,786753,21.65
2012-04-09,21.34,21.39,20.84,20.89,568105,20.89
2012-04-10,20.74,20.87,20.22,20.34,787649,20.34
2012-04-11,20.63,20.89,20.41,20.73,673301,20.73
2012-04-12,20.7,21,20.64,20.98,446667,20.98
2012-04-13,20.9,21.02,20.52,20.74,494452,20.74
2012-04-16,20.87,21.14,20.73,20.89,524583,20.89
2012-04-17,21.02,21.4,20.92,21.35,768731,21.35
2012-04-18,21.18,21.39,21.03,21.13,420705,21.13
2012-04-19,21.18,21.26,20.61,20.78,716819,20.78
2012-04-20,20.85,21.36,20.84,21.23,482020,21.23
2012-04-23,20.93,20.95,20.67,20.82,454792,20.82
2012-04-24,20.89,21.15,20.85,21.07,434835,21.07
2012-04-25,21.32,21.56,21.22,21.43,431594,21.43
2012-04-26,21.43,21.65,21.26,21.62,292276,21.62
2012-04-27,21.75,22.21,21.68,22.06,481292,22.06
2012-04-30,22,22.19,21.75,22.12,636369,22.12
2012-05-01,22.08,22.45,21.96,22.31,503368,22.31
2012-05-02,22.24,22.77,22.11,22.63,948563,22.63
2012-05-03,23.1,24.03,23,23.5,1130525,23.5
2012-05-04,23.74,23.75,23,23.16,760464,23.16
2012-05-07,23.21,23.66,23.15,23.5,1065990,23.5
2012-05-08,23.32,23.46,22.98,23.37,535759,23.37
2012-05-09,23.15,23.42,23.01,23.11,719602,23.11
2012-05-10,23.45,23.57,22.95,23.04,723998,23.04
2012-05-11,22.95,23.27,22.92,23.13,499255,23.13
2012-05-14,22.9,23.05,22.8,22.9,362622,22.9
2012-05-15,22.85,23.02,22.58,22.6,508514,22.6
2012-05-16,22.74,23.1,22.74,22.74,619852,22.74
2012-05-17,22.77,22.83,22.01,22.01,556975,22.01
2012-05-18,22.22,22.24,21.62,21.66,810483,21.66
2012-05-21,21.76,22.17,21.68,22.13,323458,22.13
2012-05-22,22.16,22.43,21.99,22.23,493790,22.23
2012-05-23,22.04,22.61,21.78,22.6,440058,22.6
2012-05-24,22.62,22.93,22.42,22.91,587885,22.91
2012-05-25,22.84,22.98,22.51,22.7,561329,22.7
2012-05-29,22.92,22.99,22.44,22.53,656680,22.53
2012-05-30,22.33,22.34,22,22.14,601448,22.14
2012-05-31,22.18,22.76,21.96,22.58,803067,22.58
2012-06-01,22.1,22.18,21.41,21.6,878587,21.6
2012-06-04,21.67,21.68,21.15,21.37,894948,21.37
2012-06-05,21.33,21.47,21.18,21.29,848957,21.29
2012-06-06,21.54,21.94,21.52,21.93,649216,21.93
2012-06-07,22.23,22.53,21.96,22.27,816659,22.27
2012-06-08,22.17,22.54,21.97,22.54,434202,22.54
2012-06-11,22.75,22.82,22.16,22.18,798285,22.18
2012-06-12,22.28,22.43,21.97,22.39,514528,22.39
2012-06-13,22.31,22.64,22.13,22.29,499031,22.29
2012-06-14,22.34,22.94,22.33,22.88,616012,22.88
2012-06-15,23,23.15,22.71,22.81,1012690,22.81
2012-06-18,22.78,23.37,22.61,23.33,793236,23.33
2012-06-19,23.43,23.49,23.2,23.24,574443,23.24
2012-06-20,23.2,23.29,22.94,23.15,452464,23.15
2012-06-21,23.22,23.38,22.68,22.73,1083761,22.73
2012-06-22,22.86,22.94,22.6,22.83,729904,22.83
2012-06-25,22.52,22.57,22.22,22.34,407555,22.34
2012-06-26,22.43,22.76,22.39,22.57,593317,22.57
2012-06-27,22.65,22.98,22.57,22.91,539772,22.91
2012-06-28,22.77,23.57,22.66,23.54,843478,23.54
2012-06-29,23.76,24.07,23.6,24.07,733933,24.07
2012-07-02,24.13,24.24,23.76,23.89,556049,23.89
2012-07-03,23.83,24.04,23.62,23.65,430187,23.65
2012-07-05,23.62,23.94,23.5,23.83,546925,23.83
2012-07-06,23.52,23.61,23.36,23.5,413817,23.5
2012-07-09,23.52,23.55,23.34,23.5,459941,23.5
2012-07-10,23.55,23.71,22.98,23.09,446075,23.09
2012-07-11,23.07,23.14,22.55,22.73,531664,22.73
2012-07-12,22.58,23.18,22.45,23.11,638724,23.11
2012-07-13,23.08,23.42,23.08,23.39,393533,23.39
2012-07-16,23.34,23.4,23.13,23.28,380770,23.28
2012-07-17,23.32,23.55,23.23,23.51,384240,23.51
2012-07-18,23.38,23.63,23.33,23.5,405369,23.5
2012-07-19,23.03,23.1,22.29,22.71,1124675,22.71
2012-07-20,22.36,22.4,21.96,22.01,721050,22.01
2012-07-23,21.7,22.39,21.63,22.22,609967,22.22
2012-07-24,22.24,22.46,21.94,22.05,558677,22.05
2012-07-25,22.19,22.41,21.96,22.11,404916,22.11
2012-07-26,22.42,22.77,22.33,22.69,507261,22.69
2012-07-27,22.83,23.27,22.67,23.14,543079,23.14
2012-07-30,23.07,23.48,23.07,23.27,453484,23.27
2012-07-31,23.33,23.35,22.85,22.99,507029,22.99
2012-08-01,23.11,23.33,22.43,22.47,710231,22.47
2012-08-02,23.5,24.1,23.05,23.93,1378107,23.93
2012-08-03,24.42,24.88,24.28,24.71,703909,24.71
2012-08-06,24.87,24.93,24.35,24.48,716731,24.48
2012-08-07,24.67,25.06,24.48,24.56,448704,24.56
2012-08-08,24.49,24.88,24.34,24.76,292760,24.76
2012-08-09,24.73,24.74,24.35,24.58,367825,24.58
