DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,92.14,93.31,90.3,92.63,432666,92.63
2012-01-04,92.16,93.65,91.29,93.56,362513,93.56
2012-01-05,92.6,95.63,92.14,95.5,472885,95.5
2012-01-06,96.19,96.29,94.01,94.01,438343,94.01
2012-01-09,94,95.01,93.29,95.01,275994,95.01
2012-01-10,96.31,98.83,96.31,97.66,483552,97.66
2012-01-11,97.17,97.58,94.1,94.35,378269,94.35
2012-01-12,95.25,98.62,94.82,96.56,735917,96.56
2012-01-13,95.51,97.82,95.02,97.63,555093,97.63
2012-01-17,99.37,99.78,97.53,99.15,261716,99.15
2012-01-18,99.3,100.12,98.21,99.6,322768,99.6
2012-01-19,99.94,101.68,99.65,100.89,371580,100.89
2012-01-20,100.61,100.78,96.77,97.71,540108,97.71
2012-01-23,98.27,100.49,97.77,100.09,278039,100.09
2012-01-24,97.19,98.8,97.09,98.23,458394,98.23
2012-01-25,98.01,101.76,96.8,101.49,337784,101.49
2012-01-26,102,102.49,97.87,98.71,349570,98.71
2012-01-27,98.61,99.49,96.44,97.42,378505,97.42
2012-01-30,96,97.78,95.09,97.64,321505,97.64
2012-01-31,98.23,99.78,97.35,99.3,339362,99.3
2012-02-01,100.29,100.29,98.24,98.91,225750,98.91
2012-02-02,101.85,104.63,101,102.66,436289,102.66
2012-02-03,103.97,105.87,103.27,104.39,451804,104.39
2012-02-06,104.47,106.78,104.25,105.74,434461,105.74
2012-02-07,105,108.48,102.15,108.35,622207,108.35
2012-02-08,108.56,112.41,108.56,109.84,443299,109.84
2012-02-09,110.12,110.7,108.38,110.17,344242,110.17
2012-02-10,108.45,109.19,107.62,109.17,295683,109.17
2012-02-13,110.44,112.3,108.67,111.85,238552,111.85
2012-02-14,112.31,112.31,109.77,110.79,558141,110.79
2012-02-15,111.55,115.21,111.31,113.46,424009,113.46
2012-02-16,113.46,115.13,112.36,114.88,267765,114.88
2012-02-17,116.49,119.19,113.11,113.67,573039,113.67
2012-02-21,115,115,112.9,113.76,286847,113.76
2012-02-22,113.44,114.96,112.89,113.7,202617,113.7
2012-02-23,113.48,114.95,111.97,114.7,288401,114.7
2012-02-24,115.2,117.91,114.93,116.24,265561,116.24
2012-02-27,115.09,115.44,113.76,113.9,276700,113.9
2012-02-28,114.13,114.13,111,111.91,393357,111.91
2012-02-29,113.21,113.21,108.68,109.64,828466,109.64
2012-03-01,110.51,112.13,109.6,111.9,305602,111.9
2012-03-02,110.89,111.5,107.69,108.4,318782,108.4
2012-03-05,108.15,108.15,103.41,106.16,385917,106.16
2012-03-06,104.03,104.29,101.16,103.27,456845,103.27
2012-03-07,103.25,106.14,101.78,105.34,295388,105.34
2012-03-08,106,108.14,104.83,107.64,274131,107.64
2012-03-09,108.02,109.74,107.71,108.55,361601,108.55
2012-03-12,108.55,108.55,106.5,106.96,213649,106.96
2012-03-13,107.58,108.02,105.27,107.93,244896,107.93
2012-03-14,107.69,108.84,105.83,106.4,165822,106.4
2012-03-15,106.5,107.61,105.35,106.55,236424,106.55
2012-03-16,107.5,110.54,107.39,110.01,721839,110.01
2012-03-19,109.4,111.42,108.87,111.31,361075,111.31
2012-03-20,109.42,109.69,105.57,106.35,470108,106.35
2012-03-21,106.04,106.04,103.14,103.79,379347,103.79
2012-03-22,102.24,103.09,99.82,100.69,425532,100.69
2012-03-23,100.73,102.79,100.5,101.75,341335,101.75
2012-03-26,103.1,105.13,102.78,105,468452,105
2012-03-27,104.88,107.18,104.4,106.65,513032,106.65
2012-03-28,105.6,106.53,103.51,105.36,386621,105.36
2012-03-29,104.11,105.38,102.44,105.2,286648,105.2
2012-03-30,106.18,112.58,106.12,111.59,893565,111.59
2012-04-02,111.59,113.51,110.53,112.1,411062,112.1
2012-04-03,112.15,112.42,110.56,111.93,415173,111.93
2012-04-04,110.28,110.44,108.39,109.63,369201,109.63
2012-04-05,109.3,111.34,109,109.6,294749,109.6
2012-04-09,107.76,108.08,106.3,107.48,227799,107.48
2012-04-10,107.5,108.38,104.39,105.12,404512,105.12
2012-04-11,106.47,106.65,103.52,103.64,309192,103.64
2012-04-12,103.99,108.26,103.82,107.83,415693,107.83
2012-04-13,107.45,108.19,106.55,106.69,247657,106.69
2012-04-16,107.59,108.37,103.85,104.6,393320,104.6
2012-04-17,106.19,109.16,105.93,107.69,362464,107.69
2012-04-18,106.93,106.93,104.66,105.72,409212,105.72
2012-04-19,106.67,107.74,105.03,105.89,220270,105.89
2012-04-20,106.3,106.94,104.58,104.98,374508,104.98
2012-04-23,103.3,105.81,102.35,105.49,218968,105.49
2012-04-24,105.56,107.3,104.72,106.71,214397,106.71
2012-04-25,107.54,114.27,107.35,113.61,493054,113.61
2012-04-26,113.2,115.85,112.95,115.64,259865,115.64
2012-04-27,115.74,115.93,113.76,115.64,267073,115.64
2012-04-30,114.49,116.13,112.56,115.82,460171,115.82
2012-05-01,116.19,117.05,114.74,116.16,420208,116.16
2012-05-02,114.78,115.35,111.93,112.64,619922,112.64
2012-05-03,117.63,117.63,109.76,110.86,759407,110.86
2012-05-04,108.33,109.11,105.8,106.93,500986,106.93
2012-05-07,105.86,107.35,104.66,105.47,435891,105.47
2012-05-08,104.5,104.63,100.49,103.88,502242,103.88
2012-05-09,102.25,102.58,99.5,102.19,519833,102.19
2012-05-10,104.13,106.19,103.06,104.23,424210,104.23
2012-05-11,102.75,105.05,101.8,101.95,282567,101.95
2012-05-14,100,100.58,98.57,98.76,296295,98.76
2012-05-15,98.55,99.7,97.01,97.95,381490,97.95
2012-05-16,98.05,99.92,97.58,97.66,494857,97.66
2012-05-17,97.97,99.2,96.69,96.72,341138,96.72
2012-05-18,97.98,98.91,94.8,95.36,604233,95.36
2012-05-21,95.36,99.92,95.35,99.84,284772,99.84
2012-05-22,99.99,102.35,98.5,100.68,455092,100.68
2012-05-23,99.21,99.6,94.92,99.3,546662,99.3
2012-05-24,99.96,99.96,96.1,98.03,463085,98.03
2012-05-25,98.27,99.53,98.04,99.21,291118,99.21
2012-05-29,100.15,103.09,99.9,102.71,355027,102.71
2012-05-30,100.27,100.27,97.27,98.35,361198,98.35
2012-05-31,98.44,98.64,94.59,96.7,658129,96.7
2012-06-01,94.58,94.85,87.71,88.3,877384,88.3
2012-06-04,89,89.37,84.25,86.82,792995,86.82
2012-06-05,86.53,89.73,86.28,89.52,503473,89.52
2012-06-06,91.64,95.97,91.42,94.53,743828,94.53
2012-06-07,96.28,98.29,94.25,95.27,588876,95.27
2012-06-08,93.65,94.75,91.68,94.29,617588,94.29
2012-06-11,95.51,95.91,90.17,90.29,422778,90.29
2012-06-12,91.25,92.9,89.35,92.76,383162,92.76
2012-06-13,91.45,92.26,88.23,88.95,349452,88.95
2012-06-14,89.24,90.4,86.31,88.17,775948,88.17
2012-06-15,89.12,89.93,87.62,89.85,599004,89.85
2012-06-18,89.61,89.61,86.88,87.05,479508,87.05
2012-06-19,88.5,91.21,87.57,90.32,499676,90.32
2012-06-20,89.93,90.36,84.99,86,670633,86
2012-06-21,86,86.24,80.54,80.84,805896,80.84
2012-06-22,81.49,83.98,79.87,83.13,668846,83.13
2012-06-25,80.91,81.15,77.44,78.78,536525,78.78
2012-06-26,78.88,81.24,78.66,80.69,410341,80.69
2012-06-27,81.43,82.84,81.13,82.24,510410,82.24
2012-06-28,81.21,83.45,80.76,83.31,577088,83.31
2012-06-29,86.29,88.27,86.15,88.21,702075,88.21
2012-07-02,88.53,89.27,85.25,86.72,422660,86.72
2012-07-03,88.01,92.14,87.46,91.05,455409,91.05
2012-07-05,90.07,90.69,87.81,88.04,372428,88.04
2012-07-06,86.05,87.4,85.07,86.16,322798,86.16
2012-07-09,85.79,87.3,85.05,85.98,359992,85.98
2012-07-10,86.49,86.65,82.19,82.8,308768,82.8
2012-07-11,83.41,85.67,83.26,85.08,379554,85.08
2012-07-12,82.97,84.63,82.78,83.88,349164,83.88
2012-07-13,84.23,85.25,84.23,85.05,223058,85.05
2012-07-16,84.6,85.43,83.83,84.87,322305,84.87
2012-07-17,85.81,88.48,84.54,88.36,391202,88.36
2012-07-18,87.58,90.55,87.44,89.9,317521,89.9
2012-07-19,89.52,94.72,89.52,93.49,520340,93.49
2012-07-20,91.24,93.5,90.35,92.75,387917,92.75
2012-07-23,90,90.44,88,88.71,493081,88.71
2012-07-24,89.29,89.41,85.69,86.96,447853,86.96
2012-07-25,87.83,88.27,85.42,87.79,330225,87.79
2012-07-26,90.51,90.51,88.6,89.52,417100,89.52
2012-07-27,90.35,92.79,89.15,92.36,273527,92.36
2012-07-30,92.2,92.28,89.73,90.38,342040,90.38
2012-07-31,90.23,91.46,88.4,88.63,269017,88.63
2012-08-01,90.23,95.13,90,93.86,883988,93.86
2012-08-02,91.15,94.22,90.6,92,739884,92
2012-08-03,95,98.07,94.47,97.43,595264,97.43
2012-08-06,97.48,97.84,96.53,96.87,378181,96.87
2012-08-07,98.22,99.41,97.78,98.57,340531,98.57
2012-08-08,97.87,101.98,97.8,99.43,315355,99.43
2012-08-09,98.7,99.97,98.69,99.87,245451,99.87
2012-08-10,98,98.73,97.12,98.29,345459,98.29
2012-08-13,98.43,99,96.69,97.26,174517,97.26
2012-08-14,98.03,98.33,96.66,97.18,157889,97.18
2012-08-15,97.41,98.88,97.18,98.75,215658,98.75
