DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,30.31,30.82,29.88,30.57,358145,30.57
2012-01-04,30.49,31.56,30.29,31.46,362065,31.46
2012-01-05,31.5,31.91,31.04,31.66,560040,31.66
2012-01-06,31.78,31.81,31.06,31.1,361589,31.1
2012-01-09,31.02,31.21,30.65,30.84,271174,30.84
2012-01-10,31.46,31.52,30.72,30.89,362951,30.89
2012-01-11,30.69,30.69,28.8,29.11,826295,29.11
2012-01-12,28.89,28.97,28.26,28.4,685345,28.4
2012-01-13,27.77,28.19,26.73,26.9,757842,26.9
2012-01-17,27.3,27.41,26.75,27,358229,27
2012-01-18,27,27.67,26.91,27.64,474234,27.64
2012-01-19,27.7,27.88,27.31,27.45,387477,27.45
2012-01-20,27.34,27.56,26.81,27.45,636037,27.45
2012-01-23,27.83,29.08,27.83,28.88,691587,28.88
2012-01-24,28.53,29.11,28.2,28.9,666795,28.9
2012-01-25,28.75,30.06,28.46,30,598681,30
2012-01-26,30.2,30.2,28.73,28.96,986179,28.96
2012-01-27,28.83,29.46,28.77,29.22,399041,29.22
2012-01-30,28.76,29.32,28.47,29.23,396198,29.23
2012-01-31,29.53,29.53,28.55,28.64,334980,28.64
2012-02-01,29.01,29.13,28.49,28.9,379606,28.9
2012-02-02,29.02,29.32,28.89,29.18,297849,29.18
2012-02-03,29.61,29.89,29.33,29.74,295641,29.74
2012-02-06,29.43,29.9,29.07,29.89,352137,29.89
2012-02-07,29.75,29.92,29.15,29.84,332537,29.84
2012-02-08,29.83,30.46,29.55,30.41,635043,30.41
2012-02-09,30.47,31.66,30.21,31.46,772570,31.46
2012-02-10,31,31.11,30.14,30.39,1040526,30.39
2012-02-13,30.91,30.99,30.45,30.9,305036,30.9
2012-02-14,30.91,31.23,30.66,31,340190,31
2012-02-15,31.3,31.77,31,31.27,295117,31.27
2012-02-16,31.15,32.65,30.95,32.12,540706,32.12
2012-02-17,32.48,32.75,31.97,32.53,320536,32.53
2012-02-21,32.8,32.83,32.37,32.49,345642,32.49
2012-02-22,32.45,32.53,31.33,31.57,474530,31.57
2012-02-23,33.93,34.91,32.96,34.03,929314,34.03
2012-02-24,34.13,34.44,33.92,34.32,344537,34.32
2012-02-27,34.35,35.48,34.08,34.9,548821,34.9
2012-02-28,34.9,35.6,34.73,34.76,646256,34.76
2012-02-29,34.81,34.87,33.96,34.14,438467,34.14
2012-03-01,32.9,34.29,32.82,33.83,391190,33.83
2012-03-02,33.64,33.93,32.75,32.84,286096,32.84
2012-03-05,32.82,32.82,31.89,32.22,412644,32.22
2012-03-06,31.72,32.02,30.88,31.98,781021,31.98
2012-03-07,32.09,32.52,31.7,32.01,564570,32.01
2012-03-08,32.4,32.62,31.86,32.32,312178,32.32
2012-03-09,32.44,32.82,31.65,31.99,410000,31.99
2012-03-12,31.99,31.99,30.42,30.65,462083,30.65
2012-03-13,30.86,31.15,30.39,31.03,498849,31.03
2012-03-14,31.04,31.39,30.51,30.64,311447,30.64
2012-03-15,30.75,31.56,30.43,31.47,636368,31.47
2012-03-16,31.76,32.03,31.58,31.91,926207,31.91
2012-03-19,31.91,33.25,31.91,33.06,423707,33.06
2012-03-20,32.62,32.76,32.13,32.28,363565,32.28
2012-03-21,32.33,32.33,31.72,31.91,271538,31.91
2012-03-22,31.28,31.3,30.16,30.45,324150,30.45
2012-03-23,30.6,30.78,30.12,30.45,277234,30.45
2012-03-26,30.85,30.99,30.4,30.61,209299,30.61
2012-03-27,30.63,30.63,30.13,30.25,205577,30.25
2012-03-28,30.03,30.11,29.33,29.61,242777,29.61
2012-03-29,29.33,29.78,28.93,29.72,284552,29.72
2012-03-30,29.89,30.72,29.76,30.5,415435,30.5
2012-04-02,30.46,32.02,30.24,31.55,474201,31.55
2012-04-03,31.5,31.6,30.7,31.16,411931,31.16
2012-04-04,30.66,30.78,30.07,30.4,246223,30.4
2012-04-05,30.17,30.5,29.56,29.7,330427,29.7
2012-04-09,28.97,29.42,28.67,29.15,421183,29.15
2012-04-10,29.06,29.3,28.22,28.24,504043,28.24
2012-04-11,28.63,28.96,27.88,27.98,302063,27.98
2012-04-12,28.08,29.04,28.02,28.99,310122,28.99
2012-04-13,28.84,28.86,28.19,28.42,376384,28.42
2012-04-16,28.65,28.74,27.85,28.4,346214,28.4
2012-04-17,28.75,29.95,28.68,29.75,467136,29.75
2012-04-18,29.52,29.62,29.03,29.35,226456,29.35
2012-04-19,29.42,29.77,29.16,29.42,288015,29.42
2012-04-20,29.68,29.96,29.15,29.32,411027,29.32
2012-04-23,28.71,30.09,28.54,29.8,482519,29.8
2012-04-24,30.06,30.3,29.51,30,379222,30
2012-04-25,29,30.24,28.56,30.14,960010,30.14
