DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,25.99,26.43,25.69,25.9,589677,25.9
2012-01-04,25.87,26.26,25.72,26.12,422251,26.12
2012-01-05,26.11,26.25,25.52,26,788325,26
2012-01-06,26.22,26.24,25.4,25.5,458520,25.5
2012-01-09,25.77,25.8,25.45,25.58,492336,25.58
2012-01-10,26.22,27.03,26.22,27.02,634834,27.02
2012-01-11,27.21,28.75,27.2,28.27,1061031,28.27
2012-01-12,28.25,29.66,28,29.52,875979,29.52
2012-01-13,28.66,29.02,28.53,28.75,873902,28.75
2012-01-17,26.9,28.05,26.75,26.97,1953280,26.97
2012-01-18,27.45,27.84,27.32,27.68,604397,27.68
2012-01-19,28,28.32,27.82,27.95,582936,27.95
2012-01-20,27.84,28.11,27.49,28.03,471806,28.03
2012-01-23,28.37,28.69,28.04,28.33,545099,28.33
2012-01-24,27.99,28.68,27.74,28.66,936564,28.66
2012-01-25,28.49,28.49,27.94,28.11,692261,28.11
2012-01-26,28.54,28.57,27.45,27.9,773758,27.9
2012-01-27,27.95,28.16,27.47,27.69,634971,27.69
2012-01-30,27.14,27.26,26.83,27.18,736735,27.18
2012-01-31,27.52,27.54,26.81,27.18,1035042,27.18
2012-02-01,27.66,28.38,27.61,28.24,959253,28.24
2012-02-02,26.66,29.36,26.62,28.69,1986653,28.69
2012-02-03,29.06,30.78,29.06,30.59,1098452,30.59
2012-02-06,30.16,30.78,30.16,30.56,732062,30.56
2012-02-07,30.34,31.47,30.16,31.07,713132,31.07
2012-02-08,31.2,31.96,31.17,31.52,649397,31.52
2012-02-09,31.67,31.79,30.97,31.52,628169,31.52
2012-02-10,30.98,31.14,30.67,30.87,386602,30.87
2012-02-13,30.92,31.1,30.29,30.65,552480,30.65
2012-02-14,30.28,30.44,29.64,29.99,568452,29.99
2012-02-15,30.06,30.65,29.71,29.92,576612,29.92
2012-02-16,29.88,30.69,29.71,30.52,390843,30.52
2012-02-17,30.82,31.19,30.44,30.81,502794,30.81
2012-02-21,30.7,30.88,29.75,29.89,702538,29.89
2012-02-22,29.81,29.94,28.71,28.75,742007,28.75
2012-02-23,28.84,29.2,28.6,29.07,774966,29.07
2012-02-24,28.83,28.96,28.39,28.49,486207,28.49
2012-02-27,27.92,28.26,27.72,28.07,760500,28.07
2012-02-28,27.78,28.51,27.73,28.06,818059,28.06
2012-02-29,28.45,29.17,28.2,28.49,915726,28.49
2012-03-01,28.84,29.03,27.87,28.2,682035,28.2
2012-03-02,28.1,28.7,27.99,28.07,571578,28.07
2012-03-05,27.85,27.85,27.09,27.5,573497,27.5
2012-03-06,26.75,26.9,26.48,26.64,682217,26.64
2012-03-07,26.95,27.55,26.9,27.4,607158,27.4
2012-03-08,27.61,28.13,27.59,27.91,701213,27.91
2012-03-09,28.33,28.88,27.11,27.38,1118005,27.38
2012-03-12,27.89,28.34,27.68,28.21,692560,28.21
2012-03-13,28.45,29.2,28.41,29.17,814717,29.17
2012-03-14,29.05,29.36,28.86,29.01,789053,29.01
2012-03-15,29.21,30,28.98,29.93,996669,29.93
2012-03-16,30.06,30.71,29.98,30.58,1290805,30.58
2012-03-19,30.42,30.94,30.37,30.54,552583,30.54
2012-03-20,30.08,30.61,29.92,30.32,476505,30.32
2012-03-21,30.27,30.52,29.96,29.97,522787,29.97
2012-03-22,29.69,29.92,29.24,29.41,579614,29.41
2012-03-23,29.38,29.46,28.9,29.37,467586,29.37
2012-03-26,29.97,30.36,29.97,30.3,569852,30.3
2012-03-27,30.29,30.48,30.04,30.15,470542,30.15
2012-03-28,29.92,30.22,29.29,29.65,561221,29.65
2012-03-29,29.21,29.37,28.53,29.31,621735,29.31
2012-03-30,29.55,29.61,28.98,29.43,706079,29.43
2012-04-02,29.34,29.44,28.98,29.13,410171,29.13
2012-04-03,29.16,29.4,28.73,28.84,515303,28.84
2012-04-04,28.36,28.52,27.97,28.03,803097,28.03
2012-04-05,27.83,28.1,27.7,27.89,426401,27.89
2012-04-09,27.5,28.16,27.25,28.07,443889,28.07
2012-04-10,27.7,27.83,26.5,26.72,860090,26.72
2012-04-11,27.34,27.73,27.01,27.11,716545,27.11
