DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,56.51,57.97,56.24,56.43,219010,56.43
2012-01-04,56.47,57.99,56.01,57.83,492341,57.83
2012-01-05,57.73,62.2,57.7,60.94,677984,60.94
2012-01-06,61.92,66,61.74,65.79,886249,65.79
2012-01-09,66.01,66.93,65.26,65.48,370353,65.48
2012-01-10,74.35,75.82,72,74.44,1306733,74.44
2012-01-11,74.1,77.43,73.79,77.36,753434,77.36
2012-01-12,77.01,79.96,77,78.26,702035,78.26
2012-01-13,78.34,79.88,77.79,78.92,416092,78.92
2012-01-17,77.77,78.75,77.42,77.99,466522,77.99
2012-01-18,77.98,79.27,76.83,78.92,264535,78.92
2012-01-19,78.53,80.74,78.53,79.76,305889,79.76
2012-01-20,79.74,79.81,77.44,78.33,216247,78.33
2012-01-23,78.67,79.96,78.28,78.55,170509,78.55
2012-01-24,78.38,80.33,78.06,79.41,163219,79.41
2012-01-25,80.37,83.14,79.41,82.9,242368,82.9
2012-01-26,82.96,83.4,81.7,81.85,206008,81.85
2012-01-27,81.55,86.12,81.55,85.54,285955,85.54
2012-01-30,86.75,89.07,85,88.88,371478,88.88
2012-01-31,89,91.75,88.4,90.86,411873,90.86
2012-02-01,90.46,93.1,89.92,92.49,401633,92.49
2012-02-02,92.94,95.2,92.2,95.01,286928,95.01
2012-02-03,95.54,97.55,95,96.86,298395,96.86
2012-02-06,94.78,101.71,94.76,101.14,436320,101.14
2012-02-07,101.41,101.93,99.1,100.34,381121,100.34
2012-02-08,100.73,102.85,98.59,102.695,357840,102.695
2012-02-09,102.51,105.4,101.45,103.6,435108,103.6
2012-02-10,103,103.8,101.31,102.08,229291,102.08
2012-02-13,112.19,116.9,109.77,114.65,1068291,114.65
2012-02-14,113.25,113.75,107.59,110.1,719717,110.1
2012-02-15,109.56,111.5,107.08,108.64,443879,108.64
2012-02-16,107.77,108.5,105.75,105.83,469815,105.83
2012-02-17,105.78,105.83,102.08,103.28,528913,103.28
2012-02-21,102.72,103,97.4,99.26,736345,99.26
2012-02-22,97.97,100.07,94.22,99.59,585216,99.59
2012-02-23,99.48,104.55,99.27,103.32,367215,103.32
