DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,29.2,29.37,28.65,28.66,458864,28.66
2012-01-04,28.51,28.55,28.14,28.49,348531,28.49
2012-01-05,28.28,28.72,28.05,28.55,462138,28.55
2012-01-06,28.54,28.58,28.18,28.46,335174,28.46
2012-01-09,28.65,28.68,28.4,28.62,412417,28.62
2012-01-10,28.92,29.02,28.75,28.9,311274,28.9
2012-01-11,28.74,28.8,28.52,28.75,200557,28.75
2012-01-12,28.89,28.93,28.49,28.87,269786,28.87
2012-01-13,28.65,28.7,28.15,28.43,299490,28.43
2012-01-17,28.7,28.98,28.65,28.71,279730,28.71
2012-01-18,28.75,29.32,28.54,29.32,240440,29.32
2012-01-19,29.39,30.14,29.39,29.99,251918,29.99
2012-01-20,30.01,30.29,29.91,30.08,344429,30.08
2012-01-23,30.06,30.31,29.59,29.74,233662,29.74
2012-01-24,29.55,29.73,29.4,29.71,364941,29.71
2012-01-25,29.63,30.34,29.46,30.26,236653,30.26
2012-01-26,30.09,30.51,29.61,29.76,425452,29.76
2012-01-27,28.7,28.79,26.92,27.75,995707,27.75
2012-01-30,27.4,27.87,26.98,27.75,529648,27.75
2012-01-31,27.91,28.23,27.48,27.69,665061,27.69
2012-02-01,28.07,28.95,28.06,28.39,489250,28.39
2012-02-02,28.49,28.71,28.09,28.11,422662,28.11
2012-02-03,28.72,30,28.72,29.6,749305,29.6
2012-02-06,29.51,29.73,29.04,29.48,450642,29.48
2012-02-07,29.44,29.72,29.27,29.51,400468,29.51
2012-02-08,29.51,29.83,29.37,29.55,302585,29.55
2012-02-09,29.41,29.77,29.18,29.74,331851,29.74
2012-02-10,29.43,29.52,28.98,29.11,333948,29.11
2012-02-13,29.4,29.55,29.07,29.33,243300,29.33
2012-02-14,29.21,29.46,29.01,29.39,285588,29.39
2012-02-15,29.49,29.62,28.96,29.1,199049,29.1
2012-02-16,29.15,29.45,29.03,29.29,199144,29.29
2012-02-17,29.5,29.63,29.14,29.17,347249,29.17
2012-02-21,29.22,29.58,29.16,29.26,280778,29.26
2012-02-22,28.98,29.25,28.93,29.14,493668,29.14
2012-02-23,29.03,29.18,28.97,29.06,218766,29.06
2012-02-24,29.13,29.13,28.83,28.87,196005,28.87
2012-02-27,28.58,29.11,28.5,28.97,297528,28.97
2012-02-28,29.1,29.1,28.37,28.65,337884,28.65
2012-02-29,28.75,29.06,28.37,28.43,456193,28.43
2012-03-01,28.58,29.06,28.5,28.79,276994,28.79
2012-03-02,28.74,28.78,28.02,28.15,290095,28.15
2012-03-05,28.04,28.34,27.8,28.27,219055,28.27
2012-03-06,27.96,27.96,27.64,27.78,288277,27.78
2012-03-07,28.19,28.48,28.05,28.39,316506,28.39
2012-03-08,28.75,29.06,28.57,29.02,256829,29.02
2012-03-09,29.09,29.55,28.9,29.38,228899,29.38
2012-03-12,29.45,29.66,29.41,29.5,390308,29.5
2012-03-13,29.76,30.24,29.66,30.21,385100,30.21
2012-03-14,30.11,30.49,30.06,30.31,213694,30.31
2012-03-15,30.3,30.79,30.18,30.79,267182,30.79
2012-03-16,30.79,30.79,30.28,30.68,379543,30.68
2012-03-19,30.55,31,30.4,30.91,180853,30.91
2012-03-20,30.65,30.76,30.35,30.57,267707,30.57
2012-03-21,30.69,30.81,30.46,30.46,246823,30.46
2012-03-22,30.24,30.27,29.9,30.18,303458,30.18
2012-03-23,30.26,30.45,29.84,30.44,234253,30.44
2012-03-26,30.7,30.99,30.7,30.98,242259,30.98
2012-03-27,31,31,30.55,30.75,205772,30.75
2012-03-28,30.73,30.79,30.05,30.5,269796,30.5
2012-03-29,29.74,30.21,29.62,30.15,404809,30.15
2012-03-30,30.36,30.41,29.98,30.3,386560,30.3
2012-04-02,30.23,30.82,30.12,30.79,292362,30.79
2012-04-03,30.76,30.84,30.4,30.61,338021,30.61
2012-04-04,30.28,30.32,29.75,29.98,290431,29.98
2012-04-05,29.78,29.98,29.65,29.74,339884,29.74
2012-04-09,29.16,29.21,28.62,29.04,467784,29.04
2012-04-10,28.9,28.9,28.1,28.38,559911,28.38
2012-04-11,28.83,29.07,28.67,28.81,283736,28.81
2012-04-12,28.79,29.56,28.74,29.53,308849,29.53
2012-04-13,29.39,29.49,29.02,29.09,297304,29.09
2012-04-16,29.25,29.28,28.8,29.1,222245,29.1
