DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,42.25,42.97,41.59,41.65,645229,41.65
2012-01-04,41.65,42.45,41.33,42.4,541187,42.4
2012-01-05,42.36,43.02,42.29,42.7,535998,42.7
2012-01-06,42.83,43.5,42.59,43.04,546205,43.04
2012-01-09,43.19,43.29,42.04,42.34,498956,42.34
2012-01-10,42.73,43.23,42.62,42.96,438208,42.96
2012-01-11,42.64,43.25,42.55,43.04,446503,43.04
2012-01-12,43.18,43.18,42.26,43.11,360279,43.11
2012-01-13,42.71,42.87,42.15,42.43,392789,42.43
2012-01-17,42.97,43.5,42.81,43.22,461138,43.22
2012-01-18,43.15,45.7,43.14,45.48,745573,45.48
2012-01-19,46.05,47,45.94,46.9,583047,46.9
2012-01-20,46.96,47.16,46.05,46.24,739646,46.24
2012-01-23,46.17,47.09,46.17,47,518660,47
2012-01-24,47.05,47.74,46.98,47.51,425578,47.51
2012-01-25,47.59,47.99,47.24,47.77,325170,47.77
2012-01-26,47.82,48.48,47.09,47.4,471032,47.4
2012-01-27,47.15,47.85,47.1,47.5,462874,47.5
2012-01-30,47.14,47.14,46.13,46.65,440966,46.65
2012-01-31,47,47,46.18,46.37,508544,46.37
2012-02-01,46.84,47.67,46.17,47.07,426974,47.07
2012-02-02,47.3,48,47.14,47.48,397979,47.48
2012-02-03,48.25,49,48.02,48.95,446082,48.95
2012-02-06,48.58,48.67,48.19,48.25,361144,48.25
2012-02-07,47.97,48.22,47.72,48.01,253318,48.01
2012-02-08,48.03,48.13,47.5,48.08,290188,48.08
2012-02-09,48.24,48.82,47.83,48.78,267401,48.78
2012-02-10,48.16,48.72,47.68,47.97,294483,47.97
2012-02-13,48.45,49.04,48.19,48.84,239130,48.84
2012-02-14,48.79,49.13,48.36,48.81,313498,48.81
2012-02-15,49.01,49.28,47.98,48.15,278613,48.15
2012-02-16,48.28,49.15,48.16,49.08,264300,49.08
2012-02-17,49.28,49.42,48.59,48.61,373376,48.61
2012-02-21,48.71,48.79,47.83,48.27,333532,48.27
2012-02-22,48.28,49.25,48.28,48.69,387942,48.69
2012-02-23,48.52,49.04,48.01,48.9,246532,48.9
2012-02-24,49.47,50.6,49.32,50.01,413634,50.01
2012-02-27,49.43,50.06,48.87,49.58,305706,49.58
2012-02-28,49.54,49.71,49.28,49.68,275498,49.68
2012-02-29,49.7,50.27,49.33,49.46,366330,49.46
2012-03-01,49.71,50.82,49.68,50.72,328330,50.72
2012-03-02,50.7,50.83,50.05,50.23,381686,50.23
2012-03-05,49.96,50.25,49.03,49.3,356954,49.3
2012-03-06,48.72,48.86,48.26,48.7,343704,48.7
2012-03-07,48.75,49.77,48.68,49.62,328138,49.62
2012-03-08,50.1,51.15,50.02,50.67,369937,50.67
2012-03-09,50.64,51.04,50.23,50.57,408098,50.57
2012-03-12,50.58,51.11,50.5,50.94,390991,50.94
2012-03-13,51.36,51.38,50.78,51.06,404526,51.06
2012-03-14,51.13,51.5,50.17,50.33,384688,50.33
2012-03-15,50.31,50.77,50.13,50.73,436709,50.73
2012-03-16,49.95,50.98,49.73,50.64,674073,50.64
2012-03-19,50.56,51.31,50.56,51.03,224516,51.03
2012-03-20,50.57,50.69,50,50.69,303574,50.69
2012-03-21,50.92,52.57,50.92,52.03,415431,52.03
2012-03-22,51.67,51.71,51.03,51.54,367255,51.54
2012-03-23,51.54,51.95,51.02,51.87,296559,51.87
2012-03-26,52.55,53.19,52.42,53.13,325588,53.13
2012-03-27,53.23,54.01,51.9,51.9,556215,51.9
2012-03-28,52.61,52.83,51.23,51.39,745551,51.39
2012-03-29,54.75,61.71,54.71,61.43,2089929,61.43
2012-03-30,61.41,61.46,59.41,59.89,1119270,59.89
2012-04-02,59.71,61.05,58.86,60.8,676162,60.8
2012-04-03,60.82,62.24,60.01,61.74,699019,61.74
2012-04-04,61.15,61.9,59.65,60.67,460546,60.67
2012-04-05,60.46,61.15,60.1,60.95,301722,60.95
2012-04-09,59.77,60.23,59.11,59.73,482341,59.73
2012-04-10,59.45,60.03,58.16,58.56,513224,58.56
2012-04-11,58.7,59.77,58.25,59.53,601283,59.53
2012-04-12,59.72,60.96,59.6,60.81,497519,60.81
2012-04-13,60.65,61.31,59.92,60.2,460687,60.2
2012-04-16,60.38,60.64,59.2,60.06,380858,60.06
2012-04-17,60.17,60.35,59.83,59.94,714895,59.94
2012-04-18,59.54,60.43,59.24,60.21,403500,60.21
2012-04-19,60.23,62.72,59.62,60.13,563270,60.13
2012-04-20,60.18,61.05,60.09,60.55,567722,60.55
2012-04-23,59.72,59.81,57.84,58.87,547933,58.87
2012-04-24,59.04,59.12,57.01,57.11,445245,57.11
2012-04-25,57.84,59.29,57.75,59.23,477133,59.23
2012-04-26,59.26,60.15,59.02,59.79,278496,59.79
2012-04-27,59.96,61.02,59.02,60.91,420621,60.91
2012-04-30,60.59,60.69,59.52,59.61,332558,59.61
2012-05-01,59.7,61.1,59.6,60.39,335538,60.39
2012-05-02,59.86,62.25,59.76,61.95,448340,61.95
2012-05-03,61.78,62.41,60.46,60.8,461842,60.8
2012-05-04,60.57,60.74,58.12,58.7,444444,58.7
2012-05-07,58.2,58.99,57.19,58.64,395375,58.64
2012-05-08,58.05,58.05,55.9,57.48,417835,57.48
2012-05-09,56.69,58.25,56.27,57.9,490264,57.9
2012-05-10,58.16,58.41,55.87,56.04,527762,56.04
2012-05-11,55.84,57.44,55.84,56.67,393641,56.67
2012-05-14,55.97,56.55,55.56,55.91,301245,55.91
2012-05-15,56.04,58.12,56.02,56.82,460067,56.82
2012-05-16,57.52,57.56,55.62,55.69,376970,55.69
2012-05-17,55.78,56.01,54.3,54.48,506650,54.48
2012-05-18,55.09,55.15,52.75,53.53,737938,53.53
2012-05-21,53.48,55.48,52.89,55.28,379489,55.28
2012-05-22,55.37,56.94,55.24,56.32,601517,56.32
2012-05-23,54.91,55.05,52.61,54.43,1083437,54.43
2012-05-24,54.55,54.68,51.7,52.62,662308,52.62
2012-05-25,52.65,52.78,51.9,52.09,414667,52.09
2012-05-29,52.95,53.35,51.62,52.2,416184,52.2
2012-05-30,51.4,51.78,51,51.53,376645,51.53
2012-05-31,51.69,51.78,50.18,51.38,643567,51.38
2012-06-01,50.03,51.26,49.87,49.9,628080,49.9
2012-06-04,49.73,50.66,49.46,50.48,519132,50.48
2012-06-05,50.18,53.17,50.18,52.96,680236,52.96
2012-06-06,53.46,55.37,53.16,55.27,536291,55.27
2012-06-07,56,56.03,54.47,54.63,512076,54.63
2012-06-08,54.34,55.79,54.07,55.76,389164,55.76
2012-06-11,56.1,56.2,53.73,53.77,472021,53.77
2012-06-12,54.04,54.34,52.84,53.72,475256,53.72
2012-06-13,53.41,54.03,52.84,53.1,415792,53.1
2012-06-14,53.32,54.4,52.54,54.15,581162,54.15
2012-06-15,54.3,56.8,54.25,56.49,887539,56.49
2012-06-18,55.89,56.91,54.77,56.56,794916,56.56
2012-06-19,57.17,58.64,56.65,56.92,622400,56.92
2012-06-20,57,57.06,55.55,56.5,663724,56.5
2012-06-21,51.47,54.23,51.4,53,1831327,53
2012-06-22,53.39,55.58,52.33,55.01,773412,55.01
2012-06-25,54.1,54.97,53.2,53.74,816985,53.74
2012-06-26,54.04,54.84,53.59,54.62,591066,54.62
2012-06-27,54.9,55.06,53.95,54.42,467348,54.42
2012-06-28,54.39,54.8,51.88,52.68,539402,52.68
2012-06-29,54.65,56.52,54.47,56.48,714681,56.48
2012-07-02,56.4,56.76,55.4,55.84,476241,55.84
2012-07-03,55.82,57.02,55.78,56.67,199143,56.67
2012-07-05,56.17,57.1,56,56.67,368962,56.67
2012-07-06,55.24,55.53,52.39,52.94,617893,52.94
2012-07-09,53.02,53.47,51.01,51.16,643297,51.16
2012-07-10,51.61,52.03,50.96,51.2,553759,51.2
2012-07-11,51.06,51.91,50.93,51.36,628330,51.36
2012-07-12,50.36,50.8,49.56,50.48,618151,50.48
2012-07-13,50.68,52.51,50.36,52.48,436323,52.48
2012-07-16,52.17,52.52,51.8,51.97,585783,51.97
2012-07-17,52.29,52.53,50.84,51.67,325825,51.67
2012-07-18,52.16,54.38,51.9,53.96,696629,53.96
2012-07-19,54.22,55.75,54.22,55.61,623868,55.61
2012-07-20,54.96,55.02,53.66,53.72,662170,53.72
2012-07-23,52.37,52.87,51.31,52.64,316948,52.64
2012-07-24,52.69,52.75,51.08,51.48,412142,51.48
2012-07-25,51.79,52.59,51.38,51.83,239620,51.83
2012-07-26,53.79,54.48,52.11,52.97,400912,52.97
2012-07-27,53.51,56.56,53.51,55.81,449509,55.81
2012-07-30,55.6,55.81,53.44,53.76,279881,53.76
2012-07-31,53.85,54.52,53.35,53.66,488458,53.66
2012-08-01,53.84,54.15,52.46,53.01,296312,53.01
2012-08-02,52.36,54.39,51.95,53.01,357980,53.01
2012-08-03,54.16,55.55,53.67,55.5,321266,55.5
2012-08-06,55.53,56.82,55.31,56.73,422455,56.73
2012-08-07,56.69,58.74,56.63,57.82,373666,57.82
2012-08-08,58,58.6,57.59,58.28,369998,58.28
2012-08-09,58.03,58.39,57.39,57.83,366635,57.83
2012-08-10,57.74,57.85,56.72,57.04,467303,57.04
2012-08-13,56.99,57.1,55.78,56.39,375452,56.39
2012-08-14,56.78,56.78,55.03,55.13,448290,55.13
2012-08-15,55.41,56.11,55.27,55.72,381350,55.72
2012-08-16,56.39,58.52,56.39,58.24,570374,58.24
2012-08-17,58.64,59.49,58.31,59.42,487569,59.42
2012-08-20,59.11,59.33,57.89,58.54,473555,58.54
2012-08-21,58.6,59.17,57.82,58.07,272688,58.07
2012-08-22,57.96,58.56,57.81,58.4,274880,58.4
2012-08-23,58.1,58.58,57.37,57.73,297909,57.73
2012-08-24,57.36,58.06,56.79,57.77,431976,57.77
2012-08-27,58.03,58.03,56.89,57.25,354478,57.25
2012-08-28,57.27,57.36,56.53,56.88,342551,56.88
2012-08-29,57.03,57.28,56.45,57.03,326618,57.03
2012-08-30,56.61,56.9,55.64,55.89,334569,55.89
2012-08-31,56.6,56.72,55.42,56.04,375779,56.04
2012-09-04,56.12,57.23,55.68,57.03,459266,57.03
2012-09-05,57.12,57.24,56.53,56.99,314732,56.99
2012-09-06,57.4,59.14,57.27,59.1,471339,59.1
2012-09-07,58.79,59.68,58.67,59.15,426025,59.15
2012-09-10,58.67,59.13,58.38,58.42,204005,58.42
2012-09-11,58.28,58.6,57.15,57.18,561868,57.18
2012-09-12,57.25,57.57,56.82,57.32,623621,57.32
