DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,140.76,141.72,136.96,137.12,167657,137.12
2012-01-04,137.04,144.11,137.04,142.88,196212,142.88
2012-01-05,141.31,142.55,138,142.16,226251,142.16
2012-01-06,141.8,141.8,139.84,140.7,113397,140.7
2012-01-09,145.5,147.5,144.3,146.36,362460,146.36
2012-01-10,145.03,147.68,141.85,147.32,302285,147.32
2012-01-11,145,145.42,143.09,144.54,237135,144.54
2012-01-12,143.64,144.62,141.46,144.44,171392,144.44
2012-01-13,143.47,145.22,143.27,143.67,106295,143.67
2012-01-17,145.04,145.04,141.6,142.19,161150,142.19
2012-01-18,142.55,146.02,140.91,145.71,180149,145.71
2012-01-19,146.11,147.09,144.81,146.67,254933,146.67
2012-01-20,146.86,147.82,146.09,146.94,189463,146.94
2012-01-23,145.02,147.87,143.04,145.97,128604,145.97
2012-01-24,145.76,151.98,145.76,150.73,228953,150.73
2012-01-25,149.59,152.45,148.69,151.73,145774,151.73
2012-01-26,152.88,152.88,149.14,150.28,138448,150.28
2012-01-27,149.8,152.33,148.92,151.52,140941,151.52
2012-01-30,150.5,151.37,149.23,151,135114,151
2012-01-31,151.91,152.93,151.22,152,241153,152
2012-02-01,153.71,154.66,152.81,153.91,186352,153.91
2012-02-02,153.17,155.99,152.47,153,155668,153
2012-02-03,154.72,156.85,154,155.97,158752,155.97
2012-02-06,155.75,157.81,155.27,157.41,151466,157.41
2012-02-07,157,158,154.57,157.07,224711,157.07
2012-02-08,170.89,178.4,170.02,171.49,962497,171.49
2012-02-09,171.6,175.96,168.33,172.54,477769,172.54
2012-02-10,170.56,174.1,170.01,172.6,241159,172.6
2012-02-13,173.6,174.39,171.26,172.37,259539,172.37
2012-02-14,171.27,174.87,171.09,174.78,161604,174.78
2012-02-15,175,176,172.36,172.62,162795,172.62
2012-02-16,174.31,176.45,173.08,174.43,154812,174.43
2012-02-17,175,176.7,174.02,174.47,152967,174.47
2012-02-21,174.24,174.57,170.98,172.58,131841,172.58
2012-02-22,172.09,172.86,171.31,171.51,131610,171.51
2012-02-23,171.71,173.82,171.63,173.24,210180,173.24
2012-02-24,173.48,173.71,172.34,173.32,112829,173.32
2012-02-27,171.86,176.24,171.72,174.46,164384,174.46
2012-02-28,174.34,175.04,172.95,174.7,109649,174.7
2012-02-29,175.28,176.1,173.54,173.73,205851,173.73
2012-03-01,174.87,178.27,174.77,177.91,175889,177.91
2012-03-02,177.5,178.18,175.98,176.61,138801,176.61
2012-03-05,176.2,177.86,175.11,176.78,126587,176.78
2012-03-06,173.88,173.97,169.61,170.51,270136,170.51
