DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,48.48,48.53,47.05,47.29,980689,47.29
2012-01-04,47.29,48.38,47.16,47.62,883666,47.62
2012-01-05,48.05,50.58,47.8,50.42,1416571,50.42
2012-01-06,50.47,50.92,50.13,50.74,714249,50.74
2012-01-09,50.83,50.84,50.19,50.38,811510,50.38
2012-01-10,50.78,50.79,50.02,50.31,557937,50.31
2012-01-11,50.37,50.78,50.28,50.7,370523,50.7
2012-01-12,50.81,51.24,50.72,51.15,616408,51.15
2012-01-13,50.98,51.49,50.85,51.15,515154,51.15
2012-01-17,51.61,52.04,51.36,51.66,571540,51.66
2012-01-18,51.6,51.87,51.26,51.49,623362,51.49
2012-01-19,51.64,51.74,50.41,51.13,969016,51.13
2012-01-20,51.22,51.63,50.99,51.53,813702,51.53
2012-01-23,51.64,51.77,51.16,51.71,411235,51.71
2012-01-24,51.57,52.1,51.57,52.02,613822,52.02
2012-01-25,51.84,52.46,51.72,52.38,605316,52.38
2012-01-26,52.71,52.71,51.53,51.63,706455,51.63
2012-01-27,51.62,51.79,50.85,51.08,790345,51.08
2012-01-30,50.84,51,50.26,50.7,786453,50.7
2012-01-31,50.9,51,50.07,50.82,746866,50.82
2012-02-01,51.01,51.63,50.98,51.225,649711,51.225
2012-02-02,52.04,52.53,51.09,51.19,675154,51.19
2012-02-03,51.89,52.32,51.39,51.76,827188,51.76
2012-02-06,51.64,51.65,50.92,51.32,633776,51.32
2012-02-07,51.34,52.08,51.255,51.97,525139,51.97
2012-02-08,51.95,52.2,51.32,51.64,503477,51.64
2012-02-09,51.75,51.92,51.48,51.86,462420,51.86
2012-02-10,51.4,51.97,51.19,51.97,357242,51.97
2012-02-13,52.17,52.2,51.39,51.94,539061,51.94
2012-02-14,51.67,51.98,51.47,51.9,366290,51.9
2012-02-15,51.9,52,50.98,51.23,470057,51.23
2012-02-16,51.44,52,51.41,51.58,405306,51.58
2012-02-17,51.5,52.025,51.25,51.83,850798,51.83
2012-02-21,51.92,52.19,51.76,52.05,454338,52.05
2012-02-22,52.16,53.62,52.16,52.94,753713,52.94
2012-02-23,53.04,53.31,52.69,52.69,714279,52.69
2012-02-24,52.68,52.97,52.54,52.79,323244,52.79
2012-02-27,52.6,53.29,52.39,53.09,515378,53.09
2012-02-28,53.04,53.7,52.83,53.59,708827,53.59
2012-02-29,53.44,53.49,53.12,53.33,608738,53.33
2012-03-01,54.22,54.27,53.81,54.25,442127,54.25
2012-03-02,54.22,54.23,53.64,53.9,526886,53.9
2012-03-05,53.68,55.04,53.58,54.93,718614,54.93
2012-03-06,54.64,54.98,54.61,54.73,539847,54.73
2012-03-07,54.71,55.11,54.21,54.93,365116,54.93
2012-03-08,55.22,55.6,55.15,55.36,360939,55.36
2012-03-09,55.59,56.22,55.43,55.98,386880,55.98
2012-03-12,56.4,56.68,56.11,56.61,471643,56.61
2012-03-13,56.92,57.06,56.4,56.95,594734,56.95
2012-03-14,57.15,57.2,56.37,56.57,557667,56.57
2012-03-15,56.2,56.7,54.71,56.35,1208704,56.35
2012-03-16,56.17,56.85,55.58,55.79,1201360,55.79
2012-03-19,55.61,56.11,55.52,55.71,480980,55.71
2012-03-20,55.66,57.115,55.58,56.83,550840,56.83
2012-03-21,57,57.59,56.78,57.38,569593,57.38
2012-03-22,56.87,57.33,56.76,57.22,430561,57.22
2012-03-23,57,57.2,56.12,57.11,462746,57.11
2012-03-26,57.54,58.78,57.51,58.76,813175,58.76
2012-03-27,58.89,59.05,58.58,59,539719,59
2012-03-28,58.99,59.35,58.32,59.34,866091,59.34
2012-03-29,59.31,59.32,58.38,58.75,732474,58.75
2012-03-30,58.99,59.01,58.04,58.1,926365,58.1
2012-04-02,58.39,58.84,58.27,58.53,922023,58.53
2012-04-03,58.45,58.82,58.1,58.4,885864,58.4
2012-04-04,58.09,58.6,58,58.37,632430,58.37
2012-04-05,58.82,60.02,58.31,59.81,1659561,59.81
2012-04-09,58.94,59.4,58.58,59.2,684166,59.2
2012-04-10,58.82,59.08,56.96,57.19,1031935,57.19
2012-04-11,57.45,58.37,57.41,58.11,639245,58.11
2012-04-12,58.49,59.59,58.33,59.03,738917,59.03
2012-04-13,59.07,59.64,58.78,59.06,682600,59.06
2012-04-16,59.08,59.27,58.44,59.22,673662,59.22
2012-04-17,59.39,59.96,58.99,59.7,886556,59.7
2012-04-18,59.56,60.54,59.37,60.34,697936,60.34
2012-04-19,60.18,60.49,59.57,59.92,619709,59.92
2012-04-20,60.21,60.31,59.77,60.03,872090,60.03
2012-04-23,59.79,59.81,59,59.7,627956,59.7
2012-04-24,59.84,60.135,58.72,59.32,542678,59.32
2012-04-25,59.59,60.5,59.52,60.49,517862,60.49
2012-04-26,60.3,61.47,60.09,61.17,413158,61.17
2012-04-27,61.5,62.55,61.28,62.22,459141,62.22
2012-04-30,62.2,62.2,61.05,61.59,880824,61.59
2012-05-01,61.58,63.07,61.51,62.46,606697,62.46
2012-05-02,62.37,63.94,62.15,63.85,795263,63.85
2012-05-03,63.76,64.79,63.37,63.71,894681,63.71
2012-05-04,63.3,63.86,62.39,62.44,683362,62.44
2012-05-07,62.32,63.28,61.93,62.24,670637,62.24
2012-05-08,61.75,61.99,59.93,60.98,1151897,60.98
2012-05-09,60.48,61.89,60.21,61.17,853748,61.17
2012-05-10,61.78,62.39,61.2,61.79,542090,61.79
2012-05-11,61.62,62.27,61.56,61.59,800794,61.59
2012-05-14,61.31,61.6,60.53,60.53,726686,60.53
2012-05-15,60.41,62.06,60.4,61.18,797373,61.18
2012-05-16,61.49,62.52,61.39,62.21,939439,62.21
2012-05-17,62.49,63.72,60.6,60.64,1100201,60.64
2012-05-18,60.56,61.68,60.36,60.66,1095641,60.66
2012-05-21,59.62,60.4,57.38,60.35,1136963,60.35
2012-05-22,60.37,61.9,60.3,61.26,708649,61.26
2012-05-23,61.18,62.19,60.84,62.02,812470,62.02
2012-05-24,62.09,62.62,61.76,62.42,661389,62.42
2012-05-25,62.55,62.8,61.95,62.47,391042,62.47
2012-05-29,62.99,63.43,62.17,62.96,675540,62.96
2012-05-30,62.6,62.89,62.15,62.55,834315,62.55
2012-05-31,62.42,63.68,62.17,63.23,1197481,63.23
2012-06-01,62.54,62.74,61.14,61.59,767690,61.59
2012-06-04,61.47,62.22,61.1,61.96,552736,61.96
2012-06-05,61.8,62.49,61.43,62.31,551690,62.31
2012-06-06,62.52,63.84,62.51,63.83,495051,63.83
2012-06-07,64.47,64.49,62.81,62.92,610271,62.92
2012-06-08,62.89,64.53,62.89,64.5,505565,64.5
2012-06-11,65.21,65.35,63.71,63.78,590364,63.78
2012-06-12,64.17,65.07,63.81,65.04,545369,65.04
2012-06-13,65,65.2,64.09,64.24,554501,64.24
2012-06-14,64.57,66.05,64.45,65.52,658591,65.52
2012-06-15,65.56,66.74,65.5,66.605,1125180,66.605
2012-06-18,66.83,68.28,66.3,68.2,733451,68.2
2012-06-19,68.69,69.46,67.68,67.91,816543,67.91
2012-06-20,68.17,68.17,66.82,67.53,683864,67.53
2012-06-21,67.52,67.71,65.93,66.15,696092,66.15
2012-06-22,66.39,66.69,65.62,66.48,754146,66.48
2012-06-25,66.06,66.23,65.15,65.41,571628,65.41
2012-06-26,65.35,66.48,65.35,66.24,628088,66.24
2012-06-27,66.47,66.47,63.11,63.7,1103699,63.7
2012-06-28,63.02,63.15,59.75,61.67,2006437,61.67
2012-06-29,62.64,62.92,61.62,62.47,1240443,62.47
2012-07-02,62.51,64.2,62.51,63.22,894295,63.22
2012-07-03,63.23,63.27,62.27,62.78,625590,62.78
2012-07-05,64,67.41,64,67.19,1272340,67.19
2012-07-06,67.27,67.54,66.52,67.12,622847,67.12
2012-07-09,67.1,67.49,66.7,66.89,435500,66.89
2012-07-10,67.08,67.72,66.69,66.88,569434,66.88
2012-07-11,66.91,67,66.21,66.72,678661,66.72
2012-07-12,66.3,67.89,66.25,67.64,645152,67.64
2012-07-13,67.53,68.66,67.35,68.21,610918,68.21
2012-07-16,68.02,69,67.77,68.51,385713,68.51
2012-07-17,68.74,69.56,68.32,69.23,472632,69.23
2012-07-18,68.99,70.04,68.87,69.23,634926,69.23
2012-07-19,69.25,69.35,67.88,68.56,658403,68.56
2012-07-20,68.29,68.75,67.12,67.41,924369,67.41
2012-07-23,66.52,67.09,65.66,66.9,723423,66.9
2012-07-24,67.04,67.22,66.04,66.47,486333,66.47
2012-07-25,66.66,67.18,66.18,66.67,552911,66.67
2012-07-26,65.95,67.09,65.53,66.52,717301,66.52
2012-07-27,66.99,67.88,66.73,67.26,681818,67.26
2012-07-30,67.2,67.51,66.86,67.12,429866,67.12
2012-07-31,67.1,67.31,66.31,66.44,618165,66.44
2012-08-01,66.91,66.91,65.73,66.11,567865,66.11
2012-08-02,66.06,66.88,65.53,66.27,731414,66.27
2012-08-03,67.07,68.225,67.05,68.12,630326,68.12
2012-08-06,68.08,68.31,67.46,67.82,500309,67.82
2012-08-07,68.27,68.5,67.85,68.1,504096,68.1
