DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,28.06,28.17,27.3,27.55,666285,27.55
2012-01-04,27.47,27.54,27.14,27.4,768250,27.4
2012-01-05,27.32,27.81,27.21,27.6,566820,27.6
2012-01-06,27.65,27.93,27.37,27.84,1944021,27.84
2012-01-09,27.91,28,27.7,27.74,438718,27.74
2012-01-10,27.55,28.12,27.55,27.78,838562,27.78
2012-01-11,27.49,27.53,27,27.3,702091,27.3
2012-01-12,27.44,28.19,27.37,28.17,982224,28.17
2012-01-13,28,28,27.67,27.73,520235,27.73
2012-01-17,27.99,28.09,27.49,27.51,612265,27.51
2012-01-18,27.5,27.67,27.21,27.66,720406,27.66
2012-01-19,27.81,27.96,27.66,27.96,563666,27.96
2012-01-20,28,28.18,27.82,28.1,682485,28.1
2012-01-23,28.12,28.43,28.07,28.38,498776,28.38
2012-01-24,28.27,28.41,28.07,28.35,476278,28.35
2012-01-25,28.22,28.62,28.03,28.56,430723,28.56
2012-01-26,28.78,28.99,28.61,28.69,601453,28.69
2012-01-27,28.65,29.03,28.45,28.95,658019,28.95
2012-01-30,28.74,29.08,28.55,29.07,553758,29.07
2012-01-31,29.15,29.31,29,29.28,807065,29.28
2012-02-01,29.5,30.14,29.42,30.01,776599,30.01
2012-02-02,30,30.1,29.62,29.65,791590,29.65
2012-02-03,29.97,30.11,29.84,30.04,607555,30.04
2012-02-06,29.83,30.05,29.69,29.98,426662,29.98
2012-02-07,29.87,29.9,29.68,29.72,416063,29.72
2012-02-08,29.72,29.99,29.69,29.96,478937,29.96
2012-02-09,30,30.2,29.77,30.09,653720,30.09
2012-02-10,29.9,30.2,29.44,30.15,674028,30.15
2012-02-13,30.25,30.49,30.1,30.45,684270,30.45
2012-02-14,30.45,30.48,30.05,30.16,597011,30.16
2012-02-15,30.28,30.34,29.67,29.8,721270,29.8
2012-02-16,29.79,29.79,29.47,29.69,1064159,29.69
2012-02-17,29.81,29.89,29.52,29.6,868732,29.6
2012-02-21,29.69,29.86,29.62,29.73,484510,29.73
2012-02-22,29.78,29.9,29.67,29.77,516591,29.77
2012-02-23,29.75,29.94,29.69,29.84,544004,29.84
2012-02-24,29.84,29.92,29.76,29.84,224170,29.84
2012-02-27,29.6,29.98,29.43,29.8,449887,29.8
2012-02-28,29.75,29.77,29.49,29.62,417385,29.62
2012-02-29,29.71,29.95,29.6,29.83,854045,29.83
2012-03-01,29.98,30.1,29.76,29.93,623202,29.93
2012-03-02,29.88,29.95,29.68,29.82,361511,29.82
2012-03-05,29.68,29.87,29.62,29.85,320631,29.85
2012-03-06,29.66,29.85,29.54,29.59,526033,29.59
2012-03-07,29.65,29.71,29.29,29.52,373845,29.52
2012-03-08,29.71,30.08,29.64,30.02,288976,30.02
2012-03-09,30.03,30.69,29.85,30.55,798160,30.55
2012-03-12,30.53,30.75,30.41,30.56,402587,30.56
2012-03-13,30.65,30.75,30.44,30.7,563025,30.7
2012-03-14,30.67,30.91,30.56,30.63,550376,30.63
