DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,49.38,49.5,48.51,48.53,635428,48.53
2012-01-04,48.35,48.77,48.25,48.59,455271,48.59
2012-01-05,48.53,48.58,47.5,48.05,673170,48.05
2012-01-06,48.27,48.29,47.9,48.08,435835,48.08
2012-01-09,48.29,48.43,47.67,48.16,562377,48.16
2012-01-10,48.54,48.93,48.01,48.7,578374,48.7
2012-01-11,48.67,48.99,48.65,48.8,287744,48.8
2012-01-12,48.91,49.62,48.88,49.48,433740,49.48
2012-01-13,49.23,49.23,48.59,48.67,554691,48.67
2012-01-17,49.15,49.29,48.78,48.88,477616,48.88
2012-01-18,48.76,49.73,48.65,49.62,502181,49.62
2012-01-19,49.73,50,49.23,49.98,468852,49.98
2012-01-20,50,50.19,49.7,49.88,635314,49.88
2012-01-23,49.9,50.37,49.48,49.84,299903,49.84
2012-01-24,49.57,49.84,49.46,49.69,302913,49.69
2012-01-25,49.51,49.83,48.9,49.71,886620,49.71
2012-01-26,50.3,50.3,49.08,49.89,883237,49.89
2012-01-27,49.79,49.79,48.52,48.64,649106,48.64
2012-01-30,48.02,48.22,47.72,48,719666,48
2012-01-31,48.16,48.43,47.5,47.99,1099867,47.99
2012-02-01,48.34,48.99,48.34,48.74,633877,48.74
2012-02-02,48.68,48.78,48.37,48.55,457790,48.55
2012-02-03,48.88,49.03,48.71,48.97,537500,48.97
2012-02-06,48.61,49.32,48.51,49.3,541914,49.3
2012-02-07,48.9,49.3,48.87,49.17,451227,49.17
2012-02-08,49.24,49.92,49.17,49.78,405494,49.78
2012-02-09,49.86,50.03,49.71,49.97,582132,49.97
2012-02-10,49.65,49.69,49.22,49.53,366796,49.53
2012-02-13,49.71,50.44,49.71,50.31,472967,50.31
2012-02-14,50,50.5,49.83,50.36,518961,50.36
2012-02-15,50.23,50.31,49.28,49.34,680913,49.34
2012-02-16,48.93,49.11,48.41,48.81,893219,48.81
2012-02-17,49.18,49.98,49.18,49.86,787745,49.86
2012-02-21,49.85,50.35,49.75,50.14,468347,50.14
2012-02-22,50.01,50.45,49.95,50.41,446673,50.41
2012-02-23,50.26,50.53,50.26,50.36,494932,50.36
2012-02-24,50.36,51.18,50.32,50.78,378001,50.78
2012-02-27,50.38,51.05,50.24,50.84,538488,50.84
2012-02-28,50.99,50.99,50.57,50.67,530494,50.67
2012-02-29,50.65,51.08,50.39,50.52,1040208,50.52
2012-03-01,50.51,51.42,50.2,51,851159,51
2012-03-02,51.1,51.5,50.97,51.37,854977,51.37
2012-03-05,51.55,52.28,51.21,51.62,1059145,51.62
2012-03-06,51.19,51.58,50.63,50.85,772445,50.85
2012-03-07,50.72,50.86,50.46,50.71,545123,50.71
2012-03-08,51.17,51.85,51.08,51.72,589345,51.72
2012-03-09,51.8,52,51.45,51.83,484684,51.83
2012-03-12,51.91,52.13,51.67,51.92,505205,51.92
2012-03-13,52.08,52.75,51.79,52.73,663380,52.73
2012-03-14,52.57,52.82,52.33,52.5,497204,52.5
2012-03-15,52.4,52.55,52.07,52.27,656629,52.27
2012-03-16,52.24,52.32,51.95,52.12,1696481,52.12
2012-03-19,52,52.37,52,52.19,433465,52.19
2012-03-20,51.85,52.04,51.55,51.77,345536,51.77
2012-03-21,51.98,51.99,51.5,51.5,444797,51.5
2012-03-22,51.34,52.1,51.25,51.96,658869,51.96
2012-03-23,52.08,52.23,51.79,52.16,375300,52.16
2012-03-26,52.42,52.99,52.37,52.96,546486,52.96
2012-03-27,52.98,53,52.8,52.93,549381,52.93
2012-03-28,52.85,52.93,52.26,52.52,479865,52.52
2012-03-29,52.29,52.86,52.25,52.86,671045,52.86
2012-03-30,52.57,52.78,52.17,52.78,1384244,52.78
2012-04-02,52.25,52.92,51.97,52.7,719431,52.7
2012-04-03,52.55,52.78,52.22,52.56,707872,52.56
2012-04-04,52.17,52.46,52.04,52.44,414642,52.44
2012-04-05,52.2,52.49,52.13,52.35,566144,52.35
2012-04-09,51.84,51.84,51.52,51.77,665324,51.77
2012-04-10,51.5,51.58,51.09,51.09,683217,51.09
2012-04-11,51.57,51.75,51.41,51.51,563471,51.51
2012-04-12,51.87,52.96,51.7,52.7,648071,52.7
2012-04-13,52.55,52.97,52.49,52.53,575318,52.53
2012-04-16,52.69,53.1,52.44,52.6,550099,52.6
2012-04-17,53.04,53.19,52.64,53.03,450720,53.03
2012-04-18,52.78,53.11,52.66,52.93,383365,52.93
2012-04-19,53.14,53.14,52.44,52.53,486554,52.53
2012-04-20,52.74,53.34,52.61,53.11,730559,53.11
2012-04-23,52.61,52.79,52.43,52.7,435091,52.7
2012-04-24,52.99,53.23,52.8,52.98,364849,52.98
2012-04-25,53.35,53.55,52.84,52.91,469201,52.91
2012-04-26,54,54.62,53.22,53.93,838539,53.93
2012-04-27,54.11,54.66,53.8,53.91,482797,53.91
2012-04-30,53.79,54.33,53.71,54.14,478560,54.14
2012-05-01,54,54.58,53.66,54.3,447392,54.3
2012-05-02,54.19,54.24,53.94,54.02,427674,54.02
2012-05-03,53.94,54.18,53.79,54,544461,54
2012-05-04,53.75,53.86,53.41,53.56,562382,53.56
2012-05-07,53.38,53.8,53.29,53.68,577450,53.68
2012-05-08,53.37,53.51,53.09,53.45,523492,53.45
2012-05-09,52.96,53.01,52.64,52.66,627253,52.66
2012-05-10,52.95,52.97,52.25,52.37,769141,52.37
2012-05-11,52.31,52.58,52.03,52.15,558418,52.15
2012-05-14,51.86,51.91,51.28,51.83,673024,51.83
2012-05-15,51.96,51.96,51.19,51.31,639918,51.31
2012-05-16,51.53,51.59,51.06,51.13,588949,51.13
2012-05-17,51.19,51.25,50.16,50.16,490541,50.16
2012-05-18,50.41,50.48,49.79,49.94,1073450,49.94
2012-05-21,50.1,50.29,49.86,50.28,564427,50.28
2012-05-22,50.36,50.69,50.17,50.46,655230,50.46
2012-05-23,50.21,50.35,49.42,50.26,380314,50.26
2012-05-24,49.86,50.31,49.46,49.92,479628,49.92
2012-05-25,49.96,50.23,49.52,49.67,354161,49.67
2012-05-29,50.05,50.23,49.72,50.18,556087,50.18
2012-05-30,49.89,50.95,49.88,50.39,996310,50.39
2012-05-31,50.43,50.69,50.25,50.32,1255794,50.32
2012-06-01,49.58,49.97,49.46,49.48,506102,49.48
2012-06-04,49.56,49.63,49.03,49.3,568563,49.3
2012-06-05,49.12,49.68,49.04,49.62,465748,49.62
2012-06-06,49.77,50.68,49.77,50.68,433787,50.68
2012-06-07,51.06,51.55,51.06,51.26,738921,51.26
2012-06-08,51.18,51.58,51.02,51.58,378756,51.58
2012-06-11,51.9,51.94,51.24,51.28,379153,51.28
2012-06-12,51.38,52.4,51.31,52.37,499519,52.37
2012-06-13,52.14,52.76,51.92,52.27,559490,52.27
2012-06-14,52.33,53.48,52.22,53.09,689432,53.09
2012-06-15,53.26,53.68,53.02,53.67,1925938,53.67
2012-06-18,53.45,54.57,53.43,54.32,494711,54.32
2012-06-19,54.48,54.99,54.38,54.64,402811,54.64
2012-06-20,54.63,54.99,54.33,54.89,453081,54.89
2012-06-21,55,55.11,54.25,54.3,403267,54.3
2012-06-22,54.57,54.95,54.33,54.82,557935,54.82
2012-06-25,54.51,54.74,54.21,54.21,464929,54.21
2012-06-26,54.49,54.56,54.11,54.27,423196,54.27
2012-06-27,54.39,55.15,54.31,55.1,391140,55.1
2012-06-28,54.85,54.91,54.33,54.88,380792,54.88
2012-06-29,55.6,56.69,55.5,56.59,755436,56.59
2012-07-02,56,56.24,55.61,55.98,403411,55.98
2012-07-03,56.09,56.55,56.09,56.49,333885,56.49
2012-07-05,56.2,56.43,55.99,56.07,321617,56.07
2012-07-06,55.67,55.96,55.42,55.88,438725,55.88
2012-07-09,55.85,56.41,55.85,56.33,597743,56.33
2012-07-10,56.45,56.82,55.85,56.09,609513,56.09
2012-07-11,56.2,56.2,55.21,55.31,528286,55.31
2012-07-12,55.24,55.51,54.88,55.11,418443,55.11
2012-07-13,55.27,56.1,55.24,55.93,323164,55.93
2012-07-16,55.71,55.97,55.39,55.77,283904,55.77
2012-07-17,55.87,56.25,55.54,56.14,288055,56.14
2012-07-18,55.97,56.89,55.8,56.8,339479,56.8
2012-07-19,56.92,56.92,56.61,56.86,280453,56.86
2012-07-20,56.61,56.85,56.02,56.11,652074,56.11
2012-07-23,55.54,55.91,55.26,55.74,293306,55.74
2012-07-24,55.65,55.97,54.9,55.31,452272,55.31
2012-07-25,55.45,55.8,54.97,55.08,429039,55.08
2012-07-26,55,55.48,54.28,54.56,630332,54.56
2012-07-27,54.79,56,54.79,55.67,650989,55.67
2012-07-30,55.67,55.8,55.16,55.54,350130,55.54
2012-07-31,55.49,55.89,55.4,55.48,538109,55.48
2012-08-01,55.73,55.99,54.81,54.91,385533,54.91
2012-08-02,54.7,54.82,53.98,54.28,470345,54.28
2012-08-03,54.33,55.34,54.33,55.2,520833,55.2
2012-08-06,55.4,55.83,55.28,55.33,390546,55.33
2012-08-07,55.61,55.97,55.48,55.72,368385,55.72
2012-08-08,55.45,55.81,55.22,55.75,368977,55.75
2012-08-09,55.68,56.01,55.46,55.96,228615,55.96
2012-08-10,55.93,56.2,55.8,56.11,327906,56.11
2012-08-13,56.07,56.29,55.92,56.16,294232,56.16
2012-08-14,56.26,56.39,55.99,56.11,237304,56.11
2012-08-15,55.97,56.42,55.82,56.24,169848,56.24
2012-08-16,56.32,56.54,56.08,56.42,423412,56.42
2012-08-17,56.43,56.43,56.12,56.23,588347,56.23
2012-08-20,56.23,56.64,56.23,56.49,306071,56.49
2012-08-21,56.65,56.82,56.22,56.32,219654,56.32
2012-08-22,56.18,56.31,55.7,55.81,305465,55.81
2012-08-23,55.84,55.84,55.36,55.68,398969,55.68
2012-08-24,55.46,55.89,55.27,55.8,314147,55.8
2012-08-27,55.89,56.6,55.82,56.34,403629,56.34
2012-08-28,56.15,56.52,56,56.23,283394,56.23
2012-08-29,56.28,56.83,56.09,56.74,374723,56.74
2012-08-30,56.39,56.51,56.04,56.3,245827,56.3
2012-08-31,56.64,56.72,56.18,56.52,481899,56.52
2012-09-04,56.52,56.61,56,56.45,313028,56.45
2012-09-05,56.65,57.07,56.42,56.84,498819,56.84
2012-09-06,57.09,58,57.05,57.98,350413,57.98
2012-09-07,58,58,57.57,57.82,311784,57.82
2012-09-10,57.56,57.7,57.34,57.34,252299,57.34
2012-09-11,57.31,57.55,57.19,57.39,339157,57.39
2012-09-12,57.39,57.93,57.3,57.88,353363,57.88
2012-09-13,57.83,58.66,57.54,58.4,345716,58.4
2012-09-14,58.13,58.54,57.6,57.81,677094,57.81
2012-09-17,57.8,58.08,57.65,57.98,274836,57.98
2012-09-18,58,58,57.64,57.87,279295,57.87
2012-09-19,57.88,58.33,57.81,58.15,221208,58.15
2012-09-20,57.87,58.15,57.7,58.05,271173,58.05
2012-09-21,58.28,58.47,58.07,58.11,825997,58.11
2012-09-24,57.95,58,57.54,57.86,332768,57.86
2012-09-25,57.91,58.31,57.8,58.05,292337,58.05
2012-09-26,58.11,58.31,57.57,57.59,350543,57.59
2012-09-27,57.72,57.79,57.11,57.54,276379,57.54
2012-09-28,57.3,57.41,56.72,57.16,532589,57.16
2012-10-01,54.45,56,54.45,55.58,945786,55.58
2012-10-02,53.6,55.45,53.6,54.75,1551306,54.75
2012-10-03,54.71,55.11,54.56,54.98,565032,54.98
2012-10-04,55.26,55.84,54.99,55.32,457750,55.32
2012-10-05,55.47,55.91,55.27,55.48,301721,55.48
2012-10-08,55.38,55.52,55.15,55.32,272223,55.32
2012-10-09,55.32,55.56,54.98,55.02,244892,55.02
2012-10-10,55.06,55.22,54.73,54.81,277760,54.81
2012-10-11,55.12,55.23,54.88,54.88,294964,54.88
2012-10-12,55.03,55.35,54.65,54.88,269323,54.88
2012-10-15,54.89,55.42,54.86,55.34,309761,55.34
2012-10-16,55.48,56.28,55.29,56.23,338120,56.23
2012-10-17,56.34,56.72,56.24,56.66,323420,56.66
2012-10-18,56.56,57.08,56.38,57.06,368209,57.06
2012-10-19,56.86,56.86,55.81,55.87,611343,55.87
2012-10-22,55.68,55.71,55.15,55.65,346457,55.65
