DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,45.5,45.51,44.31,44.46,250142,44.46
2012-01-04,44.6,44.65,44.11,44.12,203225,44.12
2012-01-05,44,44.13,43.77,43.94,238200,43.94
2012-01-06,44.04,44.07,43.71,43.76,194797,43.76
2012-01-09,43.88,43.93,43.59,43.71,147139,43.71
2012-01-10,44.07,44.41,43.94,44.3,177068,44.3
2012-01-11,44.14,44.29,44.04,44.16,158870,44.16
2012-01-12,44.25,44.33,44,44.17,106048,44.17
2012-01-13,43.75,44.05,43.56,44.05,209890,44.05
2012-01-17,44.36,44.82,44.26,44.77,236827,44.77
2012-01-18,44.81,44.91,44.46,44.85,216612,44.85
2012-01-19,44.85,44.94,44.54,44.64,242743,44.64
2012-01-20,44.79,44.9,44.42,44.72,237773,44.72
2012-01-23,44.78,44.96,44.43,44.66,153803,44.66
2012-01-24,44.67,44.67,44.2,44.44,188941,44.44
2012-01-25,44.21,45.08,43.79,45.05,233186,45.05
2012-01-26,45.25,45.25,44.83,45.01,158573,45.01
2012-01-27,44.9,45,44.76,44.95,209200,44.95
2012-01-30,44.85,44.85,44.47,44.7,308574,44.7
2012-01-31,44.87,44.99,44.63,44.83,224328,44.83
2012-02-01,45.03,45.33,44.94,45.2,149829,45.2
2012-02-02,45.3,45.36,44.96,45,135902,45
2012-02-03,45.3,45.45,44.93,45.32,184685,45.32
2012-02-06,45.15,45.46,45.12,45.2,144233,45.2
2012-02-07,45.09,45.83,45.09,45.68,106873,45.68
2012-02-08,45.78,45.85,45.48,45.73,108376,45.73
2012-02-09,45.81,45.81,45.32,45.49,124006,45.49
2012-02-10,45.37,45.43,45.13,45.31,128881,45.31
2012-02-13,45.46,45.58,45,45.15,137564,45.15
2012-02-14,45.23,45.23,44.72,45,186966,45
2012-02-15,44.74,45,44.15,44.6,394133,44.6
2012-02-16,44.7,44.94,44.57,44.78,253165,44.78
2012-02-17,45.05,45.05,44.77,44.85,242702,44.85
2012-02-21,45.01,45.03,44.67,44.81,168899,44.81
2012-02-22,44.94,45.24,44.85,45.1,165144,45.1
2012-02-23,45.16,45.36,45.02,45.18,168130,45.18
2012-02-24,45.33,45.55,45.25,45.35,93125,45.35
2012-02-27,45.2,45.45,45.07,45.35,128638,45.35
2012-02-28,45.44,45.54,44.92,45.15,163826,45.15
2012-02-29,45.27,45.27,44.74,45,321438,45
2012-03-01,44.99,45.15,44.54,44.73,220709,44.73
2012-03-02,44.63,44.72,44.46,44.63,117027,44.63
2012-03-05,44.58,44.84,44.31,44.75,109833,44.75
2012-03-06,44.51,44.64,44.17,44.58,203274,44.58
2012-03-07,44.1,44.42,43.78,44.39,195705,44.39
2012-03-08,44.6,44.69,44.37,44.59,121253,44.59
2012-03-09,44.63,44.95,44.46,44.85,108175,44.85
2012-03-12,44.9,45.49,44.8,45.42,128699,45.42
2012-03-13,45.5,45.64,45.22,45.64,128158,45.64
2012-03-14,45.56,45.69,44.82,45,125816,45
2012-03-15,45.03,45.05,44.51,44.88,94699,44.88
2012-03-16,44.97,44.99,44.55,44.69,410027,44.69
2012-03-19,44.67,45.03,44.56,44.6,127694,44.6
2012-03-20,44.48,44.71,44.35,44.44,167834,44.44
2012-03-21,44.38,44.59,44.31,44.44,138391,44.44
2012-03-22,44.25,44.66,44.25,44.54,186340,44.54
2012-03-23,44.61,44.72,44.47,44.61,124714,44.61
2012-03-26,44.88,45.21,44.82,45.2,194066,45.2
2012-03-27,45.19,45.43,45.13,45.34,136753,45.34
2012-03-28,45.41,45.5,45.04,45.36,262761,45.36
2012-03-29,45.27,45.65,44.79,45.65,238628,45.65
2012-03-30,45.73,46.12,45.56,45.61,442921,45.61
2012-04-02,45.85,45.85,45.19,45.6,333708,45.6
2012-04-03,45.64,45.68,45.01,45.34,357096,45.34
2012-04-04,45,45.33,44.95,45.2,152139,45.2
2012-04-05,45.09,45.16,44.75,45.05,149547,45.05
2012-04-09,44.77,44.86,44.67,44.77,131271,44.77
2012-04-10,44.65,44.65,43.92,44.01,205469,44.01
2012-04-11,44.32,44.32,43.94,44,153445,44
2012-04-12,43.99,44.4,43.81,44.4,184768,44.4
2012-04-13,44.33,44.81,44.28,44.28,172096,44.28
2012-04-16,43.67,44.64,43.66,44.36,332252,44.36
2012-04-17,44.5,44.95,44.19,44.95,216384,44.95
2012-04-18,44.78,44.96,44.62,44.84,140784,44.84
2012-04-19,44.88,45.06,44.61,44.86,149639,44.86
2012-04-20,45.01,45.6,44.99,45.59,281646,45.59
2012-04-23,45.32,45.32,44.89,45.18,247420,45.18
2012-04-24,45.27,45.59,45.19,45.59,235686,45.59
2012-04-25,45.71,45.75,45.45,45.64,187532,45.64
2012-04-26,45.6,45.92,45.36,45.85,112253,45.85
2012-04-27,45.97,46.2,45.84,46.12,117685,46.12
2012-04-30,46.08,46.24,45.9,46.12,197852,46.12
2012-05-01,46.2,46.64,45.98,46.37,139591,46.37
2012-05-02,46.2,46.2,45.87,45.97,128963,45.97
2012-05-03,45.51,46.43,45.51,45.87,160930,45.87
2012-05-04,45.63,46.16,45.63,45.67,211633,45.67
2012-05-07,45.57,45.72,45.4,45.59,142269,45.59
2012-05-08,45.32,45.78,45.32,45.69,191019,45.69
2012-05-09,45.4,45.99,45.34,45.81,259182,45.81
2012-05-10,46.16,46.69,46.04,46.61,194403,46.61
2012-05-11,46.5,46.78,46.34,46.53,138290,46.53
2012-05-14,46.35,46.76,46.06,46.65,171594,46.65
2012-05-15,46.5,46.79,46.18,46.33,142399,46.33
2012-05-16,46.46,46.48,46.05,46.36,163367,46.36
2012-05-17,46.33,46.33,45.95,46.07,148294,46.07
2012-05-18,46.16,46.25,45.71,45.87,333607,45.87
2012-05-21,45.87,46.02,45.69,46.02,129630,46.02
2012-05-22,46.15,46.53,46.05,46.49,191711,46.49
2012-05-23,46.37,46.51,45.9,46.08,133275,46.08
2012-05-24,46.14,46.54,46.03,46.4,150909,46.4
2012-05-25,46.44,46.69,46.41,46.65,110052,46.65
2012-05-29,46.73,46.79,46.45,46.77,131888,46.77
2012-05-30,46.63,46.96,46.47,46.58,160542,46.58
2012-05-31,46.5,47.22,46.5,46.95,308026,46.95
2012-06-01,46.6,46.99,46.55,46.76,192895,46.76
2012-06-04,46.87,46.98,46.6,46.7,254816,46.7
2012-06-05,46.6,47.21,46.57,47.01,251401,47.01
2012-06-06,47.09,47.5,46.92,47.5,209116,47.5
2012-06-07,47.18,47.28,46.87,47.09,255593,47.09
2012-06-08,47.1,47.19,46.89,46.99,438571,46.99
2012-06-11,47.17,47.84,47.14,47.38,306443,47.38
2012-06-12,47.52,47.59,47.11,47.59,179346,47.59
2012-06-13,47.59,47.83,47.31,47.58,133199,47.58
2012-06-14,47.68,47.86,47.6,47.85,151907,47.85
2012-06-15,48,48.22,47.85,48.04,339098,48.04
2012-06-18,47.99,48.08,47.87,47.97,148587,47.97
2012-06-19,48.03,48.05,47.61,47.69,248537,47.69
2012-06-20,47.89,47.89,47.19,47.32,159745,47.32
2012-06-21,47.42,47.68,46.65,46.73,229157,46.73
2012-06-22,46.9,46.9,46.47,46.56,228156,46.56
2012-06-25,46.37,46.55,46.26,46.4,212295,46.4
2012-06-26,46.57,46.75,46.36,46.64,270931,46.64
2012-06-27,46.72,47.27,46.72,47.27,150864,47.27
2012-06-28,47.04,47.46,46.72,47.42,211344,47.42
2012-06-29,48,48.09,47.58,47.84,347241,47.84
2012-07-02,48.24,48.5,47.97,48.46,204469,48.46
2012-07-03,48.47,48.51,48.09,48.38,136205,48.38
2012-07-05,48.31,48.32,47.99,48.09,122210,48.09
2012-07-06,47.86,48.21,47.73,48.15,103674,48.15
2012-07-09,48.15,48.28,47.73,47.92,147897,47.92
2012-07-10,48.04,48.24,47.91,47.99,99545,47.99
2012-07-11,48.01,48.4,47.95,48.35,145829,48.35
2012-07-12,48.23,48.38,48.07,48.28,109123,48.28
2012-07-13,48.26,48.82,48.26,48.73,93381,48.73
2012-07-16,48.6,48.73,48.42,48.53,78154,48.53
2012-07-17,48.04,48.54,48.04,48.51,186755,48.51
2012-07-18,48.44,48.56,48.3,48.52,157590,48.52
2012-07-19,48.49,48.77,48.11,48.62,122246,48.62
2012-07-20,48.45,48.89,48.41,48.67,181367,48.67
2012-07-23,48.41,48.46,48.06,48.16,88186,48.16
2012-07-24,48.15,48.2,47.55,47.73,197020,47.73
2012-07-25,47.9,47.93,47.5,47.8,103737,47.8
2012-07-26,48.28,48.62,48.25,48.51,155863,48.51
2012-07-27,48.83,49.55,48.78,49.46,262846,49.46
2012-07-30,49.37,49.72,49.17,49.65,100398,49.65
2012-07-31,49.66,49.75,49.17,49.17,175629,49.17
2012-08-01,49.29,50.3,48.89,48.89,204955,48.89
2012-08-02,48.7,48.84,48,48.57,185295,48.57
2012-08-03,49.68,49.68,49.07,49.34,129206,49.34
2012-08-06,49.29,49.59,49.08,49.18,116630,49.18
2012-08-07,49.39,49.49,48.81,48.84,197147,48.84
2012-08-08,48.84,48.88,48.29,48.64,200825,48.64
2012-08-09,48.58,48.77,48.49,48.63,113555,48.63
2012-08-10,48.45,49.02,48.45,48.96,150816,48.96
2012-08-13,48.95,48.97,48.77,48.89,112167,48.89
2012-08-14,48.88,49.15,48.65,49.02,153829,49.02
2012-08-15,48.95,49.11,48.63,48.65,109824,48.65
2012-08-16,48.71,48.9,48.55,48.6,163871,48.6
2012-08-17,48.74,48.81,48.43,48.57,183120,48.57
2012-08-20,48.58,48.67,48.29,48.67,82246,48.67
2012-08-21,48.8,48.84,48.38,48.38,86464,48.38
2012-08-22,48.26,48.46,48.11,48.14,142995,48.14
2012-08-23,48.12,48.12,47.56,47.59,100028,47.59
2012-08-24,47.64,47.97,47.52,47.93,134826,47.93
2012-08-27,48.06,48.17,47.76,47.9,133657,47.9
2012-08-28,47.82,48.03,47.72,47.72,105390,47.72
2012-08-29,47.71,47.88,47.62,47.74,83794,47.74
2012-08-30,47.61,47.62,47.27,47.38,109516,47.38
2012-08-31,47.65,47.7,47.19,47.36,174484,47.36
2012-09-04,47.44,47.96,47.37,47.9,179990,47.9
2012-09-05,48,48.23,48,48.16,273199,48.16
2012-09-06,47.76,48.47,47.76,48.43,251426,48.43
2012-09-07,48.46,48.6,48.22,48.32,134985,48.32
2012-09-10,48.5,48.5,48.22,48.25,157818,48.25
2012-09-11,48.31,48.49,48.22,48.27,172142,48.27
2012-09-12,48.3,48.31,48.04,48.25,127787,48.25
