DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,11.53,11.85,11.51,11.71,2175535,11.71
2012-01-04,11.66,11.78,11.49,11.73,1919934,11.73
2012-01-05,11.58,12.08,11.43,11.92,2404886,11.92
2012-01-06,11.8,12.13,11.7,12.03,2361236,12.03
2012-01-09,12.03,12.16,11.95,12.12,2551289,12.12
2012-01-10,12.28,12.47,12.26,12.31,2081450,12.31
2012-01-11,12.31,12.5,12.11,12.46,1763761,12.46
2012-01-12,12.49,12.54,12.1,12.47,1660265,12.47
2012-01-13,12.19,12.25,11.96,12.16,2982794,12.16
2012-01-17,12.55,12.57,12.07,12.15,2937593,12.15
2012-01-18,12.13,12.17,11.91,12.02,3637082,12.02
2012-01-19,12.09,12.59,12.08,12.46,2217472,12.46
2012-01-20,12.49,12.83,12.41,12.81,3503920,12.81
2012-01-23,12.8,12.84,12.58,12.64,2253028,12.64
2012-01-24,12.42,12.58,12.32,12.49,2398207,12.49
2012-01-25,12.4,12.64,12.06,12.14,3768430,12.14
2012-01-26,11.95,12.06,11.53,11.61,4842783,11.61
2012-01-27,11.56,11.74,11.53,11.67,3450586,11.67
2012-01-30,11.56,11.71,11.34,11.64,3820438,11.64
2012-01-31,11.78,11.78,11.48,11.65,3421801,11.65
2012-02-01,11.76,11.99,11.69,11.91,3515912,11.91
2012-02-02,11.96,12.29,11.88,12.12,5228056,12.12
2012-02-03,12.44,12.9,12.43,12.81,3489192,12.81
2012-02-06,12.72,12.79,12.63,12.7,2304906,12.7
2012-02-07,12.43,12.48,12.24,12.34,4274334,12.34
2012-02-08,12.41,12.56,12.31,12.45,2434515,12.45
2012-02-09,12.51,12.53,12.31,12.36,2288987,12.36
2012-02-10,12.24,12.36,12.16,12.18,2377238,12.18
2012-02-13,12.3,12.37,12.26,12.32,1594196,12.32
2012-02-14,12.21,12.42,12.06,12.34,3159574,12.34
2012-02-15,12.38,12.44,12.16,12.37,3635669,12.37
2012-02-16,12.34,12.77,12.28,12.74,2581529,12.74
2012-02-17,12.82,12.89,12.68,12.87,3249200,12.87
2012-02-21,12.87,12.92,12.78,12.83,2232990,12.83
2012-02-22,12.83,12.85,12.72,12.77,2020108,12.77
2012-02-23,12.75,13.26,12.68,13.21,3413485,13.21
2012-02-24,13.24,13.55,13.18,13.52,4429243,13.52
2012-02-27,13.42,13.52,13.16,13.48,3308543,13.48
2012-02-28,13.52,13.79,13.37,13.74,3351295,13.74
2012-02-29,13.85,14.07,13.75,13.88,3795866,13.88
2012-03-01,13.98,14,13.83,13.91,2566014,13.91
2012-03-02,13.91,13.93,13.77,13.82,1393897,13.82
2012-03-05,13.75,13.85,13.63,13.83,1819400,13.83
2012-03-06,13.6,13.7,13.49,13.57,3329099,13.57
2012-03-07,13.61,14.02,13.59,13.8,2499739,13.8
2012-03-08,14.06,14.15,13.69,13.92,2020984,13.92
2012-03-09,13.98,14.14,13.83,14.13,2131906,14.13
2012-03-12,14.15,14.23,14.05,14.1,1750527,14.1
2012-03-13,14.24,14.58,14.11,14.57,2587923,14.57
2012-03-14,14.57,14.69,14.29,14.64,2368150,14.64
2012-03-15,14.67,15.39,14.63,15.3,4294955,15.3
2012-03-16,15.46,15.46,15.12,15.32,4810224,15.32
2012-03-19,15.49,15.53,15.24,15.31,3064586,15.31
2012-03-20,15.29,15.48,15.12,15.38,3475697,15.38
2012-03-21,15.41,15.45,15.26,15.26,2368237,15.26
2012-03-22,15.07,15.15,14.69,14.9,3523555,14.9
2012-03-23,14.96,15.06,14.77,15.01,2640621,15.01
2012-03-26,15.17,15.24,15.05,15.23,2326196,15.23
2012-03-27,15.26,15.28,14.83,14.92,3570922,14.92
2012-03-28,14.91,14.98,14.31,14.48,5533633,14.48
2012-03-29,14.38,14.44,14.18,14.27,4690141,14.27
2012-03-30,14.42,14.52,14.23,14.37,4659379,14.37
2012-04-02,14.38,14.61,14.28,14.55,4215022,14.55
2012-04-03,14.48,14.79,14.35,14.76,5783528,14.76
2012-04-04,14.55,14.65,14.42,14.46,3982546,14.46
2012-04-05,14.33,14.5,14.22,14.25,4313068,14.25
2012-04-09,14,14.16,13.75,14.08,3028100,14.08
2012-04-10,14.02,14.12,13.75,13.75,3103235,13.75
2012-04-11,13.95,14.01,13.84,13.88,2409972,13.88
2012-04-12,13.92,14.28,13.79,14.25,2661318,14.25
2012-04-13,14.2,14.22,13.87,13.87,3437929,13.87
2012-04-16,14.01,14.3,13.52,13.75,4208819,13.75
2012-04-17,13.85,14.13,13.81,13.99,2686703,13.99
2012-04-18,13.89,14.09,13.89,14.01,2181095,14.01
2012-04-19,14.07,14.14,13.81,13.98,3351960,13.98
2012-04-20,14.08,14.15,13.95,14.02,3557408,14.02
2012-04-23,13.8,13.85,13.67,13.82,3071804,13.82
2012-04-24,13.65,13.87,13.61,13.85,2557346,13.85
2012-04-25,14.02,14.15,13.79,14.09,2725794,14.09
2012-04-26,14.02,14.39,14.02,14.34,2907550,14.34
2012-04-27,14.41,14.5,14.15,14.31,1915157,14.31
2012-04-30,14.25,14.31,14.06,14.3,2339885,14.3
2012-05-01,14.28,14.37,14.12,14.14,2256636,14.14
2012-05-02,14.05,14.1,13.69,13.72,2655842,13.72
2012-05-03,13.72,13.83,13.57,13.7,2407956,13.7
2012-05-04,13.63,13.66,13.5,13.53,2148805,13.53
2012-05-07,13.61,13.74,13.48,13.52,1528980,13.52
2012-05-08,13.42,13.42,13.09,13.35,2598700,13.35
2012-05-09,13.07,13.29,12.99,13.15,3184166,13.15
2012-05-10,13.28,13.32,13.01,13.04,1767559,13.04
2012-05-11,12.9,13.29,12.9,13.11,2110644,13.11
2012-05-14,13,13.06,12.91,12.91,2288886,12.91
2012-05-15,12.84,12.96,12.77,12.87,2238701,12.87
2012-05-16,12.96,13.06,12.73,12.75,1784170,12.75
2012-05-17,12.71,12.77,12.57,12.57,3806596,12.57
2012-05-18,12.62,12.65,12.28,12.33,3919897,12.33
2012-05-21,12.36,12.66,12.35,12.66,2503210,12.66
2012-05-22,12.48,12.95,12.48,12.73,2798989,12.73
2012-05-23,12.56,12.65,12.39,12.61,2342868,12.61
2012-05-24,12.68,12.74,12.48,12.63,2027096,12.63
2012-05-25,12.65,12.81,12.61,12.8,1802307,12.8
2012-05-29,12.91,13.01,12.8,13,1375600,13
2012-05-30,12.87,12.87,12.52,12.52,2547328,12.52
2012-05-31,12.47,12.6,12.13,12.46,5014605,12.46
2012-06-01,12.15,12.22,12.02,12.1,3649076,12.1
