DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,30.72,31.11,30.39,30.4,1353965,30.4
2012-01-04,30.38,30.87,30.38,30.81,789894,30.81
2012-01-05,30.76,30.91,30.54,30.79,596315,30.79
2012-01-06,30.89,30.89,30.36,30.45,608368,30.45
2012-01-09,30.41,30.52,30.35,30.51,569074,30.51
2012-01-10,30.73,30.91,30.53,30.6,651573,30.6
2012-01-11,30.47,30.7,30.44,30.46,740225,30.46
2012-01-12,30.5,30.85,30.49,30.69,602181,30.69
2012-01-13,30.52,31.1,30.46,31.03,990085,31.03
2012-01-17,31.32,31.61,31.11,31.31,897261,31.31
2012-01-18,31.35,31.4,31.23,31.28,678892,31.28
2012-01-19,31.33,31.47,31.16,31.41,524557,31.41
2012-01-20,31.44,31.55,31.17,31.55,876783,31.55
2012-01-23,31.53,31.89,31.46,31.74,447783,31.74
2012-01-24,31.47,31.69,31.38,31.49,602806,31.49
2012-01-25,31.4,31.72,31.12,31.65,633976,31.65
2012-01-26,31.82,31.98,31.64,31.8,606787,31.8
2012-01-27,31.73,31.82,31.44,31.63,792147,31.63
2012-01-30,31.49,31.74,31.27,31.74,564797,31.74
2012-01-31,31.89,31.89,31.28,31.49,825991,31.49
2012-02-01,31.71,31.9,31.5,31.51,794070,31.51
2012-02-02,31.6,31.76,30.87,30.87,1359395,30.87
2012-02-03,30.95,31,30.25,30.56,1687045,30.56
2012-02-06,30.55,30.83,30.5,30.75,666671,30.75
2012-02-07,30.52,31.38,30.52,31.32,892892,31.32
2012-02-08,31.07,31.14,30.83,31.01,764163,31.01
2012-02-09,31.1,31.23,31.03,31.1,728652,31.1
2012-02-10,30.9,30.9,30.64,30.78,638316,30.78
2012-02-13,31.01,31.06,30.82,30.98,434610,30.98
2012-02-14,31.04,31.1,30.78,30.99,562158,30.99
2012-02-15,30.99,31.09,30.49,30.63,907589,30.63
2012-02-16,30.67,30.93,30.66,30.74,613584,30.74
2012-02-17,30.94,31.06,30.85,30.95,1096546,30.95
2012-02-21,31.09,31.33,30.97,31.16,703598,31.16
2012-02-22,31.21,31.38,31.04,31.31,561706,31.31
2012-02-23,31.32,31.76,31.26,31.56,517210,31.56
2012-02-24,31.59,31.86,31.48,31.73,411720,31.73
2012-02-27,31.6,31.72,31.48,31.55,488473,31.55
