DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,17.51,17.67,17.35,17.38,651969,17.38
2012-01-04,17.35,17.55,17.32,17.51,950610,17.51
2012-01-05,17.39,17.46,17.26,17.39,623500,17.39
2012-01-06,17.33,17.62,17.33,17.54,626428,17.54
2012-01-09,17.54,17.57,17.48,17.52,673174,17.52
2012-01-10,17.7,17.85,17.44,17.48,792613,17.48
2012-01-11,17.44,17.62,17.38,17.61,551324,17.61
2012-01-12,17.68,18.1,17.53,18.03,656262,18.03
2012-01-13,17.97,18.06,17.71,17.98,547386,17.98
2012-01-17,18.59,19.22,18.59,18.82,1367709,18.82
2012-01-18,18.75,19.25,18.64,19.11,638485,19.11
2012-01-19,19.13,19.41,18.99,19.33,634289,19.33
2012-01-20,19.31,19.34,19.05,19.3,687868,19.3
2012-01-23,19.62,19.62,19.21,19.4,823854,19.4
2012-01-24,19.41,19.94,19.29,19.91,919800,19.91
2012-01-25,19.77,20.14,19.52,20.12,855392,20.12
2012-01-26,20.16,20.3,19.92,20.03,539002,20.03
2012-01-27,20,20.15,19.78,19.9,726557,19.9
2012-01-30,19.69,19.69,19.42,19.57,567421,19.57
2012-01-31,19.75,20.07,19.56,19.93,1050314,19.93
2012-02-01,20.2,20.42,20.12,20.27,496235,20.27
2012-02-02,20.32,20.32,19.93,20.02,402040,20.02
2012-02-03,20.32,20.77,20.31,20.71,525249,20.71
2012-02-06,20.51,20.64,20.26,20.57,429737,20.57
2012-02-07,20.53,20.65,20.35,20.47,592891,20.47
2012-02-08,20.4,20.52,20.26,20.45,634001,20.45
2012-02-09,20.8,21.46,20.37,20.76,953279,20.76
2012-02-10,20.9,20.91,19.81,20.08,1069458,20.08
2012-02-13,20.32,20.35,19.55,19.64,1185277,19.64
2012-02-14,19.57,19.58,19.08,19.31,728722,19.31
2012-02-15,19.32,19.8,19.29,19.76,1039664,19.76
2012-02-16,19.79,20.74,19.73,20.59,1269995,20.59
2012-02-17,20.79,21.09,20.68,21.04,1081953,21.04
2012-02-21,21.24,21.24,20.48,20.63,1046567,20.63
2012-02-22,20.52,20.56,19.89,19.9,927142,19.9
2012-02-23,19.85,20.13,19.62,19.93,636021,19.93
2012-02-24,20.02,20.08,19.76,19.83,488896,19.83
2012-02-27,19.64,20.09,19.33,19.95,624167,19.95
2012-02-28,19.89,20.01,19.79,19.94,538389,19.94
2012-02-29,19.79,19.85,19.41,19.63,853909,19.63
2012-03-01,19.65,19.91,19.52,19.72,612846,19.72
2012-03-02,19.66,19.84,19.51,19.78,490755,19.78
2012-03-05,19.72,19.72,19.37,19.62,1111203,19.62
2012-03-06,19.34,19.63,19.2,19.6,804458,19.6
2012-03-07,19.62,19.76,19.51,19.57,536575,19.57
2012-03-08,19.69,19.81,19.43,19.46,778681,19.46
2012-03-09,19.46,19.71,19.41,19.5,573732,19.5
2012-03-12,19.5,19.5,19.04,19.23,593626,19.23
2012-03-13,19.3,19.81,19.29,19.74,494886,19.74
2012-03-14,19.76,19.99,19.61,19.88,627991,19.88
2012-03-15,19.88,20.1,19.68,20.07,558687,20.07
2012-03-16,20.11,20.45,20.1,20.32,1171642,20.32
2012-03-19,20.3,20.37,20.11,20.16,573829,20.16
2012-03-20,20.01,20.12,19.85,19.9,485803,19.9
2012-03-21,19.89,19.96,19.71,19.91,466250,19.91
2012-03-22,19.75,19.9,19.5,19.66,432727,19.66
2012-03-23,19.62,19.63,19.4,19.56,415202,19.56
2012-03-26,19.72,19.86,19.57,19.61,438628,19.61
2012-03-27,19.66,19.81,19.54,19.72,506181,19.72
2012-03-28,19.68,19.73,19.32,19.5,381665,19.5
2012-03-29,19.39,19.53,19.32,19.46,446360,19.46
2012-03-30,19.58,19.6,19.3,19.31,526253,19.31
2012-04-02,19.31,19.62,19.29,19.42,614921,19.42
2012-04-03,19.42,20.08,19.39,19.92,958986,19.92
2012-04-04,19.99,20.07,19.78,19.95,1120256,19.95
2012-04-05,19.88,19.89,19.43,19.43,899824,19.43
2012-04-09,19.15,19.15,18.82,18.82,792952,18.82
2012-04-10,18.78,18.78,18.12,18.23,908668,18.23
2012-04-11,18.35,18.57,18.27,18.37,748891,18.37
2012-04-12,18.34,18.78,18.32,18.77,580395,18.77
2012-04-13,18.67,18.96,18.67,18.73,590268,18.73
2012-04-16,18.81,18.92,18.48,18.57,476535,18.57
2012-04-17,18.72,19.15,18.66,19.03,549675,19.03
2012-04-18,18.94,19.2,18.89,19.12,616590,19.12
2012-04-19,19.11,19.33,18.99,19.12,368823,19.12
2012-04-20,19.24,19.36,19.03,19.11,555375,19.11
2012-04-23,18.91,18.91,18.6,18.67,522713,18.67
