DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,90.21,93.31,90.21,91,321242,91
2012-01-04,90.86,92.32,90.84,91.93,309734,91.93
2012-01-05,91.28,92.75,90.99,92.64,191636,92.64
2012-01-06,92.43,92.95,91.96,92.5,154540,92.5
2012-01-09,92.84,93.49,92.46,93.22,101161,93.22
2012-01-10,94.95,95.29,93.59,94.5,268985,94.5
2012-01-11,94.97,95.93,94,95.82,267604,95.82
2012-01-12,95.57,96.36,94.89,96.33,189299,96.33
2012-01-13,95.16,95.63,94.25,95.13,259530,95.13
2012-01-17,95.6,96.22,95.08,95.37,159457,95.37
2012-01-18,95.53,96.51,94.89,96.2,220763,96.2
2012-01-19,96.04,97.95,94.3,97.27,210311,97.27
2012-01-20,97.07,97.24,95.53,95.59,285470,95.59
2012-01-23,95.67,96,94.15,95.07,156892,95.07
2012-01-24,94.47,95.75,94.47,95.42,246331,95.42
2012-01-25,95.23,96.4,94.54,96.06,327848,96.06
2012-01-26,97,99.6,95.28,98.03,563652,98.03
2012-01-27,96.7,98.35,95.55,97.2,438620,97.2
2012-01-30,96.75,97.27,95.8,96.76,183550,96.76
2012-01-31,97.56,98.77,95.94,97.53,270532,97.53
2012-02-01,97.88,98.07,96.22,97.52,315901,97.52
2012-02-02,97.56,97.88,96.83,96.9,173059,96.9
2012-02-03,98.06,98.6,97.57,97.77,321681,97.77
2012-02-06,97.61,97.98,96.96,97.74,182919,97.74
2012-02-07,97.72,99.2,97.59,98.48,167532,98.48
2012-02-08,98.27,99.28,98.1,98.96,158030,98.96
2012-02-09,99.13,99.72,98.5,99.5,147442,99.5
2012-02-10,98.53,98.89,97.82,98.37,330356,98.37
2012-02-13,98.94,99.47,98.3,99.15,221611,99.15
2012-02-14,98.83,100,98.83,99.8,156239,99.8
2012-02-15,99.9,99.95,98.87,99.22,141879,99.22
2012-02-16,99.1,99.99,98.93,99.74,139972,99.74
2012-02-17,100,100.46,99.67,100.32,259286,100.32
2012-02-21,100.19,101.34,100,100.58,137293,100.58
2012-02-22,100.64,100.87,99.53,99.97,166379,99.97
2012-02-23,99.52,100.98,99.3,100.96,216534,100.96
2012-02-24,100.97,101.2,100.62,101.06,175242,101.06
2012-02-27,100.26,103.56,100.08,103.33,294636,103.33
2012-02-28,103.34,103.36,101.71,102.37,241031,102.37
2012-02-29,102.47,103.32,102.25,103.15,272172,103.15
2012-03-01,103.15,103.6,102.82,103.56,204521,103.56
2012-03-02,103.4,103.59,102.27,102.44,290504,102.44
2012-03-05,102.24,103.69,102.24,102.69,182098,102.69
2012-03-06,101.86,103.36,101.8,103.1,319529,103.1
2012-03-07,103.36,106.55,102.91,106.15,408911,106.15
2012-03-08,106.49,106.49,104.83,105.45,289822,105.45
2012-03-09,105.9,106.41,105.37,106.03,215451,106.03
2012-03-12,106.52,108,105.78,107.01,227015,107.01
2012-03-13,107.4,107.74,107.09,107.24,323222,107.24
2012-03-14,107.02,107.41,106.63,107.19,357233,107.19
2012-03-15,107.39,107.91,106.59,107.86,179490,107.86
2012-03-16,108,108.15,106.57,106.64,414936,106.64
2012-03-19,106.65,107.87,106.55,107.57,182227,107.57
2012-03-20,107.21,107.29,106.48,107.17,166594,107.17
2012-03-21,107.33,107.49,106.8,107.07,93809,107.07
2012-03-22,106.72,107.52,106.21,107.27,176981,107.27
2012-03-23,106.81,107.89,105.59,107.6,190908,107.6
2012-03-26,107.86,109.66,107.79,109.6,135661,109.6
2012-03-27,109.86,110.78,109.44,109.6,181647,109.6
2012-03-28,109.37,109.91,107.74,108.36,195052,108.36
2012-03-29,108.11,109.27,107.99,109.21,208822,109.21
2012-03-30,109.61,109.93,108.3,108.67,454470,108.67
2012-04-02,107.41,110,107.41,109.81,253704,109.81
2012-04-03,109.88,109.88,108.65,109.4,162803,109.4
2012-04-04,109,110,108.3,109.93,212236,109.93
2012-04-05,111.01,114.44,110.55,110.77,509407,110.77
2012-04-09,113.97,114.1,111.16,111.83,531249,111.83
2012-04-10,111.82,111.82,108.96,108.99,320900,108.99
2012-04-11,110.28,115.27,110.25,114.82,570861,114.82
2012-04-12,114.91,116,113.71,115.58,300232,115.58
2012-04-13,115.62,117.1,115.39,116.62,250650,116.62
2012-04-16,117.64,117.86,115.96,117.37,262991,117.37
2012-04-17,117.89,118.41,117.01,117.59,244658,117.59
2012-04-18,117.19,117.69,116.65,117.15,247474,117.15
2012-04-19,116.85,118.02,115.02,116.73,264310,116.73
2012-04-20,117.09,119.11,117.09,118.39,332793,118.39
2012-04-23,117.35,118.18,116.38,118.02,181521,118.02
2012-04-24,117.76,119.3,117.63,118.16,237835,118.16
2012-04-25,119.03,121,118.71,120.3,233988,120.3
2012-04-26,120,121.56,119.43,120.45,269458,120.45
2012-04-27,120.96,121.92,120.57,120.99,381516,120.99
2012-04-30,120.58,121.09,119.86,120.28,274553,120.28
2012-05-01,120.66,122.07,119.96,120.59,235514,120.59
2012-05-02,120.14,121.89,120.14,121.54,217932,121.54
2012-05-03,121.7,123.27,121.3,121.9,246938,121.9
2012-05-04,121.48,121.48,120.51,121.11,266306,121.11
2012-05-07,121.13,121.74,120.43,121.63,160188,121.63
2012-05-08,120.66,123.33,119.88,122.98,417592,122.98
2012-05-09,122.28,124.46,121.42,124,397005,124
2012-05-10,124.45,125.2,122.72,122.97,561013,122.97
2012-05-11,122.59,123.28,122.18,122.72,356485,122.72
2012-05-14,122.27,122.57,120,120.54,313947,120.54
2012-05-15,120.28,120.35,117.77,118.43,702105,118.43
2012-05-16,118.73,119.62,117.78,118.03,261478,118.03
2012-05-17,118.23,118.23,114.68,115.57,419019,115.57
2012-05-18,116,117.17,115.83,116.07,518448,116.07
2012-05-21,115.79,119.1,115.79,118.82,276903,118.82
2012-05-22,119.24,120.3,118.72,119.14,271115,119.14
2012-05-23,119.14,125,118.71,124.3,497948,124.3
2012-05-24,124.51,125.52,123.78,125.33,468975,125.33
2012-05-25,125.33,126.43,124.95,126.31,233816,126.31
2012-05-29,127.01,129.52,127.01,129.47,273296,129.47
2012-05-30,128.51,128.74,126.37,127.5,300961,127.5
2012-05-31,127.79,130.25,126.28,129.64,381622,129.64
2012-06-01,128,128.15,124.57,124.61,625061,124.61
2012-06-04,124.73,126.05,123.05,125.87,282886,125.87
2012-06-05,125.64,128.56,124.74,128.28,367543,128.28
2012-06-06,127.19,129.01,126.24,128.83,784966,128.83
2012-06-07,129.99,131.4,129.14,130.07,351089,130.07
2012-06-08,130.09,132.43,129.08,131.42,301639,131.42
2012-06-11,132.43,132.5,130.08,130.21,271092,130.21
2012-06-12,130.75,133.22,130.41,133.01,317651,133.01
2012-06-13,131.21,131.5,129.85,129.99,556184,129.99
2012-06-14,130.3,130.95,128.01,129.32,408556,129.32
2012-06-15,130.22,130.35,129.35,129.54,610021,129.54
2012-06-18,129.54,132.57,128.85,132.28,329420,132.28
2012-06-19,133.44,133.97,131.72,131.84,330404,131.84
2012-06-20,131.97,131.97,129.51,130.51,256437,130.51
2012-06-21,130.5,130.62,126.18,126.39,429182,126.39
2012-06-22,126.78,128.32,125.67,127.87,359408,127.87
2012-06-25,126.88,127.47,125.45,127.36,261609,127.36
2012-06-26,127.95,131.12,127.67,130.3,311946,130.3
2012-06-27,130.68,131.18,128.97,129.49,216895,129.49
2012-06-28,129.37,130.36,127.43,130.15,288346,130.15
2012-06-29,131.96,132.38,130.77,132.35,330984,132.35
2012-07-02,132.3,133,129.84,132.26,239697,132.26
2012-07-03,132.25,132.53,130.8,132.49,112873,132.49
2012-07-05,132.25,133.41,131.44,132.99,201806,132.99
2012-07-06,131.86,133.06,131.29,132.82,181593,132.82
2012-07-09,132,132,128.5,130.2,303627,130.2
2012-07-10,130.44,132.24,129,129.81,347826,129.81
2012-07-11,129.98,130.02,127.5,128.13,354072,128.13
2012-07-12,127.84,129.56,126.73,128.85,256787,128.85
2012-07-13,129.5,131.12,129.48,130.14,281327,130.14
2012-07-16,129.15,130.22,126.96,127.23,444595,127.23
2012-07-17,127.87,129.04,126.96,128.72,357265,128.72
2012-07-18,127.9,128.81,127.11,127.65,454323,127.65
2012-07-19,123,132.5,122.79,132.43,847807,132.43
2012-07-20,132,132.97,130.65,131.57,847178,131.57
2012-07-23,129.5,131.79,128.7,131.15,249668,131.15
2012-07-24,131.15,131.84,130.29,131.54,198650,131.54
2012-07-25,131.88,132.24,127.94,129.61,295573,129.61
2012-07-26,131.54,133.9,131.24,133.17,283212,133.17
2012-07-27,133.63,136,132.79,135.24,214591,135.24
2012-07-30,135.36,136.13,134.98,135.44,149549,135.44
2012-07-31,135.03,135.17,133.85,134.35,218861,134.35
2012-08-01,134.63,135.62,132.88,133.46,136453,133.46
2012-08-02,133.01,134.73,132.32,134.37,198493,134.37
2012-08-03,135.8,136.73,135.43,136.08,194627,136.08
2012-08-06,136.67,136.67,135.08,135.41,173952,135.41
2012-08-07,136.93,138.96,136.85,138.78,421624,138.78
2012-08-08,138.29,141.16,138,140.8,339209,140.8
2012-08-09,140.96,142.23,140.27,141.13,277900,141.13
2012-08-10,140.75,141.44,139.65,141.44,113821,141.44
2012-08-13,140.99,141.49,140.07,140.98,127809,140.98
2012-08-14,140.76,141.53,140.38,141.36,166659,141.36
2012-08-15,141.2,141.25,138.03,138.37,226943,138.37
2012-08-16,138.36,139.6,138.34,139.13,285523,139.13
2012-08-17,139.81,141.43,139.1,140.67,194843,140.67
2012-08-20,140.67,140.78,138.7,139.87,225453,139.87
2012-08-21,139.9,140.15,137.32,137.8,165536,137.8
2012-08-22,137.51,139.39,136.53,139.37,251741,139.37
2012-08-23,139.29,140.93,138.82,139.81,130637,139.81
2012-08-24,139.98,143.38,139.81,142.63,227653,142.63
2012-08-27,142.34,143.16,141.73,142.6,158779,142.6
2012-08-28,142.37,143.08,141.44,142.51,100095,142.51
2012-08-29,142.66,144.84,142.58,144.53,157343,144.53
2012-08-30,144.36,144.37,142,142,186728,142
2012-08-31,143.05,143.85,142.52,143.08,190433,143.08
2012-09-04,143.17,143.93,141.89,143.14,131834,143.14
2012-09-05,143.45,143.45,141.72,142.03,125284,142.03
2012-09-06,142.96,144.63,142.69,144.16,149715,144.16
2012-09-07,144.71,144.91,142.75,143.23,195398,143.23
2012-09-10,143.18,144.79,143.08,143.75,199521,143.75
2012-09-11,143.67,143.76,141.85,141.85,149219,141.85
2012-09-12,142.44,144.67,142.19,144.05,136438,144.05
2012-09-13,144.24,146.4,142.8,145.69,196723,145.69
2012-09-14,145.61,146.46,144.63,146.22,170581,146.22
2012-09-17,146.23,146.37,145.08,146.01,98428,146.01
2012-09-18,146.24,146.24,145,145.49,87404,145.49
2012-09-19,145.86,150.41,145.45,149.05,202732,149.05
2012-09-20,148.77,148.87,147.3,148.09,157588,148.09
2012-09-21,148.9,150.8,148.8,150.06,347396,150.06
2012-09-24,150.07,150.2,148.71,149.4,137234,149.4
2012-09-25,149.17,150.6,147.73,147.83,172700,147.83
2012-09-26,147.73,148.64,146.17,146.31,188867,146.31
2012-09-27,146.6,149.51,146.5,148.73,162895,148.73
2012-09-28,148.63,148.94,147.32,148.91,229331,148.91
2012-10-01,149.4,149.759,147.42,148.2,181604,148.2
2012-10-02,149.21,150.07,147.42,148.58,181880,148.58
2012-10-03,148.58,152.9,148.25,152.81,221587,152.81
2012-10-04,153.66,155.89,152.84,154.36,257489,154.36
2012-10-05,155.05,156.49,155,155.69,172767,155.69
2012-10-08,155.1,155.96,151.85,152.23,249858,152.23
2012-10-09,151.5,151.86,149.58,149.88,172543,149.88
2012-10-10,149.98,151.12,148.86,150.43,178218,150.43
2012-10-11,151.24,152.18,148.77,149.29,123341,149.29
2012-10-12,149.37,150.69,148.77,149.22,139077,149.22
2012-10-15,149.32,151.72,148.3,151.54,139360,151.54
2012-10-16,152.24,153.98,152.17,153.58,145710,153.58
2012-10-17,154.02,155.5,153.42,154.21,169144,154.21
2012-10-18,153.6,154.48,152.13,153.03,223577,153.03
2012-10-19,152.82,153,150.37,150.51,318751,150.51
2012-10-22,150.25,152.15,149.26,150.6,164192,150.6
2012-10-23,149.26,150.36,146.86,149.39,247478,149.39
2012-10-24,150.34,152.4,149.86,151.76,220929,151.76
2012-10-25,148.83,149.89,138.99,140,646394,140
2012-10-26,139.82,140.83,138.36,139.63,343800,139.63
2012-10-31,143.38,144.22,140.57,142.58,323038,142.58
2012-11-01,142.99,144.36,141.79,143.59,186138,143.59
2012-11-02,144,144.88,142,142,145918,142
2012-11-05,141.51,144.11,140.65,144,162338,144
2012-11-06,144.4,144.78,142.85,143.32,162614,143.32
2012-11-07,142.65,144.75,140.96,143.87,253030,143.87
2012-11-08,143.56,143.96,141.94,141.97,136089,141.97
2012-11-09,141.73,142.72,140.12,140.84,160382,140.84
2012-11-12,145.04,151.7,143.97,149.06,256531,149.06
2012-11-13,149,154.28,148.13,152.05,420432,152.05
2012-11-14,151.57,151.64,148.99,149.51,235830,149.51
2012-11-15,149.28,151.08,147.27,148.91,216982,148.91
2012-11-16,147.76,153.16,147.71,151.57,623209,151.57
2012-11-19,153,157.08,152.85,157.01,284051,157.01
2012-11-20,156.41,158.64,156,157.97,183734,157.97
2012-11-21,158.25,159.7,157,157.44,155410,157.44
2012-11-23,159,159,157.34,158.59,101168,158.59
2012-11-26,158.95,159,157.34,157.99,253609,157.99
2012-11-27,157.59,158.47,157.1,157.15,172087,157.15
2012-11-28,155,156.99,153.38,156.55,330447,156.55
2012-11-29,157.14,157.14,153.49,153.68,274969,153.68
2012-11-30,153.62,155.36,152.52,152.52,1431464,152.52
2012-12-03,152.79,154.17,150.53,152.21,253988,152.21
2012-12-04,152.68,153,151.02,151.15,228793,151.15
2012-12-05,151.27,151.52,148.3,149.91,211218,149.91
2012-12-06,150.01,151.45,148.46,151.22,209382,151.22
2012-12-07,151.65,151.85,147.35,148.94,228455,148.94
2012-12-10,148.21,150.5,147.96,149.78,128232,149.78
2012-12-11,149.99,150.88,149.51,149.88,226277,149.88
2012-12-12,150.04,150.34,147.42,147.87,181599,147.87
2012-12-13,147.63,149.64,146.51,147.27,183712,147.27
2012-12-14,147.03,148.62,147.03,148.23,226531,148.23
2012-12-17,149.57,153.51,149.2,153.43,316742,153.43
2012-12-18,154.18,154.18,151.12,152.23,240612,152.23
2012-12-19,152.28,152.3,149.88,149.93,198980,149.93
2012-12-20,150.3,152.44,148.87,152.42,209764,152.42
2012-12-21,151.4,152.44,150.51,151.53,380932,151.53
2012-12-24,151.24,153.18,150.98,152.67,64149,152.67
2012-12-26,152.66,153.54,151.651,152.6,157552,152.6
2012-12-27,152.99,153.1,150.37,152.73,123097,152.73
2012-12-28,151.61,152.56,150.89,151.04,95348,151.04
2012-12-31,150.38,154.6,150.38,153.82,208957,153.82
2013-01-02,156.74,157.35,154.76,156.68,375858,156.68
2013-01-03,156.67,158.35,154.83,155.14,165359,155.14
2013-01-04,157,161.74,156.89,158.8,278449,158.8
2013-01-07,158,158.6,157.22,158.49,131796,158.49
2013-01-08,158.95,160.96,158.24,160.96,283926,160.96
2013-01-09,161.03,163.06,159.9,162.17,205923,162.17
2013-01-10,162.5,162.58,160.49,162.36,193872,162.36
2013-01-11,160.75,161.41,160.34,161.28,182867,161.28
2013-01-14,161.9,162.34,160.79,161.18,114753,161.18
2013-01-15,160.93,161.31,160.3,161.02,74861,161.02
2013-01-16,160.7,161.87,160.66,161.44,135022,161.44
2013-01-17,162.4,163.088,162,162.84,109144,162.84
2013-01-18,163.99,164.22,161.92,164.02,267090,164.02
2013-01-22,164.26,164.32,162.93,163.7,215852,163.7
2013-01-23,163.39,164.83,163.39,164.81,96764,164.81
2013-01-24,165,167.21,164.87,165.79,150267,165.79
2013-01-25,166.38,166.85,165.11,165.51,167681,165.51
2013-01-28,165.18,165.37,163.32,164.09,142041,164.09
2013-01-29,163.81,164.25,162.27,163.16,131591,163.16
2013-01-30,163.59,164.6,161.57,162.31,257436,162.31
2013-01-31,160,164.68,159.96,162.14,456464,162.14
2013-02-01,163.39,164.66,162.48,163.84,142749,163.84
2013-02-04,162.6,164.16,162.501,163.24,135905,163.24
2013-02-05,163.83,164.06,161.78,163.16,108802,163.16
2013-02-06,163,163.38,161.65,163.01,95362,163.01
2013-02-07,162.77,163.29,160.77,162.89,98280,162.89
2013-02-08,163.14,163.95,162.75,163.77,93951,163.77
2013-02-11,163.44,164.68,162.65,164.5,126376,164.5
2013-02-12,162.84,164.97,162.84,164.67,150257,164.67
2013-02-13,165,165.67,164.57,165.45,95259,165.45
2013-02-14,165.17,165.47,163.28,163.67,187705,163.67
2013-02-15,164.33,167.27,164.33,166.7,264044,166.7
2013-02-19,166.2,166.5,162.26,164.1,226924,164.1
2013-02-20,164.1,164.1,159.24,159.33,193839,159.33
2013-02-21,158.5,158.76,154.7,155.91,221570,155.91
2013-02-22,156.44,157.96,154.85,157.85,195662,157.85
2013-02-25,158.49,159.21,154.27,154.34,181078,154.34
2013-02-26,154.37,156.59,153.95,155.94,246536,155.94
2013-02-27,156.27,161.78,156.27,161.23,168939,161.23
2013-02-28,161.23,163.46,161.1,161.59,371640,161.59
2013-03-01,160.76,163.72,159.75,162.48,213176,162.48
2013-03-04,162.31,165.38,161.88,165.38,177602,165.38
2013-03-05,166.25,167.49,164.45,164.86,171365,164.86
2013-03-06,165.37,166.29,163.01,163.77,130829,163.77
2013-03-07,163.92,165.409,163.92,164.84,79034,164.84
2013-03-08,165.53,166.32,163.94,165.88,89956,165.88
2013-03-11,166.16,167.89,166.01,167.73,106041,167.73
2013-03-12,168.7,168.98,167,167.63,145759,167.63
2013-03-13,167.55,170.16,167.48,169.1,125604,169.1
2013-03-14,169.55,171.25,168.69,169.07,152125,169.07
2013-03-15,168.42,170.08,168.38,168.68,475365,168.68
2013-03-18,167.49,170.55,166.84,169.89,136452,169.89
2013-03-19,170.13,170.72,168.2,169.48,96862,169.48
2013-03-20,170.03,172.38,170.03,172.12,94179,172.12
2013-03-21,170.87,171.69,168.9,168.91,124971,168.91
2013-03-22,169.26,170.55,167.87,168.17,102388,168.17
2013-03-25,168.92,170.14,167.4,168.21,117415,168.21
2013-03-26,169.31,170.02,168.73,169.41,111473,169.41
2013-03-27,168.5,169.44,167.72,169.28,107295,169.28
2013-03-28,169.2,170,168.04,168.89,146450,168.89
2013-04-01,168.37,169.4,167.07,167.57,188960,167.57
2013-04-02,168.53,168.53,166.93,167.91,106368,167.91
2013-04-03,168.27,168.41,162.27,164.95,166889,164.95
2013-04-04,165.34,166.44,164.24,165.62,110862,165.62
2013-04-05,163.49,165.88,162.74,165.82,100354,165.82
2013-04-08,165.62,166.21,164.08,165.83,98231,165.83
2013-04-09,166.26,166.66,164.43,166.34,118540,166.34
2013-04-10,166.46,168.41,165.88,168.27,147529,168.27
2013-04-11,168.17,171.57,167.85,171.02,164540,171.02
2013-04-12,170.67,171.66,169.46,170.74,133026,170.74
2013-04-15,172.61,174.87,168.37,168.61,254649,168.61
2013-04-16,170,175.38,169.8,174.53,263916,174.53
2013-04-17,173.8,174.82,170.48,170.89,319765,170.89
2013-04-18,169.95,176.89,169.73,174.88,272336,174.88
2013-04-19,175,179.81,174.75,179.04,361787,179.04
2013-04-22,177.83,181.18,176.75,180.69,160861,180.69
2013-04-23,180.7,182.34,179.833,181.45,195431,181.45
2013-04-24,181.8,182.43,180.62,181.03,133389,181.03
2013-04-25,182.1,184.75,181.82,184.23,162225,184.23
2013-04-26,184.28,184.49,181.28,183.22,152873,183.22
2013-04-29,183.37,183.37,181.9,182.71,108698,182.71
2013-04-30,182.23,183.13,180.92,183.11,191223,183.11
2013-05-01,182.5,183.1,181,181.1,139344,181.1
2013-05-02,181.92,184.66,181.92,184.13,117105,184.13
2013-05-03,185,188.26,185,187.98,126340,187.98
2013-05-06,187.96,188.08,186.03,187.77,95090,187.77
2013-05-07,187.88,189.65,187.38,189.28,133340,189.28
2013-05-08,189.24,189.92,188.53,189.62,122576,189.62
2013-05-09,189.79,190.01,188.34,188.4,85522,188.4
2013-05-10,188.68,189.59,187.73,188,80833,188
2013-05-13,187.77,188.13,186.84,187.7,105680,187.7
2013-05-14,187.78,194.53,187.78,193.54,200719,193.54
2013-05-15,193.16,194,192.14,193.56,140681,193.56
2013-05-16,193.23,193.23,189.47,189.98,157025,189.98
2013-05-17,190.75,191.82,190.03,190.82,235328,190.82
2013-05-20,190.47,191.33,188.02,188.71,185391,188.71
2013-05-21,188.45,190.78,188.45,189.95,125615,189.95
2013-05-22,189.97,191.12,186.63,187.13,178269,187.13
2013-05-23,185.01,187.99,184.26,186.08,177437,186.08
2013-05-24,186.88,189.78,186.25,189.2,136665,189.2
2013-05-28,191.01,193.22,190.95,191.9,162352,191.9
2013-05-29,190.03,191.72,189.32,189.99,141689,189.99
2013-05-30,190.3,192.3,190.29,190.94,101378,190.94
2013-05-31,190.37,191.87,188.53,188.53,223599,188.53
2013-06-03,188.5,188.68,184.62,187.3,126389,187.3
2013-06-04,187,187.72,182.2,182.6,165942,182.6
2013-06-05,181.2,182.75,178.09,178.93,183551,178.93
2013-06-06,178.54,181.55,178.12,181.49,195415,181.49
2013-06-07,183.48,183.67,181.88,183.26,102576,183.26
2013-06-10,183.58,183.98,182.5,183.87,73064,183.87
2013-06-11,182,183.96,180.9,181.44,102587,181.44
2013-06-12,182.79,182.79,178,178.22,132471,178.22
2013-06-13,178.21,184.75,178.12,184.48,170247,184.48
2013-06-14,184.04,184.45,182.44,183.09,115307,183.09
2013-06-17,184.56,184.56,181.91,183.47,120678,183.47
2013-06-18,183.6,184.5,182.26,184.3,64396,184.3
2013-06-19,183.77,184.61,181.58,181.73,127108,181.73
2013-06-20,179.07,181.41,175.62,175.9,210984,175.9
2013-06-21,176.51,176.52,170.07,173.1,458044,173.1
2013-06-24,171.74,175.7,171.21,173.82,232372,173.82
2013-06-25,175.16,177.67,174.36,175.78,207210,175.78
2013-06-26,177.22,178.73,176.28,178.11,117845,178.11
2013-06-27,178.95,179.99,176.89,179.18,184903,179.18
2013-06-28,178.71,178.71,176.57,176.6,191227,176.6
2013-07-01,177.55,180.13,177.19,178.58,92079,178.58
2013-07-02,178.31,180.83,178.31,179.63,107316,179.63
2013-07-03,178.2,180.89,178.2,179.84,59677,179.84
2013-07-05,180.87,182.5,180.5,182.48,68316,182.48
2013-07-08,182.6,183.11,181.36,182.3,130988,182.3
2013-07-09,183.6,184.66,182.6,183.71,151737,183.71
2013-07-10,183.67,185.34,182.45,184.85,194328,184.85
2013-07-11,187.5,187.99,186.15,186.88,123731,186.88
2013-07-12,186.4,189.87,185.99,187.36,135060,187.36
2013-07-15,187.36,190.5,184.13,184.4,210083,184.4
2013-07-16,184.4,185.22,182.36,182.76,169459,182.76
2013-07-17,182.76,184.67,181.45,183.19,175210,183.19
2013-07-18,166,172.4,165.75,167.94,769376,167.94
2013-07-19,168.3,173.27,168.05,172.86,395274,172.86
2013-07-22,173.01,173.32,170.35,171.55,158475,171.55
2013-07-23,171.87,172.69,169.15,171.8,222357,171.8
2013-07-24,172.03,173.54,170.54,172.06,164047,172.06
2013-07-25,173.17,174.33,170.84,172.94,289915,172.94
2013-07-26,172.18,173.5,170.95,172.83,159320,172.83
2013-07-29,172.37,174.57,171.61,174.31,151282,174.31
2013-07-30,174.65,175.35,173.63,174.98,138747,174.98
2013-07-31,174.81,175.56,173.65,174.17,178193,174.17
2013-08-01,175.41,177.04,174.99,176.43,161917,176.43
2013-08-02,176.99,179.28,175.72,179.05,204347,179.05
2013-08-05,178.33,178.52,175.84,176.83,151891,176.83
2013-08-06,176.52,177.21,174.18,177.17,231136,177.17
2013-08-07,176.27,176.27,172.83,175.51,197470,175.51
2013-08-08,175.83,177.72,175.46,177.15,101188,177.15
2013-08-09,176.28,177.59,175.32,177.07,110714,177.07
2013-08-12,175.7,178.05,174.77,177.84,134060,177.84
2013-08-13,177,177.83,175.22,175.79,228499,175.79
2013-08-14,175.11,175.55,170,170.06,194751,170.06
2013-08-15,167.66,169.53,166.54,168.98,219365,168.98
2013-08-16,168.21,169.92,168.13,168.69,204087,168.69
2013-08-19,168.64,169.22,166.8,167.52,204127,167.52
