DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,79.07,79.09,77.3,77.3,165880,77.3
2012-01-04,77,77.85,76.84,77.28,138193,77.28
2012-01-05,77.12,77.84,77.05,77.68,137427,77.68
2012-01-06,77.81,77.85,77.3,77.42,96641,77.42
2012-01-09,77.6,78.14,77.33,77.96,102015,77.96
2012-01-10,78.21,79.07,78.06,78.8,107440,78.8
2012-01-11,78.5,78.81,78.2,78.81,99431,78.81
2012-01-12,78.93,79.2,78.34,79.08,106826,79.08
2012-01-13,78.94,79,78.36,78.83,109665,78.83
2012-01-17,79.44,80.41,79.36,80.25,166154,80.25
2012-01-18,80.25,81.08,80.12,81.05,141800,81.05
2012-01-19,81.01,81.21,80.75,81.04,108265,81.04
2012-01-20,80.94,80.96,79.31,80.38,223069,80.38
2012-01-23,80.48,81.25,80.48,81.06,103224,81.06
2012-01-24,80.79,81.09,80.69,81,89750,81
2012-01-25,80.77,81.4,80.51,81.19,99015,81.19
2012-01-26,81.07,81.07,78.79,79.02,248277,79.02
2012-01-27,78.93,79.21,78.35,78.59,235501,78.59
2012-01-30,78.28,78.34,77.77,78.32,145698,78.32
2012-01-31,78.54,79.12,78.21,78.78,244641,78.78
2012-02-01,79.09,80,79.09,79.6,130562,79.6
2012-02-02,79.68,80.09,79.49,79.74,140225,79.74
2012-02-03,80.34,80.38,79.42,79.56,125331,79.56
2012-02-06,79.16,80.23,79.16,79.52,115053,79.52
2012-02-07,79.5,79.64,79.14,79.32,93748,79.32
2012-02-08,78.75,79.27,78.69,78.8,222542,78.8
2012-02-09,78.79,79.28,78.6,79.21,102334,79.21
2012-02-10,78.72,79.06,78.44,78.84,105600,78.84
2012-02-13,79.2,79.41,78.91,79.29,116344,79.29
2012-02-14,79.19,79.5,78.85,79.42,84249,79.42
2012-02-15,79.76,79.76,77.74,78.15,195957,78.15
2012-02-16,70.54,72.62,70.51,71.6,969282,71.6
2012-02-17,72.63,73.5,72.59,73.07,622385,73.07
2012-02-21,73.15,73.19,72.26,72.43,260467,72.43
2012-02-22,72.11,72.67,71.83,72.67,210355,72.67
2012-02-23,72.74,73.85,72.65,73.74,127004,73.74
2012-02-24,73.77,74.8,73.21,74.74,271422,74.74
2012-02-27,74.38,74.94,74.13,74.79,248265,74.79
2012-02-28,74.82,75.2,74.39,74.4,233237,74.4
