DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,70.22,70.89,69.6,70.09,2799688,70.09
2012-01-04,70.02,70.44,69.24,69.56,2669030,69.56
2012-01-05,68.99,69.05,67.14,68.07,3632413,68.07
2012-01-06,68.41,68.48,67.36,67.78,3497368,67.78
2012-01-09,67.99,68.96,67.92,68.82,2133872,68.82
2012-01-10,70.5,71.06,70.31,70.75,2946728,70.75
2012-01-11,70.45,70.57,69.41,70.16,2324613,70.16
2012-01-12,70.97,71.48,69.41,69.7,2250146,69.7
2012-01-13,68.89,69.15,67.72,67.99,3280399,67.99
2012-01-17,69.5,69.73,67.4,67.64,3310423,67.64
2012-01-18,67.3,70.66,67.3,70.63,3645221,70.63
2012-01-19,71.46,73,71.25,72.86,2801663,72.86
2012-01-20,74.72,75.75,72.6,73.8,4536326,73.8
2012-01-23,74.26,74.8,73.09,74.16,2398716,74.16
2012-01-24,73.18,74.59,72.9,74.59,2414299,74.59
2012-01-25,74.1,76.51,73.1,76.19,2959704,76.19
2012-01-26,76.99,77.75,75.8,75.98,2432477,75.98
2012-01-27,75.92,77.49,75.92,76.66,2485742,76.66
2012-01-30,75.44,76.27,74.46,76.27,1652270,76.27
2012-01-31,76.71,76.83,74.95,75.17,2454644,75.17
2012-02-01,76.33,77.15,75.11,76.12,1910296,76.12
2012-02-02,76.35,77.45,75.98,77.31,2765284,77.31
2012-02-03,78.43,78.7,77.71,78.66,2156646,78.66
2012-02-06,78.25,79.74,77.75,79.64,1772243,79.64
2012-02-07,79.25,79.68,78.01,79.5,1849231,79.5
2012-02-08,79.79,79.87,77.98,78.41,1806236,78.41
2012-02-09,78.74,78.94,77.73,78.64,1817851,78.64
2012-02-10,77.8,78.04,76.63,77.17,1824053,77.17
2012-02-13,78.21,78.38,77.13,78.03,1490206,78.03
2012-02-14,77.65,77.96,76.96,77.8,1399283,77.8
2012-02-15,77.97,78.09,76.74,77.36,2077032,77.36
2012-02-16,77.12,78.29,76.51,78.06,3290978,78.06
2012-02-17,78.5,78.64,77.58,77.74,3783339,77.74
2012-02-21,78.68,79.76,78.26,78.58,2833264,78.58
2012-02-22,78.71,80.78,78.7,80,2821152,80
2012-02-23,80.02,80.1,78.56,79.59,2461444,79.59
2012-02-24,80.1,80.5,79.6,79.85,1789704,79.85
2012-02-27,79.05,79.67,78.06,79.11,1810207,79.11
2012-02-28,79.15,79.54,78.22,78.78,2230037,78.78
2012-02-29,78.78,79.42,77.4,77.61,3331689,77.61
2012-03-01,78.05,78.88,77.41,78.37,2186626,78.37
2012-03-02,78.13,78.32,76.73,77.19,2125850,77.19
2012-03-05,76.74,76.83,75.04,75.69,2162783,75.69
2012-03-06,73.76,73.95,72.73,73.79,2938168,73.79
2012-03-07,74.35,74.92,73.91,74.7,2122604,74.7
2012-03-08,75.5,76.34,75.03,75.82,1949077,75.82
2012-03-09,75.99,76.75,75.51,75.84,2273239,75.84
2012-03-12,75.74,75.74,73.76,74.02,2256797,74.02
2012-03-13,74.43,74.9,73.52,74.77,2806748,74.77
2012-03-14,74.62,74.8,73.53,74.02,2597202,74.02
2012-03-15,74.22,75.05,73.26,74.92,2325268,74.92
2012-03-16,75.13,77.04,75.13,76.76,5219013,76.76
2012-03-19,76.75,77.43,76.6,77.1,1799953,77.1
2012-03-20,76.11,76.12,75.24,75.71,2208533,75.71
2012-03-21,75,75,73.68,74.01,3821577,74.01
2012-03-22,72.93,73.11,71.12,71.98,4102216,71.98
2012-03-23,72.22,73.51,71.59,73.18,3909472,73.18
2012-03-26,73.59,73.65,71.97,72.4,2441718,72.4
2012-03-27,72.15,72.17,69.93,69.96,4259771,69.96
2012-03-28,69.62,70.69,68.61,69.78,2559684,69.78
2012-03-29,69.26,70.44,68.33,69.14,2858315,69.14
2012-03-30,69.77,70.42,68.81,69.93,3537110,69.93
2012-04-02,69.61,71.08,69.12,69.84,2699221,69.84
2012-04-03,70.38,70.5,68.99,69.73,2863164,69.73
2012-04-04,68.82,69.59,68.24,68.69,1942880,68.69
2012-04-05,68.59,69.39,68.29,68.42,2458827,68.42
2012-04-09,67.5,68.65,67.25,67.59,1560709,67.59
2012-04-10,67.27,68.06,66.46,67.26,2951616,67.26
2012-04-11,68.79,68.9,68,68.12,2692179,68.12
2012-04-12,68.37,70.42,68.14,70.34,2368230,70.34
2012-04-13,69.95,70.19,68.32,68.38,2675544,68.38
2012-04-16,68.67,69.06,67.36,67.44,2004252,67.44
2012-04-17,68.52,69.66,68.52,69.35,2386885,69.35
2012-04-18,69.3,70.81,69.3,69.93,2154745,69.93
2012-04-19,70.13,71.25,69.38,69.8,2222678,69.8
2012-04-20,72.71,74.5,71.61,71.7,5509899,71.7
2012-04-23,70.72,72.25,69.89,71.19,2700372,71.19
2012-04-24,71.52,73.5,71.19,72.71,2558279,72.71
2012-04-25,73.76,74.92,73.15,74.46,3016234,74.46
2012-04-26,73.8,74.72,73.27,74.25,2045512,74.25
2012-04-27,74.65,74.65,73.5,73.95,2749573,73.95
2012-04-30,73.64,74.28,73.44,74.14,1650446,74.14
2012-05-01,74.17,76.19,73.79,75.13,2000929,75.13
2012-05-02,74.17,74.68,73.83,74.17,1747191,74.17
2012-05-03,74.18,74.2,72.19,72.61,2093633,72.61
2012-05-04,71.66,71.84,69.45,69.96,2805075,69.96
2012-05-07,69.93,71.09,69.36,70.6,1635777,70.6
2012-05-08,69.8,70.59,68.38,70.39,2807752,70.39
2012-05-09,69.19,70.59,68.74,69.64,2049380,69.64
2012-05-10,70.82,71.17,69.21,69.44,1966538,69.44
2012-05-11,68.82,70.14,68.66,68.8,1794862,68.8
2012-05-14,67.75,67.77,66.85,67.25,2499935,67.25
2012-05-15,67.45,67.59,65.28,65.52,2347651,65.52
2012-05-16,65.72,67,64.8,64.81,2857688,64.81
2012-05-17,64.63,65.65,64.16,64.75,2869417,64.75
2012-05-18,65,65.8,63.88,64.06,4383440,64.06
2012-05-21,64.58,66.86,64.22,66.76,2288020,66.76
2012-05-22,67.06,67.76,65.84,66.4,2628982,66.4
2012-05-23,65.55,67.26,64.9,67.18,2420749,67.18
2012-05-24,67.51,67.52,65.11,65.85,2763579,65.85
2012-05-25,65.86,66.33,65.11,65.41,2130410,65.41
2012-05-29,66.17,68.13,66.02,67.24,1826589,67.24
2012-05-30,65.95,65.98,63.81,64.18,3396052,64.18
2012-05-31,63.77,64,61.23,63.25,4226191,63.25
2012-06-01,61.5,62.7,60.87,62.07,3310182,62.07
2012-06-04,62.1,62.29,60.75,62.21,3619496,62.21
2012-06-05,61.94,63.28,61.54,62.24,2131633,62.24
2012-06-06,63.51,64.75,62.93,64.59,3555472,64.59
