DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,51.74,51.88,51.21,51.24,118451,51.24
2012-01-04,51.17,51.35,50.93,51.12,105874,51.12
2012-01-05,50.75,51.9,50.18,51.8,135995,51.8
2012-01-06,51.9,52.29,51.45,52.01,85746,52.01
2012-01-09,52.18,52.49,51.99,52.39,67923,52.39
2012-01-10,53.17,53.5,52.93,53.38,77603,53.38
2012-01-11,53.2,53.83,53.15,53.53,51196,53.53
2012-01-12,53.82,54.2,52.88,54.02,131754,54.02
2012-01-13,53.54,53.61,52.87,53.03,89202,53.03
2012-01-17,53.63,53.9,52.86,53.11,83622,53.11
2012-01-18,53.02,53.87,52.51,53.71,96698,53.71
2012-01-19,54.07,54.54,53.64,54.29,166251,54.29
2012-01-20,54.24,54.56,53.96,54.41,118140,54.41
2012-01-23,54.49,54.97,54.26,54.47,74754,54.47
2012-01-24,54.17,55,54.09,54.94,119075,54.94
2012-01-25,54.8,56.25,54.58,56.18,107764,56.18
2012-01-26,56.4,56.4,55.44,56.18,123180,56.18
2012-01-27,55.91,56.9,55.68,56.76,125131,56.76
2012-01-30,56.15,56.2,55.3,56.2,114704,56.2
2012-01-31,56.66,56.78,56,56.51,117080,56.51
2012-02-01,56.9,57.71,56.78,57.06,80248,57.06
2012-02-02,57.66,58.64,56.54,58.19,188372,58.19
2012-02-03,59,59.96,58.13,59.59,120239,59.59
2012-02-06,59.34,59.99,59.33,59.8,122725,59.8
2012-02-07,59.52,60.17,59.52,59.84,101975,59.84
2012-02-08,59.93,60.11,59.48,60,91718,60
2012-02-09,60.07,61.01,59.89,60.73,90598,60.73
2012-02-10,60,60.99,59.85,60.98,103272,60.98
2012-02-13,61.39,62.4,61.34,62.18,83230,62.18
2012-02-14,61.88,62.13,61.45,62.09,69443,62.09
2012-02-15,62.17,62.2,60.29,60.48,121770,60.48
2012-02-16,60.66,62.01,60.66,61.99,61980,61.99
2012-02-17,62.37,62.58,61.95,62.16,101392,62.16
2012-02-21,62.31,62.44,61.57,61.9,69263,61.9
2012-02-22,61.51,61.68,60.99,61.06,55108,61.06
2012-02-23,61.1,61.57,60.93,61.31,75470,61.31
2012-02-24,61.45,61.45,60.69,60.73,80981,60.73
2012-02-27,60.39,61.37,60,61.07,90882,61.07
2012-02-28,61.21,61.64,60.83,61.3,79687,61.3
2012-02-29,61.46,62.06,61.01,61.13,89476,61.13
2012-03-01,61.33,62,61.07,61.2,83242,61.2
2012-03-02,61.1,61.1,59.94,60.33,77343,60.33
2012-03-05,60.19,60.41,59.86,60.3,114814,60.3
2012-03-06,59.5,59.5,58.44,58.53,84053,58.53
2012-03-07,58.67,59.22,58.57,59.07,81794,59.07
2012-03-08,59.49,60.65,59.18,60.21,98072,60.21
2012-03-09,60.4,60.76,59.85,60.45,79172,60.45
2012-03-12,60.63,60.78,60.11,60.42,59278,60.42
2012-03-13,60.82,61.3,60.64,61.3,90561,61.3
2012-03-14,61.22,61.66,61.05,61.29,44096,61.29
2012-03-15,61.35,62.2,61.09,62.18,76638,62.18
2012-03-16,62.24,62.29,61.5,61.51,228228,61.51
2012-03-19,61.53,61.53,60.57,61,138318,61
2012-03-20,60.59,60.79,59.92,60.44,58097,60.44
2012-03-21,60.48,60.75,59.85,60.49,80248,60.49
2012-03-22,59.91,60.31,59.59,60.24,107775,60.24
2012-03-23,60.32,60.79,59.71,60.58,63778,60.58
2012-03-26,61.27,61.86,61.16,61.8,90197,61.8
2012-03-27,61.92,62.05,61.67,61.77,69527,61.77
2012-03-28,61.89,61.92,60.35,60.98,60007,60.98
2012-03-29,60.69,61.22,60.2,61.07,60329,61.07
2012-03-30,61.51,61.68,60.81,60.97,88243,60.97
2012-04-02,60.79,61.73,60.47,61.31,100938,61.31
2012-04-03,61.03,61.35,60.17,60.62,122415,60.62
2012-04-04,59.99,60.31,59.81,60.28,98323,60.28
2012-04-05,60.02,60.42,59.47,59.71,107023,59.71
2012-04-09,58.58,59.31,58.01,59.19,104279,59.19
2012-04-10,59.13,59.19,57.49,57.65,68928,57.65
2012-04-11,58.5,58.9,58.29,58.71,73306,58.71
2012-04-12,58.78,60.07,58.75,59.75,73778,59.75
2012-04-13,59.47,59.65,58.9,59.27,61207,59.27
2012-04-16,59.62,60.04,59.01,59.54,86408,59.54
2012-04-17,60.11,60.9,59.95,60.62,77220,60.62
2012-04-18,60.2,60.2,59.54,59.65,92482,59.65
2012-04-19,59.99,61.9,59.36,61.56,200529,61.56
2012-04-20,61.65,61.98,61.23,61.65,164563,61.65
2012-04-23,60.93,61.09,60.33,60.66,98878,60.66
2012-04-24,60.85,62.28,60.76,61.89,99007,61.89
2012-04-25,62.47,62.79,62.13,62.24,99403,62.24
2012-04-26,62.05,62.84,62.05,62.57,95091,62.57
2012-04-27,63,63.77,62.71,63.55,71485,63.55
2012-04-30,63.45,63.47,62.13,62.54,65986,62.54
2012-05-01,62.45,63.62,62.11,62.63,66656,62.63
2012-05-02,62.34,62.83,61.98,62.81,68798,62.81
2012-05-03,62.82,63.11,62.6,62.79,89615,62.79
2012-05-04,62.43,62.47,62.15,62.35,115622,62.35
2012-05-07,62.07,62.68,62,62.48,103322,62.48
2012-05-08,62.11,62.19,60.82,61.94,80526,61.94
2012-05-09,61.36,61.79,60.52,61.22,83190,61.22
