DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,49.17,49.26,47.07,47.59,2344561,47.59
2012-01-04,47.5,48.46,46.97,48.3,1240882,48.3
2012-01-05,48.36,49.19,48.11,49.11,1187933,49.11
2012-01-06,49.99,50.44,49.53,49.94,1967053,49.94
2012-01-09,50.26,50.99,50.03,50.85,1442238,50.85
2012-01-10,51.64,51.64,50.45,50.78,1165697,50.78
2012-01-11,50.74,51.17,50.37,50.55,887486,50.55
2012-01-12,50.86,51.11,49.86,50.48,1203947,50.48
2012-01-13,50.39,50.39,49.38,49.89,1934677,49.89
2012-01-17,50.35,51.16,49.69,49.96,1253314,49.96
2012-01-18,50.34,52.23,50.18,52.07,1778297,52.07
2012-01-19,52.29,52.75,51.59,52.68,1447494,52.68
2012-01-20,52.64,53.08,52.19,52.49,1372690,52.49
2012-01-23,52.32,52.52,50.87,51.8,1136335,51.8
2012-01-24,51.79,51.91,50.93,51.18,1574465,51.18
2012-01-25,52.5,52.62,50.73,52.36,2974701,52.36
2012-01-26,47.7,48,45.5,46.39,7033377,46.39
2012-01-27,46.03,47.14,45.435,46.7,2295177,46.7
2012-01-30,46.38,46.48,45.61,46.29,1358333,46.29
2012-01-31,46.59,47,45.67,45.88,1361433,45.88
2012-02-01,46.42,46.93,45.9,46.49,1724840,46.49
2012-02-02,46.65,46.85,46.25,46.54,978442,46.54
2012-02-03,47,47.59,46.73,47.545,1306880,47.545
2012-02-06,47.49,47.61,46.91,47.56,802436,47.56
2012-02-07,47.36,47.36,45.61,45.91,2282648,45.91
2012-02-08,46.06,47.045,45.88,46.84,1666473,46.84
2012-02-09,46.87,47.49,46.38,47.2,1185157,47.2
2012-02-10,46.48,47.1,46.16,46.47,1261701,46.47
2012-02-13,46.99,47.12,45.98,46.63,982209,46.63
2012-02-14,46.62,47.22,46.6,46.995,1113101,46.995
2012-02-15,47.49,48.55,47.23,47.68,2310073,47.68
2012-02-16,47.24,48.28,46.86,48.23,2069370,48.23
2012-02-17,48.37,48.64,47.5,47.79,1739606,47.79
2012-02-21,47.96,48.21,47.3,47.61,1139969,47.61
2012-02-22,47.43,47.74,47.21,47.48,1088733,47.48
