DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,123.6033,124.3837,120.0775,121.6476,661802,121.6476
2012-01-04,120.7262,121.3844,119.3911,119.5415,530492,119.5415
2012-01-05,119.2783,121.3938,118.9962,120.1715,551986,120.1715
2012-01-06,120.1527,120.5664,119.109,119.2406,468964,119.2406
2012-01-09,118.8645,119.9082,118.7329,119.1466,336732,119.1466
2012-01-10,120.0304,120.839,119.7108,119.8612,442357,119.8612
2012-01-11,119.203,120.6134,119.1372,120.3877,362008,120.3877
2012-01-12,120.745,120.9049,118.4414,119.4193,418033,119.4193
2012-01-13,118.8928,119.3347,118.0277,119.3347,497148,119.3347
2012-01-17,119.4193,121.2904,119.4193,120.5382,479522,120.5382
2012-01-18,120.6228,121.5254,120.3031,120.8014,488811,120.8014
2012-01-19,121.0741,123.6691,120.651,123.3777,607011,123.3777
2012-01-20,123.5657,123.9794,122.7571,123.7914,809118,123.7914
2012-01-23,123.7726,124.6752,123.011,123.7632,352022,123.7632
2012-01-24,123.246,125.7471,123.0392,125.7471,483952,125.7471
2012-01-25,125.371,127.7404,124.9573,127.684,500030,127.684
2012-01-26,128.1447,129.0755,127.3455,128.3703,380716,128.3703
2012-01-27,128.2293,128.8216,127.2797,128.5208,481159,128.5208
2012-01-30,127.5899,127.8814,126.5933,127.4113,375361,127.4113
2012-01-31,127.9848,128.013,126.6591,127.7404,1214499,127.7404
2012-02-01,128.6336,129.1789,127.4865,128.3421,440599,128.3421
2012-02-02,128.3797,129.4798,127.5993,129.2353,413482,129.2353
2012-02-03,130.4953,131.0124,128.8122,130.4388,518600,130.4388
2012-02-06,130.1756,130.2414,128.4455,129.3012,404162,129.3012
2012-02-07,129.0191,129.649,128.6994,129.2635,372156,129.2635
2012-02-08,129.1037,129.8371,128.0506,129.414,378589,129.414
2012-02-09,129.1977,130.0157,127.6463,129.6584,317201,129.6584
2012-02-10,128.5772,129.2071,127.6181,128.5866,431935,128.5866
2012-02-13,129.2165,129.2165,128.0036,128.6994,242162,128.6994
2012-02-14,128.3045,128.3327,126.8942,127.6651,362526,127.6651
2012-02-15,128.2669,128.8404,127.3643,127.9378,307933,127.9378
2012-02-16,127.9378,129.9217,127.8814,129.6867,478847,129.6867
2012-02-17,130.2038,130.2038,128.7464,129.5268,540945,129.5268
2012-02-21,129.8465,130.0345,126.7719,127.6934,413318,127.6934
2012-02-22,127.4677,128.1165,126.3958,126.8377,289147,126.8377
2012-02-23,126.9318,127.6746,126.3112,127.6557,286522,127.6557
2012-02-24,128.06,129.1319,127.0634,128.4926,222756,128.4926
2012-02-27,127.3267,129.0567,126.6685,128.643,287334,128.643
2012-02-28,128.8592,129.2918,127.684,128.1541,338164,128.1541
2012-02-29,128.2575,129.5174,127.1198,127.3831,538989,127.3831
2012-03-01,127.6651,128.3891,127.1292,128.2481,363429,128.2481
2012-03-02,128.4361,129.3012,128.2293,129.0473,310321,129.0473
2012-03-05,129.0661,130.1756,128.3609,130.138,347331,130.138
2012-03-06,129.1319,129.9123,128.4549,128.5678,464873,128.5678
2012-03-07,129.1225,130.0627,127.9566,129.9593,283461,129.9593
2012-03-08,129.6208,130.0439,127.148,129.9781,649616,129.9781
2012-03-09,128.8122,129.0097,128.2387,128.2951,1487685,128.2951
2012-03-12,128.7182,131.5953,128.596,130.8337,954904,130.8337
2012-03-13,131.6235,133.1561,130.9936,132.5262,885772,132.5262
2012-03-14,132.6766,133.269,131.68,132.686,447224,132.686
2012-03-15,132.7424,133.41,132.2065,132.7612,548109,132.7612
2012-03-16,132.7894,133.5416,132.5262,133.4194,2721328,133.4194
2012-03-19,133.1843,135.3845,132.8835,134.999,480060,134.999
2012-03-20,134.181,135.3657,133.9083,134.9238,468419,134.9238
2012-03-21,135.046,136.2213,134.6229,135.6007,422818,135.6007
2012-03-22,134.6605,134.6605,133.2219,134.2374,579931,134.2374
2012-03-23,134.6323,135.7324,133.8049,135.0366,431012,135.0366
2012-03-26,136.2965,136.3717,134.905,135.9016,463164,135.9016
2012-03-27,136.1649,137.2932,135.4127,135.9768,387747,135.9768
2012-03-28,135.3845,136.4375,133.8237,135.6571,460462,135.6571
2012-03-29,135.1118,136.2307,134.2844,136.0803,448987,136.0803
2012-03-30,136.9453,137.5846,135.8828,136.9735,650264,136.9735
2012-04-02,137.1145,138.2898,136.682,138.1582,465503,138.1582
2012-04-03,137.7257,138.3462,137.0957,137.8385,304503,137.8385
2012-04-04,136.6162,137.6316,135.77,136.9547,495034,136.9547
2012-04-05,136.7102,137.6222,136.0709,137.0769,445719,137.0769
2012-04-09,135.1118,136.8607,134.5007,136.005,396322,136.005
2012-04-10,136.6726,136.7384,133.1091,133.2595,520505,133.2595
2012-04-11,134.6699,135.093,133.7015,134.7921,423910,134.7921
2012-04-12,134.9426,137.0205,134.1998,137.0205,344904,137.0205
2012-04-13,136.3341,137.1333,135.864,136.0897,387159,136.0897
2012-04-16,137.1803,139.7566,136.9923,139.7566,1182526,139.7566
2012-04-17,140.1985,141.0917,138.8257,140.584,435862,140.584
2012-04-18,139.7848,140.8849,139.6531,140.1139,392985,140.1139
2012-04-19,140.3207,140.4994,138.5249,139.2112,303411,139.2112
2012-04-20,139.6249,141.7593,139.6249,141.1387,680120,141.1387
2012-04-23,140.3301,140.537,138.3274,139.7378,502262,139.7378
2012-04-24,140.0292,141.9097,139.766,141.8533,474953,141.8533
2012-04-25,142.8782,143.5551,142.1166,143.5551,492356,143.5551
2012-04-26,143.5175,143.715,142.5303,143.0944,476642,143.0944
2012-04-27,145.0313,146.6015,144.3825,146.0467,472485,146.0467
2012-04-30,146.1878,146.404,144.7492,146.3006,614691,146.3006
2012-05-01,146.3006,149.1119,146.2066,148.1623,401174,148.1623
2012-05-02,147.4947,148.2469,146.3382,147.6075,329515,147.6075
2012-05-03,147.6546,148.04,146.169,146.216,506777,146.216
2012-05-04,145.398,146.0844,144.3731,144.9749,398852,144.9749
2012-05-07,144.1851,146.3194,144.0252,145.8023,307726,145.8023
2012-05-08,145.0219,146.2818,144.7022,146.122,358218,146.122
2012-05-09,144.8997,147.0716,144.7586,145.4732,409266,145.4732
2012-05-10,146.6673,146.6673,145.0877,145.6707,314328,145.6707
2012-05-11,145.4732,147.0528,144.6082,146.7519,372797,146.7519
2012-05-14,145.7365,147.6169,145.2287,145.2287,499659,145.2287
2012-05-15,144.6364,144.9655,143.179,144.1099,482541,144.1099
2012-05-16,144.9843,145.0501,141.0541,141.355,691654,141.355
2012-05-17,141.1293,141.5242,137.5564,137.5564,580539,137.5564
2012-05-18,137.8667,138.8445,135.3375,135.7136,926246,135.7136
2012-05-21,136.3341,138.8634,136.1649,138.6565,387283,138.6565
2012-05-22,138.9574,139.9634,138.2146,138.948,351988,138.948
2012-05-23,138.2898,139.2112,136.3153,139.0702,348612,139.0702
2012-05-24,139.4369,140.2267,138.1582,140.1233,271117,140.1233
2012-05-25,139.9728,140.8096,138.7693,139.2677,283332,139.2677
2012-05-29,139.6343,141.3456,139.5309,141.1857,396461,141.1857
2012-05-30,139.7378,140.1045,137.406,137.4436,574527,137.4436
2012-05-31,137.4436,139.9634,135.9862,138.7035,908537,138.7035
2012-06-01,135.6666,137.594,134.6417,134.9332,732252,134.9332
2012-06-04,135.2152,135.5161,133.5886,134.7639,512166,134.7639
2012-06-05,134.0399,137.9043,133.9177,137.4248,523371,137.4248
2012-06-06,138.6377,140.2361,137.2932,140.2079,514081,140.2079
2012-06-07,141.2139,141.2986,139.4839,139.8976,340025,139.8976
2012-06-08,140.0951,141.6088,139.6343,141.6088,332950,141.6088
2012-06-11,142.5585,142.5585,138.6753,138.8916,519425,138.8916
2012-06-12,139.2865,140.1233,137.6787,140.1233,441394,140.1233
2012-06-13,138.9856,140.4053,138.0171,138.5155,463369,138.5155
2012-06-14,138.8539,140.0575,138.365,139.3899,709395,139.3899
2012-06-15,140.5558,140.5558,138.6377,140.2361,1195847,140.2361
2012-06-18,139.8318,141.4114,139.3053,140.3865,505808,140.3865
2012-06-19,141.0071,142.7935,140.5464,142.2106,558934,142.2106
2012-06-20,142.408,143.6586,141.9473,143.179,567859,143.179
2012-06-21,143.809,143.809,140.2643,140.5746,535051,140.5746
2012-06-22,141.637,141.7405,139.9916,141.2045,647316,141.2045
2012-06-25,139.766,141.496,139.6249,140.9601,300549,140.9601
2012-06-26,140.9507,142.5303,140.8096,141.4772,419023,141.4772
2012-06-27,141.637,142.3704,140.9225,141.9661,300626,141.9661
2012-06-28,141.355,142.8499,140.5934,142.6337,317028,142.6337
