DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,18.13,18.72,18.11,18.52,1465198,18.52
2012-01-04,18.31,18.75,18.08,18.66,1556372,18.66
2012-01-05,18.52,19.93,18.31,19.66,2660533,19.66
2012-01-06,19.9,20,19.25,19.75,1690022,19.75
2012-01-09,19.81,20.16,19.7,20.07,1252710,20.07
2012-01-10,20.5,20.83,20.18,20.47,1611563,20.47
2012-01-11,20.37,21.09,20.19,21.06,1849859,21.06
2012-01-12,21.16,21.22,20.44,21.05,1479410,21.05
2012-01-13,20.56,20.9,20,20.8,1615820,20.8
2012-01-17,21.18,21.19,20.5,20.6,1546696,20.6
2012-01-18,20.5,21.02,20.13,20.98,1361274,20.98
2012-01-19,21.05,21.25,20.15,20.24,2280027,20.24
2012-01-20,20.25,21.69,19.81,21.29,2622398,21.29
2012-01-23,21,21.43,20.9,21.22,3082421,21.22
2012-01-24,21.03,21.31,20.7,21.29,1143535,21.29
2012-01-25,21.18,21.81,21.14,21.62,1870088,21.62
2012-01-26,21.55,21.76,20.33,20.5,1774658,20.5
2012-01-27,20.28,20.74,20.22,20.61,1296782,20.61
2012-01-30,20.33,20.64,20.07,20.53,2774168,20.53
2012-01-31,20.67,20.88,20.41,20.57,1373469,20.57
2012-02-01,20.96,21.57,20.88,21.04,1539147,21.04
2012-02-02,21.04,21.51,20.9,21.31,817522,21.31
2012-02-03,21.7,22.4,21.68,22.28,1649222,22.28
2012-02-06,22.04,22.29,22.01,22.1,815702,22.1
2012-02-07,21.91,22.69,21.91,22.19,1334149,22.19
2012-02-08,22.2,22.32,21.93,22.25,944419,22.25
2012-02-09,22.51,22.92,22.2,22.6,1622315,22.6
2012-02-10,22.2,22.41,21.93,22.03,1138183,22.03
2012-02-13,22.36,22.48,22.22,22.28,1077096,22.28
2012-02-14,21.82,21.9,21.41,21.67,1393375,21.67
2012-02-15,21.82,22.09,21.65,21.87,1059788,21.87
2012-02-16,21.86,22.69,21.65,22.56,843955,22.56
2012-02-17,22.86,22.86,22.45,22.69,1386413,22.69
2012-02-21,22.9,23.55,22.66,23.01,1442268,23.01
2012-02-22,22.92,22.94,22.05,22.15,4117666,22.15
2012-02-23,22.15,22.32,21.88,22.32,1002152,22.32
2012-02-24,22.32,22.49,22.15,22.3,717611,22.3
2012-02-27,22.04,22.95,22.04,22.85,1097953,22.85
2012-02-28,22.82,23.38,22.64,23.25,1358266,23.25
2012-02-29,23.26,23.72,22.96,22.96,1564895,22.96
2012-03-01,23.15,23.44,22.89,23.03,1154723,23.03
2012-03-02,23.06,23.15,22.84,22.91,891325,22.91
2012-03-05,22.91,22.92,22.11,22.2,1247650,22.2
2012-03-06,21.83,21.89,21.44,21.54,1202632,21.54
2012-03-07,21.65,22.06,21.54,21.88,1055654,21.88
2012-03-08,22.11,22.33,21.88,22.25,703017,22.25
2012-03-09,22.31,22.78,22.25,22.43,1275797,22.43
2012-03-12,22.3,22.3,21.66,21.88,1228444,21.88
2012-03-13,22.11,22.93,21.7,22.58,2354551,22.58
2012-03-14,22.12,24.04,22.07,23.61,3441797,23.61
2012-03-15,23.75,24.88,23.67,24.49,1871266,24.49
2012-03-16,24.63,24.82,24.3,24.38,2350204,24.38
2012-03-19,24.38,24.92,24.07,24.54,961288,24.54
2012-03-20,24.65,24.88,24.2,24.65,1612838,24.65
2012-03-21,24.5,24.69,24.21,24.49,979542,24.49
2012-03-22,24.13,24.19,23.45,23.63,1270597,23.63
2012-03-23,23.27,23.76,23,23.73,1798193,23.73
2012-03-26,24.13,24.15,23.79,24,1357289,24
2012-03-27,24.1,24.16,23.82,23.9,1138355,23.9
2012-03-28,23.92,24.29,23.8,24.29,1338421,24.29
2012-03-29,24.4,24.45,23.77,24.15,1897384,24.15
2012-03-30,24.36,24.43,23.77,24.17,1374583,24.17
2012-04-02,23.79,24.42,23.75,24.28,1083999,24.28
2012-04-03,24.17,24.48,24,24.47,1389117,24.47
2012-04-04,24.14,24.37,23.95,24.02,1041574,24.02
2012-04-05,23.9,24.34,23.8,24.06,888361,24.06
2012-04-09,23.54,23.58,23.02,23.28,928749,23.28
2012-04-10,23.19,23.32,22.67,22.84,1292359,22.84
2012-04-11,23.2,23.58,22.96,23.24,1209396,23.24
2012-04-12,23.28,23.64,23.22,23.55,869995,23.55
2012-04-13,23.42,23.52,22.25,22.58,2977824,22.58
2012-04-16,22.82,23.09,22.57,22.83,1541099,22.83
2012-04-17,23.1,23.6,22.97,23.31,1220897,23.31
2012-04-18,23.16,23.51,23.05,23.07,802463,23.07
2012-04-19,23.07,23.27,22.56,22.74,1600822,22.74
2012-04-20,23,23,22.47,22.6,1659248,22.6
2012-04-23,22.75,23.73,22.6,23.23,2637785,23.23
2012-04-24,23.31,23.8,23.25,23.68,1209157,23.68
2012-04-25,24,24.4,23.82,24.26,1110194,24.26
2012-04-26,24.06,24.46,23.99,24.42,881433,24.42
2012-04-27,24.5,24.83,24.2,24.8,1233035,24.8
2012-04-30,24.68,24.71,24.11,24.28,2030798,24.28
2012-05-01,24.28,24.81,24.15,24.42,967076,24.42
2012-05-02,24.22,24.42,23.89,24.31,863435,24.31
2012-05-03,24.31,24.49,24.05,24.3,1111032,24.3
2012-05-04,24.01,24.18,23.64,23.75,988132,23.75
2012-05-07,23.57,24.1,23.56,23.99,1004958,23.99
2012-05-08,23.81,23.92,23.34,23.64,1083924,23.64
2012-05-09,23.27,23.35,22.67,23.08,1539541,23.08
2012-05-10,23.5,23.84,23.47,23.59,967940,23.59
2012-05-11,23.1,23.94,23,23.7,1134847,23.7
2012-05-14,23.33,23.49,22.93,23.01,1317526,23.01
2012-05-15,23.04,23.3,22.71,22.77,953671,22.77
2012-05-16,22.9,23.25,22.69,22.73,1275316,22.73
2012-05-17,22.7,22.75,22.17,22.17,1130021,22.17
2012-05-18,22.28,22.38,21.57,21.72,1932193,21.72
2012-05-21,21.83,22.38,21.63,22.31,1287567,22.31
2012-05-22,22.42,22.92,22.35,22.53,1106676,22.53
2012-05-23,22.32,22.87,22.13,22.85,1030092,22.85
2012-05-24,23,23,22.36,22.67,1132667,22.67
2012-05-25,22.56,22.83,22.42,22.49,690726,22.49
2012-05-29,22.66,22.84,22.53,22.72,957317,22.72
2012-05-30,22.37,22.48,22.11,22.17,1348228,22.17
2012-05-31,22.47,23.15,22.04,22.92,1577374,22.92
2012-06-01,22.37,22.38,21.6,21.86,1581803,21.86
2012-06-04,22.09,22.09,20.96,21.1,1530303,21.1
2012-06-05,21.03,21.65,21.01,21.16,1227883,21.16
2012-06-06,21.44,21.85,21.3,21.71,1196873,21.71
2012-06-07,22.05,22.2,21.69,21.77,856240,21.77
2012-06-08,21.82,22.2,21.38,22.18,1030759,22.18
2012-06-11,22.45,22.5,21.6,21.61,934727,21.61
2012-06-12,21.66,21.74,21.16,21.68,1285037,21.68
2012-06-13,21.58,22.35,21.56,22,1203434,22
2012-06-14,22.08,22.37,21.99,22.13,1087406,22.13
2012-06-15,22.21,22.53,22.05,22.43,2298799,22.43
2012-06-18,22.27,22.78,22.2,22.51,883018,22.51
2012-06-19,22.68,23.44,22.68,23.27,1154317,23.27
2012-06-20,23.29,23.53,22.92,23.42,1101719,23.42
2012-06-21,23.48,23.64,22.58,22.61,1214395,22.61
2012-06-22,22.74,23.18,22.74,23.02,1155769,23.02
2012-06-25,22.65,22.65,21.73,22.13,1046816,22.13
2012-06-26,22.14,22.83,22.06,22.71,1380863,22.71
2012-06-27,22.78,23.25,22.53,23.18,905188,23.18
2012-06-28,22.95,23.32,22.71,23.3,1054846,23.3
2012-06-29,23.96,24.23,23.79,24.23,1506949,24.23
2012-07-02,24.81,24.84,24.34,24.69,1251105,24.69
2012-07-03,24.7,24.99,24.57,24.67,501179,24.67
2012-07-05,24.57,24.66,24.37,24.41,805124,24.41
2012-07-06,24.04,24.39,23.93,24.22,673156,24.22
2012-07-09,24.11,24.23,23.71,23.86,894481,23.86
2012-07-10,24.01,24.48,23.53,23.71,972607,23.71
2012-07-11,23.74,24.32,23.63,24.21,1098431,24.21
2012-07-12,23.9,24.01,23.68,23.74,915450,23.74
2012-07-13,23.9,24.92,23.8,24.75,1381283,24.75
2012-07-16,24.68,25.18,24.43,24.87,1189834,24.87
2012-07-17,25.01,25.1,24.43,24.93,847962,24.93
2012-07-18,24.79,25.13,24.63,24.74,883427,24.74
2012-07-19,24.74,24.98,23.83,24.24,1667173,24.24
2012-07-20,23.96,24.01,23.18,23.52,2265686,23.52
2012-07-23,23.05,23.48,22.71,22.94,1606605,22.94
2012-07-24,23.12,23.18,22.34,22.75,1243020,22.75
2012-07-25,22.91,23.14,22.75,22.77,1085305,22.77
2012-07-26,23.26,23.46,23.12,23.41,974153,23.41
2012-07-27,23.73,23.98,23.34,23.78,1087937,23.78
2012-07-30,23.66,23.76,23.49,23.55,715164,23.55
2012-07-31,23.47,23.79,23.38,23.65,1172071,23.65
2012-08-01,23.77,23.99,23.51,23.67,1349496,23.67
2012-08-02,23.4,23.55,22.88,23.21,812329,23.21
2012-08-03,23.67,24.35,23.63,24.09,797723,24.09
2012-08-06,24.26,24.46,24,24.03,516429,24.03
2012-08-07,24.1,24.77,24.03,24.3,859571,24.3
2012-08-08,24.09,24.69,24.09,24.38,532309,24.38
2012-08-09,24.29,24.76,24.25,24.7,633854,24.7
2012-08-10,24.58,24.88,24.39,24.83,557250,24.83
2012-08-13,24.7,24.9,24.62,24.89,502805,24.89
2012-08-14,24.98,25.1,24.82,24.97,736302,24.97
2012-08-15,24.9,25.17,24.84,25.02,474428,25.02
2012-08-16,25.07,25.3,24.93,25.26,737167,25.26
2012-08-17,25.32,25.53,25.19,25.49,757488,25.49
2012-08-20,25.49,25.58,25.32,25.45,503207,25.45
2012-08-21,25.53,25.76,25.22,25.28,891837,25.28
2012-08-22,25.28,25.58,25,25.2,930315,25.2
2012-08-23,25.28,25.33,24.82,24.91,698800,24.91
2012-08-24,24.9,25.18,24.83,25.1,683956,25.1
2012-08-27,25.24,25.41,25.04,25.19,668468,25.19
2012-08-28,25.02,25.08,24.73,24.79,777274,24.79
2012-08-29,24.9,25.28,24.86,25.1,820292,25.1
2012-08-30,24.93,25.08,24.67,24.97,512537,24.97
2012-08-31,25.12,25.36,25.05,25.17,713487,25.17
2012-09-04,25.19,25.72,25.14,25.61,788968,25.61
2012-09-05,25.49,25.7,25.32,25.45,939944,25.45
2012-09-06,25.85,26.77,25.84,26.68,1339999,26.68
2012-09-07,27.4,28.13,27.34,27.5,1835117,27.5
2012-09-10,27.5,27.96,27.42,27.63,1065943,27.63
2012-09-11,27.63,27.84,27.42,27.58,1007900,27.58
2012-09-12,27.64,28.35,27.64,28.09,1164517,28.09
2012-09-13,28.09,29.45,27.93,28.87,1506030,28.87
2012-09-14,29.11,30.79,29.08,29.91,2628780,29.91
2012-09-17,29.81,29.81,28.89,29.14,1263733,29.14
2012-09-18,29,29.05,28.39,28.69,1237935,28.69
2012-09-19,28.4,29.16,28.39,29.03,1456524,29.03
