DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,41.41,42.58,41.27,41.82,1055284,41.82
2012-01-04,41.47,41.5,40.76,41.3,751402,41.3
2012-01-05,40.84,41.87,40.4,41.76,737964,41.76
2012-01-06,41.74,41.94,41.26,41.76,581944,41.76
2012-01-09,41.79,41.98,41.47,41.77,732228,41.77
2012-01-10,42.25,43.31,42.25,43.17,1119878,43.17
2012-01-11,43.15,43.15,42.7,43.05,749633,43.05
2012-01-12,43.29,43.67,42.97,43.61,957351,43.61
2012-01-13,42.82,43.5,42.55,42.94,1093873,42.94
2012-01-17,43.8,43.9,42.55,42.75,1133519,42.75
2012-01-18,41,41,39.02,39.95,2600255,39.95
2012-01-19,40.05,41.18,40.01,41.06,1292967,41.06
2012-01-20,41.09,41.58,40.71,41.5,1256208,41.5
2012-01-23,41.36,41.92,40.93,41.79,771329,41.79
2012-01-24,41.34,41.55,41.12,41.31,1048885,41.31
2012-01-25,41.02,41.31,39.65,39.91,1876906,39.91
2012-01-26,40,40.15,38.53,38.78,1965529,38.78
2012-01-27,38.55,39.31,38.37,39.06,1750517,39.06
2012-01-30,38.58,39.03,38.21,38.83,1018929,38.83
2012-01-31,39.2,39.24,38.47,39.18,1495406,39.18
2012-02-01,39.52,40.37,39.26,40.2,1250787,40.2
2012-02-02,40.5,41.16,40.2,40.98,1198528,40.98
2012-02-03,41.74,42.81,41.51,42.57,1401073,42.57
2012-02-06,41.91,42.18,41.65,41.83,1334044,41.83
2012-02-07,41.56,41.78,41.15,41.64,781998,41.64
2012-02-08,41.65,41.84,41.11,41.81,887584,41.81
2012-02-09,41.85,42.05,41.07,41.1,945386,41.1
2012-02-10,40.71,40.96,40.48,40.66,665455,40.66
2012-02-13,41.07,41.2,40.15,40.23,833793,40.23
2012-02-14,40.16,40.28,39.12,39.46,1229518,39.46
2012-02-15,39.6,39.86,39.27,39.52,739159,39.52
2012-02-16,39.19,40.41,39.12,40.36,910301,40.36
2012-02-17,40.17,40.28,39.54,40.25,1353705,40.25
2012-02-21,39.97,40.51,39.86,40.01,910710,40.01
2012-02-22,39.98,39.98,39.49,39.62,664561,39.62
2012-02-23,39.6,40.95,39.6,40.86,1007481,40.86
2012-02-24,40.96,41.1,40.46,40.53,758309,40.53
2012-02-27,40.16,41.65,40.15,41.46,927946,41.46
2012-02-28,41.33,42.3,41,42.02,1077912,42.02
2012-02-29,42,43,42,42.23,1728039,42.23
2012-03-01,42.38,42.82,42.11,42.42,1011277,42.42
2012-03-02,42.49,42.6,41.97,41.98,818784,41.98
2012-03-05,41.91,41.91,41.35,41.76,704296,41.76
2012-03-06,41.4,41.58,40.81,40.92,1559682,40.92
2012-03-07,41.09,41.51,40.9,41.42,704747,41.42
2012-03-08,41.82,41.96,41.4,41.76,622448,41.76
2012-03-09,41.84,42.34,41.66,42.1,593315,42.1
2012-03-12,42.12,42.12,41.28,41.68,699981,41.68
2012-03-13,42.12,44.06,41.99,43.87,1282032,43.87
2012-03-14,44.54,44.92,44.14,44.88,1393643,44.88
2012-03-15,44.93,46.2,44.51,45.84,1112676,45.84
2012-03-16,47.03,47.15,45.55,45.76,2097157,45.76
2012-03-19,45.62,46.48,45.15,45.96,814788,45.96
2012-03-20,45.41,46.1,45.29,45.9,802005,45.9
2012-03-21,45.9,46.09,45.52,45.53,647900,45.53
2012-03-22,45.25,45.62,44.78,45.01,702155,45.01
2012-03-23,45,45.81,44.85,45.63,660577,45.63
2012-03-26,46.13,46.68,46.01,46.29,902688,46.29
2012-03-27,46.29,46.41,45.48,45.49,578523,45.49
2012-03-28,45.38,45.61,44.83,45.47,788345,45.47
2012-03-29,44.9,45.13,44.48,45.06,725560,45.06
2012-03-30,45.29,45.51,44.83,45.5,837217,45.5
2012-04-02,45.33,46.13,45.1,45.88,574118,45.88
2012-04-03,45.72,45.92,45.07,45.9,970550,45.9
2012-04-04,45.34,45.34,44.42,44.6,883800,44.6
2012-04-05,44.55,44.92,44.29,44.56,618892,44.56
2012-04-09,43.78,44.01,43.4,43.82,785205,43.82
2012-04-10,43.7,44,42.99,43,863886,43
2012-04-11,43.62,43.81,43.21,43.32,654735,43.32
2012-04-12,43.34,44.25,43.27,44.18,778905,44.18
