DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,16.8,16.905,16.34,16.43,1811799,16.43
2012-01-04,16.44,16.83,16.21,16.82,2801701,16.82
2012-01-05,18.17,18.19,17.56,17.9,8201526,17.9
2012-01-06,17.83,18.44,17.83,18.31,3004759,18.31
2012-01-09,18.35,18.45,18.15,18.19,2080041,18.19
2012-01-10,18.41,18.82,18.33,18.6,2602108,18.6
2012-01-11,18.68,18.715,18.39,18.69,1779504,18.69
2012-01-12,18.81,19.495,18.8,19.37,5871964,19.37
2012-01-13,19.27,19.67,19.1,19.54,3164598,19.54
2012-01-17,19.6,19.8,19.19,19.43,3334064,19.43
2012-01-18,19.41,19.79,19.35,19.75,2002333,19.75
2012-01-19,19.79,19.95,19.74,19.84,1747434,19.84
2012-01-20,19.84,20.08,19.62,20.02,3134990,20.02
2012-01-23,20,20.02,19.52,19.68,3926615,19.68
2012-01-24,19.9,20.02,19.55,19.75,3322126,19.75
2012-01-25,19.73,19.9,19.45,19.77,2503771,19.77
2012-01-26,19.92,20,19.66,19.8,2075181,19.8
2012-01-27,20.35,21,20.32,20.77,4878690,20.77
2012-01-30,20.71,21,20.5,20.89,2574856,20.89
2012-01-31,21,21.23,20.96,21.14,4580201,21.14
2012-02-01,23.6,26.15,23.6,25.53,23350332,25.53
2012-02-02,25.4,26.31,25.19,25.745,7346273,25.745
2012-02-03,25.98,26.67,25.96,26.415,3570064,26.415
2012-02-06,26.39,26.625,25.92,26.395,3445092,26.395
2012-02-07,26.27,27.15,26.22,26.67,3528122,26.67
2012-02-08,26.78,27.28,26.7,27,3116306,27
2012-02-09,27.06,27.3,26.3,26.68,3814158,26.68
2012-02-10,26.25,26.45,25.81,26.2,4050017,26.2
2012-02-13,26.48,26.5,25.785,26.05,3030606,26.05
2012-02-14,26,26.73,25.94,26.6,2478045,26.6
2012-02-15,26.61,26.77,26.05,26.2,2688456,26.2
2012-02-16,26.47,27.3,26.31,27.18,2886232,27.18
2012-02-17,27.25,27.3,26.81,26.88,2264363,26.88
2012-02-21,27,27.12,26.46,26.72,1539121,26.72
2012-02-22,26.61,26.78,26.34,26.455,1987575,26.455
2012-02-23,26.35,27.4,26.35,27.11,2793560,27.11
2012-02-24,27.29,27.78,27.25,27.49,2480323,27.49
2012-02-27,27.25,27.7,26.7,26.71,3539931,26.71
2012-02-28,26.84,27.14,26.68,27.08,2078097,27.08
2012-02-29,27.2,27.46,26.26,26.26,2932931,26.26
2012-03-01,26.44,27.4,25.99,27.36,2981766,27.36
2012-03-02,27.24,27.74,26.78,27.28,3184864,27.28
2012-03-05,27.17,27.79,27.09,27.66,2797148,27.66
2012-03-06,27.42,27.6,26.52,26.89,2780860,26.89
2012-03-07,27.15,27.7,27.01,27.62,2689308,27.62
2012-03-08,27.75,28.56,27.71,27.98,3067939,27.98
2012-03-09,28.03,28.62,28.03,28.33,2203955,28.33
2012-03-12,28.23,28.33,27.86,27.88,1654995,27.88
2012-03-13,28.09,28.16,27.46,28,2335673,28
2012-03-14,28.1,28.29,27.1,27.43,2959016,27.43
2012-03-15,27.41,27.52,26.41,26.58,3960814,26.58
2012-03-16,26.84,27.03,26.27,26.71,5049912,26.71
2012-03-19,26.58,26.88,26.12,26.44,2227147,26.44
2012-03-20,26.34,26.66,25.94,26.57,1909300,26.57
2012-03-21,26.7,26.92,26.32,26.71,1944655,26.71
2012-03-22,26.7,27.975,26.66,27.93,3166314,27.93
2012-03-23,27.89,28.04,27.28,27.96,2693877,27.96
2012-03-26,28.07,28.07,27.6,27.9,1819479,27.9
2012-03-27,28,28,27.325,27.35,1912129,27.35
2012-03-28,27.62,27.84,26.95,27.23,2735390,27.23
2012-03-29,26.97,27.12,26.43,27.09,2221501,27.09
2012-03-30,27.3,27.3,26.42,26.95,1641013,26.95
2012-04-02,27.01,28,26.88,27.96,2641392,27.96
2012-04-03,27.73,28.2,27.59,27.89,2529383,27.89
2012-04-04,27.59,27.64,27.27,27.44,2388842,27.44
2012-04-05,26.7,26.8,24.87,25.72,7890237,25.72
2012-04-09,25.48,26.72,25.42,26.53,3384675,26.53
2012-04-10,26.62,26.87,25.54,25.64,2613552,25.64
2012-04-11,26.01,26.46,25.76,25.89,2960818,25.89
2012-04-12,26.02,27.11,26.02,26.99,2292951,26.99
2012-04-13,26.91,27.77,26.86,27.38,3138076,27.38
2012-04-16,28.45,29,28.03,28.52,5824909,28.52
2012-04-17,28.9,28.96,27.89,27.89,5170332,27.89
2012-04-18,28.6,29.59,28.21,28.96,9491223,28.96
2012-04-19,29.21,29.59,28.45,28.81,4922673,28.81
2012-04-20,29.01,29.48,28.735,29.21,3075470,29.21
2012-04-23,29,29.45,28.91,29.32,3190028,29.32
2012-04-24,29.42,29.88,29.23,29.84,2537200,29.84
2012-04-25,29.9,31.32,29.86,31.02,4126656,31.02
2012-04-26,31.02,31.49,30.6,31.09,2630870,31.09
