DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,69.21,70.98,69.05,70.24,617133,70.24
2012-01-04,70.3,70.9,69.75,70.51,377122,70.51
2012-01-05,69.9,70.93,68.7,70.78,498223,70.78
2012-01-06,70.97,71.17,69.85,70.45,191379,70.45
2012-01-09,70.46,71.03,70.3,70.76,244076,70.76
2012-01-10,71.83,72.82,71.26,71.85,359589,71.85
2012-01-11,71.38,72.1,71.38,71.74,231212,71.74
2012-01-12,72.08,72.73,71.52,72.61,195218,72.61
2012-01-13,72.67,72.75,71,71.6,356683,71.6
2012-01-17,72.63,72.68,71.15,71.21,340352,71.21
2012-01-18,71.11,73.28,70.39,72.88,568716,72.88
2012-01-19,73.05,73.05,70.96,71.18,524927,71.18
2012-01-20,70.46,71.22,70.35,71.11,514902,71.11
2012-01-23,70.95,71.81,70.52,70.8,402370,70.8
2012-01-24,70.19,70.51,69.61,69.89,441913,69.89
2012-01-25,69.81,72.4,69.64,72.34,545479,72.34
2012-01-26,72.43,72.58,70.84,72.55,741448,72.55
2012-01-27,72.19,72.52,71.1,71.84,472617,71.84
2012-01-30,71.25,71.75,70.42,70.72,537987,70.72
2012-01-31,71.09,71.3,70,70.18,688349,70.18
2012-02-01,71,72.22,70.61,71.5,498486,71.5
2012-02-02,71.62,71.64,71.09,71.43,355165,71.43
2012-02-03,72.35,73.96,72.04,73.8,451847,73.8
2012-02-06,73.32,74.66,73,74.1,462365,74.1
2012-02-07,73.69,74.93,73.62,74.36,305758,74.36
2012-02-08,74.53,75.37,74.38,74.4,413050,74.4
2012-02-09,74.35,75.5,73.55,75.4,395998,75.4
2012-02-10,74.32,75.18,74,75.08,395032,75.08
2012-02-13,75.5,75.72,74.29,75.39,514022,75.39
2012-02-14,75.08,75.75,74.64,75.7,244820,75.7
2012-02-15,75.9,75.99,74.13,74.64,419472,74.64
2012-02-16,74.92,75.08,74.18,74.76,293267,74.76
2012-02-17,75.16,75.95,75.05,75.36,291649,75.36
2012-02-21,75.33,76.27,75.04,75.39,298473,75.39
2012-02-22,75.35,75.39,74.11,74.24,291197,74.24
2012-02-23,74.3,75.4,74.02,75.35,357664,75.35
2012-02-24,75.25,75.48,74.5,74.85,267901,74.85
2012-02-27,74.12,75.59,73.58,75.22,265653,75.22
2012-02-28,75.52,76.63,75.23,76.13,339091,76.13
2012-02-29,76.23,77.39,76.04,76.8,483580,76.8
2012-03-01,76.99,77.47,76.39,76.79,540755,76.79
2012-03-02,76.77,76.77,75.77,76.08,301242,76.08
2012-03-05,75.7,75.81,74.91,75.59,267203,75.59
2012-03-06,74.7,74.9,73.52,73.68,393847,73.68
2012-03-07,73.84,75.84,73.84,75.66,1452901,75.66
2012-03-08,76.31,76.71,75.96,76.27,831022,76.27
2012-03-09,76.22,77.7,76.15,77.63,870143,77.63
2012-03-12,77.61,77.79,76.87,77.65,586232,77.65
2012-03-13,78,80.88,77.98,80.74,745514,80.74
2012-03-14,80.78,81.63,80.56,80.72,447937,80.72
2012-03-15,80.72,81.58,80.5,81.34,405232,81.34
2012-03-16,81.73,81.84,79.97,80.21,818359,80.21
2012-03-19,80.12,80.35,79.44,80.17,305797,80.17
2012-03-20,79.44,79.6,78.49,79.21,396099,79.21
2012-03-21,79.66,79.99,78.83,79.13,338684,79.13
2012-03-22,78.25,78.37,76.86,77.85,431001,77.85
2012-03-23,77.72,78.48,76.42,78.2,359470,78.2
2012-03-26,79.16,79.43,78.37,79.18,306467,79.18
2012-03-27,79.52,79.88,78.84,78.89,344090,78.89
2012-03-28,78.85,79.01,77.11,78.13,369543,78.13
2012-03-29,77.16,77.95,76.73,77.86,405171,77.86
2012-03-30,78.5,78.52,76.84,76.96,724404,76.96
2012-04-02,76.63,78.72,76.23,78.1,380697,78.1
2012-04-03,77.61,78.13,77.4,78.11,411430,78.11
2012-04-04,77.14,77.42,76.64,77.26,242074,77.26
2012-04-05,77.21,77.89,76.83,77.67,390375,77.67
2012-04-09,76.25,77.2,76.07,76.46,360701,76.46
2012-04-10,76.11,76.44,74.67,74.87,444739,74.87
2012-04-11,75.9,76.55,75.13,76.03,424697,76.03
2012-04-12,76.12,77.88,75.97,77.65,386912,77.65
2012-04-13,77.38,77.45,76.41,76.66,269620,76.66
2012-04-16,77.31,77.72,76.4,77.36,522587,77.36
2012-04-17,78.1,79.24,77.7,79.02,393247,79.02
2012-04-18,78.42,79.01,78.24,78.49,500314,78.49
2012-04-19,73.54,76.24,71.43,72.91,1779803,72.91
2012-04-20,73.22,73.72,73.11,73.41,935981,73.41
2012-04-23,72.7,73.03,72.1,72.48,840167,72.48
2012-04-24,72.8,73.24,72.46,72.65,646882,72.65
