DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,15.96,16.19,15.74,15.78,1608973,15.78
2012-01-04,15.8,15.88,15.66,15.75,1271778,15.75
2012-01-05,15.68,15.82,15.59,15.8,1669870,15.8
2012-01-06,15.77,15.94,15.58,15.8,1930819,15.8
2012-01-09,15.76,15.82,15.56,15.68,1674031,15.68
2012-01-10,15.82,15.95,15.67,15.91,1170750,15.91
2012-01-11,15.86,16.275,15.86,16.23,1457350,16.23
2012-01-12,16.26,16.41,16.05,16.075,2037033,16.075
2012-01-13,16.02,16.09,15.8,15.88,2382376,15.88
2012-01-17,16.11,16.48,16.07,16.28,2345915,16.28
2012-01-18,16.36,16.58,16.16,16.56,1689355,16.56
2012-01-19,16.63,16.81,16.375,16.59,2588521,16.59
2012-01-20,16.57,16.89,16.53,16.79,2375343,16.79
2012-01-23,16.87,16.98,16.72,16.79,1320391,16.79
2012-01-24,16.8,16.915,16.68,16.87,1380580,16.87
2012-01-25,17.07,17.175,16.9,17.06,2508603,17.06
2012-01-26,17.12,17.15,16.36,16.88,3840949,16.88
2012-01-27,16.83,17.205,16.75,17.08,2458711,17.08
2012-01-30,16.88,17.11,16.78,17.03,2326608,17.03
2012-01-31,17,17.225,16.875,17.19,2790157,17.19
2012-02-01,17.33,17.5,17.22,17.44,2451445,17.44
2012-02-02,17.39,17.65,17.37,17.43,1407191,17.43
2012-02-03,17.55,17.725,17.5,17.62,1686985,17.62
2012-02-06,17.58,17.6,17.41,17.53,1082608,17.53
2012-02-07,17.42,17.68,17.33,17.62,2221542,17.62
2012-02-08,17.58,17.75,17.5,17.75,1635820,17.75
2012-02-09,17.75,18.055,17.62,18.02,2029878,18.02
2012-02-10,17.8,17.83,17.61,17.79,2049062,17.79
2012-02-13,17.88,17.99,17.71,17.93,1586826,17.93
2012-02-14,17.86,17.97,17.73,17.92,1825850,17.92
2012-02-15,17.94,18.09,17.85,17.94,2391751,17.94
2012-02-16,17.89,18.19,17.85,18.145,2000359,18.145
2012-02-17,18.06,18.1,17.92,17.95,2548918,17.95
2012-02-21,17.94,18.21,17.87,17.94,1809331,17.94
2012-02-22,17.89,18.08,17.83,17.88,1445195,17.88
2012-02-23,17.94,17.99,17.66,17.91,1820349,17.91
2012-02-24,17.87,18.11,17.85,17.88,1741276,17.88
2012-02-27,17.76,18,17.59,17.9,2030503,17.9
2012-02-28,17.89,18,17.81,17.92,1812939,17.92
2012-02-29,17.87,18.04,17.83,17.84,2208137,17.84
2012-03-01,17.91,18.01,17.79,17.89,1977298,17.89
2012-03-02,17.79,17.9,17.63,17.73,1624218,17.73
2012-03-05,17.66,17.73,17.44,17.51,2096765,17.51
2012-03-06,17.29,17.34,17.08,17.1,2755767,17.1
2012-03-07,17.16,17.32,17.07,17.27,2232873,17.27
2012-03-08,17.41,17.58,17.32,17.56,1484894,17.56
2012-03-09,17.54,17.8,17.51,17.73,1945600,17.73
2012-03-12,17.68,17.875,17.67,17.8,1496445,17.8
2012-03-13,17.9,18.195,17.81,18.18,1865229,18.18
2012-03-14,18.13,18.2,17.83,17.86,2659383,17.86
2012-03-15,17.87,18.21,17.805,18.19,2643789,18.19
2012-03-16,18.14,18.3,18.075,18.17,3585964,18.17
2012-03-19,18.1,18.46,18.1,18.32,2005569,18.32
2012-03-20,18.25,18.35,18.17,18.3,1663535,18.3
2012-03-21,18.25,18.38,18.13,18.17,2686726,18.17
2012-03-22,18.02,18.23,17.95,18.19,1818928,18.19
2012-03-23,18.21,18.31,18.1,18.2,1694920,18.2
2012-03-26,18.39,18.67,18.36,18.67,1443551,18.67
2012-03-27,18.61,18.735,18.53,18.58,1833984,18.58
2012-03-28,18.5,18.57,18.28,18.35,2018833,18.35
2012-03-29,18.22,18.47,18.22,18.4,1816274,18.4
2012-03-30,18.55,18.73,18.31,18.7,2327365,18.7
2012-04-02,18.61,18.845,18.5,18.8,1641384,18.8
2012-04-03,18.7,18.74,18.355,18.51,2207521,18.51
2012-04-04,18.36,18.44,18.065,18.2,2284842,18.2
2012-04-05,18.11,18.325,18.06,18.31,1325645,18.31
2012-04-09,18.02,18.105,17.93,17.97,1286189,17.97
2012-04-10,17.85,17.99,17.555,17.56,2375171,17.56
2012-04-11,17.72,18.04,17.61,17.97,2856429,17.97
2012-04-12,18,18.36,17.985,18.28,1867881,18.28
2012-04-13,18.19,18.39,18.07,18.08,1920375,18.08
2012-04-16,18.15,18.3,18.02,18.175,3063393,18.175
2012-04-17,18.23,18.48,18.21,18.41,1363659,18.41
2012-04-18,18.24,18.33,18.12,18.16,1535218,18.16
2012-04-19,18.07,18.41,18.035,18.09,1978846,18.09
2012-04-20,18.21,18.38,18.13,18.14,1760622,18.14
2012-04-23,18,18.115,17.56,18.07,3320315,18.07
2012-04-24,16.5,16.68,15.95,16.01,7033310,16.01
2012-04-25,16.15,16.305,15.99,16.3,2543748,16.3
2012-04-26,16.28,16.625,16.18,16.47,2319667,16.47
