DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,44.03,44.17,43.61,43.64,256888,43.64
2012-01-04,43.62,43.62,43.09,43.25,249166,43.25
2012-01-05,43.1,43.43,42.38,43.4,306542,43.4
2012-01-06,43.4,43.69,43.21,43.57,263185,43.57
2012-01-09,43.66,43.88,43.48,43.77,193259,43.77
2012-01-10,44.14,44.84,44.12,44.66,234172,44.66
2012-01-11,44.5,44.88,44.4,44.85,256294,44.85
2012-01-12,44.95,45.05,44.69,44.7,264726,44.7
2012-01-13,44.36,44.61,43.92,43.94,306756,43.94
2012-01-17,44.45,44.45,43.6,43.62,378277,43.62
2012-01-18,43.61,43.83,43.34,43.82,363194,43.82
2012-01-19,43.78,43.8,43.5,43.54,369281,43.54
2012-01-20,43.66,44.1,43.61,44,396696,44
2012-01-23,43.88,44.16,43.73,44,227988,44
2012-01-24,43.27,43.69,42.74,42.84,404718,42.84
2012-01-25,42.74,43.11,42.64,42.99,308790,42.99
2012-01-26,43.15,43.43,42.88,43.17,302600,43.17
2012-01-27,43.12,43.12,42.58,42.88,279496,42.88
2012-01-30,42.69,42.83,42.38,42.54,211532,42.54
2012-01-31,42.73,42.94,42.38,42.89,350296,42.89
2012-02-01,43.24,44.03,43.24,43.76,242999,43.76
2012-02-02,43.86,43.98,43.23,43.42,268408,43.42
2012-02-03,43.83,44.17,43.73,43.93,260088,43.93
2012-02-06,43.77,43.91,43.46,43.61,197999,43.61
2012-02-07,43.52,44.08,43.52,43.96,251049,43.96
2012-02-08,43.92,44.04,43.61,43.7,161234,43.7
2012-02-09,43.72,43.94,43.56,43.9,141272,43.9
2012-02-10,43.6,43.69,43.17,43.17,355780,43.17
2012-02-13,43.46,43.8,43.46,43.77,220461,43.77
2012-02-14,43.75,44.02,43.62,44.02,202296,44.02
2012-02-15,44.1,44.54,43.86,43.86,258252,43.86
2012-02-16,45.24,45.99,44.78,45.1,709261,45.1
2012-02-17,45,45.6,44.75,45.43,449706,45.43
2012-02-21,45.57,45.57,44.73,44.85,282097,44.85
2012-02-22,44.88,44.93,44.34,44.41,487711,44.41
2012-02-23,44.21,44.49,44.09,44.4,215072,44.4
2012-02-24,44.48,44.54,43.88,43.92,210125,43.92
2012-02-27,43.8,44.05,43.76,43.84,185558,43.84
2012-02-28,43.91,44.19,43.81,44,291046,44
2012-02-29,43.97,44.18,43.85,43.94,395326,43.94
