DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,49.77,50.47,49.45,49.53,302017,49.53
2012-01-04,49.5,49.91,49.07,49.45,237492,49.45
2012-01-05,49.31,49.5,48.6,49.03,414085,49.03
2012-01-06,49.22,49.22,47.34,47.37,390734,47.37
2012-01-09,47.44,48.86,47.44,48.55,558792,48.55
2012-01-10,48.9,49.22,48.12,48.49,559121,48.49
2012-01-11,48.23,48.5,47.76,48.04,325279,48.04
2012-01-12,48.22,48.51,47.77,48.42,349539,48.42
2012-01-13,48.09,48.97,47.89,48.8,262291,48.8
2012-01-17,49.36,50.17,49.17,49.68,321997,49.68
2012-01-18,49.52,51.44,49.25,51.22,341191,51.22
2012-01-19,51.48,52.99,51.48,52.61,433465,52.61
2012-01-20,52.94,53.67,52.48,52.53,493943,52.53
2012-01-23,52.53,53.14,52.32,52.88,196444,52.88
2012-01-24,52.83,53.8,52.58,53.23,284415,53.23
2012-01-25,53.23,54.16,52.47,54.01,345366,54.01
2012-01-26,54.15,54.48,52.7,52.98,216470,52.98
2012-01-27,52.84,53.59,52.84,53.37,314462,53.37
2012-01-30,53.44,53.49,52.6,53.3,267564,53.3
2012-01-31,53.69,54.2,52.93,53.56,338128,53.56
2012-02-01,54.01,55.06,53.58,54.32,249597,54.32
2012-02-02,54.41,54.83,54.07,54.27,228213,54.27
2012-02-03,55.85,57.88,55.45,56.84,417943,56.84
2012-02-06,56.45,56.91,55.82,56.87,385840,56.87
2012-02-07,56.64,58.04,56.39,57.86,462787,57.86
2012-02-08,57.84,58.06,57.32,58.04,360592,58.04
2012-02-09,61.5,64.94,61.4,63.94,1026994,63.94
2012-02-10,61.89,63.56,61.54,62.06,934169,62.06
2012-02-13,62.37,62.68,61.17,61.62,493174,61.62
2012-02-14,61.32,62.31,61.16,62.16,264832,62.16
2012-02-15,62.48,62.83,61.56,61.75,294628,61.75
2012-02-16,61.96,62.83,61.56,62.49,425243,62.49
2012-02-17,63.37,63.38,62.02,62.63,457721,62.63
2012-02-21,62.73,62.83,61.75,62.19,316111,62.19
2012-02-22,62,64.83,61.97,64.02,405274,64.02
2012-02-23,64,64.05,63.31,63.64,385226,63.64
2012-02-24,64,65.62,63.84,65.48,376298,65.48
2012-02-27,64.68,66.28,64.34,65.68,305251,65.68
2012-02-28,65.87,66.58,65.41,65.92,307609,65.92
2012-02-29,65.91,67.02,65.8,66.55,366758,66.55
2012-03-01,66.79,67.18,66.21,67.02,190349,67.02
2012-03-02,67.35,68.49,66.54,66.59,282046,66.59
2012-03-05,66.55,66.66,64.82,65.12,320108,65.12
2012-03-06,64.49,64.81,63.37,63.62,346693,63.62
2012-03-07,63.76,65.79,63.72,65.54,333106,65.54
2012-03-08,65.96,66.49,65.71,66.16,244854,66.16
2012-03-09,66.16,66.75,65.92,66.41,194564,66.41
2012-03-12,66.42,66.62,65.75,66.39,194603,66.39
2012-03-13,66.75,67.37,66.43,67.32,220000,67.32
2012-03-14,67.12,67.84,67.12,67.6,325933,67.6
2012-03-15,67.72,68.6,67.38,68.08,220691,68.08
2012-03-16,68,68.98,67.94,68.24,514579,68.24
2012-03-19,68.26,69.2,67.61,68.28,216970,68.28
2012-03-20,67.93,68.4,66.73,66.78,266446,66.78
2012-03-21,66.93,68.47,66.8,68.22,222537,68.22
2012-03-22,67.51,68.51,66.87,68.1,240581,68.1
2012-03-23,68,68.88,67.54,68.62,177509,68.62
2012-03-26,69.12,69.53,68.88,69.38,217306,69.38
2012-03-27,69.28,69.67,68.43,68.46,196644,68.46
2012-03-28,68.42,68.95,67.5,67.94,284338,67.94
2012-03-29,67.38,68.35,67.29,68.11,252253,68.11
2012-03-30,68.99,69.19,68.04,68.15,531613,68.15
2012-04-02,68.34,69.46,68.12,69.04,252590,69.04
2012-04-03,68.95,70.63,68.95,69.83,278590,69.83
2012-04-04,68.85,69.01,67.18,67.8,358104,67.8
2012-04-05,67.53,68.39,67.16,68.1,218460,68.1
2012-04-09,66.78,67.49,66.2,67.3,310654,67.3
2012-04-10,67.37,67.8,66.13,66.16,269749,66.16
2012-04-11,67.01,68.11,66.93,67.52,258450,67.52
2012-04-12,67.66,69.42,67.51,68.9,231055,68.9
2012-04-13,68.52,69.44,68.02,69.02,331263,69.02
2012-04-16,69.3,69.57,67.36,67.39,296574,67.39
2012-04-17,67.75,69.78,67.75,69.41,308166,69.41
2012-04-18,68.85,69.85,68.7,69.66,248823,69.66
2012-04-19,69.72,70.33,68.41,68.96,263085,68.96
2012-04-20,69.18,69.53,68.77,68.9,329399,68.9
2012-04-23,68.02,68.59,67.01,68.46,251325,68.46
2012-04-24,68.36,68.73,66.4,66.81,294520,66.81
2012-04-25,67.8,69.05,67.57,69.04,222389,69.04
2012-04-26,69.01,70.69,68.96,70.4,289339,70.4
2012-04-27,70.75,71.01,69.81,70.88,324312,70.88
2012-04-30,70.8,70.85,69.54,69.78,272814,69.78
2012-05-01,70.9,71.43,70.21,71.09,491383,71.09
2012-05-02,70.89,72.26,70.58,72.19,544563,72.19
2012-05-03,74.5,79.88,74.42,77.14,1151367,77.14
2012-05-04,76.5,76.59,73.13,73.14,765075,73.14
2012-05-07,72.5,73.75,72.11,72.19,561655,72.19
2012-05-08,71.74,71.98,69.53,71.33,652324,71.33
2012-05-09,70.47,73.04,70.12,72.35,490768,72.35
2012-05-10,73.52,73.71,71.08,71.25,462214,71.25
2012-05-11,70.88,72.09,70.88,71.14,396448,71.14
2012-05-14,71.7,71.7,69.54,69.6,519122,69.6
2012-05-15,69.73,70.57,69.27,69.61,629423,69.61
2012-05-16,69.72,70.04,67.83,67.85,358652,67.85
2012-05-17,67.79,67.84,65.95,66.33,538825,66.33
2012-05-18,66.7,67.17,65.04,65.38,695009,65.38
2012-05-21,65.52,68.2,65,68.09,377692,68.09
2012-05-22,68.13,69.7,67.93,69.58,535980,69.58
2012-05-23,68.61,70.73,68.41,70.47,369928,70.47
2012-05-24,70.42,70.47,69.11,69.97,419006,69.97
2012-05-25,69.98,70.66,69.72,70.54,283894,70.54
2012-05-29,71.04,72.29,70.81,71.61,273843,71.61
2012-05-30,70.83,70.83,69.39,69.82,280386,69.82
2012-05-31,69.72,69.76,66.43,66.48,774980,66.48
2012-06-01,64.86,65.19,64.18,64.64,751943,64.64
2012-06-04,64.99,65.28,64.11,65.21,451154,65.21
2012-06-05,64.8,67.25,64.65,66.74,385552,66.74
2012-06-06,67.32,69.23,67.17,69.04,430999,69.04
2012-06-07,69.94,69.94,67.68,68.19,312134,68.19
2012-06-08,68.18,68.99,67.78,68.66,225180,68.66
2012-06-11,69.23,69.25,67.77,67.87,296958,67.87
2012-06-12,68.16,68.75,67.56,68.69,224295,68.69
2012-06-13,68.3,69.57,68.13,68.52,222293,68.52
2012-06-14,68.49,69.73,67.91,69.29,251875,69.29
2012-06-15,69.91,72.25,69.7,72.11,634590,72.11
2012-06-18,71.97,73.24,71.07,72.77,325455,72.77
2012-06-19,73.31,73.74,72.68,72.97,205736,72.97
2012-06-20,72.9,72.9,71.37,72.26,297592,72.26
2012-06-21,72.23,72.28,69.66,69.7,375835,69.7
2012-06-22,70.4,71.64,68.87,71.38,311787,71.38
2012-06-25,70.54,70.54,69.22,70.1,424073,70.1
2012-06-26,70.22,70.45,68.87,68.96,331800,68.96
2012-06-27,69.42,70.15,69.14,69.66,219965,69.66
2012-06-28,68.86,69.21,66.98,68.03,338229,68.03
2012-06-29,69.76,72.18,69.76,72.01,485791,72.01
2012-07-02,71.95,72.47,71.39,71.88,240049,71.88
2012-07-03,71.5,72.43,71.5,72.42,285403,72.42
2012-07-05,72,73.34,72,72.62,337713,72.62
2012-07-06,66.43,67.36,64.22,65.01,934706,65.01
2012-07-09,65.28,66.2,64.89,65.41,557975,65.41
