DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,19.41,19.41,18.95,18.99,527899,18.99
2012-01-04,18.98,19.1,18.95,19.01,266140,19.01
2012-01-05,18.95,19.12,18.86,19.07,419434,19.07
2012-01-06,19.05,19.07,18.91,18.94,305845,18.94
2012-01-09,18.99,19,18.86,18.95,306159,18.95
2012-01-10,19.12,19.12,19,19.05,325079,19.05
2012-01-11,18.99,19.11,18.98,19.11,398341,19.11
2012-01-12,19.17,19.28,19.05,19.17,557678,19.17
2012-01-13,19,19.09,18.54,18.6,972664,18.6
2012-01-17,18.62,18.67,18.17,18.26,1409445,18.26
2012-01-18,18.26,18.42,18.11,18.3,602514,18.3
2012-01-19,18.27,18.4,18.13,18.29,513650,18.29
2012-01-20,18.29,18.3,18.11,18.3,447703,18.3
2012-01-23,18.27,18.42,18.21,18.34,317588,18.34
2012-01-24,18.25,18.29,17.99,18.07,433661,18.07
2012-01-25,18,18.52,17.86,18.48,670351,18.48
2012-01-26,18.53,18.74,18.42,18.61,423176,18.61
2012-01-27,18.56,18.56,18.31,18.36,352425,18.36
2012-01-30,18.27,18.27,18,18.07,619513,18.07
2012-01-31,18.11,18.18,17.92,18.05,811755,18.05
2012-02-01,18.18,18.27,18.09,18.23,278760,18.23
2012-02-02,18.22,18.22,17.78,18.09,883649,18.09
2012-02-03,18.31,18.32,18.03,18.28,566430,18.28
2012-02-06,18.23,18.27,18.08,18.12,305316,18.12
2012-02-07,18.09,18.34,18.02,18.26,474927,18.26
2012-02-08,18.31,18.34,18.12,18.15,529639,18.15
2012-02-09,17.91,18,17.77,17.81,813352,17.81
2012-02-10,17.73,17.78,17.51,17.65,863070,17.65
2012-02-13,17.78,17.85,17.59,17.63,619460,17.63
2012-02-14,17.67,17.71,17.51,17.69,422608,17.69
2012-02-15,17.72,17.88,17.67,17.76,534551,17.76
2012-02-16,17.79,18.06,17.79,18.04,487706,18.04
2012-02-17,18.11,18.14,17.97,18.1,701448,18.1
2012-02-21,18.14,18.15,17.95,18,411845,18
2012-02-22,18,18.07,17.92,17.99,262822,17.99
2012-02-23,17.96,18,17.84,17.94,791088,17.94
2012-02-24,17.95,18.2,17.88,18.11,265413,18.11
2012-02-27,18.02,18.14,17.94,18.09,436993,18.09
2012-02-28,18.12,18.15,17.93,17.95,421942,17.95
2012-02-29,17.98,18.02,17.79,17.95,676651,17.95
2012-03-01,17.97,18.11,17.91,17.99,418656,17.99
2012-03-02,18,18.02,17.92,17.94,379086,17.94
2012-03-05,17.88,17.94,17.71,17.82,644084,17.82
2012-03-06,17.72,17.76,17.54,17.65,591064,17.65
2012-03-07,17.64,17.7,17.54,17.67,421691,17.67
2012-03-08,17.75,17.77,17.65,17.69,510844,17.69
2012-03-09,17.7,17.85,17.65,17.78,500934,17.78
2012-03-12,17.81,18.01,17.8,17.96,465618,17.96
2012-03-13,18.03,18.03,17.83,18,442530,18
2012-03-14,17.98,18.03,17.68,17.72,328398,17.72
2012-03-15,17.74,17.82,17.65,17.75,481234,17.75
2012-03-16,17.72,17.79,17.68,17.75,732777,17.75
