DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,20.36,20.84,19.36,19.84,386496,19.84
2012-01-04,19.8,19.8,18.72,18.76,316248,18.76
2012-01-05,18.64,19.12,18.36,19.04,489859,19.04
2012-01-06,19.08,20.6,19.08,19.96,352546,19.96
2012-01-09,20.36,20.52,19.84,20.4,258064,20.4
2012-01-10,20.36,20.84,19.88,20.6,250006,20.6
2012-01-11,20.44,21.04,20.32,20.92,158012,20.92
2012-01-12,20.92,21,20.52,20.52,379615,20.52
2012-01-13,20.36,20.72,20.04,20.28,201014,20.28
2012-01-17,20.4,20.6,19.6,19.72,241414,19.72
2012-01-18,19.84,20.32,19.56,20.08,301603,20.08
2012-01-19,20.2,20.96,20.12,20.64,260415,20.64
2012-01-20,20.68,20.68,20.04,20.4,229922,20.4
2012-01-23,20.44,20.68,20.2,20.36,132765,20.36
2012-01-24,20.2,21.48,20.12,21.32,269534,21.32
2012-01-25,21.32,22.2,21.24,22,354266,22
2012-01-26,22.08,22.32,21.36,21.64,233603,21.64
2012-01-27,21.36,22,21.32,21.92,199883,21.92
2012-01-30,21.52,21.76,21.16,21.32,251071,21.32
2012-01-31,21.6,21.8,20.92,21.16,394663,21.16
2012-02-01,21.32,22.12,21.24,21.88,229864,21.88
2012-02-02,21.88,22.04,21.2,21.72,156409,21.72
2012-02-03,22,24.08,22,23.88,481856,23.88
2012-02-06,24.16,24.2,22.88,23.76,349219,23.76
2012-02-07,23.44,23.76,23.28,23.4,351006,23.4
2012-02-08,23.52,23.8,23.32,23.44,142776,23.44
2012-02-09,23.4,23.6,22.24,22.32,295320,22.32
2012-02-10,22.08,23,21.92,22.88,447439,22.88
2012-02-13,23.16,23.44,22.96,23.08,260556,23.08
2012-02-14,23.2,23.24,22.4,22.68,366457,22.68
2012-02-15,22.76,23,22.36,22.8,282046,22.8
2012-02-16,23,23.28,22.72,22.72,267747,22.72
2012-02-17,22.96,22.96,22.4,22.64,362030,22.64
2012-02-21,22.76,22.76,22.16,22.4,353516,22.4
2012-02-22,22.6,22.6,21.96,22.2,379199,22.2
2012-02-23,22.2,22.84,22,22.48,366248,22.48
2012-02-24,22.6,23.56,22.48,23.12,290815,23.12
2012-02-27,22.76,23.12,22.52,22.6,416161,22.6
2012-02-28,22.2,23,22.2,22.84,663609,22.84
2012-02-29,22.84,23.16,22.48,22.6,753756,22.6
2012-03-01,22.72,23.04,22.4,22.92,513791,22.92
2012-03-02,22.92,23.08,22.44,22.64,181853,22.64
2012-03-05,22.4,23.16,21.96,22.08,319838,22.08
2012-03-06,21.72,21.84,21.36,21.6,239457,21.6
2012-03-07,21.56,22.16,21.56,21.8,638826,21.8
2012-03-08,22.16,22.52,21.8,22.12,175821,22.12
2012-03-09,22.16,22.44,21.88,21.88,228750,21.88
2012-03-12,21.76,21.8,21.16,21.48,250155,21.48
2012-03-13,21.6,21.96,21.44,21.88,305986,21.88
2012-03-14,21.84,22.16,21.4,21.72,219982,21.72
2012-03-15,21.76,22.72,21.72,22.72,286204,22.72
2012-03-16,22.72,22.76,22.24,22.32,719200,22.32
2012-03-19,22.4,22.52,22.04,22.12,224753,22.12
2012-03-20,21.96,22.12,21.44,21.64,219284,21.64
2012-03-21,21.56,21.72,21.28,21.72,183788,21.72
2012-03-22,21.56,22.04,21.16,21.36,334364,21.36
2012-03-23,21.36,21.44,20.96,21,151531,21
2012-03-26,21.24,22.36,21.2,22.16,493914,22.16
2012-03-27,22.12,22.36,21.64,21.64,261792,21.64
2012-03-28,21.68,21.8,20.6,20.76,570495,20.76
2012-03-29,20.44,21.2,20.24,20.64,540068,20.64
2012-03-30,20.92,21.56,20.72,21.24,834634,21.24
