DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,45.96,47.17,45.96,46.9,741226,46.9
2012-01-04,46.93,47.31,45.95,45.95,748448,45.95
2012-01-05,45.76,46.64,45.67,46.34,771195,46.34
2012-01-06,46.56,47.73,46.31,47.62,805756,47.62
2012-01-09,47.74,47.9,47.12,47.67,626095,47.67
2012-01-10,47.95,49.38,47.95,49.07,1296311,49.07
2012-01-11,49,49.99,48.85,49.97,886287,49.97
2012-01-12,49.97,49.99,49.34,49.78,1049527,49.78
2012-01-13,49.46,49.91,49.11,49.35,693877,49.35
2012-01-17,49.71,50.2,49.36,49.86,773884,49.86
2012-01-18,49.73,51.33,49.61,51.19,1034151,51.19
2012-01-19,51.22,52,51.01,51.84,555852,51.84
2012-01-20,51.63,51.68,50.86,51.14,877148,51.14
2012-01-23,51.05,51.91,51.05,51.83,1005394,51.83
2012-01-24,51.59,53.37,51.41,52.48,618097,52.48
2012-01-25,53,54.08,52.85,53.54,687742,53.54
2012-01-26,53.41,53.52,52.09,52.31,821005,52.31
2012-01-27,52.1,52.89,52.09,52.46,767432,52.46
2012-01-30,52.16,52.91,51.51,52.45,602954,52.45
2012-01-31,52.59,53.38,52.41,52.9,941041,52.9
2012-02-01,54.07,55.32,53.75,54.71,872053,54.71
2012-02-02,55.13,55.4,54.45,54.8,687522,54.8
2012-02-03,55.5,56.39,55.25,56.29,956429,56.29
2012-02-06,55.9,56.37,55.53,55.74,507900,55.74
2012-02-07,55.39,56.09,54.87,55.36,675632,55.36
2012-02-08,55.41,56.11,55.33,56,543450,56
2012-02-09,56.16,56.43,55.47,56.07,412075,56.07
2012-02-10,55.46,55.63,54.84,55.52,425853,55.52
2012-02-13,55.97,56.22,55.63,55.7,642766,55.7
2012-02-14,55.44,55.86,55.39,55.85,331851,55.85
2012-02-15,56,56.26,55.68,55.86,338695,55.86
2012-02-16,55.77,56.74,55.54,56.62,393994,56.62
2012-02-17,56.9,56.92,56.24,56.38,804476,56.38
2012-02-21,56.5,56.77,55.83,55.92,605502,55.92
2012-02-22,55.77,55.98,55.36,55.84,444005,55.84
2012-02-23,55.82,56.59,53,56.12,732070,56.12
2012-02-24,56.06,56.68,55.8,56.66,327988,56.66
2012-02-27,55.8,56.67,55.29,56.43,455913,56.43
2012-02-28,56.43,57.32,56.13,57.24,627088,57.24
2012-02-29,57.13,57.54,56.39,56.62,1119756,56.62
2012-03-01,56.88,57.35,56.65,57.18,531388,57.18
2012-03-02,57.05,57.46,56.96,57.25,460234,57.25
2012-03-05,56.98,57.14,56.28,56.56,484263,56.56
2012-03-06,55.87,55.99,55.4,55.43,782471,55.43
2012-03-07,55.46,55.68,55.02,55.25,558407,55.25
2012-03-08,55.62,56.19,54.9,56.09,923729,56.09
2012-03-09,56.29,56.76,56,56.27,441636,56.27
2012-03-12,56.34,56.42,55.27,55.39,618522,55.39
2012-03-13,56.94,57.62,56.37,57.08,1106695,57.08
2012-03-14,57.23,57.84,56.97,57.76,583224,57.76
2012-03-15,57.64,58.14,57.31,58,464208,58
2012-03-16,58.21,58.21,57.7,57.91,1600138,57.91
2012-03-19,57.77,58.17,57.6,57.93,266722,57.93
2012-03-20,57.55,57.7,57.15,57.25,340941,57.25
2012-03-21,57.2,57.32,56.8,56.98,318612,56.98
2012-03-22,56.47,56.69,56.1,56.45,412733,56.45
2012-03-23,56.52,56.81,56.15,56.75,363737,56.75
2012-03-26,57.43,58.18,57.29,58.15,567333,58.15
2012-03-27,58.37,58.37,57.59,57.63,400602,57.63
2012-03-28,57.51,57.51,56.33,56.54,552412,56.54
2012-03-29,56.01,56.24,55.76,56.06,828310,56.06
2012-03-30,56.41,56.79,56.25,56.38,970917,56.38
2012-04-02,56.36,56.71,56.04,56.38,580946,56.38
2012-04-03,56.4,56.61,55.99,56.17,562673,56.17
2012-04-04,55.8,55.87,55.34,55.58,452525,55.58
2012-04-05,55.33,55.97,55.23,55.89,399933,55.89
2012-04-09,54.87,55.07,54.03,54.53,923499,54.53
2012-04-10,54.26,54.78,52.97,53.11,698614,53.11
2012-04-11,53.86,54.07,53.12,53.36,621066,53.36
2012-04-12,53.48,55.28,53.37,55.12,722166,55.12
2012-04-13,54.86,55.11,54.04,54.1,530705,54.1
2012-04-16,54.35,54.36,53.64,53.64,511180,53.64
2012-04-17,53.99,54.57,53.91,54.08,850939,54.08
2012-04-18,53.81,54.76,53.76,54.52,552637,54.52
2012-04-19,54.64,54.98,54.18,54.37,502386,54.37
2012-04-20,54.62,54.67,54.08,54.14,720126,54.14
2012-04-23,53.35,53.85,53.02,53.75,576889,53.75
2012-04-24,52.3,52.99,51.7,52.74,1157230,52.74
2012-04-25,54.65,55.18,53.78,55.07,1015837,55.07
2012-04-26,54.95,55.49,54.73,54.91,521700,54.91
2012-04-27,55.15,55.2,54.4,54.91,552998,54.91
2012-04-30,55.2,55.71,54.75,55.65,700580,55.65
2012-05-01,55.59,56.91,55.21,56.11,539562,56.11
2012-05-02,55.92,55.92,55.24,55.61,499551,55.61
2012-05-03,55.58,55.6,54.94,55.24,459864,55.24
2012-05-04,55.08,55.08,53.76,54.03,438485,54.03
2012-05-07,54.05,54.39,53.75,54.03,364503,54.03
2012-05-08,53.57,53.99,52.9,53.79,511159,53.79
2012-05-09,53.22,53.8,52.56,53.34,656671,53.34
2012-05-10,53.89,54.24,53.22,53.46,403046,53.46
2012-05-11,53.17,53.84,53.11,53.3,424212,53.3
2012-05-14,52.6,52.99,52.24,52.54,324572,52.54
2012-05-15,52.19,52.99,51.68,51.83,529196,51.83
2012-05-16,51.97,52.57,51.51,51.54,387423,51.54
2012-05-17,51.42,52.15,51.14,51.15,492744,51.15
2012-05-18,51.23,51.48,50.4,50.54,798956,50.54
2012-05-21,50.64,51.99,50.63,51.92,563447,51.92
2012-05-22,52.24,52.33,51.11,51.34,619236,51.34
2012-05-23,50.9,51.11,49.93,50.98,746377,50.98
2012-05-24,51.34,52.25,50.95,52.21,581370,52.21
2012-05-25,52.13,52.5,51.49,51.68,561445,51.68
2012-05-29,52.12,52.55,51.67,51.72,485024,51.72
2012-05-30,51.16,51.2,50.34,51.17,874841,51.17
2012-05-31,51.08,51.1,50.21,50.48,1140533,50.48
2012-06-01,49.69,49.85,49.11,49.13,672643,49.13
2012-06-04,49.07,49.21,48.16,48.63,740330,48.63
2012-06-05,48.36,49.54,48.36,49.38,604035,49.38
2012-06-06,49.65,50.12,49.56,50.11,526781,50.11
2012-06-07,50.9,51.23,50.57,50.65,681541,50.65
2012-06-08,50.41,50.98,50.17,50.87,585546,50.87
2012-06-11,51.44,51.44,49.69,49.72,374527,49.72
2012-06-12,49.85,50.32,49.24,50.31,457381,50.31
2012-06-13,50.28,50.67,49.67,49.86,424921,49.86
2012-06-14,50.01,50.75,49.92,50.64,712167,50.64
2012-06-15,51.06,51.28,50.73,51.23,1021890,51.23
2012-06-18,51.11,51.21,50.62,50.9,569401,50.9
2012-06-19,51.17,52.13,51.09,51.92,353535,51.92
2012-06-20,52.01,52.08,50.97,51.63,305389,51.63
2012-06-21,51.79,51.95,50.33,50.4,354143,50.4
2012-06-22,50.82,51.23,50.7,51.04,765433,51.04
2012-06-25,50.44,50.46,49.7,49.83,417168,49.83
2012-06-26,49.86,50.02,49.43,49.54,352385,49.54
2012-06-27,49.81,50.95,49.81,50.89,456745,50.89
2012-06-28,50.47,50.72,50.12,50.55,471218,50.55
2012-06-29,51.54,51.94,51.15,51.91,803942,51.91
2012-07-02,52.29,52.29,51.09,51.38,496569,51.38
2012-07-03,51.46,52.82,51.36,52.8,469207,52.8
2012-07-05,53.3,53.3,52.48,52.59,451132,52.59
2012-07-06,52.07,52.35,51.17,51.43,411130,51.43
2012-07-09,51.14,51.75,51.11,51.58,379160,51.58
2012-07-10,52.37,52.83,50.93,51.18,762833,51.18
2012-07-11,51.05,51.96,51.05,51.72,593291,51.72
2012-07-12,51.3,51.76,50.74,51.45,515958,51.45
2012-07-13,51.57,52.54,51.48,52.04,369157,52.04
2012-07-16,52.56,52.65,51.53,51.9,483138,51.9
2012-07-17,52.11,52.4,51.37,52.32,354947,52.32
2012-07-18,52.01,53.29,51.81,53.23,623246,53.23
2012-07-19,53.3,53.34,52.27,53.03,482241,53.03
2012-07-20,52.67,52.7,51.68,52.05,533535,52.05
2012-07-23,51.38,51.38,50.49,50.7,488076,50.7
2012-07-24,50.11,50.68,49.63,49.78,957910,49.78
2012-07-25,52.6,54.32,52.42,54.14,1201171,54.14
2012-07-26,55,55.38,53.61,54.69,870219,54.69
2012-07-27,55.1,56.32,55.01,56.1,891511,56.1
2012-07-30,56.04,56.45,55.76,56.06,384915,56.06
2012-07-31,55.8,56.27,55.65,55.67,671735,55.67
2012-08-01,56.15,56.19,55.42,55.66,515928,55.66
2012-08-02,55.17,55.47,53.77,54.39,811931,54.39
2012-08-03,55.55,56.79,55.55,56.6,723458,56.6
2012-08-06,56.69,56.8,56.26,56.58,533224,56.58
2012-08-07,56.65,57.48,56.57,57.15,542024,57.15
2012-08-08,56.97,57.43,56.74,57.3,453605,57.3
2012-08-09,57.2,57.45,56.53,56.95,358684,56.95
2012-08-10,56.85,57.09,56.64,57.07,327672,57.07
2012-08-13,56.85,57.04,56.6,56.99,206673,56.99
2012-08-14,57.1,57.24,56.5,56.71,305880,56.71
2012-08-15,56.78,57.73,56.51,57.56,527525,57.56
2012-08-16,56.81,57.36,56.18,56.55,587942,56.55
2012-08-17,56.52,56.9,56.17,56.61,569857,56.61
2012-08-20,56.46,56.85,56.17,56.56,282092,56.56
2012-08-21,56.77,57.22,56.32,56.38,280764,56.38
2012-08-22,56.25,56.81,56.15,56.56,382143,56.56
2012-08-23,56.57,56.67,56,56.31,260817,56.31
2012-08-24,56.21,56.73,55.94,56.59,337804,56.59
2012-08-27,56.6,57.03,56.29,56.64,305430,56.64
2012-08-28,56.44,56.61,55.97,56.28,268558,56.28
2012-08-29,56.34,57.24,56.33,57.17,332883,57.17
2012-08-30,56.76,57.15,56.5,56.98,277373,56.98
2012-08-31,57.25,57.74,56.91,57.35,459751,57.35
2012-09-04,57.27,57.64,56.64,57.31,385010,57.31
2012-09-05,57.38,57.38,56.8,57.04,296430,57.04
2012-09-06,57.4,58.32,57.4,58.23,438294,58.23
2012-09-07,58.37,58.95,58.31,58.93,320026,58.93
2012-09-10,58.93,59.36,58.88,59.05,467249,59.05
2012-09-11,58.99,59.34,58.88,59.08,494936,59.08
2012-09-12,59.17,59.62,59.06,59.33,371634,59.33
2012-09-13,59.3,60.11,58.88,59.97,349604,59.97
2012-09-14,60.15,60.99,59.84,60.61,538035,60.61
2012-09-17,60.27,60.75,60.02,60.19,431892,60.19
2012-09-18,60.18,60.2,59.66,59.98,379683,59.98
2012-09-19,59.98,60.25,59.58,59.74,437861,59.74
2012-09-20,59.71,60.1,59.43,59.72,491745,59.72
2012-09-21,60.01,60.11,59.69,59.71,922862,59.71
2012-09-24,59.31,59.74,59.24,59.47,326571,59.47
2012-09-25,59.73,60.1,58.96,59.01,411299,59.01
2012-09-26,59.02,59.32,58.61,58.72,298246,58.72
2012-09-27,59.01,59.63,58.86,59.44,315037,59.44
2012-09-28,59.16,59.23,58.5,58.83,388470,58.83
2012-10-01,59.09,60.06,59.05,59.23,310571,59.23
2012-10-02,59.31,59.75,59.09,59.72,229745,59.72
2012-10-03,60,60.19,59.55,59.75,312191,59.75
2012-10-04,59.99,60.45,59.81,60.3,320811,60.3
2012-10-05,61.14,61.71,60.67,60.9,383204,60.9
2012-10-08,60.48,60.82,60.19,60.5,353015,60.5
2012-10-09,60.21,60.24,58.84,58.88,366611,58.88
2012-10-10,58.76,58.91,58.11,58.41,326669,58.41
2012-10-11,58.88,59.5,58.85,59.17,390906,59.17
2012-10-12,59.38,59.85,58.78,58.84,403540,58.84
2012-10-15,58.94,59.49,58.75,59.43,251135,59.43
2012-10-16,59.62,60.43,59.5,60.27,250407,60.27
2012-10-17,60.48,60.8,60.23,60.53,353794,60.53
2012-10-18,59.78,59.81,58.36,59,709152,59
2012-10-19,58.85,59.15,57.84,58.04,933025,58.04
2012-10-22,57.94,58.77,57.69,58.45,366381,58.45
2012-10-23,57.65,58.13,57.21,57.61,438090,57.61
2012-10-24,60,60.5,58.9,60.36,877490,60.36
2012-10-25,61,61.98,60.84,61.7,745051,61.7
2012-10-26,61.78,61.78,60.37,61.04,463331,61.04
2012-10-31,60.54,61.24,60.37,61.06,592244,61.06
2012-11-01,61.33,62.6,61.11,62.43,542718,62.43
