DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,26.15,27.35,26.15,26.63,826174,26.63
2012-01-04,25.85,26.09,25.41,25.68,562383,25.68
2012-01-05,24.57,25.8,24.57,25.52,376090,25.52
2012-01-06,25.52,25.98,25.32,25.57,372264,25.57
2012-01-09,25.74,26.76,25.65,26.26,284613,26.26
2012-01-10,26.73,28.24,26.59,27.75,590150,27.75
2012-01-11,26.69,28.22,26.56,27.79,244229,27.79
2012-01-12,27.87,29.16,27.82,28.46,396089,28.46
2012-01-13,28.22,29.76,27.95,29.51,274256,29.51
2012-01-17,29.58,29.79,28.91,28.99,303224,28.99
2012-01-18,28.69,29.42,28.54,29.03,238099,29.03
2012-01-19,29.1,30.88,29.02,30.33,444593,30.33
2012-01-20,30.42,30.49,29.84,30.4,296543,30.4
2012-01-23,30.54,30.79,30.24,30.38,447949,30.38
2012-01-24,30.14,30.75,29.98,30.69,341673,30.69
2012-01-25,30.55,32.33,30.55,31.49,629838,31.49
2012-01-26,31.48,31.94,30.46,31.05,414742,31.05
2012-01-27,30.39,31.46,30.39,31.24,167162,31.24
2012-01-30,30.96,31.83,30.65,31.64,225147,31.64
2012-01-31,31.98,33.02,31.66,32.91,400125,32.91
2012-02-01,33.11,35.16,33.11,35.06,896658,35.06
2012-02-02,35.52,35.6,33.83,34.88,510564,34.88
2012-02-03,35.07,35.91,35.07,35.38,434298,35.38
2012-02-06,35.35,35.73,35.08,35.15,284016,35.15
2012-02-07,35.28,35.48,34.82,34.84,363735,34.84
2012-02-08,34.78,34.97,33.02,34.34,1026272,34.34
2012-02-09,28.28,29.85,27.99,29.34,3203365,29.34
2012-02-10,29.02,30.89,28.65,30.04,1056401,30.04
2012-02-13,30.07,30.1,28.5,28.59,792984,28.59
2012-02-14,28.7,28.78,26.93,27.63,950013,27.63
2012-02-15,27.8,30.1,27.6,29.28,890528,29.28
2012-02-16,29.27,30.65,28.74,30.4,458166,30.4
2012-02-17,30.5,30.94,29.96,30.7,516593,30.7
2012-02-21,30.61,30.74,30.12,30.67,416949,30.67
2012-02-22,30.95,30.95,29.85,30,301620,30
2012-02-23,30.06,30.69,29.59,30.59,232293,30.59
2012-02-24,30.19,32,30.19,31.8,477589,31.8
2012-02-27,31.38,32.08,31.15,31.91,411006,31.91
2012-02-28,32.09,33.47,32.06,32.31,699032,32.31
2012-02-29,32.32,32.43,31.68,32.23,260911,32.23
2012-03-01,31.58,32.88,31.09,32.62,692922,32.62
2012-03-02,32.37,33.07,32.04,32.4,448832,32.4
2012-03-05,32.29,32.31,31.81,31.97,183746,31.97
2012-03-06,31.5,31.8,30.81,31.42,325838,31.42
2012-03-07,31.5,31.6,30.915,31.07,279906,31.07
2012-03-08,31.2,31.79,31.2,31.26,341255,31.26
2012-03-09,31.3,31.3,30.58,30.7,200457,30.7
2012-03-12,30.73,31.06,30.5,30.7,153527,30.7
2012-03-13,30.92,30.97,30.26,30.48,179339,30.48
2012-03-14,30.4,31,30.23,30.99,166773,30.99
2012-03-15,31.12,32.54,30.94,32.47,436801,32.47
2012-03-16,32.51,34.91,32.38,34,1423374,34
2012-03-19,33.8,34.09,33.8,34,194123,34
2012-03-20,33.46,34.28,33.46,34.09,288510,34.09
2012-03-21,34.17,34.32,33.36,33.77,263563,33.77
2012-03-22,33.51,33.76,33.03,33.25,216650,33.25
2012-03-23,33.01,33.35,32.83,33.3,167675,33.3
2012-03-26,33.31,34.5,32.91,34.3,488812,34.3
2012-03-27,34.3,36.05,33.9,35.29,851256,35.29
2012-03-28,35.15,35.73,34.08,34.57,298847,34.57
2012-03-29,34.25,35.17,33.93,35.16,517873,35.16
2012-03-30,35.28,36.85,35.28,35.67,738397,35.67
2012-04-02,35.63,37.78,35.06,37.37,837098,37.37
2012-04-03,37.42,37.55,36.54,36.59,519775,36.59
2012-04-04,36.41,36.8,35.8,36.25,324399,36.25
2012-04-05,36.04,36.92,35.88,36.23,374035,36.23
2012-04-09,35.56,35.83,35.17,35.49,284401,35.49
2012-04-10,35.45,35.56,34.48,34.58,320052,34.58
2012-04-11,35.01,35.4,34.74,34.78,265696,34.78
2012-04-12,34.84,35.47,34.75,35.1,209229,35.1
2012-04-13,35.06,35.3,34.39,34.5,229191,34.5
2012-04-16,34.64,34.84,33.74,33.83,189038,33.83
2012-04-17,34.16,35.18,34,35,430056,35
2012-04-18,34.78,35.6,34.75,35.44,280058,35.44
2012-04-19,35.33,36.425,35.16,35.22,293466,35.22
2012-04-20,35.35,35.65,34.94,35.02,288078,35.02
2012-04-23,34.72,34.72,33.75,33.94,589218,33.94
2012-04-24,33.79,34.2,33.24,33.38,168576,33.38
2012-04-25,33.73,34.1,33.54,33.69,450504,33.69
2012-04-26,33.74,34.51,33.28,34.38,305632,34.38
2012-04-27,36.24,37.83,35.9,36.87,1336349,36.87
2012-04-30,36.46,37.54,36.4,37.51,422412,37.51
2012-05-01,36.38,37.87,36.37,36.53,1198124,36.53
2012-05-02,43.25,44.46,42.08,42.63,1870988,42.63
2012-05-03,42.63,43.49,40.245,40.9,739795,40.9
2012-05-04,39.99,40.69,39.76,40.2,917397,40.2
2012-05-07,39.8,40.98,39.8,40.97,537573,40.97
2012-05-08,40.69,41.29,39.4,41.2,582284,41.2
2012-05-09,40.54,41.07,40.13,40.68,282493,40.68
2012-05-10,41.19,41.69,40.45,40.81,385896,40.81
2012-05-11,40.57,42.05,40.56,41.73,381551,41.73
2012-05-14,41.4,42.57,41.11,41.64,299637,41.64
2012-05-15,41.81,43.09,41.47,42.65,445973,42.65
2012-05-16,42.93,43.84,42.73,43.64,612238,43.64
2012-05-17,43.69,43.73,40.73,41.03,767993,41.03
2012-05-18,41.57,41.59,39.81,40.66,791464,40.66
2012-05-21,40.87,42.59,40.33,42.17,485533,42.17
2012-05-22,42.33,44.21,41.99,42.63,617199,42.63
2012-05-23,42.21,45.82,42.03,45.15,762828,45.15
2012-05-24,45.04,45.32,44.25,44.4,424809,44.4
2012-05-25,44.53,45.22,44.52,45,392822,45
2012-05-29,45.8,45.8,44.39,45.26,409338,45.26
2012-05-30,44.88,44.88,42.72,43.16,720057,43.16
2012-05-31,43.48,43.66,42.14,42.88,923578,42.88
2012-06-01,41.61,41.8,39.93,41.02,779265,41.02
2012-06-04,41.16,41.62,40.12,41.49,477552,41.49
2012-06-05,41.21,42.21,40.445,41.09,391849,41.09
2012-06-06,40.86,43.78,40.86,42.99,464675,42.99
2012-06-07,44,44,41.59,41.67,497664,41.67
2012-06-08,42.01,43.15,41.56,43.02,477031,43.02
2012-06-11,44.46,44.8,42.53,42.94,441971,42.94
