DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,58.51,59.05,57.52,57.61,653598,57.61
2012-01-04,57.23,57.71,56.82,57.48,481165,57.48
2012-01-05,57,58.41,56.48,58.29,650528,58.29
2012-01-06,58.41,59.18,58,58.71,771375,58.71
2012-01-09,58.87,59.35,58.15,58.2,860315,58.2
2012-01-10,59.28,60.76,59.09,60.41,819316,60.41
2012-01-11,59.11,59.57,58.88,59.33,639655,59.33
2012-01-12,59.61,59.64,58.87,59.37,672537,59.37
2012-01-13,58.81,59.08,58.15,59,657483,59
2012-01-17,59.23,59.91,58.49,58.68,551995,58.68
2012-01-18,58.66,59.88,58.39,59.74,603171,59.74
2012-01-19,60.04,60.5,58.9,60.06,876300,60.06
2012-01-20,60.15,60.33,59.72,60.05,913763,60.05
2012-01-23,60.03,60.4,59.59,60.18,548031,60.18
2012-01-24,59.77,60.69,59.44,60.52,492002,60.52
2012-01-25,60.29,61.15,60.16,60.97,419562,60.97
2012-01-26,61.48,62.14,60.82,61.04,582397,61.04
2012-01-27,59.82,60.83,59.4,59.82,861243,59.82
2012-01-30,59.17,59.18,57.83,58.25,666892,58.25
2012-01-31,58.68,58.68,57.11,57.84,788439,57.84
2012-02-01,57,58.89,56.51,58.62,746794,58.62
2012-02-02,59.09,59.09,57.71,57.85,584299,57.85
2012-02-03,58.3,59.35,58.3,59.3,781385,59.3
2012-02-06,58.7,59.38,58.53,58.76,374288,58.76
2012-02-07,58.48,58.77,57.65,58.66,705444,58.66
2012-02-08,58.64,59,57.83,58.53,818110,58.53
2012-02-09,58.5,59.6,58.14,59.55,786346,59.55
2012-02-10,58.85,59.3,58.38,59.14,501651,59.14
2012-02-13,59.88,60.25,59.63,60.1,414285,60.1
2012-02-14,59.69,60.04,59.33,59.95,451321,59.95
2012-02-15,60.33,60.7,59.71,60.095,618204,60.095
2012-02-16,60.2,62.23,60.09,62.22,623867,62.22
2012-02-17,62.58,62.95,62.11,62.91,785730,62.91
2012-02-21,63,63,61.5,61.7,642846,61.7
2012-02-22,61.78,62.02,61.09,61.14,432373,61.14
2012-02-23,61,61.6,60.85,61.49,471303,61.49
2012-02-24,61.7,61.87,60.94,61.03,428423,61.03
2012-02-27,60.58,61.44,60.48,61.25,593618,61.25
2012-02-28,61.31,61.83,61.03,61.24,361301,61.24
2012-02-29,61.61,61.93,61.08,61.59,605776,61.59
2012-03-01,61.7,62.4,61.7,62.24,428147,62.24
2012-03-02,62.15,62.15,61.42,61.65,321325,61.65
2012-03-05,61.5,61.5,60.87,61.18,348620,61.18
2012-03-06,60.54,60.69,60,60.18,567353,60.18
2012-03-07,60.62,61.03,60.32,60.98,364277,60.98
2012-03-08,61.78,62.14,61.24,62.05,508239,62.05
2012-03-09,62.41,63.43,62.04,63.11,424645,63.11
2012-03-12,63.01,63.34,62.22,62.39,434940,62.39
2012-03-13,62.73,64,62.24,63.96,571887,63.96
2012-03-14,63.96,64.21,63.27,63.76,338793,63.76
2012-03-15,64.08,65,63.7,64.71,412278,64.71
2012-03-16,64.87,65.2,64.64,64.77,1043178,64.77
2012-03-19,64.61,64.88,64.18,64.72,429342,64.72
2012-03-20,64.26,64.64,64.01,64.5,470705,64.5
2012-03-21,64.63,65.11,64.21,64.49,496282,64.49
2012-03-22,64.17,64.23,63.61,63.94,396845,63.94
2012-03-23,64.23,64.36,63.41,64.02,342277,64.02
2012-03-26,64.81,65.15,64.46,65,487877,65
