DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,60.15,60.32,58.98,58.99,1028944,58.99
2012-01-04,58.81,59.07,58.14,58.75,1182933,58.75
2012-01-05,58.36,59.36,58.08,59.33,1119547,59.33
2012-01-06,59.53,59.73,59.12,59.35,712966,59.35
2012-01-09,59.77,59.88,59.34,59.7,635308,59.7
2012-01-10,60.16,60.28,59.8,60.1,697656,60.1
2012-01-11,59.76,60.04,59.74,59.9,506682,59.9
2012-01-12,60.05,60.36,59.6,59.8,772694,59.8
2012-01-13,59.21,59.46,58.8,59.39,747115,59.39
2012-01-17,59.75,60.31,59.56,59.69,670281,59.69
2012-01-18,59.5,59.99,59.4,59.89,795619,59.89
2012-01-19,59.96,60.45,59.89,60.3,556177,60.3
2012-01-20,60.05,61.62,60.01,61.59,1173326,61.59
2012-01-23,61.54,61.61,60.17,60.29,979901,60.29
2012-01-24,59.9,59.9,57.92,58,1470987,58
2012-01-25,57.88,59.2,57.46,59.15,1118790,59.15
2012-01-26,59.17,59.7,58.66,58.7,1197677,58.7
2012-01-27,58.44,58.58,57.4,58.05,1024764,58.05
2012-01-30,57.68,58.32,57.37,58.11,629249,58.11
2012-01-31,58.58,58.79,58.03,58.3,1147146,58.3
2012-02-01,58.51,59.56,58.51,59.27,1133406,59.27
2012-02-02,59.3,59.42,58.94,59.39,683155,59.39
2012-02-03,59.72,60.13,59.47,60.12,1088800,60.12
2012-02-06,59.43,59.78,59.2,59.33,610863,59.33
2012-02-07,59.07,60,59.07,59.74,612992,59.74
2012-02-08,59.66,59.89,59.21,59.85,653159,59.85
2012-02-09,59.9,60.27,59.46,59.89,517502,59.89
2012-02-10,59.42,59.64,58.97,59.36,539110,59.36
2012-02-13,59.79,59.97,58.8,58.99,731348,58.99
2012-02-14,58.72,59.19,58.53,59.16,704574,59.16
2012-02-15,59.42,59.64,59.03,59.29,940152,59.29
2012-02-16,59.41,59.71,59.05,59.44,904503,59.44
2012-02-17,59.68,60,59.47,59.85,932321,59.85
2012-02-21,59.9,59.99,58.98,59.27,848552,59.27
2012-02-22,59.33,59.81,58.82,58.94,1170608,58.94
2012-02-23,58.88,59.49,58.62,58.96,934089,58.96
2012-02-24,58.98,59.28,58.41,58.6,639258,58.6
2012-02-27,58.4,58.84,57.92,58.6,586644,58.6
2012-02-28,58.66,58.81,58.28,58.4,604690,58.4
2012-02-29,58.4,58.68,57.49,57.97,1666938,57.97
2012-03-01,57.99,58.84,57.87,58.42,892446,58.42
2012-03-02,57.6,58.07,57.58,58.01,758164,58.01
2012-03-05,57.92,58.61,57.45,58.5,896750,58.5
2012-03-06,58.04,58.12,56.83,56.96,1061226,56.96
2012-03-07,56.51,57.03,55.88,56.87,1029770,56.87
2012-03-08,56.97,57.27,56.5,57.1,705851,57.1
2012-03-09,57.32,57.62,57.15,57.61,720532,57.61
2012-03-12,57.66,57.86,57.53,57.61,717508,57.61
2012-03-13,57.94,58.46,57.5,58.41,1256077,58.41
2012-03-14,58.33,59.17,58.11,58.95,1146226,58.95
2012-03-15,59.08,59.36,58.69,59.08,874627,59.08
2012-03-16,59.58,59.58,59.08,59.2,3842775,59.2
2012-03-19,59.26,59.55,59.02,59.12,685322,59.12
