DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,35.415,35.7,34.275,34.73,698022,34.73
2012-01-04,34.63,35.01,34.365,34.685,398262,34.685
2012-01-05,34.5,34.905,34.25,34.71,603304,34.71
2012-01-06,34.655,35.38,34.6,34.855,500928,34.855
2012-01-09,34.89,35.51,34.89,35.3,338442,35.3
2012-01-10,36.135,36.4275,35.68,36.345,480250,36.345
2012-01-11,36.25,36.99,36.25,36.465,343428,36.465
2012-01-12,38.925,40.28,38.71,40.1,1761002,40.1
2012-01-13,40.025,40.545,39.95,40.28,784962,40.28
2012-01-17,40.125,40.275,39.98,40.24,731674,40.24
2012-01-18,40.285,40.66,40.02,40.645,313978,40.645
2012-01-19,40.82,40.99,40.15,40.215,578054,40.215
2012-01-20,40.255,40.4,39.725,39.995,281294,39.995
2012-01-23,40.02,40.425,39.52,40.245,333374,40.245
2012-01-24,40.075,40.41,40.05,40.35,220170,40.35
2012-01-25,40.4,40.55,40.135,40.39,263246,40.39
2012-01-26,40.655,40.875,39.625,39.92,304832,39.92
2012-01-27,39.975,40.455,39.86,40.21,223202,40.21
2012-01-30,40.19,40.695,40.05,40.445,369006,40.445
2012-01-31,40.69,41.21,40.155,40.385,486752,40.385
2012-02-01,40.5,40.895,40.24,40.885,525364,40.885
2012-02-02,40.46,41.25,39.535,39.935,1072876,39.935
2012-02-03,40.27,40.76,40.235,40.605,406776,40.605
2012-02-06,40.25,41.035,40.25,41.025,733040,41.025
2012-02-07,41.175,43.55,41.045,42.54,920654,42.54
2012-02-08,42.665,42.665,41.375,41.725,326370,41.725
2012-02-09,41.875,42.145,41.225,41.655,291926,41.655
2012-02-10,41.23,41.67,41.22,41.54,265482,41.54
2012-02-13,42.05,42.39,41.765,42.325,287226,42.325
2012-02-14,42.17,42.265,41.815,42.265,182230,42.265
2012-02-15,42.495,42.5,41.5,41.83,377882,41.83
2012-02-16,41.86,42.435,41.645,41.695,232902,41.695
2012-02-17,41.74,42.01,41.35,41.38,279772,41.38
2012-02-21,41.825,42.225,41.505,41.685,376768,41.685
2012-02-22,41.51,41.955,41.305,41.835,266140,41.835
2012-02-23,41.68,42.57,41.68,42.435,345032,42.435
2012-02-24,42.505,42.535,41.935,42.165,257294,42.165
2012-02-27,42.12,43.965,42.11,43.71,761814,43.71
2012-02-28,43.955,44.325,42.925,43.28,484630,43.28
2012-02-29,43.485,43.52,42.59,42.735,357288,42.735
2012-03-01,42.94,44.17,42.94,43.75,420264,43.75
2012-03-02,43.795,43.795,43.17,43.305,207288,43.305
2012-03-05,43.315,43.445,42.85,43.36,286952,43.36
2012-03-06,42.745,43.22,42.595,42.835,308474,42.835
2012-03-07,42.835,43.83,42.455,43.75,378096,43.75
2012-03-08,43.925,43.99,43.51,43.735,248978,43.735
2012-03-09,43.705,43.965,43.23,43.685,362572,43.685
2012-03-12,43.705,44.05,43.535,43.675,302428,43.675
2012-03-13,43.97,44.16,43.305,44.145,300604,44.145
2012-03-14,44.03,44.14,43.37,43.815,184236,43.815
2012-03-15,43.98,43.98,43.41,43.64,214650,43.64
2012-03-16,43.61,43.75,42.74,42.905,530122,42.905
2012-03-19,42.755,43.37,42.3,43.16,320094,43.16
2012-03-20,43.09,43.5,42.845,43.435,228272,43.435
2012-03-21,43.535,44.47,43.335,43.905,349228,43.905
2012-03-22,43.755,44.035,43.435,43.875,400824,43.875
2012-03-23,43.75,43.75,42.775,43.02,325388,43.02
2012-03-26,43.48,45.5,43.48,45.46,884328,45.46
2012-03-27,45.665,46.365,45.445,45.515,717374,45.515
2012-03-28,45.69,46.06,45.015,45.65,428470,45.65
2012-03-29,45.35,45.685,44.935,45.57,354326,45.57
2012-03-30,45.92,45.995,45.28,45.28,481724,45.28
2012-04-02,44.94,46.26,44.94,45.93,442318,45.93
2012-04-03,45.895,46.605,45.755,46.445,496302,46.445
2012-04-04,46.065,46.385,45.975,46.315,378326,46.315
2012-04-05,46.025,46.75,46.025,46.675,311490,46.675
2012-04-09,46.1,46.525,45.67,46.51,295004,46.51
2012-04-10,46.4,46.445,45.265,45.42,587428,45.42
2012-04-11,45.775,46.19,45.53,46.15,464048,46.15
2012-04-12,47.4,49.39,46.82,48.975,2334382,48.975
2012-04-13,48.94,49.66,48.66,49.19,834862,49.19
2012-04-16,49.375,49.61,48.52,49.005,1035600,49.005
2012-04-17,49.175,49.695,49,49.565,633450,49.565
2012-04-18,49.45,49.905,49.385,49.83,650834,49.83
2012-04-19,49.985,50.6,49.145,49.44,914312,49.44
2012-04-20,49.62,49.965,49.265,49.73,360554,49.73
2012-04-23,49.215,49.765,48.865,49.705,373644,49.705
2012-04-24,49.515,49.665,47.965,48.465,569654,48.465
2012-04-25,48.75,49.285,48.32,48.745,730856,48.745
2012-04-26,49.62,49.71,48.25,48.76,613360,48.76
2012-04-27,49.13,49.99,48.635,49.74,449806,49.74
2012-04-30,49.73,49.78,49.05,49.205,356298,49.205
2012-05-01,49.29,49.935,48.86,49.19,378880,49.19
2012-05-02,49.02,50.375,48.795,49.885,457274,49.885
2012-05-03,50.03,50.445,49.285,49.49,279026,49.49
2012-05-04,49.25,49.365,47.775,48.24,780134,48.24
2012-05-07,47.88,48.37,47.69,47.995,376706,47.995
2012-05-08,47.965,48.055,46.04,47.91,786830,47.91
2012-05-09,47.265,48.77,47.265,48.35,539922,48.35
2012-05-10,48.475,48.95,48.005,48.81,536180,48.81
2012-05-11,48.525,49.715,48.435,49.32,531338,49.32
2012-05-14,49.165,49.66,48.625,49.075,557450,49.075
2012-05-15,48.925,49.4,48.32,48.59,637718,48.59
2012-05-16,48.63,49.375,48.63,49.1,721102,49.1
2012-05-17,49.73,49.73,47.6,47.61,889866,47.61
2012-05-18,47.75,47.875,45.755,45.93,933328,45.93
2012-05-21,45.905,47.02,45.345,46.94,796228,46.94
2012-05-22,47.19,48.695,47.16,48.39,557036,48.39
2012-05-23,48.17,49.11,48.1,48.99,716814,48.99
2012-05-24,49.33,49.735,49.015,49.65,523230,49.65
2012-05-25,49.91,50.13,49.44,49.81,414538,49.81
2012-05-29,49.355,49.38,44.82,46.235,2696892,46.235
2012-05-30,45.84,46,43.975,44.76,1390212,44.76
2012-05-31,45.04,45.795,44.53,45.675,3969260,45.675
2012-06-01,45.35,45.35,44.43,44.795,1206540,44.795
2012-06-04,44.345,44.71,42.575,42.695,1587698,42.695
2012-06-05,42.53,43.9,42.405,43.805,994714,43.805
2012-06-06,44.26,44.735,43.895,44.435,723746,44.435
2012-06-07,44.71,44.9,43.625,43.73,556188,43.73
2012-06-08,43.5,44.095,43.5,43.85,509950,43.85
2012-06-11,44.285,44.6,42.77,42.855,760802,42.855
2012-06-12,43.135,44.005,43,43.96,432318,43.96
2012-06-13,43.3,43.3,41.78,42.04,1005212,42.04
2012-06-14,42.275,43.54,42.18,43.39,727378,43.39
2012-06-15,43.555,44.02,43.415,43.955,790216,43.955
2012-06-18,42.905,44.995,42.33,44.96,901718,44.96
2012-06-19,45.085,45.615,45.02,45.47,485062,45.47
2012-06-20,45.535,45.74,44.675,45.26,499306,45.26
2012-06-21,45.145,45.225,43.935,44.05,395654,44.05
2012-06-22,43.9,44.12,43.33,43.33,795648,43.33
2012-06-25,42.95,43.75,42.8,43.29,560638,43.29
2012-06-26,43.345,43.69,42.705,43.365,461962,43.365
2012-06-27,43.24,43.345,41.065,41.54,1086994,41.54
2012-06-28,41.115,41.415,40.3,40.91,957996,40.91
2012-06-29,41.56,42.165,41.41,41.53,742128,41.53
2012-07-02,41.67,42.02,41.415,41.95,463968,41.95
2012-07-03,41.975,42.035,41.47,41.625,303050,41.625
2012-07-05,41.395,42.25,41.395,42.04,452542,42.04
2012-07-06,41.79,42.035,41.55,41.97,241420,41.97
2012-07-09,41.985,42.245,41.7,42.215,255340,42.215
2012-07-10,42.19,42.25,41.32,41.8,473436,41.8
2012-07-11,41.76,41.805,39.31,39.99,913836,39.99
2012-07-12,39.845,41.765,39.36,41.43,723738,41.43
2012-07-13,41.295,41.7,40.34,40.505,623154,40.505
2012-07-16,40.57,41.12,40.135,40.295,400246,40.295
2012-07-17,40.295,40.465,39.135,39.285,716810,39.285
2012-07-18,39.01,39.84,37.74,39.765,813154,39.765
2012-07-19,40.03,40.8775,39.95,40.65,729232,40.65
2012-07-20,40.175,40.195,38.92,38.99,619296,38.99
2012-07-23,38.39,40.57,38.25,40.35,925886,40.35
2012-07-24,40.3,40.75,39.055,39.355,581010,39.355
2012-07-25,39.305,39.98,39.145,39.525,1256620,39.525
2012-07-26,44.745,46.81,43.81,46.3,2785030,46.3
2012-07-27,46.64,46.695,45.58,45.97,833236,45.97
2012-07-30,45.98,46.045,45.485,45.955,389816,45.955
2012-07-31,45.745,45.99,45.43,45.435,393662,45.435
2012-08-01,45.73,45.85,44,44.05,647354,44.05
2012-08-02,44.12,44.735,43.92,44.66,276440,44.66
2012-08-03,45,45.86,44.84,45.225,334182,45.225
2012-08-06,44.765,45.4,44.765,45.065,296850,45.065
